"","logFC","logCPM","PValue","FDR"
"YCR102C",-2.32719046717255,5.93374955674421,1.59059579323488e-05,0.10198900226222
"YOL152W",-3.54531983270547,5.79244642708473,0.000191232548893377,0.327272145777344
"YPR167C",-2.16573904165969,6.82113142205716,0.00020470667900111,0.327272145777344
"YOR092W",-1.26397277887856,5.5223201972472,0.000231085662417878,0.327272145777344
"YLR411W",-5.02929795508554,6.61614977238279,0.000255202858528809,0.327272145777344
"YLR081W",-2.17164665270939,3.43526642904831,0.000331289659339878,0.354038215947883
"YPR124W",-4.46839636528363,7.75694452732889,0.000399941557537538,0.366346466704385
"YLR046C",-2.21448750704184,5.50085370345487,0.00052401358875914,0.399747834387146
"YMR320W",-2.17204103914594,3.75499150462895,0.000561093342090504,0.399747834387146
"YNR071C",-2.24416359534179,4.53926630386636,0.000678391639212185,0.434984719062853
