"","names"
"1","YBL008W"
"2","YBL098W"
"3","YBR037C"
"4","YBR114W"
"5","YBR183W"
"6","YBR192W"
"7","YBR282W"
"8","YBR285W"
"9","YBR297W"
"10","YCR003W"
"11","YCR020C"
"12","YCR054C"
"13","YCR102C"
"14","YDL021W"
"15","YDL044C"
"16","YDL052C"
"17","YDL080C"
"18","YDL129W"
"19","YDL138W"
"20","YDL206W"
"21","YDR078C"
"22","YDR122W"
"23","YDR175C"
"24","YDR237W"
"25","YDR268W"
"26","YDR296W"
"27","YDR322W"
"28","YDR331W"
"29","YDR337W"
"30","YDR347W"
"31","YDR362C"
"32","YDR374W-A"
"33","YDR375C"
"34","YDR381C-A"
"35","YDR387C"
"36","YDR441C"
"37","YDR493W"
"38","YDR535C"
"39","YEL039C"
"40","YEL050C"
"41","YEL070W"
"42","YER040W"
"43","YER050C"
"44","YER084W"
"45","YER130C"
"46","YER141W"
"47","YER142C"
"48","YFL014W"
"49","YFL053W"
"50","YFR007W"
"51","YFR020W"
"52","YFR053C"
"53","YGL064C"
"54","YGL071W"
"55","YGL080W"
"56","YGL107C"
"57","YGR021W"
"58","YGR043C"
"59","YGR136W"
"60","YGR138C"
"61","YGR153W"
"62","YGR202C"
"63","YGR220C"
"64","YGR227W"
"65","YGR230W"
"66","YGR237C"
"67","YGR255C"
"68","YGR287C"
"69","YHL014C"
"70","YHL038C"
"71","YHR011W"
"72","YHR091C"
"73","YHR163W"
"74","YHR176W"
"75","YHR179W"
"76","YHR183W"
"77","YIL138C"
"78","YJL031C"
"79","YJL060W"
"80","YJL096W"
"81","YJL101C"
"82","YJL180C"
"83","YJL181W"
"84","YJL212C"
"85","YJR101W"
"86","YJR127C"
"87","YKL026C"
"88","YKL039W"
"89","YKL087C"
"90","YKL149C"
"91","YKL164C"
"92","YKL192C"
"93","YKL194C"
"94","YKR100C"
"95","YLR053C"
"96","YLR108C"
"97","YLR144C"
"98","YLR151C"
"99","YLR163C"
"100","YLR177W"
"101","YLR179C"
"102","YLR180W"
"103","YLR203C"
"104","YLR375W"
"105","YLR426W"
"106","YML007W"
"107","YML018C"
"108","YML021C"
"109","YML025C"
"110","YML031W"
"111","YML111W"
"112","YMR023C"
"113","YMR024W"
"114","YMR083W"
"115","YMR098C"
"116","YMR120C"
"117","YMR157C"
"118","YMR158W"
"119","YMR166C"
"120","YMR191W"
"121","YMR257C"
"122","YMR293C"
"123","YMR320W"
"124","YNL011C"
"125","YNL049C"
"126","YNL073W"
"127","YNL074C"
"128","YNL134C"
"129","YNL173C"
"130","YNL185C"
"131","YNL264C"
"132","YNL284C"
"133","YNR019W"
"134","YNR052C"
"135","YNR071C"
"136","YNR073C"
"137","YOL023W"
"138","YOL056W"
"139","YOL136C"
"140","YOL152W"
"141","YOR028C"
"142","YOR049C"
"143","YOR079C"
"144","YOR092W"
"145","YOR150W"
"146","YOR205C"
"147","YOR232W"
"148","YOR241W"
"149","YOR286W"
"150","YOR292C"
"151","YOR316C"
"152","YOR353C"
"153","YOR380W"
"154","YPL040C"
"155","YPL072W"
"156","YPL087W"
"157","YPL095C"
"158","YPL132W"
"159","YPL141C"
"160","YPL171C"
"161","YPL172C"
"162","YPL183W-A"
"163","YPL189W"
"164","YPL193W"
"165","YPL274W"
"166","YPR067W"
"167","YPR124W"
"168","YPR186C"
