"","GENEID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL001C","YAL001C",321.337255798284,-0.227916996049333,0.165714632155759,-1.37535830773899,0.169020387875949,0.506733128234213
"YAL002W","YAL002W",252.101953730759,-0.460668712395406,0.212842411137164,-2.16436522182853,0.0304363307526268,0.2255553939738
"YAL003W","YAL003W",3416.88482602747,0.630393154285343,0.389108638381476,1.62009550059723,0.105211763806739,0.412159514345289
"YAL005C","YAL005C",10122.2586938923,0.173576229368918,0.352789302262293,0.49201103393965,0.622711543337432,0.854512861358656
"YAL007C","YAL007C",245.90702681824,0.10305573793987,0.393434286043433,0.261938884321061,0.793368560566104,0.927233140298586
"YAL008W","YAL008W",1652.52452701654,-0.185834316038031,0.186697256155272,-0.995377863954664,0.319552520556749,0.661521586216493
"YAL009W","YAL009W",210.112242102758,0.351621425384528,0.180662033126535,1.94629396835279,0.0516194377134988,0.290050402779718
"YAL010C","YAL010C",123.301321334496,0.212564280107128,0.284832914514474,0.746277095361204,0.45550004469294,0.761569480016527
"YAL011W","YAL011W",111.479573898539,-0.50073421679931,0.327465314896557,-1.52912138788649,0.12623435411356,0.446827029112201
"YAL012W","YAL012W",714.294862203427,-0.205033632681633,0.387548369654346,-0.52905301308454,0.59676867508104,0.841745410258694
"YAL013W","YAL013W",339.663368968832,-0.590593473704468,0.234166507742741,-2.52210907271719,0.01166535310462,0.140033666717748
"YAL014C","YAL014C",233.669389067492,-0.426076474201212,0.206908429395061,-2.05925140627153,0.0394701609446432,0.256977207614634
"YAL015C","YAL015C",337.802673378445,0.112120744170573,0.199729099452945,0.561364090048319,0.574549358938323,0.829499865581907
"YAL016W","YAL016W",1408.00979712648,-0.123731188617737,0.184540456637601,-0.670482727051657,0.502550113882465,0.791407769982622
"YAL017W","YAL017W",891.010639119431,-0.863295796621493,0.240958586020588,-3.58275590373747,0.000339988279787102,0.028434278451184
"YAL018C","YAL018C",129.978506980448,1.2366721228325,0.517255100494569,2.39083601428012,0.0168100591822129,0.170081777368604
"YAL019W","YAL019W",201.614259551411,0.0386886896992641,0.322769737759759,0.119864674946883,0.904590347980313,0.969201759722376
"YAL020C","YAL020C",121.31811378316,-0.121862941590282,0.329970288701596,-0.369314892167419,0.711893026607323,0.897149886289388
"YAL021C","YAL021C",315.450507055142,-0.599452533677684,0.236845318666093,-2.53098746917941,0.0113741911996079,0.138545383794614
"YAL022C","YAL022C",239.540974537896,0.261997577968645,0.173873507161442,1.50682862643002,0.131854589909138,0.4530681996643
"YAL023C","YAL023C",303.42692414567,-0.496740766067888,0.352579733815109,-1.40887498181724,0.15887213845313,0.494327038152352
"YAL024C","YAL024C",54.2427524684011,0.363708183228192,0.350076159926597,1.0389401646329,0.298832565196992,0.643796697492834
"YAL025C","YAL025C",336.951915131946,0.0812740977231343,0.388388746228764,0.209259661903961,0.834245539759194,0.942665793344389
"YAL026C","YAL026C",170.801695346144,-0.0152890573286101,0.234079191224658,-0.0653157474127479,0.947922604494816,0.980002728436395
"YAL027W","YAL027W",265.771778734506,-0.0226597724352942,0.18634768165016,-0.121599433030965,0.903216262533497,0.968879845421203
"YAL028W","YAL028W",120.755818276111,-0.829660654791726,0.291313188763292,-2.84800237954853,0.00439945956184445,0.0873606578741183
"YAL029C","YAL029C",344.544766554832,-0.244806753259279,0.27878756554537,-0.878112166804796,0.379882850906144,0.709469941883685
"YAL030W","YAL030W",797.030834620785,-0.120387820813013,0.200864158319294,-0.599349440041186,0.548939885266474,0.817487977050057
"YAL031C","YAL031C",221.977525272355,-0.110420616411607,0.266407157697279,-0.414480666983727,0.678522122804514,0.88120528239094
"YAL032C","YAL032C",328.195770766133,0.320770433462639,0.237392236498969,1.35122545788911,0.176623221920791,0.516115098196597
"YAL033W","YAL033W",140.758067435852,0.0270662365015877,0.21541194558128,0.125648725879851,0.900009990895051,0.967177285148017
"YAL034C","YAL034C",1961.3936000913,-0.509108637766661,0.25995303761188,-1.95846389195413,0.0501756039885394,0.288752283886852
"YAL034W-A","YAL034W-A",67.4138668709624,0.755246682264802,0.260751090254083,2.89642770631896,0.00377437594983316,0.083284883613197
"YAL035W","YAL035W",766.043017944926,-0.171085791431537,0.241232286734427,-0.709215974973888,0.478190461521814,0.776899196104147
"YAL036C","YAL036C",187.126440078497,0.343285589729237,0.214627980751014,1.59944471605254,0.109721823249038,0.421336292443036
"YAL037C-A","YAL037C-A",12.1623372235601,-0.244214276009173,0.582884721354244,-0.418975257134512,0.675234215320014,0.880422159328163
"YAL037W","YAL037W",167.052317246529,0.420489162140317,0.430695855472866,0.976301853842212,0.328914901549605,0.667489911239277
"YAL038W","YAL038W",8698.39450297212,0.160033470146561,0.539624332199805,0.296564592434476,0.766798946445549,0.91644318439806
"YAL039C","YAL039C",1126.67483031071,-0.711501614657845,0.306465555006984,-2.32163648747289,0.0202525174667,0.184190632369698
"YAL040C","YAL040C",209.711349053286,0.467909977417217,0.297558327489633,1.5724983446599,0.115835022762035,0.432825458224043
"YAL041W","YAL041W",219.412076923963,0.223334096537043,0.219923176845656,1.01550959630681,0.309862974497595,0.653656860216612
"YAL042W","YAL042W",664.537605860805,-0.110025110573406,0.161057052100448,-0.683143700561374,0.494516043673976,0.786924185023027
"YAL043C","YAL043C",225.599751447794,-0.0499542319178154,0.184987025463223,-0.27004181397439,0.787128085236181,0.925295550470124
"YAL044C","YAL044C",2584.65728454323,0.329492868022931,0.235750797235889,1.39763204148678,0.162223591335324,0.497432116237141
"YAL044W-A","YAL044W-A",50.0282033757457,0.129076105669075,0.423115172183526,0.305061397356576,0.760319391130606,0.913388851433587
"YAL046C","YAL046C",273.744806984077,0.328078500146494,0.312797085876892,1.04885408131844,0.294245282200979,0.639709074084254
"YAL047C","YAL047C",124.726085527533,-0.294873916350079,0.217880143112663,-1.35337673336117,0.175935306518501,0.515967622533036
"YAL048C","YAL048C",212.729843222441,-0.258587620143479,0.200397851858955,-1.29037121777872,0.196921800476969,0.538753704250365
"YAL049C","YAL049C",794.032644843414,-0.212363621702989,0.152235801097315,-1.39496504877481,0.163026379526077,0.497961406555758
"YAL051W","YAL051W",310.067198865623,-0.750790447189593,0.294408505088088,-2.55016561754884,0.0107671756225927,0.136614951278643
"YAL053W","YAL053W",1015.42157863161,0.280417853758929,0.238990511325902,1.17334304279777,0.240658267980832,0.590034507303936
"YAL054C","YAL054C",1003.67028069042,0.46427352628759,0.453250348945132,1.02432028429347,0.305684020133144,0.649116252082
"YAL055W","YAL055W",414.448714148703,-0.432323961733201,0.175547514127991,-2.46271765157549,0.0137888453692148,0.15516091969045
"YAL056W","YAL056W",872.430900730654,-0.299483702268095,0.124459367623321,-2.40627690777354,0.0161160438820378,0.166546169470511
"YAL058W","YAL058W",144.176941463717,0.402408144365004,0.228426317062969,1.76165404030077,0.078127767476644,0.353005691367788
"YAL059W","YAL059W",70.5022379555442,0.360968319723124,0.286316690091619,1.260730974529,0.207405790211139,0.551045122547519
"YAL060W","YAL060W",3055.29540658779,-0.028777901489392,0.405241077384901,-0.0710142754409335,0.943386394016827,0.9795175569909
"YAL061W","YAL061W",2493.50294732249,-0.702003437869444,0.416451507168851,-1.68567870636812,0.0918577003967805,0.384107550146242
"YAL062W","YAL062W",4305.43854287388,-1.33823979934195,0.613112520065228,-2.18269853500883,0.0290580178921261,0.220405260209888
"YAL063C","YAL063C",624.312566790572,0.0436544334024988,0.145989398511753,0.299024681569492,0.764921213484013,0.915461041439584
