"","112B","112C","115B","115C","117B","117C","123B","123C","141B","141C","152B","152C","29B","29C","50B","50C","112A","115A","117A","123A","141A","152A","29A","50A","AncB","AncA","AncC"
"21S_rRNA",21.8007747506864,397.985707627743,30.6677193077359,556.700279592405,574.188836960293,364.751717447004,111.397077478791,539.997994178851,5.22462929128876,23.2848166458497,1.27994921161528,6.55343094164611,8.30371608693152,2.02775091742505,8.44901285354825,3.93181742469962,15.9089668133356,8.09002206726876,109.809663250366,39.2940169347957,80.1128577406829,2.14935433395808,9.78599626396512,185.990450916048,4.91775391872339,49.2967489206037,29.2512141621332
"HRA1",0.361838585073634,0,0.106485136485194,0.0552117702660324,0,0.0810919780895963,0,0,0.121503006774157,0.0950400679422438,0.153593905393834,0.252055036217158,0.0790830103517288,0.176326166732613,0,0,0,0.0770478292120835,0.0851237699615241,0,0.105066042938601,0.477634296435129,0,0.272446949584055,0,0.0686584246805066,0
"ICR1",4.07068408207838,2.85429533210696,5.85668250668567,1.60114133771494,7.09873523002553,3.16258714549425,6.37229044899867,3.06741266142593,6.68266537257864,4.94208353299668,7.47490339583325,7.05754101408042,4.98222965215891,1.4106093338609,4.17808327922715,4.71818090963954,7.35489923028581,5.08515672799751,5.44792127753754,6.0581781997972,10.2789612008264,3.58225722326346,1.84641438942738,4.63159814292894,9.31392787637005,6.38523349528711,5.68189052070213
"LSR1",65.6737031908645,337.668523251144,67.7245468045834,391.617086496968,257.621188664344,151.885274961814,69.7805139291582,184.978320060772,9.23422851483594,19.8633741999289,6.60453793193486,8.82192626760053,22.3804919295393,6.61223125247297,38.3455198737959,10.294212893759,22.2245868045593,35.9042884128309,125.046818073479,68.5752115671489,36.0726747422529,10.388545947464,21.4799540636719,168.281399193085,6.18444810990971,31.6515337777135,23.3588832517754
"NME1",1.89965257163658,20.3570497271024,1.7037621837631,26.9433438898238,1.79714815950013,5.51425451009255,2.59611833107353,3.00072977748188,1.09352706096741,0.475200339711219,0.511979684646113,1.1972614220315,1.58166020703458,0.793467750296757,4.36377586941503,0.643388305859938,2.55822581922985,3.00486533927126,5.70329258742211,6.22646092756935,3.71233351716389,1.67172003752295,1.66177295048464,11.9876657816984,0.372557115054802,1.51048534297115,3.6827068189736
"PWR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q0010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745114230109604,0,0
"Q0017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q0032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q0045",1.71873327909976,11.4171813284278,1.8102473202483,11.5392599856008,18.7801982667764,8.51465769940761,3.46149110809804,11.202724502599,0,0.570240407653463,0.0511979684646113,0.252055036217158,0.0790830103517288,0.176326166732613,0.557077770563621,0,0.239833670552798,0.23114348763625,3.40495079846096,1.09383773051894,3.90495459588465,0.238817148217564,0.30773573157123,3.26936339500866,0,0.892559520846586,1.05220194827817
"Q0050",2.71378938805225,35.7056189657908,4.68534600534854,39.8076863618094,32.9776687268275,27.3279966161939,9.51910054726961,34.0082708114613,0.607515033870786,2.75616197032507,0.153593905393834,0.378082554325737,2.37249031055186,0,0.835616655845431,0.214462768619979,1.67883569386959,0.462286975272501,7.91651060642174,3.19737182767075,0.507819207536569,0.298521435271955,0.553924316828215,8.80911803655112,0.447068538065762,3.50157965870584,3.26182603966233
"Q0055",1.17597540148931,21.434142305256,1.7037621837631,20.3179314578999,22.5542094017267,18.08351111398,4.4842043900361,18.2044273167234,0.486012027096629,1.61568115501814,0.102395936929223,0.126027518108579,0.790830103517288,0.176326166732613,0.371385180375747,0.285950358159972,0.959334682211193,0.154095658424167,3.40495079846096,1.93525136937966,4.92059301095779,0,0.30773573157123,5.63057029140381,0.298045692043842,2.1284111650957,2.52528467586761
