"","x"
"1","YAL001C"
"2","YAL002W"
"3","YAL003W"
"4","YAL005C"
"5","YAL007C"
"6","YAL008W"
"7","YAL009W"
"8","YAL010C"
"9","YAL011W"
"10","YAL012W"
"11","YAL013W"
"12","YAL014C"
"13","YAL015C"
"14","YAL016C-B"
"15","YAL016W"
"16","YAL017W"
"17","YAL019W"
"18","YAL020C"
"19","YAL021C"
"20","YAL022C"
"21","YAL023C"
"22","YAL024C"
"23","YAL025C"
"24","YAL026C"
"25","YAL026C"
"26","YAL027W"
"27","YAL028W"
"28","YAL029C"
"29","YAL030W"
"30","YAL031C"
"31","YAL032C"
"32","YAL033W"
"33","YAL034C"
"34","YAL034W-A"
"35","YAL035W"
"36","YAL036C"
"37","YAL037W"
"38","YAL038W"
"39","YAL039C"
"40","YAL040C"
"41","YAL041W"
"42","YAL042W"
"43","YAL043C"
"44","YAL044C"
"45","YAL044W-A"
"46","YAL046C"
"47","YAL047C"
"48","YAL048C"
"49","YAL049C"
"50","YAL051W"
"51","YAL053W"
"52","YAL054C"
"53","YAL055W"
"54","YAL056W"
"55","YAL058W"
"56","YAL059W"
"57","YAL060W"
"58","YAL061W"
"59","YAL062W"
"60","YAL063C"
"61","YAL065C"
"62","YAL067C"
"63","YAR002C-A"
"64","YAR002W"
"65","YAR003W"
"66","YAR007C"
"67","YAR008W"
"68","YAR014C"
"69","YAR015W"
"70","YAR018C"
"71","YAR019C"
"72","YAR020C"
"73","YAR023C"
"74","YAR027W"
"75","YAR028W"
"76","YAR029W"
"77","YAR030C"
"78","YAR031W"
"79","YAR033W"
"80","YAR035C-A"
"81","YAR035W"
"82","YAR042W"
"83","YAR050W"
"84","YAR068W"
"85","YAR071W"
"86","YBL001C"
"87","YBL002W"
"88","YBL003C"
"89","YBL004W"
"90","YBL005W"
"91","YBL006C"
"92","YBL007C"
"93","YBL008W"
"94","YBL009W"
"95","YBL010C"
"96","YBL011W"
"97","YBL013W"
"98","YBL014C"
"99","YBL015W"
"100","YBL016W"
"101","YBL017C"
"102","YBL018C"
"103","YBL019W"
"104","YBL020W"
"105","YBL021C"
"106","YBL022C"
"107","YBL023C"
"108","YBL024W"
"109","YBL025W"
"110","YBL026W"
"111","YBL027W"
"112","YBL028C"
"113","YBL029C-A"
"114","YBL029W"
"115","YBL030C"
"116","YBL031W"
"117","YBL032W"
"118","YBL033C"
"119","YBL034C"
"120","YBL035C"
"121","YBL036C"
"122","YBL037W"
"123","YBL038W"
"124","YBL039C"
"125","YBL039C"
"126","YBL039W-B"
"127","YBL040C"
"128","YBL041W"
"129","YBL042C"
"130","YBL043W"
"131","YBL045C"
"132","YBL046W"
"133","YBL047C"
"134","YBL048W"
"135","YBL049W"
"136","YBL050W"
"137","YBL051C"
"138","YBL052C"
"139","YBL054W"
"140","YBL055C"
"141","YBL056W"
"142","YBL057C"
"143","YBL058W"
"144","YBL059C-A"
"145","YBL059W"
"146","YBL060W"
"147","YBL061C"
"148","YBL063W"
"149","YBL064C"
"150","YBL066C"
"151","YBL067C"
"152","YBL068W"
"153","YBL069W"
"154","YBL069W"
"155","YBL071C"
"156","YBL071W-A"
"157","YBL072C"
"158","YBL074C"
"159","YBL075C"
"160","YBL076C"
"161","YBL077W"
"162","YBL078C"
"163","YBL079W"
"164","YBL080C"
