,x
1,YAL001C
2,YAL002W
3,YAL003W
4,YAL005C
5,YAL007C
6,YAL008W
7,YAL009W
8,YAL010C
9,YAL011W
10,YAL012W
11,YAL013W
12,YAL014C
13,YAL015C
14,YAL016W
15,YAL017W
16,YAL018C
17,YAL019W
18,YAL020C
19,YAL021C
20,YAL022C
21,YAL023C
22,YAL024C
23,YAL025C
24,YAL026C
25,YAL026C
26,YAL027W
27,YAL028W
28,YAL029C
29,YAL030W
30,YAL031C
31,YAL032C
32,YAL033W
33,YAL034C
34,YAL034W-A
35,YAL035W
36,YAL036C
37,YAL037C-A
38,YAL037W
39,YAL038W
40,YAL039C
41,YAL040C
42,YAL041W
43,YAL042W
44,YAL043C
45,YAL044C
46,YAL044W-A
47,YAL046C
48,YAL047C
49,YAL048C
50,YAL049C
51,YAL051W
52,YAL053W
53,YAL054C
54,YAL055W
55,YAL056W
56,YAL058W
57,YAL059W
58,YAL060W
59,YAL061W
60,YAL062W
61,YAL063C
62,YAL063C-A
63,YAL064C-A
64,YAL067C
65,YAR002C-A
66,YAR002W
67,YAR003W
68,YAR007C
69,YAR008W
70,YAR009C
71,YAR014C
72,YAR015W
73,YAR018C
74,YAR019C
75,YAR020C
76,YAR023C
77,YAR027W
78,YAR028W
79,YAR029W
80,YAR030C
81,YAR031W
82,YAR033W
83,YAR035W
84,YAR042W
85,YAR047C
86,YAR050W
87,YAR053W
88,YAR071W
89,YBL001C
90,YBL002W
91,YBL003C
92,YBL004W
93,YBL005W
94,YBL005W-B
95,YBL005W-B
96,YBL006C
97,YBL007C
98,YBL008W
99,YBL009W
100,YBL010C
101,YBL011W
102,YBL013W
103,YBL014C
104,YBL015W
105,YBL016W
106,YBL017C
107,YBL018C
108,YBL019W
109,YBL020W
110,YBL021C
111,YBL022C
112,YBL023C
113,YBL024W
114,YBL025W
115,YBL026W
116,YBL027W
117,YBL028C
118,YBL029C-A
119,YBL029W
120,YBL030C
121,YBL032W
122,YBL033C
123,YBL034C
124,YBL035C
125,YBL036C
126,YBL037W
127,YBL038W
128,YBL039C
129,YBL039C
130,YBL039W-B
131,YBL040C
132,YBL041W
133,YBL042C
134,YBL043W
135,YBL045C
136,YBL046W
137,YBL047C
138,YBL048W
139,YBL049W
140,YBL050W
141,YBL051C
142,YBL052C
143,YBL054W
144,YBL055C
145,YBL056W
146,YBL057C
147,YBL058W
148,YBL059C-A
149,YBL059W
150,YBL060W
151,YBL061C
152,YBL063W
153,YBL064C
154,YBL066C
155,YBL067C
156,YBL068W
157,YBL069W
158,YBL069W
159,YBL071C
160,YBL071W-A
161,YBL072C
162,YBL074C
163,YBL075C
164,YBL076C
165,YBL078C
166,YBL079W
167,YBL080C
168,YBL081W
169,YBL082C
170,YBL082C
171,YBL084C
172,YBL085W
173,YBL086C
174,YBL087C
175,YBL088C
176,YBL089W
177,YBL090W
178,YBL091C
179,YBL091C-A
180,YBL092W
181,YBL093C
182,YBL095W
183,YBL097W
184,YBL098W
185,YBL099W
186,YBL100C
187,YBL100W-B
188,YBL100W-B
189,YBL100W-C
190,YBL101C
191,YBL102W
192,YBL103C
193,YBL104C
194,YBL105C
195,YBL106C
196,YBL107C
197,YBL113C
198,YBL113C
199,YBR001C
200,YBR002C
201,YBR003W
202,YBR004C
203,YBR005W
204,YBR006W
