"","112B","112C","115B","115C","117B","117C","123B","123C","141B","141C","152B","152C","29B","29C","50B","50C","112A","115A","117A","123A","141A","152A","29A","50A","AncB","AncA","AncC"
"21S_rRNA",4.44854516926957,8.63669538385111,4.94023999598719,9.12084459772294,9.16546640173791,8.51090470944531,6.80000568737989,9.07690055078385,2.39464319992499,4.54341276606871,0.39373531423084,2.71968111005391,3.05962471396874,1.0437590007568,3.08454968497347,1.98756048348947,3.99483377369929,3.02216590391406,6.77930565447891,5.29747962295134,6.32457110196584,1.12644141352537,3.29569908405368,7.53934712304356,2.30789332738923,5.62441055021649,4.87209263117241
"HRA1",-1.33759393371394,-4.88506506524608,-2.83313986172082,-3.48918856742911,-4.88506506524608,-3.12112977727091,-4.88506506524608,-4.88506506524608,-2.68645746590294,-2.95588284417167,-2.41553511178806,-1.8064353230005,-3.14657022187244,-2.25038782713745,-4.88506506524608,-4.88506506524608,-4.88506506524608,-3.17280834982158,-3.07138838224465,-4.88506506524608,-2.84780380896159,-0.967262372560723,-4.88506506524608,-1.7070374833865,-4.88506506524608,-3.28630610035743,-4.88506506524608
"ICR1",2.03721536246164,1.53013897030411,2.55839586757998,0.709275346817327,2.83442325342116,1.6764607667017,2.67945340427122,1.6328516433235,2.74771100060588,2.31496463682274,2.9085716700762,2.82606680967076,2.32655769955791,0.530520946969056,2.0744795554219,2.24854152564858,2.88532839735801,2.35586139411117,2.45463978529449,2.60692049669385,3.3663644556001,1.85443394625343,0.910928876842453,2.22201292408691,3.22462203513674,2.68236530663215,2.51493816673987
"LSR1",6.03798702966958,8.39960837371055,6.08232755534919,8.61342446869926,8.00929685013389,7.24715951175018,6.12545171418387,7.53147619946031,3.2122688369367,4.31449455592061,2.73083098300494,3.14661728317263,4.48634959010172,2.73250197651901,5.26225870074569,3.3684964936039,4.47627971953006,5.16744333337603,6.966714823502,6.10032695083676,5.17418722284164,3.38161378219679,4.42719006780448,7.39502190812658,2.63651770002678,4.98574509752812,4.54798790849585
"NME1",0.951210203123499,4.34985282621008,0.79709892448177,4.75366782982693,0.872623503502232,2.47199264215184,1.39504063738855,1.60149258450645,0.172959074070339,-0.97414410433959,-0.87349994457266,0.299951217602891,0.691982129338121,-0.273501573094002,2.13672196746004,-0.562282837451901,1.37410305970627,1.60345737366908,2.52033012565419,2.64623224363082,1.90541818390624,0.770246665891968,0.761808023162864,3.58754578629191,-1.29903289793648,0.626977970512206,1.89396324613139
"PWR1",-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608
"Q0010",-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-3.20619083584914,-4.88506506524608,-4.88506506524608
"Q0017",-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608
"Q0032",-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608,-4.88506506524608
"Q0045",0.809475860713868,3.51740445896697,0.882908004874896,3.53270353590172,4.2337376519569,3.09567105156036,1.80542962593584,3.49012919244191,-4.88506506524608,-0.727184142770511,-3.55572462096761,-1.8064353230005,-3.14657022187244,-2.25038782713745,-0.758967276275355,-4.88506506524608,-1.86946392549019,-1.91601785744918,1.78190186012924,0.173356583557505,1.97775461590165,-1.87483256152501,-1.54971660702265,1.72386634040436,-4.88506506524608,-0.110291433233005,0.119081651655331
"Q0050",1.45818808213243,5.15944585023205,2.23853838046793,5.31620096891358,5.04489713608326,4.77409314538981,3.25594500678372,5.08924855392148,-0.640801731075734,1.48026679106874,-2.41553511178806,-1.27955000609024,1.26683546041537,-4.88506506524608,-0.201811684779165,-2.00981944197667,0.776253114289692,-1.01121458599047,2.99101864870176,1.69207588012613,-0.884538895410696,-1.5891689227165,-0.766686867172965,3.14452918108052,-1.05616131397608,1.821881967391,1.72057059247361
