chr,tracking_id,SCA1_0,SCA1_2,SCA1_1,SC001_0,SC001_1,SC001_2,SC002_0,SC002_2,SC002_1,SC003_2,SC003_0,SC003_1,SC004_0,SC004_1,SC004_2,SC005_2,SC005_0,SC005_1,SC006_0,SC006_1,SC006_2,SC007_0,SC007_1,SC007_2,SC008_0,SC008_1,SC008_2,SC009_2,SC009_0,SC009_1,SC011_0,SC011_1,SC011_2,SC015_0,SC015_1,SC015_2,SC028_0,SC028_2,SC028_1,SC088_0,SC088_1,SC088_2,SC108_0,SC108_1,SC108_2,SC119_0,SC119_2,SC119_1
1 , HRA1,5.32356,10.4575,2.50911,8.59685,3.67257,8.80086,5.66043,7.38912,6.53635,4.69153,13.7692,9.7864,7.82139,8.61088,9.66682,10.686,9.75864,2.0763,13.6839,3.98989,13.4534,6.11252,9.03463,11.6169,11.6723,10.5891,2.97807,8.73869,10.623,10.5666,7.37079,8.29217,6.54586,4.03436,2.98541,8.99086,13.4786,12.1686,7.97249,9.25926,7.72135,3.03236,15.2447,16.1365,20.1783,5.03968,5.81128,11.158
9 , ICR1,2.42058,4.60813,3.18703,4.27214,2.2424,3.08789,1.96639,2.50678,2.48612,2.01769,1.80442,1.93573,1.6939,1.67397,3.16291,3.85039,3.82779,7.90677,2.7477,5.03428,4.09108,2.46441,2.79475,3.21615,2.48747,2.28035,3.9048,3.08229,3.13031,2.91436,3.81292,3.5304,3.17862,5.1956,14.2821,5.07544,2.39979,3.7011,3.02828,3.65889,3.711,3.16001,1.71232,1.30669,1.86459,4.96531,3.55324,4.81047
2 , LSR1,51.2634,98.332,65.4375,78.3117,123.928,87.3234,60.9962,75.9496,63.3165,64.174,38.6583,46.4881,46.9311,35.6106,21.9696,49.4518,78.0624,72.4061,65.377,98.4075,68.2113,70.5977,76.0725,67.6271,64.1442,62.7286,88.5616,66.6183,57.9821,57.8711,58.0914,46.1868,51.59,66.7799,52.6477,60.9651,42.6848,73.3388,55.4459,155.468,86.9418,72.5312,14.1993,23.38,15.9202,42.6735,69.7833,117.232
14 , NME1,20.1748,36.1547,39.0363,28.9787,42.1726,42.0375,36.1288,27.0491,34.9563,41.7086,19.1267,15.2255,35.2242,34.608,10.0263,36.4584,29.7692,16.1513,18.7845,17.5876,34.8841,35.6615,39.0442,23.8469,31.7792,38.4401,41.4182,39.2178,46.8267,53.4278,32.3438,27.9517,27.4183,32.8773,19.3527,18.6504,29.5727,24.1286,42.723,46.4173,36.7055,40.8866,12.7057,11.6226,5.12959,16.6316,26.6596,49.7637
9 , PWR1,3.0124,4.8843,3.28134,2.5296,3.34485,4.77038,2.77595,2.98424,3.00517,0.657369,3.13514,3.35957,2.01884,2.32259,6.63703,4.41309,4.78577,2.64744,2.76325,3.52205,5.73714,2.74785,2.36304,4.51021,2.57591,3.89478,1.99157,3.46142,4.94918,3.3683,6.3953,6.50654,4.44486,3.67437,6.58837,7.34872,4.06775,2.45727,1.82458,7.56811,4.20739,2.6768,2.40306,0.659464,2.32841,4.49368,3.5076,7.00421
12 , RDN18-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 , RDN18-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 , RDN25-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 , RDN25-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 , RDN37-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
