sample_id	file	total_mass	internal_scale	external_scale
SCA1_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SCA_1_raw_trimmed_tophat_out/accepted_hits.bam	6.3933e+06	0.911864	1
SCA1_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SCA_3_raw_trimmed_tophat_out/accepted_hits.bam	6.00224e+06	0.885371	1
SCA1_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SCA_2_raw_trimmed_tophat_out/accepted_hits.bam	5.80968e+06	0.745193	1
SC001_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC001_1_raw_trimmed_tophat_out/accepted_hits.bam	6.223e+06	0.707881	1
SC001_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC001_raw_trimmed_tophat_out/accepted_hits.bam	4.78488e+06	0.882942	1
SC001_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC001_2_raw_trimmed_tophat_out/accepted_hits.bam	5.80637e+06	0.794858	1
SC002_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC002_1_raw_trimmed_tophat_out/accepted_hits.bam	6.3215e+06	0.8551	1
SC002_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC002_2_raw_trimmed_tophat_out/accepted_hits.bam	5.72191e+06	0.90276	1
SC002_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC002_3_raw_trimmed_tophat_out/accepted_hits.bam	5.79672e+06	0.858868	1
SC003_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC003_1_raw_trimmed_tophat_out/accepted_hits.bam	5.03152e+06	0.768717	1
SC003_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC003_2_raw_trimmed_tophat_out/accepted_hits.bam	5.42586e+06	0.766775	1
SC003_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC003_3_raw_trimmed_tophat_out/accepted_hits.bam	3.90665e+06	0.557957	1
SC004_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC004_1_raw_trimmed_tophat_out/accepted_hits.bam	5.69838e+06	0.891642	1
SC004_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC004_2_raw_trimmed_tophat_out/accepted_hits.bam	5.49345e+06	0.869983	1
SC004_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC004_3_raw_trimmed_tophat_out/accepted_hits.bam	5.92554e+06	0.76755	1
SC005_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC005_1_raw_trimmed_tophat_out/accepted_hits.bam	5.4082e+06	0.646449	1
SC005_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC005_2_raw_trimmed_tophat_out/accepted_hits.bam	5.97311e+06	0.899645	1
SC005_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC005_3_raw_trimmed_tophat_out/accepted_hits.bam	5.4738e+06	0.655382	1
SC006_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC006_1_raw_trimmed_tophat_out/accepted_hits.bam	3.8517e+06	0.458826	1
SC006_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC006_raw_trimmed_tophat_out/accepted_hits.bam	5.84404e+06	0.948479	1
SC006_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC006_3_raw_trimmed_tophat_out/accepted_hits.bam	5.36004e+06	0.631008	1
SC007_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC007_1_raw_trimmed_tophat_out/accepted_hits.bam	5.27531e+06	0.729602	1
SC007_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC007_2_raw_trimmed_tophat_out/accepted_hits.bam	5.50022e+06	0.615159	1
SC007_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC007_3_raw_trimmed_tophat_out/accepted_hits.bam	6.80597e+06	0.766638	1
SC008_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC008_1_raw_trimmed_tophat_out/accepted_hits.bam	5.36851e+06	0.634984	1
SC008_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC008_2_raw_trimmed_tophat_out/accepted_hits.bam	5.53686e+06	0.702946	1
SC008_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC008_raw_trimmed_tophat_out/accepted_hits.bam	9.29611e+06	1.37919	1
SC009_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC009_1_raw_trimmed_tophat_out/accepted_hits.bam	5.42938e+06	0.701172	1
SC009_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC009_2_raw_trimmed_tophat_out/accepted_hits.bam	5.20162e+06	0.705377	1
SC009_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC009_3_raw_trimmed_tophat_out/accepted_hits.bam	8.35282e+06	1.11278	1
SC011_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC011_1_raw_trimmed_tophat_out/accepted_hits.bam	5.34249e+06	0.658783	1
SC011_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC011_2_raw_trimmed_tophat_out/accepted_hits.bam	6.61199e+06	0.894213	1
SC011_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC011_3_raw_trimmed_tophat_out/accepted_hits.bam	5.49256e+06	0.731841	1
SC015_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC015_1_raw_trimmed_tophat_out/accepted_hits.bam	4.9453e+06	0.640533	1
SC015_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC015_2_raw_trimmed_tophat_out/accepted_hits.bam	4.98839e+06	0.754566	1
SC015_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC015_3_raw_trimmed_tophat_out/accepted_hits.bam	4.9347e+06	0.620768	1
SC028_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC028_1_raw_trimmed_tophat_out/accepted_hits.bam	5.50053e+06	0.714967	1
SC028_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC028_2_raw_trimmed_tophat_out/accepted_hits.bam	5.55255e+06	0.689768	1
SC028_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC028_3_raw_trimmed_tophat_out/accepted_hits.bam	5.05379e+06	0.507692	1
SC088_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC088_1_raw_trimmed_tophat_out/accepted_hits.bam	4.13467e+06	0.601757	1
SC088_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC088_2_raw_trimmed_tophat_out/accepted_hits.bam	6.04444e+06	0.877549	1
SC088_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC088_3_raw_trimmed_tophat_out/accepted_hits.bam	4.11221e+06	0.615639	1
SC108_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC108_1_raw_trimmed_tophat_out/accepted_hits.bam	5.23449e+06	0.677016	1
SC108_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC108_2_raw_trimmed_tophat_out/accepted_hits.bam	6.33364e+06	0.823607	1
SC108_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC108_3_raw_trimmed_tophat_out/accepted_hits.bam	6.33039e+06	0.91532	1
SC119_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC119_1_raw_trimmed_tophat_out/accepted_hits.bam	5.79247e+06	0.80819	1
SC119_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC119_2_raw_trimmed_tophat_out/accepted_hits.bam	6.09146e+06	0.83975	1
SC119_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/SC119_3_raw_trimmed_tophat_out/accepted_hits.bam	5.23506e+06	0.825626	1
X112_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_MA_112_S8_R1_001_trimmed_tophat_out/accepted_hits.bam	8.85337e+06	1.20726	1
X112_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_112B_S28_R1_001_trimmed_tophat_out/accepted_hits.bam	7.66149e+06	1.1583	1
X112_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_112C_S25_R1_001_trimmed_tophat_out/accepted_hits.bam	7.88019e+06	1.03742	1
X115_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_MA_115_S9_R1_001_trimmed_tophat_out/accepted_hits.bam	9.13245e+06	1.49463	1
X115_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_115B_S29_R1_001_trimmed_tophat_out/accepted_hits.bam	6.50248e+06	1.05064	1
X115_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_115C_S26_R1_001_trimmed_tophat_out/accepted_hits.bam	6.38036e+06	0.876339	1
X117_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_MA_117_S10_R1_001_trimmed_tophat_out/accepted_hits.bam	8.29651e+06	1.29782	1
X117_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_117B_S30_R1_001_trimmed_tophat_out/accepted_hits.bam	7.47548e+06	1.0624	1
X117_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_117C_S27_R1_001_trimmed_tophat_out/accepted_hits.bam	6.48848e+06	0.956271	1
X11_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly-GC-11-redo_S6_R1_001_trimmed_tophat_out/accepted_hits.bam	6.39013e+06	1.0749	1
X11_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_11B_S15_R1_001_trimmed_tophat_out/accepted_hits.bam	9.2797e+06	1.30154	1
X11_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_11C_S12_R1_001_trimmed_tophat_out/accepted_hits.bam	8.43765e+06	1.03203	1
X123_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_MA_123_S11_R1_001_trimmed_tophat_out/accepted_hits.bam	8.39554e+06	1.26856	1
X123_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_123B_S31_R1_001_trimmed_tophat_out/accepted_hits.bam	8.84426e+06	1.49717	1
X123_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_123C_S28_R1_001_trimmed_tophat_out/accepted_hits.bam	8.34541e+06	1.23879	1
X152_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_MA_152_S13_R1_001_trimmed_tophat_out/accepted_hits.bam	1.0314e+07	1.81515	1
X152_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_152B_S33_R1_001_trimmed_tophat_out/accepted_hits.bam	1.19524e+07	1.98112	1
X152_2	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_152C_S30_R1_001_trimmed_tophat_out/accepted_hits.bam	1.1292e+07	1.61805	1
X18_0	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly-GC-18-redo_S7_R1_001_trimmed_tophat_out/accepted_hits.bam	7.4714e+06	1.23555	1
X18_1	/scratch/hcm14449/DC_MAoldRedoJune2019/tophat/tophat_update/Holly_18B_redo_S13_R1_001_trimmed_tophat_out/accepted_hits.bam	6.84479e+06	0.856987	1
