"","chr","tracking_id","ratio","l2All[, 3]","l3All[, 3]","l4All[, 3]","l5All[, 3]","l7All[, 3]","l8All[, 3]","l9All[, 3]","l11All[, 3]","l18All[, 3]","l49All[, 3]","l59All[, 3]","l61All[, 3]","l69All[, 3]","l76All[, 3]","l77All[, 3]"
"546","1","YAR035C-A",-0.989233908505019,0.106004367757388,-0.414179792221302,0.0414692128563087,-0.618981783536937,-1.46344898588921,0.0752684489918982,0.211449238736507,-0.214997425375351,-0.0868555491265126,-0.268604314827601,-0.807373358362245,0.195691914729844,0.347934705767148,-0.0186688454624776,-0.210989202899002
"504","1","YAL054C",-2.1269182623369,0.204413091012031,-0.338623386452894,0.103614344611245,-0.26503563578689,-1.0230076870129,0.182524475566126,0.550382654960793,-0.269253617763372,-0.137544022741425,-0.193981965692114,-0.788361254111897,0.207019020348063,0.342746373278853,-0.0473919591423049,-0.248575874575794
"512","1","YAL061W",-2.9427401134975,0.157139597101028,-0.365002979813227,0.0261198907237095,-0.558636882832428,-0.438393329914419,0.231241129230071,0.145615450653438,-0.234119996447388,-0.194170925059785,-0.372985757545038,-0.85629979143764,0.253643021633636,0.20308478225173,0.407009396568503,-0.128291139774739
"547","1","YAR035W",-1.3378755857848,0.176122656746731,-0.227832593758031,0.0533123221003326,-0.346133007407827,-0.294746409441109,0.245677521400375,0.392060020020877,-0.157114242617185,-0.0912359494253807,-0.119341820297751,-0.724686552404276,0.35076956875365,0.376904212337584,-0.0397994373436276,-0.238172692032105
"489","1","YAL040C",-3.8021241085713,0.105843156955579,-0.379604380672766,0.0290644828675696,-0.415762488031894,-0.77037716822282,0.259382823924168,0.35493487011685,-0.209709005030318,-0.252079787754624,-0.247103803889335,-0.509927177176336,0.423042652468358,0.140540348363415,-0.0130758625792502,-0.327895113158813
"513","1","YAL062W",-1.41987091591691,0.0912850946685964,-0.462555114801707,0.0497987516736918,-0.358462777343329,-0.991559622152065,0.180934094056102,0.251184303589085,-0.0818957050832427,-0.217090486423616,-0.190541060511679,-0.580588491460858,0.49611606142273,0.341180121869744,-0.0403145697606307,-0.200290401344523
"526","1","YAR002C-A",-2.14308298411345,0.0875633453679282,-0.334956806218611,0.0174142695956198,0.191687385824078,-0.994388790113843,0.320602845556051,0.168388751366314,-0.0731142927187292,-0.108100899957253,0.0251045818208549,-0.340016718924277,0.45830400301104,0.273074548094304,-0.0699790328589441,-0.417886777233012
"511","1","YAL060W",-1.12669583721729,0.0578980635517305,-0.610502400411203,0.0855825543885833,-0.278894052177532,-0.820144929314271,0.117213317655572,0.139109306740098,-0.273170408848879,-0.244316289072028,0.385845075994022,-0.649978297311047,0.321607306212183,0.220192848153623,-0.000199868535116705,-0.409519552545578
"464","1","YAL021C",-2.85654367971978,0.0853700265441655,-0.643670000497951,0.0448143239300088,-0.338214630891244,-1.92333499393808,0.259865887538134,0.152000798861478,-0.17448881831921,-0.107876544312339,-0.202252331719922,-0.756847773620806,0.654874847238929,0.14732805537801,-0.0434900426023855,-0.251075871003123
"535","1","YAR018C",-1.4845218722942,0.0451808244526936,-0.439946207523843,0.0791382424771437,-0.172998376778716,-2.06245286169021,0.257063501675398,0.160567174172746,-0.289203057398351,-0.228828824419476,-0.128838771338552,-0.54723467493804,0.21793233590546,0.136745846976823,-0.0291217632640104,-0.554408800614456
"529","1","YAR007C",-1.19730351216179,0.140864818846687,-0.800477497160855,0.0133156963191168,-0.318545499621033,-0.904327965998098,0.229338406024448,0.134291307720277,-0.322599804166242,-0.187206107314584,-0.180473465178552,-1.34250596811835,0.607562410769144,0.137907157554718,0.0164116767039167,-0.164169846498341
"534","1","YAR015W",-0.539646788504493,0.148092673383485,-0.326180365234308,0.0994636467546884,-0.383744783975619,-1.95940518224002,0.149846602805908,0.0869927705342887,-0.195493064510779,-0.160533469085482,-0.0829949134606341,-1.5472016486806,0.430734270495206,0.11769895573108,-0.0636464363222969,0.47881586451326
"450","1","YAL010C",-0.918268989056441,0.208975922212362,-0.708124238397333,0.00856938640544986,-0.291481917650304,-0.796704150438007,0.106110543649521,0.283945833539544,-0.458523654148424,-0.190004653202166,-0.201210778955102,-0.702909892376878,0.33535703440885,0.113682117767331,-0.0597774884724222,-0.321041709805694
"442","1","YAL001C",-1.26418483701235,0.163009916497166,-0.514524315538536,-0.0104025881245382,-0.446486289227443,-1.65058805646519,0.533928174260535,0.281656649993554,-0.141944019908457,-0.11873407350893,0.361923497690056,-1.6645449646483,0.295251649572472,0.669649814244494,-0.0179736043907554,-0.252492253796809
"493","1","YAL043C",-0.762837260526974,0.117894414959618,-0.440747782508469,0.0309672867546873,-0.560358929101791,-1.15296905687793,0.685861950745447,0.37146522879705,-0.356891159590055,-0.124272331597576,-0.131577622268076,-0.467630478458577,0.256093405878893,0.222932269130183,-0.0652365513559968,-0.275713751468755
"506","1","YAL056C-A",-1.58817096816963,0.197654615531946,-0.435303534650926,0,0.219039168909155,-1.00162950665221,0.124872820511295,0.335962519829941,-0.228417946596296,-0.147025676587219,-0.253983744750534,-1.45086687438723,0.209991294282262,0.250222632248928,-0.0218771078158758,-0.269269291631089
"469","1","YAL026C",-0.816058416592328,0.110041051645407,-0.413850041068123,0.0420359033025412,-0.603575769003848,-1.18697639362739,0.0756918926870489,0.224110241628625,-0.212497013917511,-0.0859389789404343,-0.268153044647501,-0.786244859101996,0.199024283531299,0.351967803250839,-0.0158767138276021,-0.206417316886974
"499","1","YAL047W-A",-1.99520101499301,0.207517331738334,-0.336963429482054,0.103867843608098,-0.260809994723996,-1.00881804745397,0.18414282127242,0.553018614322621,-0.267498431224082,-0.136245168670394,-0.191178337089591,-0.788191335074939,0.209063720784736,0.343173342448008,-0.0466321824979851,-0.245668023225741
"533","1","YAR014C",-2.05513267299593,0.160685104477442,-0.364946189113049,0.0262323213403462,-0.553604743882845,-0.434489762931932,0.231782534734785,0.145631311146803,-0.234024078428945,-0.193409493208292,-0.368104958248241,-0.837687949670622,0.254862324335317,0.20443321742133,0.408290224398326,-0.127451223900937
"466","1","YAL023C",-0.716158608814026,0.18059489563543,-0.226556019804162,0.0540715588293571,-0.344545044047008,-0.287675374228753,0.247340261698128,0.422138277721737,-0.155658165199916,-0.0911929458564905,-0.118367960578372,-0.683735288823013,0.352331104223583,0.389254075717288,-0.0379064348410337,-0.236880763149772
"539","1","YAR023C",-2.68754936443216,0.107581427075502,-0.371349521583217,0.0299508427382993,-0.40834099295446,-0.676135035612451,0.263524574855876,0.367016814698178,-0.206520342134559,-0.250817056008785,-0.24024496973822,-0.505128371795661,0.425252126434538,0.140716253658338,-0.0130474310590125,-0.320024313505783
"483","1","YAL036C",-0.716158608814026,0.0922537591547785,-0.458547850662124,0.0505216895985326,-0.353533166318059,-0.972942576974061,0.181528772785397,0.258238580526937,-0.0817193334334462,-0.215387862852278,-0.190233108470643,-0.569277693594753,0.504783254600034,0.342092095475789,-0.0399659886193428,-0.197015580392205
"487","1","YAL038W",-2.04938725648777,0.08800767240031,-0.333262270868492,0.0179910745143955,0.197845816762514,-0.984376628885127,0.323763978551785,0.175722154191681,-0.0710934782438967,-0.107569206205047,0.0255608901731328,-0.33652280183379,0.458861742850254,0.274600249002173,-0.0694321688085528,-0.412759160878726
"494","1","YAL044C",-1.09341285309461,0.058882397341197,-0.608987987116438,0.0857960292709143,-0.274023206656112,-0.782176615327192,0.12001042445005,0.151990678083105,-0.269527631337857,-0.237305530226544,0.386763834878371,-0.619826502232153,0.324343559350391,0.22236296165414,0,-0.408244891485831
"560","1","YAR071W",-2.04118054099981,0.0857610633985722,-0.643021467712547,0.0477717887302359,-0.335238732441526,-1.86993836567485,0.261458766980154,0.155189040616171,-0.170380459935917,-0.105297103309692,-0.201575046667563,-0.749022829588237,0.658091189966708,0.14828321069475,-0.0420810706192727,-0.246778618138982
"476","1","YAL031W-A",-0.820520227291749,0.0474432240316838,-0.438474945146099,0.0794669577688633,-0.168342414768891,-1.97703761661015,0.257245756381126,0.165539144021221,-0.286493342944016,-0.219230363846643,-0.12850858538952,-0.527383848047608,0.218225628496498,0.138788606459904,-0.0289314963848275,-0.553413799154451
"468","1","YAL025C",-1.02620485568814,0.14120653690689,-0.795327212620377,0.0143362540057737,-0.314707615250307,-0.890056677357543,0.23025527991665,0.13451183135508,-0.317756050574947,-0.184203931712607,-0.180268832924262,-1.33870113586072,0.611638414504698,0.138877637222508,0.0167508559096999,-0.163053236168311
"545","1","YAR033W",-0.538092142272481,0.150256322644494,-0.325894619187239,0.0998073735285409,-0.375679451114517,-1.84917529034228,0.151607121824655,0.0904031075525465,-0.191733297541343,-0.160308763457587,-0.0821450356187448,-1.35150710399721,0.433129669650747,0.118899616898211,-0.0602167140081841,0.487947948671243
"486","1","YAL037W",-0.821772398143332,0.216081564808425,-0.702354136909123,0.00875228377185441,-0.28045824669081,-0.780989488493035,0.106872577229604,0.283966717867115,-0.442093319494412,-0.185851471483917,-0.196597345078778,-0.662832479488054,0.338398473732326,0.113919711724053,-0.0553360474252731,-0.320842296718636
"460","1","YAL018C",-0.573872774729675,0.163232642046964,-0.511837875581213,-0.00998452873329212,-0.446326280992785,-1.63019225456903,0.535329800128235,0.281853110033756,-0.141165543772844,-0.115579683705255,0.362403563155092,-1.63252038150461,0.295286170339218,0.674658989470333,-0.0170408682664524,-0.251401295060334
"514","1","YAL063C",-0.728901271365896,0.118227658575484,-0.429821308347416,0.0316502723389392,-0.560084632719016,-1.01994567721832,0.687164201157063,0.374555370621021,-0.354906242577168,-0.123850955983616,-0.131198786718285,-0.457415645845743,0.256362429192407,0.22480374571677,-0.0650586457581493,-0.27443344566784
