"","Holly_59A","Holly_59B","Holly_59C","Holly_Anc_A","Holly_Anc_B","Holly_Anc_C"
"YAL001C",1025.48509916979,966.64461944246,1108.35928534122,1015.32078238376,1042.32542301023,970.716764311705
"YAL002W",484.870390479255,607.952590844315,727.498773944088,512.818043932579,612.146065001988,577.056656522241
"YAL003W",3285.7594356989,2620.275666539,2471.72952179183,2160.31969081943,2002.47233318458,2171.55531270212
"YAL005C",3095.38733010943,9206.8340357463,10564.7394031031,3863.08190278522,8360.40584667098,6098.81134352757
"YAL007C",645.792667579746,595.793539027428,534.308659467282,754.490915211151,608.791839988278,781.479561160687
"YAL008W",1162.21644572576,774.531600735657,585.090060986899,1374.88285916407,794.951328249157,827.036665622969
"YAL009W",206.14879942285,181.169872071606,153.448148070149,261.566674706991,194.545050795152,219.608606125873
"YAL010C",373.381754056693,283.305907333451,236.243911417352,393.455223362065,307.750145007849,339.926087141644
"YAL011W",173.543632167195,133.749569985749,187.670396920326,187.149113734016,166.872694432049,197.414119336556
"YAL012W",200.88990147839,431.646339499463,1005.69253879069,174.623385649456,677.553452769323,524.490766758069
"YAL013W",364.967517345557,528.918754034554,579.570343430419,380.192687743119,633.9485275911,531.499552059959
"YAL014C",317.637435845412,400.032804775559,373.13290681806,253.461791828746,346.323732665508,370.297490116499
"YAL015C",404.935141723456,475.418926040254,418.394590781198,409.664989118555,441.91914555623,426.367772531615
"YAL016C-B",11.569575477813,15.8067673619522,38.6380228953613,22.1042260315767,11.7397875479833,17.5219632547239
"YAL016W",3497.16713306621,2987.47903140896,2457.37825614498,3141.74732662143,2669.12455465935,2551.1978498878
"YAL017W",1200.08051092588,1208.6097505985,1576.43133413074,994.690171420951,1300.60074906587,1221.86490429608
"YAL019W",410.194039667917,556.884573213392,697.692299139095,416.296256928028,508.165089576993,519.818243223476
"YAL020C",80.9870283446912,175.090346163163,182.150679363846,104.626669882796,176.09681321975,168.21084724535
"YAL021C",1382.03837980421,1467.59755429818,1297.13362577284,1097.84322623498,1576.48575644348,1332.83733824267
"YAL022C",175.64719134498,273.578665879942,298.06474804993,222.515875384539,257.436769802206,281.519542959231
"YAL023C",1346.27787378188,1456.65440766298,1488.11585322706,949.744911823412,1665.37271930678,1586.32173999434
"YAL024C",254.530660511887,203.056165342001,250.5951770642,215.884607575066,221.378850904828,225.449260544114
"YAL025C",546.925386223889,527.702848852865,517.749506797841,598.287717921343,556.801352275781,477.765531412139
"YAL026C",379.692431590046,383.010132231918,567.426964806163,366.930152124173,441.080589302802,418.190856346078
"YAL027W",220.87371366734,166.579009891342,162.279696160517,291.038976082426,208.800507103418,204.422904638446
"YAL028W",103.074399711425,158.067673619522,194.294057988102,126.730895914373,185.320932007451,209.095428173039
"YAL029C",510.113100612665,566.611814666901,811.398480802587,456.083863784866,608.791839988278,578.224787405889
"YAL030W",694.174528668782,707.656815742782,648.014841130773,815.64594056518,686.777571557025,759.28507437137
"YAL031C",358.656839812204,359.907933779834,356.57375414862,314.616817182775,360.579188973774,367.961228349202
"YAL032C",319.740995023196,328.29439905593,295.856861027338,374.298227468032,386.574432830022,387.819453371223
"YAL033W",109.385077244778,92.4087938083358,108.186464107012,151.782352083493,127.460550520962,99.2911251101022
"YAL034C",1923.70486808364,1671.86962482187,1485.90796620447,1418.35450369284,1576.48575644348,1473.01304428046
"YAL034W-A",211.407697367311,159.28357880121,143.512656468485,260.093059638219,176.935369473177,195.07785756926
"YAL035W",1317.87982488179,1412.88182112219,2079.82957528173,1128.78914267918,1511.07836867614,1630.71071357297
"YAL036C",321.844554200981,436.509960226218,440.473461007119,349.246771298912,437.726364289093,434.544688717153
"YAL037W",113.592195600346,86.3292678998927,68.4444977003543,112.731552761041,106.496644185277,88.7779471572679
"YAL038W",3980.98574395657,1463.94983875311,942.767758646815,1567.18962563879,1213.39089870942,877.266293619844
"YAL039C",472.24903541255,881.531256724256,1399.80037232337,621.128751487305,1023.0386291814,793.160869997169
"YAL040C",1681.79556263846,1237.79147495902,972.574233451808,1151.63017624515,1142.11361716809,1414.60650009804
"YAL041W",375.485313234477,412.191856592445,449.305009097487,369.877382261717,443.596258063084,449.730390204581
"YAL042W",764.643761124552,1156.32582778589,1427.39896010578,863.538430300263,1451.5408746828,1213.68798811054
"YAL043C",565.857418823946,587.282202755608,553.075699159314,411.138604187327,545.900120981225,588.737965358724
"YAL044C",2968.12199985349,4671.50770804771,2239.90138441966,3863.08190278522,2672.47877967306,1878.3544609064
"YAL044W-A",285.032268589757,217.647027522265,139.096882423301,215.884607575066,202.092057075999,193.909726685611
