"","locus","tracking_id","SCA1_0","SCA1_1","SCA1_2","SC001_0","SC001_1","SC001_2","SC002_0","SC002_1","SC002_2","SC004_0","SC004_1","SC004_2","SC005_0","SC005_1","SC005_2","SC006_0","SC006_1","SC006_2","SC011_0","SC011_1","SC011_2","X112_0","X112_1","X112_2"
"3","I","HRA1",6.12643,3.17452,11.6217,4.40263,9.43958,9.93373,6.49993,7.49467,8.31163,8.90974,9.57274,10.7835,10.8785,2.6934,11.9414,15.1225,4.66094,14.8851,8.28791,9.32691,7.51045,16.8452,4.24793,14.956
"5","II","LSR1",54.6798,70.2513,105.077,132.191,81.9338,94.1029,65.1546,68.2563,80.7924,50.9614,38.0207,23.8712,83.5209,76.9897,53.4476,70.3614,103.126,73.4353,61.8789,49.6653,55.7515,32.7756,90.1216,887.752
"6","XIV","NME1",21.8226,42.1096,38.9509,45.3144,30.6341,45.5604,38.7957,37.9075,29.0957,38.3739,36.9643,11.166,32.1601,17.5623,39.5357,20.573,18.8416,37.8,34.6741,30.2542,29.8643,23.3865,17.2861,369.42
"50","XIII","RNA170",91.6871,38.0663,33.9747,47.4854,28.7522,42.3441,19.9481,64.9747,29.5441,75.1041,48.2884,43.8328,26.2252,18.9851,0.5,0.5,53.1002,26.8547,50.9872,0.5,45.9472,34.9376,108.18,48.5905
"52","V","RPR1",7.96949,14.9244,14.2102,13.7301,13.9998,7.99791,5.47834,5.21552,2.4826,8.1389,4.41454,4.93695,8.40221,14.6955,12.1918,11.6336,6.7835,9.94484,6.96189,4.30847,3.99009,14.6046,21.0811,451.055
"53","VI","RUF20",47.9039,50.66,67.2471,59.8908,34.032,31.0433,66.9777,43.7906,52.8972,53.6277,39.9765,33.6729,54.543,78.8244,85.4288,84.3855,41.7038,74.6333,64.3172,55.4615,51.4736,42.1908,98.6527,62.7146
"56","VI","RUF23",12.6976,3.01251,3.48514,13.0699,3.01942,0.5,13.5073,25.1412,10.8602,2.99484,0.5,9.19456,3.94112,17.8085,3.89421,0.5,16.9174,7.55064,20.7601,7.963,3.5396,4.18522,6.26148,4.78852
"59","V","SCR1",140.486,188.029,400.59,326.472,169.841,132.456,125.769,153.764,143.928,82.0919,60.524,24.9226,84.0413,165.209,50.214,87.0749,411.776,94.5734,144.807,74.3705,109.666,118.804,195.476,8993.89
"141","V","SRG1",270.28,610.76,592.629,538.261,415.413,241.503,323.612,254.865,354.602,210.293,172.231,45.2959,982.574,377.681,970.382,607.135,268.066,686.156,439.782,504.937,353.422,65.2589,173.238,99.534
"299","II","TLC1",24.058,30.4978,32.2971,54.0202,15.2453,19.6638,57.7475,39.8709,81.2952,11.305,8.7307,75.9811,39.7723,125.534,40.2302,44.7651,26.992,61.3656,80.736,74.7531,49.5996,143.497,17.4723,64.1264
"442","I","YAL001C",17.773,20.0146,19.2943,14.368,24.1203,18.7238,15.399,18.0439,18.8896,20.905,23.5193,19.9406,20.1404,25.2822,18.4746,16.6656,21.1083,19.5147,18.5805,18.5043,21.9027,18.0641,17.9025,14.9254
"443","I","YAL002W",11.8963,14.3349,15.8239,8.64951,17.8635,11.2872,10.11137,12.4489,11.8634,11.8003,12.672,15.1201,16.9421,15.2573,16.1754,13.9343,17.4136,13.963,8.83703,13.5795,14.0518,15.0973,9.09645,14.1353
"444","I","YAL003W",1155.53,945.087,1223.47,2143.64,560.622,602.955,1794.21,1226.12,1853.45,333.676,349.028,1609.99,1046.75,1064.69,822.761,1267.93,894.465,1373.42,1780.98,1397.27,1263.49,3458.24,632.411,1427.69
"445","I","YAL004W",1185.9,335.668,474.834,608.032,278.881,1339.83,1193.38,1177.26,930.692,245.975,283.765,904.623,892.314,262.67,1198.48,1103.34,381.279,1064.46,1147.76,1165.75,1066.54,335.493,191.4,548.493
"446","I","YAL005C",1008.02,478.522,667.308,1021.35,341.583,953.333,941.738,857.897,975.142,196.703,220.734,918.618,988.248,937.783,1026.5,918.94,714.691,960.804,907.556,926.008,958.658,287.778,252.844,455.431
"447","I","YAL007C",56.3784,64.9275,73.6067,81.0818,46.2315,57.75,100.563,63.6866,104.974,24.5803,29.9684,77.3224,58.0044,154.383,52.3309,69.6456,47.8018,83.2808,110.923,83.6427,69.248,373.983,40.0633,111.705
"448","I","YAL008W",767.357,760.068,722.363,866.707,483.962,852.934,627.889,615.203,522.785,599.336,561.852,501.03,701.121,483.832,712.546,650.169,453.989,670.107,747.309,575.365,701.92,122.757,622.943,280.509
"449","I","YAL009W",68.0514,61.411,46.3116,79.1298,51.2121,65.2349,81.504,47.0845,59.2582,48.7751,42.5839,69.7941,47.5691,50.8205,49.1923,61.9642,51.6203,64.4025,67.341,59.1489,47.1474,49.8835,67.7752,55.1065
"450","I","YAL010C",13.7407,10.47516,13.4017,11.397,15.1874,17.6589,16.7115,13.8743,14.4276,13.1634,11.0371,33.9996,22.4628,15.4117,19.6048,20.2358,14.8797,19.8112,17.1304,16.1274,15.9285,31.9845,17.6798,25.9317
"451","I","YAL011W",10.5201,15.9317,13.4488,6.41093,23.808,11.5654,9.68736,11.9454,11.039,10.5558,10.6099,10.7353,9.48245,16.6361,9.75089,12.225,21.9274,12.0028,9.18465,11.5774,11.9348,13.7977,5.21823,14.0815
