"","chr","tracking_id","ratio","l2All[, 3]","l3All[, 3]","l4All[, 3]","l5All[, 3]","l7All[, 3]","l8All[, 3]","l9All[, 3]","l11All[, 3]","l18All[, 3]","l21All[, 3]","l31All[, 3]","l49All[, 3]","l59All[, 3]","l61All[, 3]","l66All[, 3]","l69All[, 3]","l76All[, 3]","l77All[, 3]"
"YAL054C",1,"YAL054C",-0.820776485495692,0.0234345490401872,0.261364742720411,-0.138428295698856,0.324380422008099,-0.0927508819289404,-0.486084961884277,0.182109358620848,-0.0553026623083748,0.367943064116434,0.0566250869761801,0.134722747054205,0.455967943482906,-0.700669922908947,0.198627826323643,-0.0672646588898931,-0.289708610177127,0.100533064838428,-0.211530773977262
"YAL061W",1,"YAL061W",-2.10960920782783,0.0210086162697689,0.512155587003027,-0.084953235032471,0.257919313555111,-0.0711608077763443,-0.442735285481743,0.200100981956123,-0.0294282602577447,0.0904601632324613,0.100005132077624,0.21725893288343,-0.0361347503532683,-0.392295350384609,0.139416417125584,-0.0614718241712188,-0.482098661198532,0.101953137072592,-0.134666951432383
"YAL040C",1,"YAL040C",-2.93380874582702,0.00626018523583705,0.207345910782399,-0.0605851280853274,0.344898414582716,-0.0052045332088913,-0.271537266742129,0.123070647789118,-0.0552954639678874,0.259442969105569,0.490566414538146,0.0770272374696105,-0.109421474002085,-0.897097133214266,0.251571556706777,-0.0616989045819871,-0.421659192893918,0.1898343213836,-0.0875203674351405
"YAL062W",1,"YAL062W",-1.36931680422781,-0.00725130623424816,0.455805509825991,-0.140453157974279,0.152260353131809,-0.0934045754761524,-0.513267719076706,0.254830060537047,-0.0616507168087154,0.196569663056978,0.154798119688869,0.104705488175711,-0.136797780744428,-0.469469756795097,0.120588931500394,-0.0274706344565276,-0.0920480552893899,0.201105093303907,-0.0700160347189725
"YAR002C-A",1,"YAR002C-A",-3.78731415127077,-0.0094667968383434,0.331229320507234,-0.150868262003986,0.181436905295897,-0.116971261547892,-0.0134457213655383,0.0818883898753925,-0.0246214164084021,0.374585509134232,0.140216821089399,0.083185122211389,-0.0870865330233102,-0.598267904514929,0.312805970965714,0.465304249860938,-0.362537097278575,0.249634090808541,-0.154922081819269
"YAL060W",1,"YAL060W",-1.45858365201313,0.041121899249059,0.350532295885991,-0.0674321973477578,0.11636668961017,0.496276632343235,0.140162442846575,0.228914269325006,-0.099975059111135,0.0780530218938302,0.213037007433832,0.117593402515066,-0.159715830565257,-0.500059032903771,0.215148600343211,-0.075507575593976,-0.353067823201886,0.250020906457183,-0.0901413745096114
"YAL021C",1,"YAL021C",-2.13189762114187,-0.00793282451724577,0.156703869779832,-0.193455336387538,0.222401091009521,-0.0864286133087152,-0.0082283382077341,0.164714654770048,-0.0359123404834938,0.138822133824139,0.205845281381397,0.0666492264429688,-0.0446520396272838,-0.350975447358025,0.245770785855091,-0.0193983563260661,-0.193847290159484,0.172846050803277,-0.123107056646688
"YAR018C",1,"YAR018C",-1.12246406010886,0.0306897330591346,0.226441643884342,-0.166893815154057,0.101005334640968,-0.0332671237134393,-0.327474553102175,0.17035011591868,-0.0291035526982034,0.0847372440885905,0.148563496360612,0.0750224238313291,-0.0892342290765469,-0.670753986506851,0.131096767439691,-0.0370209082299577,-0.424822942904698,0.328790840438363,-0.0651643848398628
"YAR007C",1,"YAR007C",-6.30980762643969,0.0456671458271399,0.139469694384545,-0.133442504749157,0.106029675565396,-0.0364423727988736,-0.394390156543331,0.107181267825714,0.00411621728917971,0.198284875282685,0.300336802927999,0.0598215779506215,-0.0691203624001269,-0.757450050253435,0.118576293594395,-0.0183230832757746,-0.266992152223463,0.112849115359629,-0.0526662599407361
"YAL010C",1,"YAL010C",-1.4919018621792,0.0683401590288923,0.242265016348615,-0.221923521397725,0.102163088877552,-0.0860531350086559,-0.48544588091525,0.115373673410366,-0.0465037057241597,0.097372520240664,0.140676929612701,0.0688653451416769,-0.148080141229809,-0.560237908214253,0.0904614330465113,-0.0718846471040535,-0.330230470207179,0.330495409710254,-0.152225355290888
"YAR015W",1,"YAR015W",-1.42497889235673,0.0432250527405116,0.129642860196122,-0.0969215134934749,0.115433213533315,-0.0643715357587613,-0.398175420107018,0.070967372518309,-0.0470392724592669,0.0988844420288915,0.282632719058938,0.0688149146152652,0.481812764341237,-1.32203643842163,0.117489606699938,-0.0752753653984216,-0.233435634297662,0.20901597480258,-0.190840052428898
"YAL001C",1,"YAL001C",-1.09767208795126,0.0388001308021762,0.190858240000623,-0.164419500716262,0.128503390124015,-0.0692179720138408,-0.779892073423818,0.0702747934043534,0.0107049933241594,0.0940950954840795,0.221388420624607,0.13264676802676,-0.0840129995276032,-1.5331363625641,0.0742500869537986,-0.0234237149068167,-0.206414551207573,0.845166577431971,-0.10813812697831
"YAL043C",1,"YAL043C",-1.19991451814288,0.022312345387485,0.136084160109018,-0.163546698962726,0.208225065276455,-0.0431560718173058,-0.855311199984957,0.363974773890447,-0.0116046421247277,0.119986133687319,0.314064452199578,0.158904431007711,-0.0467175504374247,-0.711240172086325,0.0746835301057389,-0.0226041286960482,-0.295527189995381,0.12851392712869,-0.240059139091284
"YAL056C-A",1,"YAL056C-A",-0.678035707335942,0.0365642937377128,0.127357763455682,-0.15198851357808,0.23034429509587,-0.0389753840939872,-0.538684885667791,0.651652149763617,0.0470946357000117,0.680131781536096,0.148517149473433,0.161221555577719,-0.103552884842317,-1.64324423403441,0.0493324950512051,-0.0454774451509471,-0.418893777374304,0.129236970453744,-0.199564788348364
"YAL026C",1,"YAL026C",-0.952215408541428,0.0395901460855231,0.116859933311316,-0.136213191232801,0.27528079136178,0.493762787986031,-0.979236159761903,0.34625446238238,0.0111711150728994,0.247116057164633,0.160599186386501,0.153381646536558,-0.066690842788989,-0.548141741138642,0.113673055675398,-0.15559230993039,-0.33625579764588,0.0973813538529758,-0.118542442874073
"YAL047W-A",1,"YAL047W-A",-2.14106243052524,0.0653751641476635,0.2907549854829,-0.0861459888790774,0.282892911208378,-0.045972736084198,-0.337552422621715,0.0927088875154751,-0.067352121754561,0.220001289896612,0.10553753514294,0.134342087172027,-0.0837667980720649,-1.43220861216759,0.0844639986621067,-0.0626799841398994,-0.538939361281238,0.135862844415611,-0.277623560351819
"YAR014C",1,"YAR014C",-0.525675840618326,0.0918917835553921,0.342195972119114,-0.0569539498781153,0.195570929738802,-0.0904175534234889,-0.782124058358877,0.0380014811625092,-0.0479409915094911,0.265977387403953,0.14197193164234,0.273587918505635,-0.067096175726829,-0.802749703933321,0.182133372331281,-0.0384496471748406,-0.571303552260112,0.0671695783358694,-0.0812907104957327
"YAR023C",1,"YAR023C",-0.735201946611937,0.0109522584912275,0.452647583520216,-0.0418671396861039,0.372200373141716,-0.0723422939741791,-0.535930443955036,0.124062461123763,-0.00599724847220664,0.178254052638147,0.0814698261157757,0.102280058802698,-0.0160369508532434,-1.55034024270199,0.205232842139966,-0.0281238552583717,-0.339259103208741,0.103497591906529,0.739864271722103
