"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0055",179.051328399297,1.47300254573289,1.28224644008004,1.14876711659339,0.250694221886508,0.467649873175133
"Q0075",0.64081426248982,-9.54188148933383,4.42997774206119,-2.15393440891064,0.0312819025500462,0.116442194469248
"Q0085",8.05225941177056,0.683401862486866,1.53476619805674,0.445280762211315,0.656131671915248,0.802414638136511
"Q0120",1.95066663610692,2.06213429223331,1.53669096473539,1.34193168278854,0.179664941811761,0.376890838113063
"Q0130",24.4109138752295,0.777057841671455,1.37171050759708,0.566488218445363,0.571081465132337,0.74864945269428
"Q0275",55.2332541457692,1.11958374698774,1.34465001527947,0.832620930551247,0.405089089364722,0.618947293735223
"YAL001C",986.603632199468,-1.48145936008803,0.234643457588343,-6.31366148161307,2.90457850488381e-10,2.76247758726027e-08
"YAL002W",621.668282304953,-0.736126935957475,0.253363369863173,-2.90541973906889,0.00367996307144245,0.0237965812841603
"YAL003W",2389.65621790315,-0.448662525155698,0.381877642796229,-1.17488555200679,0.240083471295122,0.454198750411917
"YAL005C",8554.86358272845,-1.01349033807206,0.556218983016172,-1.82210670440672,0.0684846489354161,0.201318164393125
"YAL007C",680.504097115147,-1.4460290855584,0.178120514874363,-8.11826243921625,5.60909687893211e-16,2.88961974212986e-13
"YAL008W",873.84374766859,-0.380089664607656,0.231440664254739,-1.64227693448591,0.10058091621564,0.26061423681356
"YAL009W",209.674029210701,-0.703923433222196,0.203788457705039,-3.45418696009293,0.000555471964739082,0.00535714147584556
"YAL010C",286.782154435731,-0.978402343760652,0.194327902628732,-5.03480113007709,4.91202029650585e-07,1.65033203657604e-05
"YAL011W",192.146848240512,-1.22686585733852,0.237732660882373,-5.16069543320156,2.53317302485644e-07,9.26631694654586e-06
"YAL012W",847.003843737191,0.286201501223767,0.61156853268231,0.467979442906424,0.639814954429433,0.789803524018122
"YAL013W",584.927542298621,-1.49394982882533,0.297172314427104,-5.02721739643011,5.10945294392504e-07,1.68912503205051e-05
"YAL014C",404.464486683731,-1.22558381720762,0.20957180374757,-5.84803773833924,5.21519520386224e-09,3.22403367502764e-07
"YAL015C",445.419883135262,-1.08443568143298,0.17707117145843,-6.1242926926,9.63962882038572e-10,7.73924485293825e-08
"YAL016C-A",1.83273155436453,-2.5768706158805,1.62545090133606,-1.58532663998796,0.112940702195629,0.280596971220284
"YAL016C-B",22.7727223847124,-1.52909369920907,0.583095722533167,-2.62237166235102,0.00875234807249293,0.0460877476866706
"YAL016W",2700.48595915179,-1.00363814380273,0.134733570075233,-7.44905774590782,1.06182234729025e-13,2.85399380476014e-11
"YAL017W",1363.84655349143,-0.843932740925662,0.332623304768484,-2.5372026819139,0.011197361776218,0.0560502757089713
