"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0055",179.051328399297,1.47300254573289,1.28224644008004,0.72919098584085,0.232955536603626,1
"Q0075",0.64081426248982,-9.54188148933383,4.42997774206119,0,0.988542242297782,1
"Q0085",8.05225941177056,0.683401862486866,1.53476619805674,0.0947387704205161,0.462262618708304,1
"Q0120",1.95066663610692,2.06213429223331,1.53669096473539,0.99182875881343,0.160658961619254,1
"Q0130",24.4109138752295,0.777057841671455,1.37171050759708,0.174277181918092,0.430826524655872,1
"Q0275",55.2332541457692,1.11958374698774,1.34465001527947,0.432516818784899,0.332690077763404,1
"YAL001C",986.603632199468,-1.48145936008803,0.234643457588343,0,1,1
"YAL002W",621.668282304953,-0.736126935957475,0.253363369863173,0,0.999999746687167,1
"YAL003W",2389.65621790315,-0.448662525155698,0.381877642796229,0,0.99510206260842,1
"YAL005C",8554.86358272845,-1.01349033807206,0.556218983016172,0,0.997351641850035,1
"YAL007C",680.504097115147,-1.4460290855584,0.178120514874363,0,1,1
"YAL008W",873.84374766859,-0.380089664607656,0.231440664254739,0,0.999963194336483,1
"YAL009W",209.674029210701,-0.703923433222196,0.203788457705039,0,0.999999999418569,1
"YAL010C",286.782154435731,-0.978402343760652,0.194327902628732,0,0.999999999999996,1
"YAL011W",192.146848240512,-1.22686585733852,0.237732660882373,0,0.999999999999936,1
"YAL012W",847.003843737191,0.286201501223767,0.61156853268231,0,0.659722990712437,1
"YAL013W",584.927542298621,-1.49394982882533,0.297172314427104,0,0.999999999995608,1
"YAL014C",404.464486683731,-1.22558381720762,0.20957180374757,0,1,1
"YAL015C",445.419883135262,-1.08443568143298,0.17707117145843,0,1,1
"YAL016C-A",1.83273155436453,-2.5768706158805,1.62545090133606,0,0.97231541785163,1
"YAL016C-B",22.7727223847124,-1.52909369920907,0.583095722533167,0,0.999802339872663,1
"YAL016W",2700.48595915179,-1.00363814380273,0.134733570075233,0,1,1
"YAL017W",1363.84655349143,-0.843932740925662,0.332623304768484,0,0.999983502076818,1
"YAL018C",2.72426062640698,-1.9766415444603,1.44791187593178,0,0.958759515011737,1
"YAL019W",528.974895568924,-1.14466487448194,0.178829764826785,0,1,1
"YAL020C",167.198219479609,-1.06860719206249,0.400952337429285,0,0.999968906842182,1
"YAL021C",1300.52494170333,-1.09978320098809,0.201766342781867,0,1,1
"YAL022C",304.344944322681,-0.808650497079219,0.290195867129608,0,0.99999822803898,1
"YAL023C",1503.82258562525,-1.7836267253599,0.275791453257565,0,1,1
"YAL024C",224.11926052391,-2.13918374907915,0.279424586420531,0,1,1
"YAL025C",495.440663582546,-1.14616895471376,0.393790904579464,0,0.999990384931092,1
"YAL026C",418.888665908676,-1.17913558356549,0.20591648677863,0,1,1
"YAL027W",238.559496351718,-0.863563048051999,0.299027353502369,0,0.999998586100712,1
"YAL028W",205.742830589263,-0.410321678370266,0.386381597367509,0,0.992930332868817,1
"YAL029C",577.93700209943,-1.39220861736732,0.23616290876978,0,1,1
"YAL030W",794.599281501447,-0.648456937460762,0.211741819793575,0,0.999999989055472,1
"YAL031C",357.287225535549,-0.866296910724048,0.174920657538115,0,0.999999999999999,1
"YAL031W-A",8.19038320372553,-0.982667162635688,0.800443330072197,0,0.971247007055937,1
"YAL032C",405.735193005402,-0.905421757794933,0.257144892589191,0,0.999999989663563,1
"YAL033W",146.266937242796,-0.236032363700297,0.323702535325528,0,0.991588824558895,1
"YAL034C",1796.70106980057,0.126763559322873,0.286719830135261,0,0.924229761642737,1
"YAL034C-B",11.5048241908877,-0.475690742056476,0.690554408120721,0,0.928915253516081,1
"YAL034W-A",207.743707857199,-1.39250116511224,0.181888046895279,0,1,1
"YAL035W",1543.91489235618,-1.23535800565473,0.233544390869531,0,0.999999999999982,1
"YAL036C",361.13566964592,-1.15303534389924,0.229298752196542,0,0.999999999999908,1
"YAL037C-A",3.53735661329941,-2.39404555973227,1.08086917891736,0,0.996654090097283,1
"YAL037C-B",12.9003598559935,0.531146955675156,1.16272500582946,0,0.502351242394491,1
"YAL037W",88.0647089968436,-1.68164037897919,0.342145672908607,0,0.99999999995313,1
"YAL038W",1503.41122749712,-0.808100052633814,0.754122517207761,0,0.962845142659962,1
"YAL039C",1392.64925190379,-1.06205122769889,0.35714046323038,0,0.999996207135118,1
"YAL040C",1059.1225917004,-0.735304842880516,0.478130550368633,0,0.996119143707753,1
"YAL041W",468.469240936869,-0.992378727407705,0.131128035008494,0,1,1
"YAL042W",1270.07244007513,-1.59751744185625,0.303975182281641,0,0.999999999998823,1
"YAL043C",573.118860008559,-1.1783832954456,0.191978812093189,0,1,1
"YAL044C",2352.96779431644,-1.51581568215002,0.508235731620422,0,0.999973089605455,1
"YAL044W-A",174.153442569178,-1.12885412269026,0.271894061616003,0,0.999999999536431,1
"YAL045C",1.10095229848053,-1.57298283551949,1.63091449842538,0,0.90220568752707,1
"YAL046C",518.866882823429,-1.01400139451643,0.276190181675161,0,0.999999990017874,1
"YAL047C",246.272691505735,-0.811887923583412,0.164558916173941,0,1,1
"YAL048C",320.512451377327,-0.851887121909228,0.20157356504694,0,0.999999999997057,1
