"","s1FC"
"YAL001C",-0.117075379373318
"YAL002W",0.560619758702646
"YAL003W",-1.50563557735351
"YAL005C",1.22699967554061
"YAL007C",-0.581992451752782
"YAL008W",-0.238904496857221
"YAL009W",0.322811100893909
"YAL010C",-0.861315596814445
"YAL011W",0.63139695110968
"YAL012W",2.25293152628272
"YAL013W",0.952743916582167
"YAL014C",0.818927247781662
"YAL015C",-0.150436744883996
"YAL016C-A",-2.46137831824796
"YAL016C-B",0.645704452241847
"YAL016W",-0.201468164687546
"YAL017W",0.657755464382576
"YAL018C",0.16267633850743
"YAL019W",0.169489611764464
"YAL020C",-0.490642895714242
"YAL021C",-0.657742823951788
"YAL022C",-0.173440742355093
"YAL023C",-0.356432066035303
"YAL024C",-0.702372402799746
"YAL025C",-1.23901800132215
"YAL026C",-0.599609348278884
"YAL027W",-0.0705182289847844
"YAL028W",1.12796551925869
"YAL029C",0.210494671154383
"YAL030W",0.306118904603836
"YAL031C",0.246769992081358
"YAL031W-A",0.862187321448361
"YAL032C",0.212047568390787
"YAL033W",0.427190350941948
"YAL034C",0.811871357167456
"YAL034C-B",0.495220361069213
"YAL034W-A",-0.564133430601986
"YAL035W",-0.0964988078110689
"YAL036C",-0.802124599913698
"YAL037C-A",-2.44255507145172
"YAL037C-B",-0.583106887777724
"YAL037W",-0.988735524395793
"YAL038W",-3.13181398491919
"YAL039C",1.51861217493452
"YAL040C",-1.91469046173992
"YAL041W",0.344213716249803
"YAL042W",0.191581720980002
"YAL043C",-0.420468394862767
"YAL044C",-1.85780555217571
"YAL044W-A",-0.189936078739672
"YAL045C",-0.773845970132785
"YAL046C",-0.58341497317426
"YAL047C",0.448426605250972
"YAL048C",0.55268661398607
"YAL049C",-0.155233433759972
"YAL051W",0.63476284105058
"YAL053W",0.0636831048663897
"YAL054C",-5.17747233583863
"YAL055W",0.746036444569959
"YAL056C-A",0.835282632173233
"YAL056W",0.348663961361359
"YAL058W",-0.463303357278358
"YAL059W",-0.275964087838825
"YAL060W",-0.886777611666555
"YAL061W",-2.15698613984391
"YAL062W",-4.8698037554674
"YAL063C",-0.632578041287027
"YAL063C-A",0.606565105219487
"YAL064C-A",1.04866068127127
"YAL064W",-1.01492156546304
"YAL064W-B",0.625746694753478
"YAL065C",0.803919688407008
"YAL066W",0.956823712145124
"YAL067C",-0.136480103247727
"YAL067W-A",3.35466682340295
"YAL068C",1.91464205323175
"YAR002C-A",-1.8608498597202
"YAR002W",0.278636878767374
"YAR003W",0.302759352602132
"YAR007C",-1.09408158810911
"YAR008W",-1.29511550551861
"YAR014C",-0.420511640082986
"YAR015W",-1.90458687499237
"YAR018C",-1.12258220251418
"YAR019C",0.611246891697746
"YAR019W-A",1.42756011085011
"YAR020C",0.310871664355921
"YAR023C",-0.155973739056476
"YAR027W",-0.211144266456768
"YAR028W",0.773486808729921
"YAR029W",1.18812581960617
"YAR030C",0.838645017337502
"YAR031W",1.41026412865967
"YAR033W",-0.251820209730061
"YAR035C-A",-1.09961098722712
"YAR035W",-1.16234429603371
"YAR042W",0.557727371417044
"YAR050W",0.0521643311315646
"YAR053W",0.541936788645412
"YAR064W",0.638576464064169
"YAR066W",-0.938711948809398
"YAR068W",-2.05741386775199
"YAR070C",-0.773841492647028
"YAR071W",-0.525063426865135
"YAR073W",-1.8935203312218
"YBL001C",-0.968180128493077
"YBL002W",-2.3608896117365
"YBL003C",-1.58646234350846
"YBL004W",-0.324899275066918
"YBL005W",0.157650944868408
"YBL006C",-0.297516784301302
"YBL007C",0.483307196784625
"YBL008W",0.771047590346484
"YBL008W-A",0.196378596809245
"YBL009W",-0.605670696996169
"YBL010C",-0.369253396131651
"YBL011W",1.01911851920219
"YBL012C",-4.87787478453311
"YBL013W",-0.597043908827062
"YBL014C",0.424503088077908
"YBL015W",-1.05659484520282
"YBL016W",-0.797849772827406
"YBL017C",0.0687178601575604
"YBL018C",0.416246162743851
"YBL019W",-0.24908418660425
"YBL020W",0.0362606752400395
"YBL021C",0.706205505614216
"YBL022C",0.317924116058511
"YBL023C",-0.376945471865454
"YBL024W",-0.632960301747855
"YBL025W",-0.290777112109614
"YBL026W",-0.535219372096726
"YBL027W",-0.901086559271128
"YBL028C",-0.123912976785729
"YBL029C-A",0.0187054744287012
"YBL029W",-0.577786231933364
"YBL030C",0.20420884382933
"YBL031W",-1.61729627774035
"YBL032W",0.234348545853135
"YBL033C",0.1435447054744
"YBL034C",-1.29352459274098
"YBL035C",-0.936165536416119
"YBL036C",0.137055815027925
"YBL037W",0.0159543283628273
"YBL038W",0.464770468118491
"YBL039C",-0.8861347933715
"YBL039W-B",-0.419878407830416
"YBL040C",-0.0566227110519945
"YBL041W",-0.152672098740903
"YBL042C",-1.76295779411782
"YBL043W",1.56902782666231
"YBL044W",2.82320156294777
"YBL045C",0.228942429759529
"YBL046W",-0.68382109592806
"YBL047C",0.360555710228882
"YBL048W",0.225177964539092
"YBL049W",0.161811071245616
"YBL050W",0.41713991091244
"YBL051C",0.742924257902241
"YBL052C",-0.522638785226403
"YBL053W",0.573328938460698
"YBL054W",-0.40973983690987
"YBL055C",0.400099407555656
"YBL056W",0.430064119916284
"YBL057C",0.0671760718180802
"YBL058W",0.54198833385075
"YBL059C-A",0.738959060270413
"YBL059W",-0.298652087665993
"YBL060W",0.473675304206332
"YBL061C",1.29157736051487
"YBL062W",2.42751447895615
"YBL063W",-0.784355951782302
"YBL064C",-0.0695294003490586
"YBL065W",1.36829868829837
"YBL066C",0.135908207116334
"YBL067C",-1.4211970823326
"YBL068W",0.0610532055083502
"YBL069W",0.372228499100909
"YBL070C",4.2131473914856
"YBL071C",0.971219161037316
"YBL071C-B",1.46848370515538
"YBL071W-A",0.334420279104832
"YBL072C",-1.24379988742263
"YBL073W",0.572075555467451
"YBL074C",0.500573766114441
"YBL075C",-1.48483711722806
"YBL076C",-0.246884118957848
"YBL077W",-0.434538998978728
"YBL078C",0.130954197834953
"YBL079W",-0.343008631936718
"YBL080C",0.593211521313195
"YBL081W",-0.434676676288099
"YBL082C",-0.532343124559464
"YBL084C",1.25098127389115
"YBL085W",1.47807345755263
"YBL086C",1.77882795840599
"YBL087C",-0.569399891656871
"YBL088C",-0.609625442519863
"YBL089W",0.0479811280612391
"YBL090W",0.851571846565692
"YBL091C",0.564364741660743
"YBL091C-A",0.840040882079558
"YBL092W",-1.35751426187351
"YBL093C",0.512581618972198
"YBL094C",0.482719765348809
"YBL095W",0.075936345707177
"YBL096C",0.298042366694066
"YBL097W",-1.28459990263807
"YBL098W",-1.85815755534134
"YBL099W",0.0737831937026287
"YBL100C",0.615853038052533
"YBL100W-B",-0.413145572759971
"YBL100W-C",-0.124148050867326
"YBL101C",-0.647874804615681
"YBL102W",-0.547315732088693
"YBL103C",0.0487208140282874
"YBL104C",-0.103161710037143
"YBL105C",0.0127849997648337
"YBL106C",0.0129776311564107
"YBL107C",-0.183938817677291
"YBL107W-A",-0.773483713847691
"YBL108C-A",-1.01497983511583
"YBL108W",3.14374349281586
"YBL113C",-1.01844655453614
"YBR001C",-0.394478661884292
"YBR002C",0.714526154823381
"YBR003W",1.16953953064906
"YBR004C",1.02453928313617
"YBR005W",-0.626304089824251
"YBR006W",0.269400309646905
"YBR007C",1.57480675684984
"YBR008C",0.918147174878299
"YBR009C",-1.19505744053179
"YBR010W",-0.854272674593558
"YBR011C",-0.111173860297108
"YBR012C",1.08896107924153
"YBR013C",0.714334113671665
"YBR014C",-0.839640169033462
"YBR015C",-1.05080340440634
"YBR016W",-0.0533764692385501
"YBR017C",-0.260828762131483
"YBR018C",0.839241940492896
"YBR019C",-0.956202083758888
"YBR020W",0.31467890977949
"YBR021W",-0.653661804075721
"YBR022W",0.725590174021754
"YBR023C",-0.715918311252433
"YBR024W",1.35204234813045
"YBR025C",-1.04007660830892
"YBR026C",-2.97197144658733
"YBR027C",-0.198104424640848
"YBR028C",-0.49755633914664
"YBR029C",-0.173886340578495
"YBR030W",-0.170315237029019
"YBR031W",-1.9845634079459
"YBR032W",1.76209313633658
"YBR033W",-0.692440103436483
"YBR034C",0.595097789599753
"YBR035C",-0.110649362621522
"YBR036C",-0.320169955054353
"YBR037C",1.30071925858239
"YBR038W",-1.9758420658845
"YBR039W",-0.501458857966842
"YBR040W",0.023333176177848
"YBR041W",1.0265462721939
"YBR042C",0.560803740083103
"YBR043C",-1.53893124751099
"YBR044C",0.711138835763564
"YBR045C",-0.657970552603454
"YBR046C",-1.92598842999162
"YBR047W",-0.778808195633639
"YBR048W",-0.902844161612679
"YBR049C",-0.0886203170972085
"YBR050C",-1.13286465927169
"YBR051W",1.05538716464109
"YBR052C",1.0984457990222
"YBR053C",-0.536014191009801
"YBR054W",-1.85972724666831
"YBR055C",-0.755633173407927
"YBR056W",-0.245596733476125
"YBR056W-A",0.306401566188887
"YBR057C",-0.179441845967879
"YBR058C",-0.531173495660179
"YBR058C-A",-0.869754980314488
"YBR059C",0.624362505619553
"YBR060C",-0.358724670145343
"YBR061C",-0.627175338522208
"YBR062C",-0.313868180996385
"YBR063C",0.833884232404409
"YBR065C",0.787555483160493
"YBR066C",0.0357358929799396
"YBR067C",-6.2253390462401
"YBR068C",1.90429547013991
"YBR069C",-0.774791042606587
"YBR070C",-1.23737971316087
"YBR071W",-1.81061452074284
"YBR072C-A",0.139201851047243
"YBR072W",-0.597738144463067
"YBR073W",1.02936926206723
"YBR074W",-0.359015696974964
"YBR076C-A",-0.246635402655036
"YBR076W",1.02618976182322
"YBR077C",-0.44139378281444
"YBR078W",-2.42143782960327
"YBR079C",-0.685571053314069
"YBR080C",0.153979458019959
"YBR081C",-0.370575861818634
"YBR082C",0.668047001572811
"YBR083W",-1.36631399303782
"YBR084C-A",-0.879796639548532
"YBR084W",-1.0618552071824
"YBR085C-A",0.515236707230642
"YBR085W",1.76243569020918
"YBR086C",0.0943135694329303
"YBR087W",-0.803610433915541
"YBR088C",-1.72521472394047
"YBR089W",2.42729231079067
"YBR090C",0.607724539892692
"YBR091C",0.967639524525823
"YBR092C",-2.50040636575737
"YBR093C",-0.692954433459938
"YBR094W",-0.237388109666859
"YBR095C",0.125643708511139
"YBR096W",0.5234397054846
"YBR097W",-0.320759026084218
"YBR098W",0.0240962431306318
"YBR101C",-0.415517067447878
"YBR102C",0.22535381804413
"YBR103C-A",1.71903566619175
"YBR103W",-0.00197489356089944
"YBR104W",1.12596808606627
"YBR105C",3.38199492567339
"YBR106W",-0.61070451927526
"YBR107C",1.10221664051958
"YBR108W",0.979895749919324
"YBR109C",-0.803192213351105
"YBR109W-A",-2.69949765448569
"YBR110W",-0.679178359321244
"YBR111C",0.0512971375598533
"YBR111W-A",-0.000979461075545364
"YBR112C",0.495299704044559
"YBR113W",0.493569618921671
"YBR114W",2.52874070462424
"YBR115C",-0.0154029552208727
"YBR117C",-3.89135191840014
"YBR118W",-0.650460890098592
"YBR119W",-0.0375206578841253
"YBR120C",1.11778566287681
"YBR121C",-1.06214492302613
"YBR122C",1.16708578510309
"YBR123C",-0.00743294901474774
"YBR124W",0.159531328152276
"YBR125C",0.117898536324316
"YBR126C",1.16585117565539
"YBR126W-A",0.402174024414719
"YBR127C",-0.248703526751726
"YBR128C",0.781472111479528
"YBR129C",0.577869396935076
"YBR130C",0.64890894535457
"YBR131W",-0.0239267069520308
"YBR132C",1.26317921575023
"YBR133C",-0.000689427912556874
"YBR134W",-0.946150446876712
"YBR135W",-0.0769125256692731
"YBR136W",-0.328046356610265
"YBR137W",-0.149935090979334
"YBR138C",-0.846122408895594
"YBR139W",0.85503041613548
"YBR140C",0.541556828326515
"YBR141C",-0.39103900644993
"YBR142W",0.121640356771314
"YBR143C",-0.559262871193085
"YBR144C",1.4990470976977
"YBR145W",-0.580732793773198
"YBR146W",1.23709328786415
"YBR147W",-0.662490068879849
"YBR148W",0.358509449501442
"YBR149W",-0.57172624714148
"YBR150C",1.19463276873589
"YBR151W",1.04749775112004
"YBR152W",-0.000779558770283106
"YBR153W",-0.387961096570651
"YBR154C",-0.908143511403894
"YBR155W",0.109158065991606
"YBR156C",0.466434268467622
"YBR157C",0.530549033529488
"YBR158W",-0.930922232403043
"YBR159W",-0.353643801788711
"YBR160W",-1.08598889794929
"YBR161W",1.14090962499868
"YBR162C",-1.92842799340036
"YBR162W-A",-0.689599362978888
"YBR163W",0.828897210297159
"YBR164C",-0.393518253940348
"YBR165W",0.484517386370781
"YBR166C",-0.181606432018982
"YBR167C",-1.59712999891972
"YBR168W",-1.43444583051419
"YBR169C",-0.488288228229112
"YBR170C",-0.167638515328689
"YBR171W",-1.94657156695072
"YBR172C",0.42602998896907
"YBR173C",-1.19321905765047
"YBR174C",3.01246427033493
"YBR175W",0.126846518135055
"YBR176W",0.509403188285228
"YBR177C",0.855692500853526
"YBR178W",2.24938853826988
"YBR179C",1.02692313518228
"YBR180W",-1.85735492639338
"YBR181C",-1.17547872603777
"YBR182C",0.88068722053607
"YBR182C-A",1.54050074951991
"YBR183W",2.24395491199844
"YBR184W",-0.694505912083938
"YBR185C",0.78721313119435
"YBR186W",-0.467316056320812
"YBR187W",0.363532729124629
"YBR188C",-0.867773662291782
"YBR189W",-1.88947565760829
"YBR191W",-1.49953182982157
"YBR191W-A",-1.58298353938264
"YBR192W",0.998400745409051
"YBR193C",-0.246934485633199
"YBR194W",-0.281107888173053
"YBR195C",0.701042399683465
"YBR196C",-0.92298269672694
"YBR196C-A",-0.0223723627697484
"YBR196C-B",-0.798426480768784
"YBR197C",-0.722265341124871
"YBR198C",0.141481821323544
"YBR199W",0.546567689647688
"YBR200W",0.19789414257947
"YBR200W-A",-2.1444382327488
"YBR201C-A",-0.596864497789216
"YBR201W",0.776007447662742
"YBR202W",-0.323822630333025
"YBR203W",1.10121879349838
"YBR204C",0.241513503977393
"YBR205W",-0.397842613020049
"YBR207W",0.0975707921221471
"YBR208C",-0.413262911458382
"YBR209W",-1.08320035742138
"YBR210W",0.197179199036541
"YBR211C",1.01427828079588
"YBR212W",-0.0292612469495227
"YBR213W",1.63023416902844
"YBR214W",0.277226850302631
"YBR215W",-0.610390428885951
"YBR216C",0.140077388384557
"YBR217W",0.00496972358647683
"YBR218C",-0.21683629085299
"YBR220C",-1.25748330114155
"YBR221C",-0.749002414126694
"YBR221W-A",-1.06120121030577
"YBR222C",-1.40061654513581
"YBR223C",-0.0776772146831188
"YBR225W",0.622041905145111
"YBR226C",0.624945479608041
"YBR227C",0.0882331277144418
"YBR228W",-0.473263458559496
"YBR229C",-0.062125312604813
"YBR230C",-1.56578891680265
"YBR230W-A",-0.183531897689662
"YBR231C",-0.0642372669851441
"YBR232C",-0.529310329134741
"YBR233W",0.350398455650652
"YBR233W-A",-0.660764637983744
"YBR234C",-0.299921768754577
"YBR235W",-0.0752739702285291
"YBR236C",-0.314012408798781
"YBR237W",0.220758605742859
"YBR238C",1.12139806545276
"YBR239C",0.979552890652752
"YBR240C",-0.358473240325124
"YBR241C",-1.1615108211544
"YBR242W",-0.93299099718889
"YBR243C",-0.194730248747051
"YBR244W",0.210768616302718
"YBR245C",-0.694091652219083
"YBR246W",-0.256922291317317
"YBR247C",-0.0274603072177691
"YBR248C",-1.15549454563286
"YBR249C",-2.22774008090396
"YBR250W",-1.84429148743799
"YBR251W",1.12952154524265
"YBR252W",-1.44201847653692
"YBR253W",-0.434199394933682
"YBR254C",0.241990785438044
"YBR255C-A",-0.409907462925775
"YBR255W",0.459014048028459
"YBR256C",-0.344531451612415
"YBR257W",0.342416662443991
"YBR258C",0.953061601161987
"YBR259W",-0.378969284122847
"YBR260C",0.735556507175369
"YBR261C",-0.488807043416976
"YBR262C",0.875391613954655
"YBR263W",-0.854854171849008
"YBR264C",-0.546081766701512
"YBR265W",-1.69446112076275
"YBR267W",-0.560293411334598
"YBR268W",0.911599265471456
"YBR269C",-0.512022796711029
