"","chr","tracking_id","X112_2","X112_0","X112_1","X115_0","X115_1","X115_2","X117_0","X117_1","X117_2","X123_1","X123_0","X123_2","X141_1","X141_0","X141_2","X152_1","X152_0","X152_2","X29_1","X29_0","X29_2","X50_1","X50_0","X50_2"
"1",1," HRA1",16.054,17.9515,4.46785,10.6079,13.3763,13.3844,14.0661,13.7169,7.59198,11.6739,9.73884,10.07495,8.57315,11.0962,14.5341,22.1839,16.6534,26.2161,17.6353,7.45124,10.8602,3.62285,8.16791,10.49655
"2",1," YAL001C",15.7039,18.8476,18.5607,19.2849,22.7885,14.9602,18.2862,27.4699,16.0978,22.2234,16.7699,15.6534,19.8528,28.9106,16.2505,29.7405,24.5717,25.6937,24.1535,18.4576,15.1841,24.5813,18.4888,19.7174
"3",1," YAL002W",14.87,15.7397,9.43908,11.9863,14.3892,14.9537,12.7927,15.5062,14.2741,14.5651,11.3701,14.2204,19.1002,19.6902,15.4052,32.4647,15.0536,22.3406,20.5579,13.1463,17.1067,13.6439,9.88805,16.1962
"4",1," YAL003W",1523.09,3669,666.736,624.356,841.151,1947.93,736.554,789.263,1272.26,787.548,846.252,1323.53,1263.88,584.589,3586.03,2680.21,3446.43,4386.96,826.578,474.651,2063.13,395.342,429.739,1594.99
"5",1," YAL004W",582.599,351.174,200.673,467.255,301.267,508.126,373.623,398.687,412.848,404.545,527.129,528.86,433.861,539.592,1010.9,795.753,234.364,799.625,210.658,1096.62,404.873,343.812,366.472,364.669
"6",1," YAL005C",480.385,301.632,262.876,369.901,390.997,362.598,274.569,413.521,374.4,421.548,411.421,407.78,519.235,485.573,737.896,721.182,229.51,584.457,240.947,825.238,441.531,329.315,281.593,343.367
"7",1," YAL007C",119.37,396.349,42.227,94.7595,101.732,131.363,74.7066,50.7189,121.694,121.849,92.5867,118.897,149.307,153.308,331.244,250.417,273.373,559.026,125.477,34.239,133.335,43.6981,49.8131,121.261
"8",1," YAL008W",298.278,130.175,657.703,472.49,478.447,201.81,562.983,618.798,208.58,373.206,518.634,259.917,284.926,248.154,155.894,404.428,338.96,251.277,280.47,416.693,198.169,401.149,502.205,241.087
"9",1," YAL009W",58.3074,52.8333,71.1922,58.1462,57.0779,56.3156,65.2082,51.8313,63.6511,60.9812,59.0062,57.7307,62.208,38.3799,63.0747,82.5129,107.354,94.3954,59.1342,64.4444,63.3447,38.775,57.986,53.7795
"10",1," YAL010C",27.4746,33.443,18.4294,17.9842,28.0289,30.2158,22.6883,36.9601,29.0919,26.3199,18.2828,33.4443,38.3413,24.1394,27.6712,46.2429,46.0715,44.0941,27.5888,12.0079,32.4677,12.1853,14.8461,27.9495
"11",1," YAL011W",14.7992,14.4032,5.41758,8.69385,9.92848,11.6815,5.5227,9.45808,15.3237,9.1282,8.4423,14.1216,16.96,11.4807,13.4543,22.2229,16.9961,20.4196,13.9228,12.663,21.5755,13.8707,8.74854,16.8255
"12",1," YAL012W",720.147,287.245,43.9795,89.9663,110.106,711.597,35.6698,92.5321,819.674,77.7108,86.5331,585.788,515.617,82.9305,562.502,1283.47,283.202,510.834,265.901,705.847,1599.77,115.245,100.0473,674.814
"13",1," YAL013W",62.788,47.4665,46.8786,39.4687,37.6366,50.9293,40.2093,52.9833,53.5869,45.3714,44.3189,58.1999,57.783,66.2139,62.1304,53.8927,54.1381,81.1134,57.4529,98.97,56.7015,60.6726,43.4472,55.9029
"14",1," YAL014C",102.987,109.851,91.7342,64.7351,78.2365,96.6326,51.406,91.1105,99.3703,66.006,95.6978,100.2476,83.6865,83.3078,117.036,114.833,95.3036,145.271,84.2778,139.335,123.947,87.6218,62.6296,97.2736
