"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YNL001W","chrXIV",377.474317120652,0.164685208427632,0.169447514996677,0,1,1
"2","YNL002C","chrXIV",769.952687923902,0.313843566940464,0.169324470305106,0,1,1
"3","YNL003C","chrXIV",614.995316505492,0.45498446892217,0.156786035244475,0,1,1
"4","YNL004W","chrXIV",1202.88447645895,0.286847182928853,0.131263622148518,0,1,1
"5","YNL005C","chrXIV",1697.30165131684,0.759034708235601,0.123204857175509,1.41256369452776,0.157784050242164,1
"6","YNL006W","chrXIV",1364.74828991987,0.392476753005662,0.251334452727204,0,1,1
"7","YNL007C","chrXIV",4546.76940470579,0.355673854227048,0.176669758378066,0,1,1
"8","YNL008C","chrXIV",470.788628354248,0.535295962253305,0.148570181380742,0,1,1
"9","YNL009W","chrXIV",469.325101725593,0.509499443750669,0.169495218545225,0,1,1
"10","YNL010W","chrXIV",1316.18539377019,0.643295530609692,0.141681204553355,0.411455639394557,0.680738462823204,1
"11","YNL011C","chrXIV",436.538276726426,0.447071960213389,0.144926437126266,0,1,1
"12","YNL012W","chrXIV",767.440757996099,0.411494252177538,0.20271692336078,0,1,1
"13","YNL014W","chrXIV",632.564927031348,0.356865540763952,0.146355698531636,0,1,1
"14","YNL015W","chrXIV",10972.1458116429,0.367246460881735,0.138718031902678,0,1,1
"15","YNL020C","chrXIV",324.349562243445,0.836787547693934,0.173222183898136,1.45355255330344,0.146070399448951,1
"16","YNL021W","chrXIV",453.890628644208,0.502789437249009,0.163398253348171,0,1,1
"17","YNL022C","chrXIV",619.089379606395,0.538934297216952,0.140536083220813,0,1,1
"18","YNL023C","chrXIV",455.819078731484,0.757719063264971,0.150381127197734,1.14854215075716,0.250744822743186,1
"19","YNL024C","chrXIV",159.195169273747,0.462007710776808,0.21422665635169,0,1,1
"20","YNL024C-A","chrXIV",796.87402563521,0.210457074563145,0.144067354816148,0,1,1
"21","YNL025C","chrXIV",460.632173640475,0.37073904774366,0.154114598734781,0,1,1
"22","YNL026W","chrXIV",476.586787058576,0.965398023305259,0.152741307180726,2.49047248793784,0.0127573372292887,0.226594608882129
"23","YNL027W","chrXIV",539.764766434652,0.565161747494165,0.145644668329111,0,1,1
"24","YNL029C","chrXIV",321.847065164772,0.887460116328679,0.189059276145719,1.59981632477824,0.109639336204633,0.972369251295951
"25","YNL030W","chrXIV",1609.8386831842,0.475454935533547,0.208173925201594,0,1,1
"26","YNL031C","chrXIV",5661.52860961672,0.031495999667698,0.156544103129915,0,1,1
"27","YNL032W","chrXIV",638.594180353022,0.140554633242701,0.153164109269937,0,1,1
"28","YNL035C","chrXIV",164.995808510358,0.596968291911201,0.186553067858358,0.0641548919489685,0.948846894371423,1
"29","YNL036W","chrXIV",5509.00472830978,0.225074045504084,0.267955327015823,0,1,1
"30","YNL037C","chrXIV",7191.9569910374,0.911329287649555,0.158595554161619,2.0576193915058,0.0396266837067253,0.476798484600275
"31","YNL038W","chrXIV",224.765107315103,0.244317478481808,0.194747970213888,0,1,1
"32","YNL039W","chrXIV",702.094508738665,0.701295620716114,0.16456992371307,0.706663879354264,0.479775381430147,1
"33","YNL040W","chrXIV",875.005856167086,0.711530504862907,0.154360598673867,0.819707269536057,0.412383004850338,1
"34","YNL041C","chrXIV",226.708716669091,0.275880144746814,0.179007293280197,0,1,1
"35","YNL042W","chrXIV",664.161496221757,0.17387228467045,0.189849758131281,0,1,1
"36","YNL044W","chrXIV",158.392823163019,0.664446388460074,0.200340130577391,0.396557535582637,0.691693771958932,1
"37","YNL045W","chrXIV",532.219252537559,0.616909091750873,0.165059448120226,0.193318783712587,0.84670931651947,1
"38","YNL046W","chrXIV",355.018732999132,0.543349837981001,0.16725596408798,0,1,1
"39","YNL047C","chrXIV",132.073350217721,0.377964572572404,0.191035048166359,0,1,1
"40","YNL048W","chrXIV",493.738411311567,0.506188887468206,0.134905029642848,0,1,1
"41","YNL049C","chrXIV",251.954247068503,0.60965252797968,0.159786700828404,0.154283978903564,0.877385829047954,1
"42","YNL050C","chrXIV",378.862510575896,0.375148679894257,0.186392474219166,0,1,1
"43","YNL051W","chrXIV",503.344671150049,0.183082215970629,0.184793934957636,0,1,1
"44","YNL052W","chrXIV",19257.866572169,0.423830875884658,0.160289104622395,0,1,1
"45","YNL053W","chrXIV",610.262108790004,0.545607774831112,0.151268372203058,0,1,1
"46","YNL054W","chrXIV",411.485345252715,0.59141788946386,0.181877802676948,0.0352868209830936,0.971851032119197,1
"47","YNL054W-B","chrXIV",370.651065401712,1.12124036101558,0.191678604257291,2.79760155335745,0.00514835798190427,0.106685418180572
"48","YNL055C","chrXIV",46820.8494154749,0.540522838411932,0.135532506596734,0,1,1
"49","YNL056W","chrXIV",341.014323589303,0.183663125608408,0.183084823711943,0,1,1
"50","YNL058C","chrXIV",147.750142425439,0.32185937377256,0.243089665581234,0,1,1
"51","YNL059C","chrXIV",356.745634861932,0.535047952700831,0.15802425072452,0,1,1
"52","YNL061W","chrXIV",519.914860830197,0.828673443793159,0.20482399309018,1.18967236268006,0.234175192050217,1
