,GENE,CHRM,MAAnc,onetoone,twice,half,9,,1,2,3,4,5,6,7,8,9,11,15,28,88,108,119,MAAnc
1,YAL001C,chrI,5.386601528,5.386601528,6.386601528,4.386601528,5.447507198,0.06090567,5.322646232,5.310339397,5.35246048,5.633552741,5.470874631,5.330568035,5.128269303,5.10934594,5.447507198,5.432263967,5.51102402,5.000414246,5.238087095,4.96954846,5.491286225,5.386601528
2,YAL002W,chrI,5.105794039,5.105794039,6.105794039,4.105794039,5.085335695,-0.020458344,4.901785698,4.979365322,5.013965472,5.074006073,5.03418676,5.156321026,4.873287647,4.892200853,5.085335695,4.937346493,4.866489998,4.977342586,4.873093963,4.823853063,5.061171641,5.105794039
3,YAL003W,chrI,8.425053327,8.425053327,9.425053327,7.425053327,8.733519166,0.308465839,8.683015471,8.627402549,8.644381,7.585945081,8.421008023,8.439926384,8.637794625,8.913218488,8.733519166,8.714019704,8.684476112,8.410065104,9.023975011,9.392204087,8.66156413,8.425053327
4,YAL005C,chrI,9.955320222,9.955320222,10.95532022,8.955320222,10.66241893,0.707098709,10.21798835,10.21135881,10.27433702,8.882533166,10.50473908,10.13658565,10.41418363,10.25596164,10.66241893,10.57390407,10.65545661,10.14659821,10.50081027,10.04540507,10.92077067,9.955320222
5,YAL007C,chrI,4.668175733,4.668175733,5.668175733,3.668175733,4.755704778,0.087529045,4.93191885,4.93376528,4.749217319,3.935217992,5.204929563,4.680035477,4.693358046,4.959342476,4.755704778,4.945488285,5.507123657,4.656104119,5.194209301,4.963327088,4.764821221,4.668175733
6,YAL008W,chrI,7.975300603,7.975300603,8.975300603,6.975300603,7.678572048,-0.296728555,7.599745058,7.655663135,7.671630915,7.650829918,7.680146122,7.597029388,7.767757848,7.36024054,7.678572048,7.811658377,7.696829773,7.728883409,7.583534368,6.410309268,7.832164501,7.975300603
7,YAL009W,chrI,4.668453351,4.668453351,5.668453351,3.668453351,4.721097934,0.052644583,4.744390392,4.668669949,4.712277719,4.566211116,4.449139428,4.675443971,4.477847314,4.77263102,4.721097934,4.750611173,4.58682026,4.431710826,5.014764583,4.744596753,4.933837581,4.668453351
8,YAL010C,chrI,3.524379887,3.524379887,4.524379887,2.524379887,3.827657812,0.303277925,4.013902216,3.849746826,3.892103537,3.981184193,3.97974491,3.997748209,3.71629243,4.057492796,3.827657812,3.948571925,3.986031589,3.916803612,4.033281394,4.612996152,4.099410505,3.524379887
9,YAL011W,chrI,3.99309844,3.99309844,4.99309844,2.99309844,3.892105959,-0.10099248,3.743137065,3.769932775,3.789410046,3.70183788,3.776490588,4.100677989,3.567170774,3.622928836,3.892105959,3.819789629,3.818260852,3.187927333,3.593186393,3.76593415,4.014253337,3.99309844
10,YAL012W,chrI,5.263247977,5.263247977,6.263247977,4.263247977,6.192334072,0.929086096,6.100675694,5.983431121,5.897172091,6.48350312,6.26410656,5.620328883,5.502470037,6.417276075,6.192334072,5.786266457,6.230527535,5.787316022,5.664857802,8.801044717,6.035421458,5.263247977
11,YAL013W,chrI,5.501137175,5.501137175,6.501137175,4.501137175,5.630058672,0.128921496,5.382077219,5.332367764,5.389663299,5.837139848,5.431950719,5.441306498,5.223908979,5.162463984,5.630058672,5.503660733,5.401365734,5.227465849,5.164054964,5.142995422,5.54904486,5.501137175
12,YAL014C,chrI,4.88754022,4.88754022,5.88754022,3.88754022,5.025481845,0.137941625,4.813315978,4.839132943,4.844691072,5.10297629,4.939252101,4.853819564,4.680601389,4.81145242,5.025481845,4.783010036,4.884490984,4.782099796,4.749679152,4.962934444,4.912700896,4.88754022
13,YAL015C,chrI,5.070656125,5.070656125,6.070656125,4.070656125,5.649252084,0.578595958,5.418904198,5.349278549,5.320842896,5.842935981,5.363565812,5.149572276,5.022959111,5.383653609,5.649252084,5.440662965,5.381890502,5.136186266,5.475667498,5.729260955,5.65168418,5.070656125
14,YAL016W,chrI,7.368484676,7.368484676,8.368484676,6.368484676,7.433543064,0.065058388,7.41878911,7.405099471,7.453142386,7.868468147,7.458009097,7.481420263,7.573709257,7.358679189,7.433543064,7.36529554,7.374928582,7.414093667,7.247335918,7.526314274,7.350091412,7.368484676
15,YAL017W,chrI,6.963103901,6.963103901,7.963103901,5.963103901,6.906737318,-0.056366583,6.686453632,6.721401452,6.788130424,7.362148501,6.917342362,6.857412102,6.780749652,6.520811255,6.906737318,6.730198391,6.747710942,6.711178169,6.237865678,6.526891316,6.781260173,6.963103901
16,YAL018C,chrI,2.899633372,2.899633372,3.899633372,1.899633372,3.347966389,0.448333017,3.462757745,3.836099233,3.804210625,4.714926437,3.885577009,3.439293269,3.965633742,2.896894436,3.347966389,3.528743998,3.864522741,4.28391488,4.211698628,-0.764738979,3.488128803,2.899633372
17,YAL019W,chrI,4.818604969,4.818604969,5.818604969,3.818604969,4.785751276,-0.032853693,4.629739831,4.675468989,4.604325905,4.595020268,4.371267291,4.678471116,4.154160694,4.542288345,4.785751276,4.701665269,4.573702446,3.748975894,4.900841512,4.794645965,4.829385015,4.818604969
18,YAL020C,chrI,3.858636885,3.858636885,4.858636885,2.858636885,4.042467754,0.183830869,3.817454227,3.842577732,3.851378709,4.090868306,4.060423845,3.968885549,3.530513734,3.813875559,4.042467754,3.766826213,4.035531521,3.625050849,3.791400494,4.062666711,3.751489428,3.858636885
19,YAL021C,chrI,5.484289939,5.484289939,6.484289939,4.484289939,5.362705085,-0.121584855,5.222434369,5.285870387,5.327868656,5.470864203,5.398521595,5.417250316,5.117669043,5.160544542,5.362705085,5.254102335,5.226006325,5.196518398,4.96585613,5.465413282,5.314720766,5.484289939
20,YAL022C,chrI,4.768582733,4.768582733,5.768582733,3.768582733,4.996058798,0.227476065,4.878178545,4.893267551,4.939753378,4.996508242,4.894701313,4.936809037,4.686009795,4.843793578,4.996058798,4.794558224,4.820255676,4.798776569,4.870643365,5.065231432,4.877716377,4.768582733
