"","chr","GENEID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sample"
"YEL011W","chrV","YEL011W",10525.0919392168,0.68378958790861,0.258712982217925,2.64304319808978,0.00821645517261915,0.0486285328913381,"4"
"YEL013W","chrV","YEL013W",1288.60417828549,0.754075668950072,0.262073280359562,2.87734662578149,0.00401034808440367,0.0274244978550347,"4"
"YEL015W","chrV","YEL015W",1157.30601339709,0.912012314003728,0.264665821048677,3.44590136493669,0.000569158060949809,0.00547312579436589,"4"
"YEL017C-A","chrV","YEL017C-A",828.081346686194,0.931260239544534,0.32316768348363,2.88166263874496,0.00395583023428625,0.0270848327438202,"4"
"YEL017W","chrV","YEL017W",528.569064052959,0.787551463644503,0.297586207001346,2.64646494063128,0.00813379360748437,0.0482852429898206,"4"
"YEL020C","chrV","YEL020C",3714.69754515598,0.881417056184994,0.250264152880544,3.52194689507015,0.000428389949050086,0.00430470259953747,"4"
"YEL020W-A","chrV","YEL020W-A",344.082036303113,1.93444743513383,0.323319528112388,5.98308257601254,2.18953691580324e-09,6.91126708960039e-08,"4"
"YEL022W","chrV","YEL022W",486.757620943377,0.705897570534658,0.298203559783248,2.36716681399694,0.0179248515654646,0.0913381342004719,"4"
"YEL025C","chrV","YEL025C",1175.27078858077,0.780700515661325,0.274333875135823,2.84580427872716,0.00442994136227979,0.0297834926486849,"4"
"YEL031W","chrV","YEL031W",2005.63519075131,1.0578207803004,0.335764583311629,3.15048350206317,0.0016300046229616,0.0130167848925985,"4"
"YEL038W","chrV","YEL038W",377.648110113852,1.4399363047574,0.293949396387617,4.89858568329436,9.65289437343504e-07,1.91243691008445e-05,"4"
"YEL039C","chrV","YEL039C",1724.15439950923,0.961835306732171,0.309978823635766,3.10290650003355,0.0019163017286974,0.0149113896354211,"4"
"YEL041W","chrV","YEL041W",472.711171293385,1.25108041827418,0.29801797786974,4.19800317825461,2.69278853373373e-05,0.000382814492060315,"4"
"YEL042W","chrV","YEL042W",1170.42615890821,0.663944594584091,0.276101331011729,2.40471348744018,0.0161851495521159,0.0845106827548332,"4"
"YEL043W","chrV","YEL043W",1352.3958571178,0.75080443636543,0.271702001574493,2.76333789230324,0.00572135043767096,0.036699408605359,"4"
"YEL050C","chrV","YEL050C",1265.71884025852,2.93434902552462,0.267471463038313,10.9706994241262,5.28618877719705e-28,2.10956690701428e-25,"4"
"YEL050W-A","chrV","YEL050W-A",78.1556971115489,2.54446359701771,0.443224674366007,5.74079861563967,9.42310975970670e-09,2.69984175525545e-07,"4"
"YEL052W","chrV","YEL052W",2441.34671788061,1.4319961995195,0.261387760761409,5.47843630990286,4.29100985272698e-08,1.07990414626962e-06,"4"
"YEL053C","chrV","YEL053C",629.408635404916,1.18522476252711,0.277031487149308,4.27830343302576,1.88323190038975e-05,0.000282080874731302,"4"
"YEL057C","chrV","YEL057C",179.669878615631,-1.12216791354593,0.374989091266534,-2.99253482216184,0.00276671101960294,0.0203926312223241,"4"
"YEL063C","chrV","YEL063C",2199.80980507746,1.02722368245401,0.270563904531769,3.79660281822032,0.000146692536217069,0.00173637966068807,"4"
"YEL071W","chrV","YEL071W",4723.98465963297,0.764727678060887,0.258140967985007,2.96244212621571,0.00305209179701961,0.0219459933976172,"4"
"YEL072W","chrV","YEL072W",238.975874883156,0.889815898915876,0.331283235750657,2.68596718122375,0.00723201919805201,0.0442555216424059,"4"
"YER001W","chrV","YER001W",1845.40731550054,1.01967022372934,0.255418483467603,3.99215518738554,6.54754992408123e-05,0.000854700033314062,"4"
"YER005W","chrV","YER005W",621.114498852716,1.01878220620233,0.291506150188996,3.49489095012853,0.000474255481790573,0.00469798825667364,"4"
"YER008C","chrV","YER008C",1014.65098474654,0.91018959542948,0.275500576321755,3.30376657494349,0.00095395225823274,0.00833575577358001,"4"
"YER013W","chrV","YER013W",461.230171835808,0.742714471256792,0.300963909105637,2.46778583340404,0.0135951632172989,0.0733167730647192,"4"
"YER015W","chrV","YER015W",15702.0202527188,-2.28991726588628,0.339954406561005,-6.73595406234379,1.62857738092782e-11,6.84124949416822e-10,"4"
"YER017C","chrV","YER017C",2013.81485340476,2.1625160129388,0.314488543700789,6.87629503921218,6.14292102503627e-12,2.74563998135021e-10,"4"
"YER019W","chrV","YER019W",402.077656275355,1.24847230960607,0.403467492516755,3.09435662788676,0.00197240239388639,0.0153052946870046,"4"
"YER024W","chrV","YER024W",32192.8451370896,1.08672888680215,0.247044741547126,4.39891527338927,1.08793286667984e-05,0.000172189261363748,"4"
"YER025W","chrV","YER025W",2342.69632982601,0.708374462239932,0.255519331799049,2.77229302868178,0.00556629042262366,0.0359524446141022,"4"
"YER026C","chrV","YER026C",3402.8424569279,1.09078478409002,0.245839731407144,4.43697517015072,9.12318124034217e-06,0.000146469004568367,"4"
"YER027C","chrV","YER027C",704.205108294337,1.18085789431857,0.299457476663982,3.94332413227271,8.03599270920508e-05,0.00102285509235375,"4"
"YER033C","chrV","YER033C",484.199689393784,1.29974607542367,0.336490708395688,3.86265071514327,0.000112163323045663,0.00137886964309921,"4"
