"","genes","chr","sampleMean","ancMean","sampleOverAnc"
"1","YAL001C","chrI",580.058192669424,577.733853685275,1.00402320024925
"2","YAL002W","chrI",395.537110564013,641.273652889583,0.616799253768996
"3","YAL003W","chrI",3025.95284601707,5528.81943434836,0.547305420614396
"4","YAL005C","chrI",5233.41515760128,9698.55436938809,0.539607755782626
"5","YAL007C","chrI",324.299070463761,756.469893139438,0.428700564827348
"6","YAL008W","chrI",1497.40434109466,1035.29014336639,1.44636201811566
"7","YAL009W","chrI",258.393850692581,293.183363059357,0.881338722621402
"8","YAL010C","chrI",202.963113817783,368.820024201291,0.550303943657386
"9","YAL011W","chrI",192.214139382531,222.567726779052,0.863620894925822
"10","YAL012W","chrI",2670.11169457131,6107.92194085653,0.437155504020222
"11","YAL013W","chrI",481.512026684466,465.980285228124,1.03333132741601
"12","YAL014C","chrI",407.412880401799,482.306744133641,0.844717361631814
"13","YAL015C","chrI",682.888479423215,779.949774584916,0.875554428856196
"14","YAL016C-B","chrI",41.9549654656473,46.997274725946,0.8927106031211
"15","YAL016W","chrI",2114.79955869342,2236.79927285635,0.945457906910377
"16","YAL017W","chrI",1493.82165093033,1225.72648452291,1.21872348341381
"17","YAL019W","chrI",427.8966600414,560.975263634066,0.762772777661236
"18","YAL020C","chrI",156.401595204729,216.071878916377,0.723840584851204
"19","YAL021C","chrI",478.276354773465,767.620404603166,0.623063628722478
"20","YAL022C","chrI",459.015913032677,521.976793648086,0.879379923817348
"21","YAL023C","chrI",713.122714727973,1384.13191163526,0.515212971201182
"22","YAL024C","chrI",152.361180608934,142.386748268705,1.07005168993259
"23","YAL025C","chrI",328.432005496577,490.415895106245,0.669700979870207
"24","YAL026C","chrI",344.373257749384,565.014615459139,0.609494424262886
"25","YAL027W","chrI",344.691941304775,209.141586461793,1.64812721915421
"26","YAL028W","chrI",176.234296525967,358.519770177767,0.491560887809851
"27","YAL029C","chrI",740.819078308064,1248.23163327048,0.593494875920625
"28","YAL030W","chrI",900.1976873206,840.185257931517,1.07142761530574
"29","YAL031C","chrI",371.570101995669,391.975807287499,0.947941416504657
"30","YAL032C","chrI",441.285118171085,305.970684616826,1.44224639927095
"31","YAL033W","chrI",160.625255980432,156.104102002675,1.02896242904418
"32","YAL034C","chrI",2427.73626821248,1807.67093091081,1.34301892379784
"33","YAL034W-A","chrI",134.586731037447,103.242733661312,1.30359519033039
"34","YAL035W","chrI",1421.28692413373,2104.11622275269,0.675479286155754
"35","YAL036C","chrI",265.734686900548,413.755298026452,0.642250838038959
"36","YAL037W","chrI",151.009725030536,227.80006614721,0.662904658390003
"37","YAL038W","chrI",16057.8752520511,28139.3271232891,0.570655978435284
"38","YAL039C","chrI",1602.11784907498,751.23755377128,2.13263812629202
"39","YAL040C","chrI",359.834678064268,510.408280063728,0.704993810091285
"40","YAL041W","chrI",434.488190200021,531.720565442099,0.817136327685136
"41","YAL042W","chrI",1057.31353607665,1891.87225698097,0.558871526433766
"42","YAL043C","chrI",378.649570027352,523.76865049587,0.722932862951746
"43","YAL044C","chrI",3329.86479464988,2927.70913209647,1.13736189095583
"44","YAL044W-A","chrI",310.667884602174,190.40089441998,1.63165139296517
"45","YAL046C","chrI",502.925596152748,226.503672710134,2.22038605438581
"46","YAL047C","chrI",261.951067002835,275.546505865586,0.950660093402228
"47","YAL048C","chrI",415.527218119011,321.421189825995,1.29278103395722
"48","YAL049C","chrI",806.099163236225,908.398476654374,0.887384979117406
"49","YAL051W","chrI",789.108446996283,785.954910103199,1.00401236362614
"50","YAL053W","chrI",1989.90720144663,2193.35757794974,0.907242495000161
"51","YAL054C","chrI",651.984416921899,438.461051957573,1.48698365341921
"52","YAL055W","chrI",336.185494804306,247.536436076757,1.35812529311871
"53","YAL056W","chrI",1361.0619877192,1245.9653823757,1.09237544395017
"54","YAL058W","chrI",228.212056390902,333.593199607484,0.684102843401555
"55","YAL059W","chrI",59.827316942443,82.5011837113995,0.725169194562435
"56","YAL060W","chrI",7415.6437060447,3977.41683929707,1.86443714744147
"57","YAL061W","chrI",3428.78948992216,3427.71949670007,1.00031215892173
"58","YAL062W","chrI",3776.85032084833,1607.20472813154,2.34994973243958
"59","YAL063C","chrI",799.247343092806,452.211290634101,1.76742014108512
"60","YAL067C","chrI",1298.41353223618,302.318887589923,4.29484754520992
"61","YAR002C-A","chrI",1016.44089277947,1580.85253780016,0.642970086377508
"62","YAR002W","chrI",446.843432076011,555.122861423612,0.804945108782011
"63","YAR003W","chrI",416.261500230438,399.500217980467,1.04195562729528
"64","YAR007C","chrI",680.593110099296,635.65363454937,1.07069805489555
"65","YAR008W","chrI",74.5512503037539,92.6394506422304,0.804746247812583
"66","YAR014C","chrI",753.436077992369,656.832066711291,1.14707566237557
"67","YAR015W","chrI",1540.23948581479,3461.68475372392,0.444939269573253
"68","YAR018C","chrI",293.885187312948,211.832903989737,1.38734437274762
"69","YAR019C","chrI",587.733404405544,447.011836208502,1.31480501588196
"70","YAR020C","chrI",112.97790965955,65.3903614246791,1.72774560650938
"71","YAR023C","chrI",225.93116523475,212.438837806969,1.06351158557947
"72","YAR027W","chrI",1189.69270989899,1661.64176357395,0.715974246663209
"73","YAR028W","chrI",565.504261106302,948.986991114241,0.595903069695742
"74","YAR029W","chrI",53.8664689230049,67.9971531500106,0.792187120013223
"75","YAR030C","chrI",51.8885621930156,78.9761753884147,0.657015383915734
"76","YAR031W","chrI",135.236721937298,160.293749515477,0.843680569866764
"77","YAR033W","chrI",111.862650346128,183.167697143723,0.610711670728463
"78","YAR035W","chrI",120.865976588079,99.9102839273622,1.20974510167494
"79","YAR042W","chrI",878.886384569611,835.396865287899,1.05205851384985
"80","YAR050W","chrI",414.607946416081,211.905738387385,1.95656780968401
