"","GENEID","TXCHROM","tx_id","tx_name","nexon","tx_len","X112B","X112C","X115B","X115C","X117B","X117C","X123B","X123C","X141B","X141C","X152B","X152C","X29B","X29C","X50B","X50C","X112A","X115A","X117A","X123A","X141A","X152A","X29A","X50A","AncB","AncA","AncC"
"1","YAL001C","chrI",106,"YAL001C",2,3483,5.45191518392542,4.26726274767974,5.84791936570472,4.03318750109692,5.84636687282453,4.78682744122023,5.8492552764765,4.80604250281708,5.28672636379079,4.96786741013125,6.06072520770973,5.87696631770753,6.00994563259687,4.60631086682239,6.09441591706299,5.30627233086017,5.33646427740978,5.6074191893343,5.47279643197263,5.31353236834025,6.38472849379947,5.87930034647021,4.42266688738055,5.32259731323122,5.50731617100147,5.29676885006262,5.31876334323919
"2","YAL002W","chrI",40,"YAL002W",1,3825,4.53653065818099,4.30315112248609,5.25513517714248,4.13197430588621,5.12688227197995,4.7306185163089,5.35332008260018,4.7852467284802,5.36114483339239,4.96786741013125,6.30550374523581,5.78264611273345,5.90333215847117,4.8856270302177,5.34784497384802,5.12003428459475,5.19873564073808,5.04870939231266,5.08445150062192,4.84475324346594,5.92290615306893,5.2574722520432,4.0568680529061,4.55289546135742,5.71810207110209,5.3656871983221,5.22442590267621
"3","YAL003W","chrI",39,"YAL003W",2,621,7.75051717475486,7.94681393311217,8.14199814247903,8.11981843773127,7.79375208635006,8.20039950785135,8.14137788643341,8.35270876320213,8.40734268031378,9.83097950218679,9.64248908693841,10.3669766415291,8.21881439575233,8.82270456338388,7.22636181375921,8.74940448290346,10.0209682852316,7.76268134416741,7.9380571210882,8.07241728918318,7.83444339500343,10.0719191252612,6.22089448076563,7.02059540357394,8.34760606722122,8.95929401522097,9.8109615720992
"4","YAL005C","chrI",105,"YAL005C",1,1929,8.54991196195434,8.50588310019864,9.22115849022559,7.9318453758181,9.02491687798887,8.63782595422099,9.37499861855773,8.8263716432468,9.22532672536042,9.73542018259436,9.91090121287678,9.71521546074362,8.58213258949593,8.708425584035,9.08029764561273,8.67183130161741,8.55974435313216,9.05409948327038,8.58480184857483,9.20859863400486,9.73330999952615,8.43954642686263,9.17030229494113,8.5158251657003,9.4195272898044,9.54490366114228,9.28643904797969
"5","YAL007C","chrI",104,"YAL007C",1,648,3.93795193821578,4.46327819774336,5.37118277700542,4.59474204028982,4.10511925551346,5.12879368173347,5.69115653992375,5.16650524120634,5.53384549687981,6.68752883004004,6.45784958375694,7.62535662073855,5.73560277083913,5.07870674280284,4.2248168000919,5.35750643744254,7.11661591195036,5.33716472607258,4.94774437583414,5.17241946240398,6.12023765621234,6.81700072512569,2.66893112165038,4.12698846159761,5.51674208463355,6.06145421673194,6.99665220407777
"6","YAL008W","chrI",37,"YAL008W",1,597,7.79826943513012,5.69657742346671,7.40835389917135,4.94456823763547,7.51153431987007,5.65548541836521,7.19903113993443,6.06770652414282,6.33718360678919,5.39362659419732,7.02524110277669,6.33459523682169,6.76717054912598,5.52521963335267,7.3039315243526,6.09574315667013,5.28116084257995,7.38742715948273,7.60078451553246,7.41483646982518,6.62440977594253,6.80317495814367,6.02744521824037,7.28393513543776,6.10777736440061,6.39866029294295,5.71256495637396
"7","YAL009W","chrI",36,"YAL009W",1,780,4.98745900514553,3.73641464115039,4.81046945442382,3.51786255000987,4.28241360532119,4.27263353304397,4.93384396530052,4.31475916421729,4.48432476659668,4.45800384098103,5.10790911905034,5.33714943983096,4.84137983878765,4.26623757331507,4.34184753559446,4.34038387786528,4.3847958718252,4.76346863372163,4.85309366192662,4.70733474068297,4.35532744232308,5.54829600307016,3.78126171448225,4.5416763377136,4.35859273284394,4.51238618018517,4.78640563893832
"8","YAL010C","chrI",103,"YAL010C",1,1482,4.11431770565739,3.73641464115039,4.7771953413753,3.68832371029263,4.97825645418964,4.31441759259071,4.80568063843733,4.5792006509769,4.9548122971265,4.34781009067533,5.37688397027748,5.34164194065155,4.8960910712466,4.36215765273799,3.75417874680407,4.49022730933001,4.80367818335863,4.20532905363659,4.44258407160488,4.10412153441502,4.77315453243421,5.43730645785272,2.49073174717412,3.70237636382103,4.6813307801301,4.85136795144198,4.57330261830352
"9","YAL011W","chrI",35,"YAL011W",1,1878,2.91376269770317,3.24821832087801,3.81680841119285,2.74475398715902,3.32312912487193,3.76205737234541,3.61125658448064,3.78263934823884,4.12094707165339,3.81633144717005,4.71648238820545,4.60208534881048,4.31918583028169,4.205467054185,4.37453609618722,4.12665573170617,3.97198751125675,3.56259433980409,2.7726144686187,3.40985530630169,4.11801568689473,4.43588045551206,2.94753857658939,3.32442768439872,4.25539331136516,3.7454289694879,4.43270887972074
"10","YAL012W","chrI",34,"YAL012W",1,1185,5.11738211540641,8.15725853801231,6.51241415473978,7.96635966394707,6.01046486159662,8.82730072528508,6.06481563560292,8.42758875689412,8.38128304058825,8.41739150462784,9.84043639788726,8.55570285064555,7.85303379255148,9.70077208563794,6.67991325218709,8.77648147519209,7.66019201225919,6.25474192673772,4.84883413605722,6.08884530306741,6.25522681833448,7.81803865225314,8.07900791537597,6.20273679516152,9.18082222554493,8.25042371819687,8.69686797768557
"11","YAL013W","chrI",33,"YAL013W",1,1263,5.12114220130409,4.59457966502821,4.89044455787582,4.1136719308641,5.14167213906316,4.91651917936961,5.24965327753095,5.15574390598975,5.17466657281385,5.26755522715961,5.25834067248744,5.8614076224816,5.63119334901766,4.91544534331424,5.74783828015524,5.19518610469423,5.06035587198238,5.04197127178497,4.97926283232221,5.1279412245903,5.92790255426643,5.3969647158543,5.21286232960485,4.97603167915888,5.10031593322262,5.10277129682662,5.05204168848567
"12","YAL014C","chrI",102,"YAL014C",1,768,5.26062882879337,4.50153767418436,5.13331956271538,4.211577684573,5.07002936826206,4.93194061379579,4.9449497875293,5.00201567130587,4.92625890054563,5.29925029870514,5.51901455384252,5.88160139393344,5.30130312881965,5.1449321350813,5.43720801177253,5.09610034691154,5.38972577605168,4.86239807764819,4.47057684031388,5.31047387296226,5.40993469484662,5.34064982241065,4.79003874722795,4.63436815502257,5.17365380302514,5.1256605020928,5.20397113580888
"13","YAL015C","chrI",101,"YAL015C",1,1200,5.9431424396969,4.82873229855916,5.90807755156289,4.82872564179065,5.75554104384852,5.5644196266037,5.78478592328076,5.56858309577765,5.87297713796037,5.27111148437163,6.32959043629977,6.11206545201092,5.87248002072255,5.98098566387053,5.68667445986833,5.7705059547535,5.09114644944377,5.63901793533003,5.59227137223532,5.45873646769595,5.59721576248809,6.65539196463737,4.97935844578496,5.95464887955621,5.68921531524232,5.99929518111372,5.47032465869062
