"","chr","GENEID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sample"
"YIL002W-A","chrIX","YIL002W-A",243.489681756322,0.473495291545949,0.303413831861153,1.56055934774466,0.118676357650245,0.567504895172844,"76"
"YIL003W","chrIX","YIL003W",366.957625042267,0.376120590405481,0.165101019805918,2.27812396826879,0.0227514492286197,0.221301741474001,"76"
"YIL006W","chrIX","YIL006W",225.816509337182,0.667519506006622,0.256210154065173,2.60535929359311,0.00919867724881334,0.120024845933029,"76"
"YIL007C","chrIX","YIL007C",733.78351648557,0.382006394372688,0.263911586344048,1.44747867899473,0.147811048781407,0.619126887952262,"76"
"YIL008W","chrIX","YIL008W",233.678799156974,0.477876847931015,0.403904386245782,1.18314349683794,0.236795479673276,0.735174375211865,"76"
"YIL009C-A","chrIX","YIL009C-A",221.199359610115,0.202462365286208,0.206256287752974,0.981605785170972,0.326330568576989,0.804875329864637,"76"
"YIL009W","chrIX","YIL009W",583.389207940812,0.373074002757651,0.35695351948744,1.04516129521109,0.295987228631001,0.780281549761249,"76"
"YIL011W","chrIX","YIL011W",106.350184609852,0.692357051491845,0.267342518246637,2.589775304103,0.00962524820297679,0.123889763551634,"76"
"YIL014C-A","chrIX","YIL014C-A",149.363936264748,0.974066087386729,0.375728358023542,2.59247423460568,0.00955013222074498,0.123714043128235,"76"
"YIL014W","chrIX","YIL014W",597.584864531208,0.429943019844063,0.159829687876091,2.6900072543305,0.00716327077946865,0.103143863597299,"76"
"YIL015W","chrIX","YIL015W",70.5873798279649,-0.174053607884405,0.369368754113233,-0.471219089178959,0.637500075805027,0.92353032526877,"76"
"YIL016W","chrIX","YIL016W",186.852154132787,0.232857526328687,0.247934336149717,0.939190311212374,0.347667881681901,0.817136177982359,"76"
"YIL018W","chrIX","YIL018W",4179.63626507863,0.299135283700885,0.400885257184193,0.746186791208046,0.455581525773686,0.884784012248486,"76"
"YIL019W","chrIX","YIL019W",234.634300998267,0.00677340800595871,0.258548685833738,0.0261978048123378,0.979100369645259,0.996735885445454,"76"
"YIL020C","chrIX","YIL020C",193.74691042401,-0.213847227482317,0.266580272904644,-0.802186992879291,0.42247407646673,0.858747307976234,"76"
"YIL021W","chrIX","YIL021W",306.627058346495,0.360833753259408,0.138301768348149,2.60903210110139,0.00910063469425633,0.119842538167782,"76"
"YIL023C","chrIX","YIL023C",584.547707038328,0.524021838117341,0.335160370136591,1.56349582113118,0.117984616734989,0.565810163686212,"76"
"YIL024C","chrIX","YIL024C",637.643143415633,0.946968011726151,0.475512668812305,1.99146747044912,0.0464712284165756,0.344576000560877,"76"
"YIL026C","chrIX","YIL026C",1005.0235712218,0.589674433846586,0.367670677253728,1.60381142780025,0.108804127514626,0.547090948049732,"76"
"YIL027C","chrIX","YIL027C",350.895652088832,0.408543447482231,0.177250597241151,2.30489179636673,0.0212039370152408,0.213109278780533,"76"
"YIL028W","chrIX","YIL028W",31.3394456200879,0.347886954930381,0.379053472978309,0.917778043812538,0.358769074057281,0.823551231994613,"76"
"YIL029C","chrIX","YIL029C",111.000671595809,-0.522513777355392,0.219002402394032,-2.38588148642898,0.0170666521533821,0.183265631974736,"76"
"YIL031W","chrIX","YIL031W",325.586670290098,0.765766803369278,0.378857676362694,2.02125191370329,0.0432945328823166,0.329560361597351,"76"
"YIL040W","chrIX","YIL040W",260.219271529134,0.742148005841417,0.277182046680991,2.67747501949704,0.00743654465399321,0.10495836043829,"76"
"YIL042C","chrIX","YIL042C",648.023698395138,0.393539084106728,0.325063415277912,1.21065326213432,0.226072266296506,0.719875951528598,"76"
"YIL043C","chrIX","YIL043C",2669.166650181,0.544977782671847,0.235796810715374,2.31121778542493,0.0208519054713523,0.21118572823739,"76"
"YIL046W","chrIX","YIL046W",1488.27610692048,0.214304223731565,0.286135865284957,0.748959671721488,0.453908568313692,0.883809738488082,"76"
"YIL049W","chrIX","YIL049W",71.7418682564609,0.518161685077822,0.222872107707654,2.324928365453,0.0201063781842876,0.2054598000122,"76"
"YIL052C","chrIX","YIL052C",2000.62065182133,0.376647621068061,0.358867769001202,1.04954429905016,0.293966632360257,0.77945018532801,"76"
"YIL053W","chrIX","YIL053W",584.114101704307,0.721397194468388,0.569942057637695,1.26573777948314,0.205652266585193,0.706403147029381,"76"
"YIL055C","chrIX","YIL055C",616.028041294657,0.403423605803073,0.318690334976764,1.26587963777592,0.20560146952112,0.706403147029381,"76"
"YIL057C","chrIX","YIL057C",8736.89737141152,0.336258716447756,1.03301806923758,0.325510972616317,0.744804839170408,0.955427939921184,"76"
"YIL058W","chrIX","YIL058W",31.7786377218644,0.622646025162527,0.333562580686365,1.8666542988165,0.0619947941156593,0.402559297084495,"76"
"YIL062C","chrIX","YIL062C",1393.48965529734,0.463719144472249,0.212479898742164,2.18241418231733,0.0291145926919481,0.259002342796425,"76"
"YIL064W","chrIX","YIL064W",613.277221198554,0.388200800092834,0.175658108944754,2.20997938794232,0.0271412520053068,0.24863229224215,"76"
"YIL065C","chrIX","YIL065C",1946.22038905683,0.384323222076133,0.281115983451586,1.3671340112268,0.171630500430136,0.658972044574884,"76"
"YIL067C","chrIX","YIL067C",129.695382634151,0.383078134685347,0.273926983702884,1.39846804979554,0.162020187651688,0.641868346124584,"76"
"YIL068C","chrIX","YIL068C",479.750715473076,0.664835602715203,0.245436401198597,2.7087897291048,0.00677057160305458,0.100274803326279,"76"
"YIL069C","chrIX","YIL069C",1019.49279822761,0.521365429047653,0.362390511068009,1.43868399730204,0.150288141636329,0.620973176529239,"76"
"YIL071W-A","chrIX","YIL071W-A",54.5550045084453,0.616408751236009,0.339063195082883,1.81797600027136,0.0691137341112327,0.432112403401588,"76"
"YIL073C","chrIX","YIL073C",170.907166014271,0.656840110553919,0.264154172867191,2.48657858940642,0.0129226772472704,0.149766474926699,"76"
"YIL075C","chrIX","YIL075C",3229.67083098336,0.509679298555485,0.232305074325879,2.19400846079024,0.0282700152687459,0.254128346291292,"76"
"YIL079C","chrIX","YIL079C",86.7785719588649,0.26715295033242,0.289146439605709,0.923936503235939,0.355553615116969,0.821461391165704,"76"
"YIL083C","chrIX","YIL083C",2499.15766576477,0.57569071404111,0.232747517826854,2.47345586933124,0.0134066575783052,0.15350353717168,"76"
"YIL084C","chrIX","YIL084C",191.467827158282,0.328811053924821,0.183020815286334,1.79657736422166,0.0724490749694807,0.447082928004306,"76"
"YIL086C","chrIX","YIL086C",35.448569729375,0.715602062905837,0.390246510436864,1.83371803146875,0.0667414800220967,0.422125624077474,"76"
"YIL087C","chrIX","YIL087C",1788.59854915322,0.413775432178722,0.343100024752398,1.20599068005701,0.22786490522043,0.722628303429862,"76"
"YIL091C","chrIX","YIL091C",351.974305903927,0.305748486962397,0.279567738035216,1.09364724667867,0.274150178181173,0.766006775688561,"76"
"YIL093C","chrIX","YIL093C",1134.90572501882,0.88762884367944,0.39925415614855,2.223217542034,0.0262353310059915,0.244035656437461,"76"
"YIL094C","chrIX","YIL094C",2956.60392145671,0.476270915576023,0.316846950234731,1.50315764511284,0.13284689561733,0.589030325668754,"76"
"YIL095W","chrIX","YIL095W",259.923793580329,0.668203856392618,0.310635281919254,2.15108809361298,0.0315059298456811,0.272192139363748,"76"
"YIL096C","chrIX","YIL096C",195.231758658058,0.569676689635312,0.213799255036341,2.66454010580383,0.00772837218530154,0.107051204946609,"76"
"YIL097W","chrIX","YIL097W",1121.51171917142,0.473685943284778,0.210229010471252,2.25319018637322,0.0242803009725958,0.230359860475443,"76"
"YIL098C","chrIX","YIL098C",477.601213298474,0.70405049367077,0.327270063761156,2.15128290555958,0.0314905528583073,0.272192139363748,"76"
"YIL099W","chrIX","YIL099W",200.900306716877,0.18673590947163,0.353618172195537,0.528072152831479,0.597467254176776,0.913109983397515,"76"
"YIL101C","chrIX","YIL101C",566.552224394563,0.411937038603142,0.524654300975144,0.78515898533091,0.432388927428444,0.866297141320094,"76"
"YIL102C","chrIX","YIL102C",30.8026759939875,0.486187886367636,0.385828595319318,1.26011366774217,0.207673521496074,0.709499352648659,"76"
"YIL104C","chrIX","YIL104C",116.710694215242,0.136671444361726,0.256163176818515,0.533532750722225,0.593683058216021,0.911723336398454,"76"
"YIL105C","chrIX","YIL105C",1094.46781700012,0.538382120913514,0.274106296395704,1.96413627849065,0.0495567671844236,0.3554373414913,"76"
"YIL107C","chrIX","YIL107C",1977.76142617562,0.60986595951711,0.28636001300561,2.12971759959084,0.0332323347766118,0.281980316809882,"76"
"YIL110W","chrIX","YIL110W",284.606738738431,0.4042396218336,0.234525231162833,1.72365088323027,0.0848183590616295,0.48851947815092,"76"
"YIL111W","chrIX","YIL111W",586.260768809652,0.310840188440767,0.547226712110366,0.568028171070122,0.570035426631761,0.902442531806803,"76"
