"","genes","chr","sampleMean","ancMean","sampleOverAnc"
"1","YAL001C","chrI",316.677002953062,351.115185019602,0.901917708103063
"2","YAL002W","chrI",284.089173279138,290.418288001544,0.978206900240482
"3","YAL003W","chrI",6807.14479507399,2906.41083269091,2.34211375711519
"4","YAL005C","chrI",10675.6869875508,8602.90463863131,1.24093982625492
"5","YAL007C","chrI",347.692374282734,214.133182360971,1.62372020276903
"6","YAL008W","chrI",864.173772491733,2114.18702880325,0.408749916974424
"7","YAL009W","chrI",268.400106801847,215.814311079137,1.24366222730905
"8","YAL010C","chrI",246.805049959008,97.2624285359744,2.53751683639817
"9","YAL011W","chrI",136.054443214273,135.991065045992,1.00046604656166
"10","YAL012W","chrI",4700.2366980623,325.810619273126,14.4262845347042
"11","YAL013W","chrI",356.430642754435,382.230099848254,0.932502811515729
"12","YAL014C","chrI",312.997482472608,250.419196663413,1.24989412410465
"13","YAL015C","chrI",534.837706651681,283.835106267965,1.884325422898
"14","YAL016W","chrI",1849.17395319962,1393.40553537327,1.32708957030535
"15","YAL017W","chrI",924.240200119777,1077.86533158499,0.857472796495543
"16","YAL019W","chrI",279.497970410626,236.622418490916,1.18119818144516
"17","YAL020C","chrI",167.831861755125,124.533253904693,1.34768711563233
"18","YAL021C","chrI",445.100687318877,385.160546430842,1.15562378193582
"19","YAL022C","chrI",335.523956130509,231.993266435242,1.4462659252404
"20","YAL023C","chrI",399.089219646462,331.46715642197,1.20400833661603
"21","YAL024C","chrI",56.1242081664917,51.5271900245517,1.0892153858914
"22","YAL025C","chrI",514.693912065808,419.694251521841,1.22635444779025
"23","YAL026C","chrI",319.94360954832,160.460828342328,1.9939047607666
"24","YAL027W","chrI",171.327670506577,323.250344817584,0.530015430001352
"25","YAL028W","chrI",223.842056991092,124.39087562711,1.79950543689483
"26","YAL029C","chrI",700.908477011941,361.451179563028,1.93915116796491
"27","YAL030W","chrI",510.472171970882,890.786509799448,0.573057816160474
"28","YAL031C","chrI",291.069789068085,223.732392859078,1.30097294070162
"29","YAL032C","chrI",270.058279666307,305.017244622048,0.885386922962145
"30","YAL033W","chrI",119.534581784657,155.549514875796,0.768466438999207
"31","YAL034C","chrI",1038.86042229867,2265.23877911975,0.458609675886954
"32","YAL034W-A","chrI",46.3433511278764,42.9372469057216,1.07932749460238
"33","YAL035W","chrI",1597.57970088962,840.886292278906,1.8998760183853
"34","YAL036C","chrI",293.221745645366,206.697379069849,1.41860408179766
"35","YAL037W","chrI",88.7618077427798,162.158675498618,0.547376250267512
"36","YAL038W","chrI",16908.8478620923,5642.82826304554,2.99652002043497
"37","YAL039C","chrI",487.745561799438,1647.85595995014,0.295987982963144
"38","YAL040C","chrI",552.186419506146,178.180145467529,3.09903450834692
"39","YAL041W","chrI",410.73251034917,198.01791704559,2.07421892158682
"40","YAL042W","chrI",1177.17648201485,680.777542875267,1.72916467990856
"41","YAL043C","chrI",300.546979019503,232.304133876079,1.2937650914978
"42","YAL044C","chrI",3629.96956865861,2386.4221187421,1.52109282768968
"43","YAL044W-A","chrI",24.9897888084159,59.4684110311328,0.420219548077941
"44","YAL046C","chrI",175.275489317905,284.151620568457,0.616837901424806
"45","YAL047C","chrI",180.216656213165,135.331341323493,1.33166977028905
"46","YAL048C","chrI",215.524913247709,258.169131163463,0.834820616533149
"47","YAL049C","chrI",550.956769702283,973.640860701489,0.565872686675588
"48","YAL051W","chrI",413.05221034502,418.024599736296,0.988105031631122
"49","YAL053W","chrI",1073.40530566713,1159.77198601432,0.925531327374101
"50","YAL054C","chrI",281.598856370017,657.400389593412,0.428352128820885
"51","YAL055W","chrI",212.170863780285,594.46793187062,0.356908846390828
"52","YAL056W","chrI",975.549383953823,989.180696279825,0.986219593268179
"53","YAL058W","chrI",241.532493811453,127.298903529225,1.89736507633
"54","YAL059W","chrI",53.1021524487998,83.9827815898384,0.632298090674636
"55","YAL060W","chrI",4353.62181807026,3236.46898809952,1.34517643582513
"56","YAL061W","chrI",863.966953604889,3716.29307232427,0.232480844968597
"57","YAL062W","chrI",1064.01200203569,5971.84561702929,0.178171384571891
"58","YAL063C","chrI",493.839647668591,702.17110429825,0.703303859480425
"59","YAL067C","chrI",897.271401018394,176.998929689692,5.0693606034311
"60","YAR002C-A","chrI",877.862961294103,971.201844145365,0.903893425023922
"61","YAR002W","chrI",352.705868112412,307.497950164205,1.14701859938925
"62","YAR003W","chrI",214.621438220774,280.908485329584,0.764026184431427
"63","YAR007C","chrI",252.714842239156,260.176987443792,0.971318965301465
"64","YAR008W","chrI",24.3147779230742,56.3969421698585,0.431136458601638
"65","YAR014C","chrI",463.552746230468,461.781479954339,1.00383572393658
"66","YAR015W","chrI",3904.91150855327,628.26489332186,6.2153902757587
"67","YAR018C","chrI",124.036155407607,125.770722653393,0.986208497421403
"68","YAR019C","chrI",317.225111589069,353.707106141187,0.896858180345531
"69","YAR020C","chrI",23.1530002647815,95.2885854277266,0.242977688889529
"70","YAR023C","chrI",175.325651640488,152.044486061636,1.15312074894589
"71","YAR027W","chrI",1279.97340847398,1201.79692801348,1.06504965908818
"72","YAR028W","chrI",721.304201066767,664.466801166056,1.08553835917907
"73","YAR029W","chrI",48.9714284208288,32.8490139982542,1.49080360291579
"74","YAR030C","chrI",27.889662548974,21.7968739855965,1.27952579656164
"75","YAR031W","chrI",137.303232044485,88.6139092171153,1.54945463141768
"76","YAR033W","chrI",183.268684903298,146.691360532433,1.24934886579621
"77","YAR035W","chrI",19.9710905656668,469.793562653789,0.0425103538091353
"78","YAR042W","chrI",548.378628528587,843.404211290443,0.650196692389697
"79","YAR050W","chrI",99.8901143387597,258.914227180966,0.385803883495913
"80","YAR071W","chrI",34.2836669968621,82.2490899401982,0.41682731105948
"81","YBL001C","chrII",1576.25770696286,3073.62041506474,0.5128342131114
"82","YBL002W","chrII",363.282105486704,271.967582692681,1.33575517306122
"83","YBL003C","chrII",611.936925028807,267.370348512689,2.28872396820684
"84","YBL004W","chrII",315.606508396049,533.979813726078,0.591045766681266
"85","YBL005W","chrII",766.496932404904,359.221950221754,2.13376975413594
"86","YBL006C","chrII",400.898349493431,557.662466721043,0.718890679250198
"87","YBL007C","chrII",1080.45751444335,1042.67436447679,1.03623676888376
"88","YBL008W","chrII",101.302739407996,143.478029827011,0.706050532824678
"89","YBL009W","chrII",28.8875722340262,44.7340710515863,0.645762202163845
"90","YBL010C","chrII",58.0947113679242,152.465305410951,0.381035614701569
"91","YBL011W","chrII",472.006152656562,303.271442047363,1.5563817993217
"92","YBL013W","chrII",11.541227061473,16.579553755115,0.696112044506169
"93","YBL014C","chrII",173.362674673713,152.965761476061,1.13334299781095
"94","YBL015W","chrII",1735.67464835799,10036.9172810825,0.172929057772487
"95","YBL016W","chrII",67.9742926021248,143.29701427874,0.474359448061506
"96","YBL017C","chrII",1011.59503554923,944.186281676481,1.07139349001456
"97","YBL018C","chrII",70.2413749366415,101.232177835367,0.693864109600352
"98","YBL019W","chrII",320.678167378027,265.415343664503,1.20821261857181
"99","YBL020W","chrII",386.366215981852,858.848397118087,0.449865444563121
"100","YBL021C","chrII",168.973749797331,831.35909460503,0.203250016622009
"101","YBL022C","chrII",747.686637671495,530.946578223922,1.40821443877196
"102","YBL023C","chrII",86.4745360581207,93.8153072980623,0.921752947878548
"103","YBL024W","chrII",213.832124733149,157.53081380524,1.3573987181804
"104","YBL025W","chrII",167.197126821608,282.416445255112,0.592023338692531
"105","YBL026W","chrII",455.637686490001,598.54752993922,0.761238938762756
"106","YBL027W","chrII",2349.34818937241,2282.58075392607,1.02925085359258
"107","YBL028C","chrII",119.869373951036,127.391536178208,0.940952417618629
"108","YBL029C-A","chrII",809.008522962399,1476.52695859081,0.547913140532504
"109","YBL029W","chrII",320.736201529648,1313.48408121071,0.244187353404396
"110","YBL030C","chrII",2471.88209512177,12702.3988635853,0.194599628122847
"111","YBL032W","chrII",147.81586262227,239.441598277192,0.617335766574486
"112","YBL033C","chrII",2144.69483660961,1871.89349907284,1.14573550133695
"113","YBL034C","chrII",102.36449970099,180.055419106164,0.568516627875742
"114","YBL035C","chrII",111.666076921284,108.80971530583,1.02625097958786
"115","YBL036C","chrII",725.298882035056,672.333626962344,1.07877823293179
"116","YBL037W","chrII",184.364142488791,165.891351746096,1.11135475447188
"117","YBL038W","chrII",379.877320987195,878.305674393958,0.432511518554534
"118","YBL039C","chrII",232.822184735987,90.3526303195141,2.57681689965923
"119","YBL039W-B","chrII",115.797772712993,160.859516806336,0.719868957783865
"120","YBL040C","chrII",528.535871928458,491.239522546273,1.07592294119346
"121","YBL041W","chrII",2066.32856055847,1656.72363729103,1.24723793036309
"122","YBL042C","chrII",112.476063899921,79.1469582286774,1.42110406283646
"123","YBL043W","chrII",110.815516773252,1091.00472798005,0.1015719858322
"124","YBL045C","chrII",2907.87678361114,8256.41925850361,0.352195872395433
"125","YBL046W","chrII",261.538426230547,190.29215680486,1.37440465556732
"126","YBL047C","chrII",1127.94286139122,1304.27566412471,0.864804038299815
"127","YBL048W","chrII",677.881858092083,1721.64931586694,0.393739800460314
"128","YBL049W","chrII",2314.37677678231,5188.74875849744,0.446037548646412
"129","YBL050W","chrII",1506.24191261081,2125.12982206042,0.708776422491892
"130","YBL051C","chrII",512.988080594325,533.509100166211,0.961535764684253
"131","YBL052C","chrII",120.661015840545,136.472028646977,0.884144663465576
"132","YBL054W","chrII",219.455210124863,337.997705255855,0.649280177682689
"133","YBL055C","chrII",666.32864749062,403.692728422283,1.65058372513861
"134","YBL056W","chrII",1534.71292519964,1354.93220935386,1.13268613337601
"135","YBL057C","chrII",452.360674166899,337.255730921917,1.34129870211644
"136","YBL058W","chrII",1980.45026679111,2166.03196795981,0.914321808766515
"137","YBL059C-A","chrII",269.384469264515,1467.46006071079,0.183571925721803
"138","YBL059W","chrII",144.888665717131,438.497081212074,0.33042104936397
"139","YBL060W","chrII",308.768952606654,433.354452632565,0.71250901134378
"140","YBL061C","chrII",489.908142762077,377.439484570833,1.29797798796574
"141","YBL063W","chrII",105.5134259338,75.0390616500612,1.40611334435196
"142","YBL064C","chrII",4316.79833438725,6679.83559142929,0.646243200944348
"143","YBL066C","chrII",230.813266486339,652.466493002154,0.353754972802223
"144","YBL067C","chrII",399.874268750538,405.016732163475,0.987303084034411
"145","YBL068W","chrII",370.616842873677,303.164965959719,1.2224923209726
"146","YBL069W","chrII",151.749523133479,214.468697217691,0.707560241201304
"147","YBL071C","chrII",124.969210986763,278.729411302682,0.44835315513602
"148","YBL071W-A","chrII",167.142300149444,421.960496699468,0.396108880942208
"149","YBL072C","chrII",1326.23184811201,787.20162176218,1.68474227116452
"150","YBL074C","chrII",73.2317720919594,55.0278580097343,1.33081269634382
"151","YBL075C","chrII",437.165250339455,1869.66144593127,0.233820540767318
"152","YBL076C","chrII",1338.66741345388,615.523992053957,2.17484197323787
"153","YBL078C","chrII",994.918920037872,2717.12184990887,0.366166471360583
"154","YBL079W","chrII",219.560534651693,221.858901490637,0.989640411885655
"155","YBL080C","chrII",178.885608217452,148.975595759146,1.2007712223327
"156","YBL081W","chrII",603.275598882482,139.635681526208,4.32035416942662
"157","YBL082C","chrII",186.333430115051,89.3131919978893,2.08629236002957
"158","YBL084C","chrII",416.064998315499,649.490290879426,0.640602337183727
"159","YBL085W","chrII",601.413956639125,255.606753471509,2.35288758403702
"160","YBL086C","chrII",760.48887839812,1097.84337890973,0.692711631738733
"161","YBL087C","chrII",1682.32605142464,1286.47360446245,1.30770351260149
"162","YBL088C","chrII",310.540894590204,477.788575631437,0.64995462518081
"163","YBL089W","chrII",307.736639348718,275.466875927632,1.11714571239253
"164","YBL090W","chrII",310.45977998563,642.170310680811,0.483453960455583
"165","YBL091C","chrII",2166.16377256155,1780.4741157552,1.21662188368448
"166","YBL091C-A","chrII",404.777151598261,421.060738371847,0.961327226004136
"167","YBL092W","chrII",2446.79800554517,2613.87122823189,0.936082075933123
"168","YBL093C","chrII",804.495298233246,997.923188366541,0.806169560555147
"169","YBL095W","chrII",50.2815273798799,142.690261007678,0.352382335169842
"170","YBL097W","chrII",18.1629500905431,15.8450951047715,1.14628217567931
"171","YBL098W","chrII",181.436648366081,124.543288284673,1.45681594620631
"172","YBL099W","chrII",5313.41290038089,15451.4575684067,0.343877778316857
"173","YBL100C","chrII",219.547701255504,563.473801784824,0.389632491448721
"174","YBL100W-B","chrII",150.301201321646,38.3033041413798,3.92397482908721
"175","YBL101C","chrII",348.279278777552,486.553154621085,0.715809311829009
"176","YBL102W","chrII",1044.57311178203,1374.37706051267,0.760033866828641
"177","YBL103C","chrII",345.363410021671,331.496716437127,1.0418305608984
"178","YBL104C","chrII",128.60856484415,101.066872383887,1.27250959499024
"179","YBL105C","chrII",636.441872401828,872.116386101822,0.729767130332902
"180","YBL106C","chrII",166.74582052563,220.677126002492,0.755609897347255
"181","YBL107C","chrII",561.120340484813,1283.71449968285,0.437106802660125
"182","YBL113C","chrII",48.3051517995062,112.541358686437,0.429221331280478
"183","YBR001C","chrII",811.038509639763,813.504906240326,0.996968184725571
"184","YBR002C","chrII",419.235407068166,329.074893641499,1.27398174448668
"185","YBR003W","chrII",552.300181079425,431.259164097691,1.2806688577505
"186","YBR004C","chrII",602.476197009176,692.663067310959,0.869796912008165
"187","YBR005W","chrII",701.350374497732,456.302282734096,1.53703016845619
"188","YBR006W","chrII",887.292295652902,1734.6103171561,0.511522551709264
"189","YBR007C","chrII",318.745375460911,198.437361644672,1.60627702776892
"190","YBR008C","chrII",3658.61961121322,336.727106177408,10.865236400914
"191","YBR009C","chrII",1123.49187986007,2105.93420392964,0.533488595115487
"192","YBR010W","chrII",2145.39552706786,3502.52927946666,0.612527506806323
"193","YBR011C","chrII",11443.8850601819,7515.04305776266,1.52279700491681
"194","YBR012C","chrII",622.261527053419,19.1679290876468,32.4636805681031
"195","YBR013C","chrII",140.729936432601,169.771302284905,0.828938310177015
"196","YBR014C","chrII",265.714584763088,507.956552791021,0.523104945301111
"197","YBR015C","chrII",435.907673839088,396.91705853943,1.09823365980574
"198","YBR016W","chrII",463.490164603835,880.466314072367,0.526414420626818
"199","YBR017C","chrII",388.248789653763,265.877656532633,1.46025354186207
"200","YBR018C","chrII",40.3889082180833,22.7133565255441,1.77820077682754
"201","YBR019C","chrII",51.5330052979796,82.9882981881463,0.620967129379457
"202","YBR020W","chrII",30.6256683162917,56.2770402693366,0.5441947225675
"203","YBR021W","chrII",150.883971468078,187.590495827541,0.804326310895791
"204","YBR022W","chrII",191.09697728328,240.930557646491,0.793162059433197
"205","YBR023C","chrII",244.95501141056,259.099517004469,0.945408985097933
"206","YBR024W","chrII",335.442661182934,986.4898825566,0.340036595523511
"207","YBR025C","chrII",4879.0231190334,3163.21583771848,1.54242497804148
"208","YBR026C","chrII",1066.3994069947,2279.3141498311,0.467859775746016
"209","YBR028C","chrII",95.2142604344291,177.799827881222,0.535513794186776
"210","YBR029C","chrII",346.766031845579,128.514972044606,2.69825395694147
"211","YBR030W","chrII",94.4968497267854,44.0141165236731,2.14696686405054
"212","YBR031W","chrII",4548.75920145274,4737.9376158737,0.960071569159723
"213","YBR032W","chrII",27.6859034983176,39.1927972849424,0.706402844814407
"214","YBR033W","chrII",421.417604617726,1173.52468996113,0.359104165615539
"215","YBR034C","chrII",553.876901290742,442.903590038426,1.25055861760499
"216","YBR035C","chrII",1084.41633245215,1812.51034494353,0.598295251377412
"217","YBR036C","chrII",1985.64629102532,2128.02481652668,0.933093578422761
"218","YBR037C","chrII",164.415145520715,245.074129942587,0.670879237882971
"219","YBR038W","chrII",79.9759667699224,62.2693454387071,1.28435534702455
"220","YBR039W","chrII",4273.92642438664,18620.39661786,0.229529290492515
"221","YBR041W","chrII",561.592907161132,374.362323407222,1.50013201662456
"222","YBR042C","chrII",216.783634309005,159.513376405634,1.35903106807629
"223","YBR043C","chrII",529.371984104611,414.235388496994,1.27794968465968
"224","YBR044C","chrII",451.480172780643,649.311269654094,0.695321633676802
"225","YBR045C","chrII",104.726793988251,80.7238518662393,1.29734634271151
"226","YBR046C","chrII",1093.38707460975,561.599583372789,1.94691575097548
"227","YBR047W","chrII",568.817024469366,281.571024189148,2.0201546878178
"228","YBR048W","chrII",1102.32352445425,465.104645009253,2.37005486030423
"229","YBR049C","chrII",245.019748641887,179.516115883432,1.36488998459052
"230","YBR050C","chrII",943.636891604186,1912.82731618153,0.493320480955863
"231","YBR052C","chrII",1208.1699517032,1300.49606747379,0.929007001189983
"232","YBR053C","chrII",916.213581822021,1035.36279866641,0.884920322617488
"233","YBR054W","chrII",19693.5172786213,34562.5401135467,0.569793690334192
"234","YBR055C","chrII",293.58548561431,232.557993168527,1.26241838267652
"235","YBR056W","chrII",1371.52446987858,1531.45380922795,0.895570249402431
"236","YBR057C","chrII",362.588812980668,433.047005481782,0.837296663851244
"237","YBR058C","chrII",553.796548889174,428.515303475106,1.29236119316646
"238","YBR058C-A","chrII",668.842249384098,610.993377002348,1.09468003182877
"239","YBR059C","chrII",815.028273350255,912.846732184603,0.892842406741983
"240","YBR060C","chrII",306.10780419056,97.5604442939575,3.1376220804021
"241","YBR061C","chrII",233.57231342658,212.170814019536,1.10086919591624
"242","YBR062C","chrII",670.162894168453,960.028658286032,0.698065509174398
"243","YBR063C","chrII",120.778148593691,186.93767038174,0.646087802137757
"244","YBR065C","chrII",186.533599328326,385.03803928019,0.484454989634378
"245","YBR066C","chrII",310.683428652373,147.876529619286,2.10096510549876
"246","YBR067C","chrII",8063.36499032828,2539.45513913089,3.17523427213914
"247","YBR068C","chrII",6931.69520509234,2791.2935486129,2.48332720452744
"248","YBR069C","chrII",1569.96759125814,437.215630547914,3.59083134628713
"249","YBR070C","chrII",70.5751953392817,207.760024420524,0.339695740487744
"250","YBR071W","chrII",414.118790176676,724.578429534307,0.571530662930214
"251","YBR072W","chrII",8495.07469904859,127840.248715945,0.0664507053480804
"252","YBR073W","chrII",81.9615783632925,117.407801620972,0.698093118444457
"253","YBR074W","chrII",286.293267440693,285.698413231889,1.00208210539945
"254","YBR076C-A","chrII",136.135582007252,401.053658982215,0.339444807342572
"255","YBR076W","chrII",128.69442390933,217.130900110196,0.592704326487
"256","YBR077C","chrII",414.415082154486,775.257097726474,0.534551806581074
"257","YBR078W","chrII",4763.88677128515,1698.13538792186,2.8053633445064
"258","YBR079C","chrII",1684.87149976931,858.268316608811,1.9631057877408
"259","YBR080C","chrII",669.77297656137,287.483760445133,2.32977673425557
"260","YBR081C","chrII",323.923895950867,236.36823823225,1.37042057077308
"261","YBR082C","chrII",7279.30597656217,7166.9723008393,1.01567379794529
"262","YBR083W","chrII",178.884785062499,320.535317889784,0.558081356651027
"263","YBR084C-A","chrII",2844.88626824918,2108.16776309465,1.34945914554403
"264","YBR084W","chrII",316.427056291613,183.3978299411,1.72535878092579
"265","YBR085C-A","chrII",4063.44413561973,11757.6641479431,0.345599609283837
"266","YBR086C","chrII",737.426508360371,738.575158174702,0.998444775996568
"267","YBR087W","chrII",147.225439304314,88.4698330572733,1.6641315374587
"268","YBR088C","chrII",7.36323433021325,18.0182157255176,0.40865502125082
"269","YBR090C","chrII",21.7654792869992,73.121496038213,0.29766184318254
"270","YBR091C","chrII",69.7890968769261,81.0147760461159,0.861436645053492
"271","YBR092C","chrII",301.973048562663,51.9108579326935,5.81714617304524
"272","YBR093C","chrII",1917.70978692928,446.850103469334,4.29161764099465
"273","YBR094W","chrII",175.951535435417,227.860078342499,0.772191147810204
"274","YBR095C","chrII",264.996672306467,263.416231401857,1.00599978557206
"275","YBR096W","chrII",428.966054958359,215.919453527612,1.98669479729626
"276","YBR097W","chrII",114.500422009779,80.4277272919237,1.42364363466574
