"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YAL001C","chrI",844.020636116224,0.327668201274432,0.199457925177052,0,1,1
"2","YAL002W","chrI",844.138607862031,0.0894120243605074,0.348405144177491,0,1,1
"3","YAL003W","chrI",12340.2198773169,1.18238856808954,0.373831569241325,1.59801530219055,0.110039571597132,1
"4","YAL005C","chrI",11417.8855273633,-0.182224667702635,0.521759143159854,0,1,1
"5","YAL007C","chrI",1575.64963804469,1.05142817966364,0.382058707512806,1.22082855459591,0.222150939917292,1
"6","YAL008W","chrI",1487.42373949925,0.290367002804789,0.261798605514751,0,1,1
"7","YAL009W","chrI",510.532037956286,0.698340056545719,0.181114925071054,0.625790814872123,0.531452157249081,1
"8","YAL010C","chrI",561.053960065624,0.415481733717223,0.144115821890015,0,1,1
"9","YAL011W","chrI",328.942995074648,0.354507193694773,0.267425148123618,0,1,1
"10","YAL012W","chrI",7697.5409474943,-0.0162721931840294,0.664266387330598,0,1,1
"11","YAL013W","chrI",650.596508929305,0.22482432114349,0.242452714448301,0,1,1
"12","YAL014C","chrI",680.01617420867,0.247251902726275,0.237263374226381,0,1,1
"13","YAL015C","chrI",1139.24040149293,0.326807986132702,0.20587962020334,0,1,1
"14","YAL016C-B","chrI",49.3285523922428,-0.480795943472829,0.510902790356345,0,1,1
"15","YAL016W","chrI",3273.53566413317,0.330672253071831,0.213412882241618,0,1,1
"16","YAL017W","chrI",1553.46297282638,-0.0012804929141446,0.316554246115137,0,1,1
"17","YAL019W","chrI",1030.20716750542,0.806027383716725,0.179591421795204,1.23072350286737,0.218426294667194,1
"18","YAL020C","chrI",291.513814960595,0.1481696378208,0.196747267557144,0,1,1
"19","YAL021C","chrI",1203.6717247943,0.480366530642756,0.30624129291535,0,1,1
"20","YAL022C","chrI",853.907440192199,0.569555136106451,0.31373510448713,0,1,1
"21","YAL023C","chrI",2501.70549469403,0.773809010116753,0.506011843615891,0.373131602548174,0.70905049897116,1
"22","YAL024C","chrI",252.920700619541,0.737099872700024,0.320711235994111,0.474258010414129,0.635315930466614,1
"23","YAL026C","chrI",981.542669892337,0.693820274537351,0.253588448655694,0.429121575190912,0.667834751904375,1
"24","YAL027W","chrI",331.473003422983,0.504038763946537,0.239373204931882,0,1,1
"25","YAL028W","chrI",390.654607058011,-0.38621557455247,0.385373095904848,0,1,1
"26","YAL029C","chrI",1827.86569015243,0.332080458647113,0.199317058148902,0,1,1
"27","YAL030W","chrI",1217.41287705649,0.309105805327448,0.20291936751395,0,1,1
"28","YAL031C","chrI",606.48756164125,0.452517174429375,0.213932689663853,0,1,1
"29","YAL032C","chrI",564.636258032514,0.814353659615641,0.240753694155861,0.952648558186446,0.340768165459982,1
"30","YAL033W","chrI",283.426858413347,0.782656547128065,0.267960966909193,0.737631862610228,0.460738187791597,1
"31","YAL034C","chrI",2031.80884504478,-0.301703894380341,0.336094479209677,0,1,1
"32","YAL034W-A","chrI",211.234582738429,1.01520868041978,0.319519264848201,1.34642485680532,0.178165539053796,1
"33","YAL035W","chrI",3883.30257124799,0.815845915338869,0.332673957370854,0.693910389509476,0.487738407649177,1
"34","YAL036C","chrI",979.654899974922,1.28994813387338,0.254013011290055,2.77524419041831,0.00551602742827048,0.223399110844954
"35","YAL037W","chrI",336.993892585702,0.355268370392325,0.419571570316459,0,1,1
"36","YAL038W","chrI",41002.8675030667,0.320590879934716,0.347266695920914,0,1,1
"37","YAL039C","chrI",1250.27051740494,0.606266138874737,0.263042527033855,0.0808467707276855,0.935563812118119,1
"38","YAL040C","chrI",801.938929823589,0.484350304568508,0.242765671862169,0,1,1
"39","YAL041W","chrI",979.011386376228,0.810838687534066,0.233817100357373,0.965877547830707,0.334105458385755,1
"40","YAL042W","chrI",2742.41121195422,0.310163029534682,0.32642608888203,0,1,1
"41","YAL043C","chrI",800.283866549494,0.424597939279987,0.247724799908958,0,1,1
"42","YAL044C","chrI",4668.92119574608,0.51828844780126,0.452462162642821,0,1,1
"43","YAL044W-A","chrI",294.772292185505,0.453997495142719,0.499597372158972,0,1,1
"44","YAL046C","chrI",433.830920123675,0.886415170288529,0.238045671578292,1.26620731345411,0.205438869848292,1
"45","YAL047C","chrI",431.090146059461,0.477807249264402,0.220921737745154,0,1,1
"46","YAL048C","chrI",470.053069663366,0.329636409675012,0.177108222070723,0,1,1
"47","YAL049C","chrI",1352.49843270314,0.368790114438738,0.169290715450588,0,1,1
"48","YAL051W","chrI",1057.41471110772,0.140290860165501,0.275398335252072,0,1,1
"49","YAL053W","chrI",4106.59941346733,0.84399268317648,0.34167770276855,0.758002881305718,0.448449257832958,1
"50","YAL054C","chrI",516.753506725602,-0.178584433010587,0.233135557542865,0,1,1
"51","YAL055W","chrI",425.131037412145,0.668525688797924,0.202885298428137,0.411689212796801,0.680567232580618,1
"52","YAL056W","chrI",1770.2909793198,0.26487258032809,0.204959381167833,0,1,1
"53","YAL058W","chrI",502.871096625883,0.395258791417048,0.172835938046282,0,1,1
"54","YAL059W","chrI",180.40666768827,1.13659259031525,0.277235927959717,1.98961438502803,0.0466334303007727,1
"55","YAL060W","chrI",4285.22897294144,-0.414330709511983,0.289725378201607,0,1,1
"56","YAL061W","chrI",3442.13950445791,-0.6143732513906,0.308926543423365,-0.0950816691408271,0.924249958010372,1
"57","YAL062W","chrI",1575.73641707982,-0.685352392855443,0.575214438295884,-0.174460837862042,0.861503305602964,1
"58","YAL063C","chrI",653.21039102665,0.302350377348828,0.241317024966916,0,1,1
"59","YAL067C","chrI",500.318782570695,0.593063479494837,1.08165576281626,0.00745475572916371,0.994052020590751,1
"60","YAR002C-A","chrI",3025.60812268423,0.887317463725802,0.286055832492851,1.05684775273148,0.2905810765792,1
"61","YAR002W","chrI",1035.99718198931,0.836922701958877,0.166255420057146,1.51527512229247,0.129702745706631,1
"62","YAR003W","chrI",730.1101588403,0.795297806065331,0.242848764451405,0.865962017720757,0.386510991216682,1
"63","YAR007C","chrI",1053.51718408919,0.597861397611574,0.297465807415348,0.0432365579201366,0.965512963318601,1
"64","YAR008W","chrI",201.916568894685,1.13176548205968,0.330174658968983,1.65598863270437,0.097724120849205,1
"65","YAR014C","chrI",1166.71520475698,0.738431058980987,0.16115869304696,0.952049536268447,0.341071860026371,1
"66","YAR015W","chrI",4298.87928294662,-0.04938048072892,0.462244111821201,0,1,1
"67","YAR018C","chrI",325.559158515608,0.435655740620757,0.231479511434387,0,1,1
"68","YAR019C","chrI",608.089124290778,0.166765882113719,0.182761048178045,0,1,1
"69","YAR020C","chrI",86.545809461546,0.105389546119448,0.417246919865925,0,1,1
"70","YAR023C","chrI",276.150963233254,0.0624643034718124,0.301204834574053,0,1,1
"71","YAR027W","chrI",2220.86787553852,0.125242744373689,0.213881121495567,0,1,1
"72","YAR028W","chrI",1302.93484382505,0.186479715322017,0.289305288527195,0,1,1
"73","YAR029W","chrI",94.6544417830721,0.224900095597926,0.370367492747497,0,1,1
"74","YAR030C","chrI",100.655932757497,0.0178987671825001,0.354267545580832,0,1,1
