"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YIL001W","chrIX",171.050036834512,-0.974262368504462,0.490841441062501,0,0.520909249380306,0.999989361405339
"2","YIL002C","chrIX",326.318417642949,-1.44140585975562,0.497706230368827,-0.886880317790115,0.187571669682436,0.999989361405339
"3","YIL002W-A","chrIX",383.688295083565,-0.379655090596183,0.495002836152117,0,0.89493623808416,0.999989361405339
"4","YIL003W","chrIX",461.910560268043,-0.841728090877573,0.433536749320874,0,0.642470980781183,0.999989361405339
"5","YIL004C","chrIX",242.737876807886,-0.265725142422,0.455505824545282,0,0.946518903159855,0.999989361405339
"6","YIL005W","chrIX",600.519175896645,-0.647127611185325,0.470554513106327,0,0.773344810822199,0.999989361405339
"7","YIL006W","chrIX",88.0811874097707,-0.643756170878264,0.486362546762528,0,0.768057780671896,0.999989361405339
"8","YIL007C","chrIX",298.753470799073,-0.89035234440357,0.439052349535875,0,0.598604662957938,0.999989361405339
"9","YIL008W","chrIX",280.381554249039,-0.748438402709171,0.487788595529845,0,0.69697448018698,0.999989361405339
"10","YIL009C-A","chrIX",172.023402730678,-1.45660891519402,0.448637009476289,-1.01776916649618,0.1543938341521,0.999989361405339
"11","YIL009W","chrIX",205.786008426266,-0.571518829256515,0.585979581414646,0,0.767678222595581,0.999989361405339
"12","YIL010W","chrIX",468.874799280338,-1.60754929943228,0.454718685458683,-1.33609926062183,0.0907584158242634,0.990496399793367
"13","YIL011W","chrIX",163.741295201132,-1.99255382524134,0.492066876406727,-2.01711164240393,0.0218419319696045,0.490956503154314
"14","YIL013C","chrIX",281.974770374885,-1.10557971080315,0.458048826931569,-0.230498812780327,0.408852092958941,0.999989361405339
"15","YIL014W","chrIX",412.120242050149,-0.923489519362752,0.453161165078795,0,0.567037667461673,0.999989361405339
"16","YIL015W","chrIX",70.0335981378659,-2.09093884305272,0.530877263650707,-2.05497375335048,0.0199407699420479,0.490956503154314
"17","YIL016W","chrIX",202.38700900971,-1.3932412047345,0.559223841278765,-0.703191058226857,0.240968345472731,0.999989361405339
"18","YIL017C","chrIX",385.163108665398,-1.28272310925499,0.451322248839647,-0.626432909039762,0.265515514887515,0.999989361405339
"19","YIL018W","chrIX",1622.69001852614,-1.28802590737653,0.632208883449047,-0.455586618468875,0.324343633773074,0.999989361405339
"20","YIL019W","chrIX",167.274378133106,-0.710504613153595,0.461520222854765,0,0.734757161071572,0.999989361405339
"21","YIL020C","chrIX",93.3833254483943,-1.25059618529529,0.46779027478523,-0.53570199895743,0.296082260940659,0.999989361405339
"22","YIL021W","chrIX",143.300752460413,-0.95669888400869,0.496664032771336,0,0.534737338620394,0.999989361405339
"23","YIL022W","chrIX",540.597108495788,-0.492463521236526,0.455569566746552,0,0.867375464320355,0.999989361405339
"24","YIL023C","chrIX",690.700157672142,-0.52047620977532,0.508524454260349,0,0.827152120213414,0.999989361405339
"25","YIL024C","chrIX",194.121106329634,-0.0648554477668528,0.494593673715221,0,0.970669998712894,0.999989361405339
"26","YIL026C","chrIX",310.608844750767,-1.38278750731778,0.505053758537353,-0.757914382077537,0.224251119905914,0.999989361405339
"27","YIL027C","chrIX",262.324552643345,-0.897137606470835,0.513509468534024,0,0.579381927867619,0.999989361405339
"28","YIL028W","chrIX",38.6164894710442,-1.43578706985639,0.52134086677662,-0.835896622781183,0.201606531255946,0.999989361405339
"29","YIL029C","chrIX",109.992937131502,-1.60681271383488,0.475045568331451,-1.2773779070632,0.100734430366568,0.999989361405339
"30","YIL030C","chrIX",652.911499343293,-0.948614906557951,0.455747331533997,0,0.544885256411908,0.999989361405339
"31","YIL031W","chrIX",256.293865469113,-0.514571597777263,0.450753087309186,0,0.859243675194467,0.999989361405339
"32","YIL033C","chrIX",1664.77834936401,-1.05249642668886,0.504825850772586,-0.103989180840318,0.458588967229179,0.999989361405339
"33","YIL034C","chrIX",1117.52906182924,-1.19367665198968,0.442072880458776,-0.438110231481929,0.330653188950302,0.999989361405339
"34","YIL035C","chrIX",528.673327115339,-0.872212833732937,0.438007874552656,0,0.614759687770914,0.999989361405339
"35","YIL036W","chrIX",707.157228137903,-0.896101312475793,0.534810454688187,0,0.577018538963955,0.999989361405339
"36","YIL037C","chrIX",87.1985312950737,-1.32789128489685,0.505707995131026,-0.648380662464899,0.258369387186082,0.999989361405339
"37","YIL038C","chrIX",297.355232427962,-0.977514256008501,0.452499579322053,0,0.519816202952792,0.999989361405339
"38","YIL039W","chrIX",622.533891584045,-1.34229626165842,0.516247864354949,-0.663046349036467,0.253650435022204,0.999989361405339
"39","YIL040W","chrIX",198.034121100222,-1.08570868580013,0.501611255717097,-0.170866751539708,0.432164270289792,0.999989361405339
"40","YIL041W","chrIX",1240.00991978564,-1.61648407826834,0.469477728815055,-1.31312741889657,0.0945700080204722,0.990496399793367
"41","YIL042C","chrIX",179.136575196404,-1.81376847774776,0.552971842500351,-1.4716273329003,0.0705607701944306,0.877599579293231
"42","YIL043C","chrIX",1700.33741460069,-1.0644366273702,0.431216206640986,-0.149429975909608,0.44060717995292,0.999989361405339
"43","YIL044C","chrIX",327.307592168622,-1.06751594793397,0.466324670742128,-0.14478313537759,0.442441048966983,0.999989361405339
