"","genes","chr","sampleMean","ancMean","sampleOverAnc"
"1","YAL001C","chrI",1033.49633465116,1009.45432323523,1.02381683931857
"2","YAL002W","chrI",606.773918422553,567.340255152269,1.06950619652346
"3","YAL003W","chrI",2792.58820800991,2111.44911223538,1.32259318580187
"4","YAL005C","chrI",7622.3202563196,6107.43303099459,1.24803992407892
"5","YAL007C","chrI",591.964955358152,714.920772120039,0.828014765332288
"6","YAL008W","chrI",840.612702482773,998.956951012065,0.841490418211846
"7","YAL009W","chrI",180.255606521535,225.240110542672,0.800282001670326
"8","YAL010C","chrI",297.643857602499,347.043818503853,0.857654975344833
"9","YAL011W","chrI",164.987866357757,183.811975834207,0.897590407855532
"10","YAL012W","chrI",546.076259922847,458.889201725616,1.18999588107406
"11","YAL013W","chrI",491.152204936843,515.213589131392,0.953298234553334
"12","YAL014C","chrI",363.601049146344,323.361004870251,1.12444309508575
"13","YAL015C","chrI",432.916219514969,425.9839690688,1.01627350076418
"14","YAL016C-B","chrI",22.0047885783755,17.1219922780946,1.28517687784077
"15","YAL016W","chrI",2980.67480687338,2787.3565770562,1.06935539981087
"16","YAL017W","chrI",1328.37386521837,1172.38527492763,1.13305232812683
"17","YAL019W","chrI",554.923637340135,481.426529909499,1.15266526222486
"18","YAL020C","chrI",146.076017957233,149.644776782632,0.976151798264349
"19","YAL021C","chrI",1382.25651995841,1335.72210697371,1.03483839396065
"20","YAL022C","chrI",249.09686842495,253.824062715325,0.98137609870473
"21","YAL023C","chrI",1430.34937822397,1400.47979037484,1.02132811059068
"22","YAL024C","chrI",236.060667639363,220.90423967467,1.06861085141242
"23","YAL025C","chrI",530.792580624865,544.284867203087,0.975210983455125
"24","YAL026C","chrI",443.376509542709,408.733865924351,1.08475599040469
"25","YAL027W","chrI",183.2441399064,234.754129274763,0.780578984797857
"26","YAL028W","chrI",151.812043773016,173.715752031621,0.873910638485925
"27","YAL029C","chrI",629.374465360718,547.700163726344,1.14912228814885
"28","YAL030W","chrI",683.282061847446,753.902862164525,0.906326393145239
"29","YAL031C","chrI",358.379509246886,347.719078168584,1.03065817134467
"30","YAL032C","chrI",314.630751702155,382.897371223092,0.821710399047993
"31","YAL033W","chrI",103.326778386708,126.178009238186,0.818896882353396
"32","YAL034C","chrI",1693.82748636999,1489.28443480559,1.13734317420104
"33","YAL034W-A","chrI",171.401310879002,210.702095560219,0.813477010863499
"34","YAL035W","chrI",1603.53040709524,1423.5260749761,1.126449620617
"35","YAL036C","chrI",399.609325144772,407.172608101719,0.981424872875885
"36","YAL037W","chrI",89.4553204001977,102.668714701195,0.871300674801923
"37","YAL038W","chrI",2129.23444711883,1219.28227265602,1.74630148807185
"38","YAL039C","chrI",917.860221486727,812.44275022196,1.12975372262965
"39","YAL040C","chrI",1297.38709034976,1236.11676450376,1.04956677848358
"40","YAL041W","chrI",412.327392974803,421.068010176461,0.979241792322351
"41","YAL042W","chrI",1116.12284967207,1176.25576436453,0.948877687562323
"42","YAL043C","chrI",568.73844024629,515.258896842425,1.10379159628605
"43","YAL044C","chrI",3293.17703077362,2804.63838112156,1.17418953293248
"44","YAL044W-A","chrI",213.925392845108,203.962130445559,1.0488485895778
"45","YAL046C","chrI",535.254851165244,449.440013147609,1.19093724525469
"46","YAL047C","chrI",227.639626929665,249.319032568085,0.913045524783591
"47","YAL048C","chrI",332.097626130841,298.402052230087,1.11292004746258
"48","YAL049C","chrI",2864.82033436926,2920.10156280937,0.981068730915328
"49","YAL051W","chrI",585.646237352904,564.052860398367,1.03828254135488
"50","YAL053W","chrI",1260.84973558142,1562.25352720717,0.807071140262003
"51","YAL054C","chrI",26400.0430535122,36928.9449371727,0.714887552255464
"52","YAL055W","chrI",105.269026941198,154.373933274951,0.681909339925326
"53","YAL056W","chrI",1409.21142610455,1500.56397732334,0.939121188700171
"54","YAL058W","chrI",171.289330464507,177.542399219143,0.964779856630654
"55","YAL059W","chrI",67.6239872776057,57.2459344308578,1.18128890636387
"56","YAL060W","chrI",4864.3231520836,4880.24717767657,0.996737045273892
"57","YAL061W","chrI",2429.4435684524,2878.74462202111,0.843924657251026
"58","YAL062W","chrI",10030.9509382138,13917.1536282596,0.720761673410382
"59","YAL063C","chrI",92.3795075419645,96.5362060070141,0.956941559680235
"60","YAL067C","chrI",171.500992536419,205.969293638632,0.832653205274923
