"","genesGC_1$GENEID","genesGC_1$TXCHROM","GENEID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sample"
"YAL002W","YAL002W","chrI","YAL002W",594.877645517958,0.572642183345789,0.28275046656955,2.02525636931153,0.042841046162878,0.0997719570287617,"1"
"YAL003W","YAL003W","chrI","YAL003W",2282.81915644878,-1.49366083573333,0.253958490289464,-5.88151565254164,4.06526494288842e-09,6.48932435311932e-08,"1"
"YAL005C","YAL005C","chrI","YAL005C",6542.87439188867,1.23903098735427,0.359802091776271,3.44364586997654,0.000573926900695062,0.00274766888961723,"1"
"YAL010C","YAL010C","chrI","YAL010C",319.277961987748,-0.849298298465767,0.320009848956379,-2.65397549867765,0.00795496027873119,0.0255134116402246,"1"
"YAL012W","YAL012W","chrI","YAL012W",700.997250245281,2.26477319705648,1.02420374278037,2.21125260771688,0.027018349203897,0.069275592933535,"1"
"YAL013W","YAL013W","chrI","YAL013W",570.013857533102,0.964757189691579,0.332379490370398,2.90257737809414,0.00370105716769802,0.01341843374168,"1"
"YAL014C","YAL014C","chrI","YAL014C",372.889953552635,0.830878104466418,0.326192518709844,2.54720159662983,0.010859068051203,0.032901091758173,"1"
"YAL017W","YAL017W","chrI","YAL017W",1208.0890925181,0.669725290141856,0.279301338158302,2.39785922458514,0.0164912018354125,0.0463229485442179,"1"
"YAL021C","YAL021C","chrI","YAL021C",1221.59071741292,-0.645712848145581,0.294263185767048,-2.19433785596529,0.0282111298747684,0.0713515539204759,"1"
"YAL024C","YAL024C","chrI","YAL024C",210.114250838393,-0.690313990440656,0.336644917202961,-2.05057006704922,0.0403088338629725,0.0946241406690872,"1"
"YAL025C","YAL025C","chrI","YAL025C",529.617359219798,-1.22687257210962,0.298524144112826,-4.10979344989237,3.96013177416649e-05,0.000271809044499609,"1"
"YAL028W","YAL028W","chrI","YAL028W",187.174612139537,1.140069494638,0.378011498309322,3.01596512205852,0.0025616272361133,0.00982954077483862,"1"
"YAL034C","YAL034C","chrI","YAL034C",1634.06641881023,0.823907500559971,0.256165205924113,3.21631307260381,0.00129849093804016,0.00554638292876939,"1"
"YAL036C","YAL036C","chrI","YAL036C",383.229757117499,-0.790123879740849,0.313091481554029,-2.52361985646837,0.0116153457323538,0.0347217424326703,"1"
"YAL037W","YAL037W","chrI","YAL037W",99.0883840167645,-0.976911072342601,0.434788359875047,-2.24686574549363,0.0246486084694453,0.0642612111613584,"1"
"YAL038W","YAL038W","chrI","YAL038W",1154.9891050879,-3.1194297194795,0.346109036445758,-9.01285257245334,2.00765070873723e-19,1.09968083428578e-17,"1"
