"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YLL001W","chrXII",2550.72487296809,1.17304452121955,0.270597526265026,2.17313339606664,0.0297702788433371,0.302797937809233
"2","YLL002W","chrXII",307.848755530382,0.843109688113716,0.254730699578066,1.01326494427742,0.310933627128016,1
"3","YLL003W","chrXII",907.05624017779,0.315101973957113,0.2228924047585,0,1,1
"4","YLL004W","chrXII",179.377593681199,0.583100847960114,0.300327376542499,0,1,1
"5","YLL005C","chrXII",883.300709079552,0.390034605607068,0.220548666136446,0,1,1
"6","YLL006W","chrXII",803.818714330485,0.365820000147589,0.227859831466574,0,1,1
"7","YLL007C","chrXII",480.830837155414,0.296924983892882,0.230742808384095,0,1,1
"8","YLL008W","chrXII",476.376552514078,0.477440835109347,0.24183013101408,0,1,1
"9","YLL010C","chrXII",191.355864546855,1.18946070462558,0.412587087752584,1.46504997991614,0.142907282198538,0.897998462463785
"10","YLL011W","chrXII",323.766091816758,0.60498210255187,0.258917289504286,0.0771756207942956,0.938483835579927,1
"11","YLL012W","chrXII",372.940214425494,0.916361692581895,0.354596971800562,0.934474118318936,0.350059380572367,1
"12","YLL013C","chrXII",437.067826998716,1.61250835391456,0.407000871319452,2.52458514544081,0.0115834940676375,0.163221961862164
"13","YLL014W","chrXII",386.29682563999,0.790388662909331,0.299861434232239,0.684945242909295,0.493378474919276,1
"14","YLL015W","chrXII",1946.86836269057,0.177147579418889,0.197833343656941,0,1,1
"15","YLL016W","chrXII",1019.60386323436,-0.138973594715152,0.228019623056338,0,1,1
"16","YLL017W","chrXII",128.772953590116,-0.32191057499236,0.306605237892862,0,1,1
"17","YLL018C","chrXII",4979.77443833007,0.408614317808668,0.289973140684931,0,1,1
"18","YLL018C-A","chrXII",388.665329574496,-0.216067265594836,0.328965063581039,0,1,1
"19","YLL019C","chrXII",2570.96850483789,0.41347242826625,0.332126029395563,0,1,1
"20","YLL021W","chrXII",985.944655237575,0.374998228196118,0.291114298451072,0,1,1
"21","YLL022C","chrXII",769.702006289912,-0.10018614734955,0.332807675730586,0,1,1
"22","YLL023C","chrXII",1704.76901599,0.00103165052647501,0.248179266967099,0,1,1
"23","YLL024C","chrXII",3680.22373608297,0.918760530634564,1.15929464214743,0.287899657688678,0.77342354895198,1
"24","YLL025W","chrXII",129.541231247194,0.455737247901028,0.29864273444021,0,1,1
"25","YLL026W","chrXII",12960.3685162397,1.36443057967143,0.892158051630331,0.873646298710299,0.382310904281393,1
"26","YLL027W","chrXII",3588.7874446495,0.548824581439202,0.220125983422811,0,1,1
"27","YLL028W","chrXII",1030.58041840273,0.753283513538588,0.305047316456862,0.551663641867788,0.581178824474424,1
"28","YLL029W","chrXII",3098.57551064172,0.245844120954673,0.257015179975289,0,1,1
"29","YLL031C","chrXII",730.577421338856,0.766924842082227,0.219096944042219,0.830339477702488,0.406346873751435,1
"30","YLL032C","chrXII",545.014990964406,0.488938729403836,0.224855688898873,0,1,1
"31","YLL033W","chrXII",201.155787308929,0.496047813126563,0.310809714174371,0,1,1
"32","YLL034C","chrXII",184.628888889837,0.656206862509399,0.387573630523059,0.183724734867282,0.854229403585806,1
"33","YLL035W","chrXII",78.1740880210284,1.12607191860128,0.381849610080386,1.41697648581434,0.15648980242529,0.955752710367396
"34","YLL036C","chrXII",446.57148063149,0.72894783730714,0.234365458149515,0.614202444522809,0.539081558212271,1
"35","YLL038C","chrXII",187.306029435941,0.721828764861325,0.352975339665958,0.387643978162368,0.698279518952399,1
"36","YLL039C","chrXII",12930.9928862126,0.419156923346232,0.197655667072242,0,1,1
"37","YLL040C","chrXII",2104.42373158013,0.404438994055526,0.323643328251626,0,1,1
"38","YLL041C","chrXII",31861.7538343792,-0.182848009230181,0.201283272333995,0,1,1
"39","YLL042C","chrXII",59.3969967978977,0.578783467355682,0.448624051873151,0,1,1
"40","YLL043W","chrXII",979.181267364485,0.265974658685448,0.281853946448682,0,1,1
"41","YLL045C","chrXII",2454.21115001298,0.861619980869243,0.260106255421885,1.06348838254802,0.287560530849775,1
"42","YLL048C","chrXII",2694.58539917841,0.204141620104789,0.216215503382456,0,1,1
"43","YLL049W","chrXII",333.247348006376,0.493442669705685,0.284510763223581,0,1,1
"44","YLL050C","chrXII",5891.2028000571,0.21485932732268,0.257149009846075,0,1,1
"45","YLL051C","chrXII",611.75315750174,0.729360258419392,0.246406153052207,0.585863042100274,0.557967554942264,1
"46","YLL053C","chrXII",128.302182298958,1.09552939283588,0.319133931580174,1.59973397472347,0.109657611451329,0.735354824245243
"47","YLL055W","chrXII",968.872125438881,0.65493877158312,0.304639343496393,0.229578920373257,0.818418988494724,1
"48","YLL056C","chrXII",497.327832863932,0.765336320940008,0.237633417557031,0.758884515460575,0.447921642547905,1
"49","YLL057C","chrXII",142.577976322044,0.0447947614503107,0.28800899361384,0,1,1
"50","YLL059C","chrXII",64.0269767661494,0.351120499544491,0.402380488463804,0,1,1
"51","YLL060C","chrXII",652.465474842202,0.0490899592209777,0.2354182417961,0,1,1
"52","YLL061W","chrXII",1107.5858922163,0.0152177505555902,0.363380464915494,0,1,1
"53","YLL062C","chrXII",392.78603103858,0.50072811352326,0.273534945925167,0,1,1
"54","YLL063C","chrXII",522.175759381405,0.572372906004334,0.333839313420582,0,1,1
"55","YLR001C","chrXII",1323.51577037011,0.5662528163109,0.213441736234568,0,1,1
"56","YLR002C","chrXII",338.527366389053,0.497945324063182,0.310493792276489,0,1,1
"57","YLR003C","chrXII",412.339265088069,0.0876933181972689,0.354150058770405,0,1,1
"58","YLR004C","chrXII",385.577776545547,-0.991007668452594,0.282016033718155,-1.43966165008318,0.149963148325529,0.929771519618281
"59","YLR005W","chrXII",1710.06513163057,-0.268561107475025,0.217160581010681,0,1,1
"60","YLR006C","chrXII",491.293794407885,1.12359779903423,0.395896520336471,1.36045095464966,0.17368726324043,0.997093548232098
"61","YLR007W","chrXII",841.274058786498,-0.111055032847918,0.224260196017802,0,1,1
"62","YLR009W","chrXII",970.464592065442,0.466663095571885,0.256166338968858,0,1,1
"63","YLR010C","chrXII",227.108333606197,-0.191918333060409,0.297401956343078,0,1,1
"64","YLR011W","chrXII",197.494515070549,-0.341926607416116,0.286115493576774,0,1,1
"65","YLR014C","chrXII",165.98121966052,0.768206868667999,0.299020051686467,0.612690913651832,0.540080731687067,1
"66","YLR015W","chrXII",407.187530066352,0.0292539429569152,0.257672703666923,0,1,1
"67","YLR016C","chrXII",462.384979034265,0.38466182086675,0.254587308559929,0,1,1
"68","YLR017W","chrXII",918.896184485201,0.188536385621874,0.25289862616944,0,1,1
"69","YLR018C","chrXII",658.616781453372,-0.0490589374202515,0.225809722260872,0,1,1
"70","YLR019W","chrXII",913.960382448284,0.444038618618538,0.255619481236811,0,1,1
"71","YLR020C","chrXII",467.637840177205,1.02282136132095,0.264714525812631,1.65393780328793,0.0981401506562824,0.702079539310328
"72","YLR021W","chrXII",418.947957137866,-0.0143648679193195,0.265930068670673,0,1,1
"73","YLR022C","chrXII",230.092892804279,0.86536116179736,0.306276059349936,0.915387126216852,0.359988434377193,1
"74","YLR023C","chrXII",822.842452287154,1.23614083705264,0.323767796327313,2.01113527793349,0.0443111698100172,0.395577444512868
"75","YLR024C","chrXII",530.820211684416,0.408018517167101,0.238882128969522,0,1,1
"76","YLR025W","chrXII",2189.41348755116,-0.0261954993780915,0.228739195544559,0,1,1
"77","YLR027C","chrXII",4679.687204916,0.98546464241289,0.285386110948732,1.40323802402855,0.160545872383447,0.955752710367396
"78","YLR028C","chrXII",4176.44149711291,0.0114506462073345,0.213619810868942,0,1,1
"79","YLR029C","chrXII",6830.91134039303,0.312438452231948,0.283362742967027,0,1,1
"80","YLR030W","chrXII",135.59204254862,0.699376151740534,0.411290983533236,0.278090588706746,0.780942820040539,1
"81","YLR031W","chrXII",60.2835288066179,0.960853467426362,0.446989996049652,0.840854316087673,0.400429553955579,1
"82","YLR032W","chrXII",544.760205531927,0.79781801892158,0.248065606231742,0.857910220422763,0.390942040212212,1
"83","YLR033W","chrXII",647.659444663044,0.56786686622386,0.239556172772194,0,1,1
"84","YLR034C","chrXII",820.597326184836,-0.0446984568525482,0.235207235408,0,1,1
"85","YLR035C","chrXII",206.473259513086,0.370275355385115,0.275038046142378,0,1,1
"86","YLR036C","chrXII",128.736547197341,0.0978570820850841,0.413646028429422,0,1,1
"87","YLR037C","chrXII",130.935458976309,0.214511823824881,0.313475227341235,0,1,1
"88","YLR038C","chrXII",13298.6495337736,-0.0362696590229808,0.245733447709331,0,1,1
"89","YLR039C","chrXII",612.186445321933,0.881201922333076,0.224783845910321,1.31771890072229,0.187597765015478,1
"90","YLR042C","chrXII",33.9258007245842,-0.292268795443548,0.48356401489872,0,1,1
"91","YLR043C","chrXII",2101.25824788587,0.104431076207456,0.25147882560911,0,1,1
"92","YLR044C","chrXII",1530.87065493737,-0.867208651520791,0.372436172722012,-0.757736955189454,0.448608470963996,1
"93","YLR045C","chrXII",1201.0689201521,0.577093288256834,0.273259709968427,0,1,1
"94","YLR046C","chrXII",414.002046325825,0.585161458513679,0.461832311376627,0.000349604195509225,0.999721056215694,1
"95","YLR047C","chrXII",335.382820355093,0.899817993987036,0.275234646547908,1.14381673214327,0.2526996492297,1
"96","YLR048W","chrXII",5871.93561601671,0.933056515949756,0.268043055537526,1.29850973102725,0.194112234663435,1
"97","YLR049C","chrXII",803.686318588692,0.169115855307184,0.301333492290895,0,1,1
"98","YLR050C","chrXII",930.79890427134,0.336296727127894,0.229963910684527,0,1,1
