"","genes","chr","sampleMean","ancMean","sampleOverAnc"
"1","YAL001C","chrI",918.342112980377,732.538420819994,1.25364361360377
"2","YAL002W","chrI",864.751761865,813.218876857579,1.06336902213406
"3","YAL003W","chrI",15897.4115812848,7004.43232136521,2.26962169836288
"4","YAL005C","chrI",10834.4073258697,12293.1028296038,0.881340331732905
"5","YAL007C","chrI",1987.12822589705,958.431756266159,2.07331217158169
"6","YAL008W","chrI",1604.35398157816,1312.02837638089,1.22280433141517
"7","YAL009W","chrI",603.150272500603,371.604686139811,1.62309651895422
"8","YAL010C","chrI",623.446559316777,467.465061188895,1.33367520073303
"9","YAL011W","chrI",360.04589314201,282.288647973606,1.27545296534799
"10","YAL012W","chrI",7662.65518094362,7749.86959732033,0.988746337563297
"11","YAL013W","chrI",690.518890078761,590.712937205122,1.16895846795883
"12","YAL014C","chrI",725.732951873064,611.44100771208,1.18692227495281
"13","YAL015C","chrI",1239.79073577017,988.414900077073,1.25432218360276
"14","YAL016C-B","chrI",42.4598758315546,59.6315672332752,0.712036892564873
"15","YAL016W","chrI",3565.67025058392,2835.33378445704,1.25758394659933
"16","YAL017W","chrI",1552.71910396259,1554.57877612207,0.998803745305131
"17","YAL019W","chrI",1242.89947003015,711.168713718334,1.7476858107715
"18","YAL020C","chrI",303.248125291281,273.912349464564,1.10709913548645
"19","YAL021C","chrI",1357.53722050566,972.873481227255,1.3953892738377
"20","YAL022C","chrI",982.182822767765,661.49436632885,1.48479393440441
"21","YAL023C","chrI",2999.88713931269,1754.43302776603,1.70988980020088
"22","YAL024C","chrI",301.324358441969,180.315213885899,1.67109780671443
"23","YAL025C","chrI",1510.78665987029,621.350594969301,2.43145604446542
"24","YAL026C","chrI",1158.33575091371,716.353048360274,1.61699004920148
"25","YAL027W","chrI",375.72003497426,265.102456096067,1.41726350071275
"26","YAL028W","chrI",347.886763106799,454.806372984829,0.764911803727964
"27","YAL029C","chrI",1991.39095526317,1582.57779248631,1.25832105361127
"28","YAL030W","chrI",1319.24759469473,1064.66080059912,1.2391247935045
"29","YAL031C","chrI",679.501284366228,496.966977553783,1.36729665160235
"30","YAL032C","chrI",682.563934702083,387.744743028161,1.76034349136878
"31","YAL033W","chrI",340.44391727056,197.901270127526,1.72027151241212
"32","YAL034C","chrI",1858.79091844522,2291.33573494412,0.811225910763597
"33","YAL034W-A","chrI",264.847519406521,130.815177736292,2.02459320080138
"34","YAL035W","chrI",4694.41841423277,2666.62880677082,1.76043189900042
"35","YAL036C","chrI",1283.33647682855,524.132534694479,2.44849611859454
"36","YAL037W","chrI",369.108887789182,288.821399780483,1.27798316907861
"37","YAL038W","chrI",44553.9357295854,35676.2651632887,1.24883968446988
"38","YAL039C","chrI",1449.18485936871,951.899004459282,1.52241451307317
"39","YAL040C","chrI",905.458397673137,646.659728049268,1.40020842244896
"40","YAL041W","chrI",1182.3131012321,674.058814092413,1.75402068263736
"41","YAL042W","chrI",2972.5760931368,2397.16389018036,1.24003874132826
"42","YAL043C","chrI",891.350981740536,663.683193762932,1.34303684365846
"43","YAL044C","chrI",5310.11884186522,3707.12472656736,1.43240900523522
"44","YAL044W-A","chrI",330.500417171305,241.180104706806,1.37034693459928
"45","YAL046C","chrI",531.787206875205,286.896489996381,1.85358561508338
"46","YAL047C","chrI",485.515930488183,349.451469416378,1.38936582896345
"47","YAL048C","chrI",511.767607986875,407.481262178101,1.25592918126182
"48","YAL049C","chrI",1486.67117257557,1151.23932289448,1.2913658724215
"49","YAL051W","chrI",1097.78472897321,996.859684309488,1.10124297958105
"50","YAL053W","chrI",4990.77841418998,2780.33091238335,1.79503036561637
"51","YAL054C","chrI",490.892205374492,555.545458752268,0.883622028838136
"52","YAL055W","chrI",499.482402458206,313.603989843055,1.59271698905417
"53","YAL056W","chrI",1897.31853521785,1579.74964547273,1.20102482102478
"54","YAL058W","chrI",556.291676205579,422.740227256338,1.31591847744421
"55","YAL059W","chrI",231.006084644646,104.507542253706,2.2104250053441
"56","YAL060W","chrI",3782.14090323499,5039.86107750111,0.750445467657665
"57","YAL061W","chrI",2838.98612615153,4346.86957191749,0.653110492316705
"58","YAL062W","chrI",1267.29477047959,2038.39888698016,0.621710882288136
"59","YAL063C","chrI",706.542066327195,573.212878075833,1.23259977811197
"60","YAL067C","chrI",578.25636846358,383.412403731367,1.50818378027417
"61","YAR002C-A","chrI",3706.76397953734,2003.87433740457,1.84979861778077
"62","YAR002W","chrI",1257.71365883018,703.422466727992,1.78799188015774
"63","YAR003W","chrI",879.327012855118,506.284877818073,1.73682259016848
"64","YAR007C","chrI",1219.13821157418,805.085642861713,1.51429630174586
"65","YAR008W","chrI",258.327708053355,117.299860156679,2.20228487662562
"66","YAR014C","chrI",1389.61379572006,832.367318312352,1.66947183670971
"67","YAR015W","chrI",4239.93390032363,4387.29735688111,0.966411336052627
"68","YAR018C","chrI",363.633345481851,268.447878066243,1.35457708997841
"69","YAR019C","chrI",635.640880917368,566.761489350893,1.12153153109496
"70","YAR020C","chrI",88.9712504376202,82.9076479974347,1.07313682858755
"71","YAR023C","chrI",280.643172073094,269.412649973494,1.04168520706323
"72","YAR027W","chrI",2297.04345812135,2106.60450166429,1.09040090643811
"73","YAR028W","chrI",1369.03881334791,1203.77888954076,1.13728428471627
"74","YAR029W","chrI",100.252266973113,86.2577039980114,1.16224131093756
"75","YAR030C","chrI",100.981053321621,100.168251911311,1.00811436153473
"76","YAR031W","chrI",223.391676508816,203.243696902941,1.09913212519204
"77","YAR033W","chrI",285.555885536866,232.262068806604,1.22945553272686
"78","YAR035W","chrI",115.021981727502,126.631662512171,0.908319289549301
"79","YAR042W","chrI",1193.46333225508,1059.22645039841,1.12673105151989
"80","YAR050W","chrI",314.818513648935,268.734965868225,1.17148325909814
"81","YAR071W","chrI",49.7513930718099,56.6383770406172,0.878404284715497
"82","YBL001C","chrII",2411.40793890444,2965.59100569577,0.813128962919379
"83","YBL002W","chrII",1512.50141816859,935.051142268059,1.61756009890525
"84","YBL003C","chrII",2257.28432216581,1439.09853533284,1.56854049027555
"85","YBL004W","chrII",911.846642511379,994.616273243235,0.916782348169348
"86","YBL005W","chrII",856.093274459581,1062.33010013797,0.805863708792961
"87","YBL006C","chrII",518.116323392567,492.048877577022,1.0529773504289
"88","YBL007C","chrII",1785.73739537242,2192.68196810946,0.814407844522975
"89","YBL008W","chrII",387.345512856113,358.410186857549,1.08073243188834
"90","YBL009W","chrII",165.647315364729,136.516787334826,1.21338421888333
"91","YBL010C","chrII",227.803334120649,173.143142499522,1.31569365573504
"92","YBL011W","chrII",527.320152745182,601.054827039235,0.877324545154615
"93","YBL013W","chrII",23.1503749173312,20.328206142871,1.1388301926213
"94","YBL014C","chrII",399.561904063596,344.300865269806,1.16050217808917
"95","YBL015W","chrII",1471.13984295031,2770.09048158526,0.531080068586212
"96","YBL016W","chrII",83.542202730795,86.8110264651734,0.962345523748763
"97","YBL017C","chrII",1995.82884609258,2645.51116469321,0.75442087439613
"98","YBL018C","chrII",307.546273477607,207.424895111861,1.48268737613078
"99","YBL019W","chrII",458.438874685947,547.307423972535,0.837625902017642
