"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YBL043W","chrII",611.484733037569,1.90393553503064,0.621223293822064,3.06481671560754,0.00217803428362022,0.0810995903975773
"2","YBL059C-A","chrII",690.861380512846,1.95451489997508,0.651914232566577,2.99811662690685,0.00271653695095121,0.0898955158826269
"3","YBR294W","chrII",2128.41941219614,2.10759355038307,0.433582406093266,4.86088346935764,1.16863033635394e-06,0.000305862430760271
"4","YBR297W","chrII",771.704954083308,2.14420802643558,0.573437531624343,3.73921815051381,0.000184593485782819,0.016607645174023
"5","YDL218W","chrIV",1688.96271330445,-1.85406906843666,0.396400456944704,-4.67726269219536,2.9072971980242e-06,0.000643854510239359
"6","YDR253C","chrIV",1238.5125843308,1.10608402324552,0.305063619897458,3.6257486999509,0.000288125448157802,0.0243974460366562
"7","YDR453C","chrIV",1260.75933468453,-1.68266730110092,0.28099785850945,-5.9881854973081,2.12194975471759e-09,2.03636444794398e-06
"8","YEL024W","chrV",6380.34474125913,2.7790462039571,0.872900347535765,3.18369240177583,0.00145409441470882,0.0615637914698042
"9","YEL044W","chrV",1027.90612818369,1.21334331773912,0.353522645528929,3.43215161202405,0.000598812696950785,0.0359162865525273
"10","YEL050C","chrV",626.531320735981,1.1838145301086,0.347211913324259,3.40948707310927,0.000650851623307427,0.0374760364700416
"11","YEL052W","chrV",1706.30199485651,1.27535261704634,0.436091991585597,2.92450364064072,0.00345006044016288,0.099570707232439
"12","YEL053C","chrV",696.110555269661,1.09399194410501,0.334351686948506,3.27197973513887,0.0010679723067274,0.0526640584346339
"13","YEL063C","chrV",1437.90362606916,0.857797220343235,0.24987069443033,3.43296448708758,0.000597020290708129,0.0359162865525273
"14","YEL066W","chrV",884.786973390989,1.58015342393197,0.472578526291778,3.34368435301344,0.000826737438530177,0.0440773534357107
"15","YEL072W","chrV",857.308210839983,1.00122134231365,0.234638555551381,4.26707938071329,1.9804870334361e-05,0.00300095903645396
"16","YER005W","chrV",847.799944242725,0.768281783659529,0.256953152299791,2.98996831439204,0.00279006387505131,0.0905002183789533
"17","YER030W","chrV",1224.6701281205,1.36429616741858,0.448781162738057,3.04000319241315,0.00236575640958276,0.0810995903975773
"18","YER035W","chrV",1232.44791973879,0.953928392956083,0.311839503452008,3.05903640300945,0.00222050166239117,0.0810995903975773
"19","YER048W-A","chrV",1086.37885804831,0.963088007038864,0.269716641947021,3.57074001843771,0.000355974089436355,0.0269697211444017
"20","YER050C","chrV",830.228593849378,1.39760827836324,0.398503667980516,3.50714031177142,0.00045295024493018,0.0318059452476583
"21","YER051W","chrV",843.979219342453,1.01937035503462,0.319355663064201,3.1919595389473,0.00141311126138095,0.0607216018136681
"22","YER061C","chrV",1238.07806175667,0.794308730838906,0.25670779212807,3.09421355796878,0.00197335385352125,0.0778258321135297
"23","YER065C","chrV",7417.16367325273,3.74968596990173,1.11189025570824,3.37235257765011,0.000745289735023719,0.0412632528294863
"24","YER074W-A","chrV",1085.45799931439,0.874938986835961,0.299253184674955,2.9237416062466,0.00345851709734071,0.099570707232439
"25","YER092W","chrV",774.143992770569,1.26841985317977,0.256183384752367,4.95121826267482,7.37503314580988e-07,0.000212327204267866
"26","YER115C","chrV",661.52050906605,0.921351778568769,0.265165562238479,3.47462834461189,0.000511561577780264,0.0343818721708425
"27","YER116C","chrV",794.850982256319,1.10233498783819,0.309561940143445,3.56095128273,0.000369513644466933,0.0272776867287257
"28","YER123W","chrV",606.951590852802,1.01211781693827,0.295415790697772,3.42607893284124,0.000612362399171287,0.0359794152492681
"29","YER145C","chrV",1114.67789710494,1.43402045692277,0.244277618818805,5.8704537233371,4.34604083220603e-09,3.12806288898029e-06
"30","YER158C","chrV",1778.38813131821,1.21040085770582,0.288461451187304,4.19605757623357,2.71601230065884e-05,0.0039096997067984
"31","YER159C","chrV",981.675120056103,0.939890980552323,0.300467051762967,3.12809998646303,0.00175940317903747,0.0713425598936459
"32","YER167W","chrV",1067.92750609532,0.867267202156847,0.268451770918444,3.23062574401987,0.00123519559074854,0.0553018364957554
"33","YER174C","chrV",658.958464713066,1.42807620792203,0.485532622319845,2.94125696662516,0.00326883238861783,0.0982894241822158
"34","YER182W","chrV",1189.62579793949,1.69416439985347,0.544085436983787,3.11378376389801,0.00184704802520847,0.0738562675635443
"35","YER186C","chrV",1588.02427023493,1.97449049724965,0.605753203445837,3.25956261727998,0.00111584146040732,0.0526640584346339
"36","YFL007W","chrVI",1412.65342378421,-1.05485889038377,0.235879248152256,-4.47202922108211,7.74808367301111e-06,0.00131216075850582
"37","YGL188C","chrVII",924.661059076324,1.9218115715655,0.653915137442354,2.93893115715633,0.00329346219226404,0.0982894241822158
"38","YGL255W","chrVII",38195.4137000531,2.35680302261338,0.535331329839961,4.40251278272459,1.07004283277453e-05,0.00171147406419882
"39","YGL256W","chrVII",7778.16410107943,2.85766615757678,0.560346474773033,5.09981999750114,3.39976641887803e-07,0.000108754750221665
"40","YGL257C","chrVII",1158.96873480411,0.921785366006949,0.257357112920209,3.58173650437529,0.000341317954185027,0.0265582267594241
"41","YGR088W","chrVII",1071.09166519535,-1.4944483412664,0.360597606456203,-4.14436567106807,3.40755628930172e-05,0.00445925207131802
"42","YGR110W","chrVII",546.416355131061,1.77427832173395,0.583646559354224,3.03998763172202,0.00236587864218543,0.0810995903975773
"43","YGR256W","chrVII",1746.73854576039,-1.49225794092144,0.460840843301042,-3.23811997702346,0.00120320198833722,0.054984421022585
"44","YHL048W","chrVIII",2070.84132738329,1.40650159706905,0.349008778889598,4.02998916400886,5.57794241740827e-05,0.00698212879118191
"45","YHR087W","chrVIII",1591.92675099894,-1.57044955001366,0.40499990288575,-3.87765413972625,0.000105468506343172,0.0104704768883445
"46","YHR139C","chrVIII",4040.37812330343,-1.91296758589599,0.553326477676799,-3.45721316993142,0.000545792920326154,0.0349186181693111
"47","YHR216W","chrVIII",1633.192516315,-2.19778390555698,0.558173464859537,-3.93745680137275,8.23497508606027e-05,0.00911865125875674
"48","YIL024C","chrIX",516.098036833119,1.6001626351709,0.544786434232303,2.93722922345855,0.00331159227011981,0.0982894241822158
"49","YIL056W","chrIX",1609.34039366138,1.31940803275578,0.238872102931089,5.52349151100497,3.32328355826904e-08,1.5946222273761e-05
