"","genes","chr","sampleMean","ancMean","sampleOverAnc"
"1","YAL001C","chrI",358.584997646228,352.379098912333,1.01761142687818
"2","YAL002W","chrI",259.826747125746,291.498619259924,0.891348122970225
"3","YAL003W","chrI",2860.48332809606,2916.66617316793,0.980737307001835
"4","YAL005C","chrI",9062.51362362168,8630.28104857054,1.05008325599347
"5","YAL007C","chrI",213.140313023583,214.92567069332,0.991693139009507
"6","YAL008W","chrI",2182.88155083935,2121.50318388115,1.02893154600217
"7","YAL009W","chrI",244.006094048401,216.521246184104,1.12693834138072
"8","YAL010C","chrI",117.574550685924,97.6037116585446,1.20461147110107
"9","YAL011W","chrI",140.43255272165,136.506327588397,1.02876222078944
"10","YAL012W","chrI",444.360725651408,327.024708025455,1.35879863125455
"11","YAL013W","chrI",421.24440140185,383.644873868451,1.09800607304945
"12","YAL014C","chrI",265.27710136204,251.311480101602,1.05557096418672
"13","YAL015C","chrI",368.214752047723,284.840495121144,1.29270506952012
"14","YAL016W","chrI",1431.47076532198,1398.50005890971,1.02357576333459
"15","YAL017W","chrI",1024.60302978971,1082.10516951155,0.946860858498818
"16","YAL019W","chrI",204.977387662341,237.463128458492,0.86319669496888
"17","YAL020C","chrI",134.66942237493,124.963066540899,1.07767379676822
"18","YAL021C","chrI",349.390002834832,386.668094906024,0.903591497301448
"19","YAL022C","chrI",261.765676341083,232.765914014247,1.12458766761297
"20","YAL023C","chrI",215.854763426036,332.79739630148,0.64860712801519
"21","YAL024C","chrI",52.2344666671872,51.7054350529053,1.01023164419254
"22","YAL025C","chrI",381.461125960443,421.142524058828,0.905776795665398
"23","YAL026C","chrI",170.733467268291,161.080010740173,1.05992957464901
"24","YAL027W","chrI",325.725028842492,324.3348642443,1.00428620155107
"25","YAL028W","chrI",117.718436979872,124.87642993277,0.942679391485232
"26","YAL029C","chrI",280.652874203689,362.888970151437,0.773384966995746
"27","YAL030W","chrI",1126.05892173709,893.842247910195,1.25979603713051
"28","YAL031C","chrI",218.187452101705,224.54724718538,0.971677252055443
"29","YAL032C","chrI",395.784510953846,305.906667280064,1.29380805744746
"30","YAL033W","chrI",197.949606045,156.093635798642,1.26814655211409
"31","YAL034C","chrI",1758.73297626736,2273.57655994396,0.773553443175323
"32","YAL034W-A","chrI",74.453573389749,43.0646719127525,1.72887822158704
"33","YAL035W","chrI",796.413357988546,844.054656726555,0.943556618806211
"34","YAL036C","chrI",199.443898481367,207.40463120189,0.961617382049807
"35","YAL037W","chrI",187.35916777265,162.722421000319,1.15140351661977
"36","YAL038W","chrI",5035.94678981413,5664.79363950012,0.88899033403422
"37","YAL039C","chrI",1414.14050990833,1654.17886030214,0.854889724349419
"38","YAL040C","chrI",111.362351531226,178.820495404901,0.622760558173547
"39","YAL041W","chrI",202.60996350628,198.686837036381,1.0197452761764
"40","YAL042W","chrI",706.802175090269,683.247175353158,1.03447507810762
"41","YAL043C","chrI",251.9342913422,233.142173880177,1.08060368121848
"42","YAL044C","chrI",3112.71157624641,2394.09919750616,1.30015981772551
