"","genes","chr","sampleMean","ancMean","sampleOverAnc"
"1","YAL001C","chrI",1649.14154160965,963.339843343894,1.71190006621675
"2","YAL002W","chrI",972.019027511125,541.5474113844,1.79489183601908
"3","YAL003W","chrI",3329.59366864838,2014.88657309362,1.65249682692371
"4","YAL005C","chrI",7332.42202197725,5833.51882839905,1.25694666249831
"5","YAL007C","chrI",942.107760492989,682.165860609311,1.3810538094819
"6","YAL008W","chrI",1085.96759613646,952.512163906896,1.14010890074325
"7","YAL009W","chrI",273.643518726355,214.871302032985,1.27352287689097
"8","YAL010C","chrI",420.356803891328,331.089077001529,1.26961845947393
"9","YAL011W","chrI",299.138868279541,175.406386866516,1.70540465272331
"10","YAL012W","chrI",767.841535614324,438.557219772073,1.75083546911709
"11","YAL013W","chrI",795.257731276158,491.981608557059,1.61643792663019
"12","YAL014C","chrI",474.429890115773,308.740461605726,1.5366625017282
"13","YAL015C","chrI",604.136706116454,406.563369352573,1.48595951248265
"14","YAL016C-B","chrI",41.4748394477338,16.3286565584298,2.54000317168298
"15","YAL016W","chrI",4106.23715583719,2659.28414149799,1.5441137303681
"16","YAL017W","chrI",1909.31523195504,1119.22671083859,1.70592357514811
"17","YAL019W","chrI",822.858802876487,459.576904043668,1.7904703122294
"18","YAL020C","chrI",225.240854388943,142.907717853153,1.57612799205423
"19","YAL021C","chrI",2053.87487743416,1275.2471446244,1.61057006564723
"20","YAL022C","chrI",360.83574000233,242.296142220317,1.48923435881297
"21","YAL023C","chrI",2506.14431335984,1337.49384732849,1.87376137719483
"22","YAL024C","chrI",410.498960356397,210.824745031922,1.94710995758226
"23","YAL025C","chrI",683.4182552437,519.313885107065,1.31600227693277
"24","YAL026C","chrI",676.904786095067,390.156965314643,1.73495502136986
"25","YAL027W","chrI",258.051999072925,223.910036585929,1.15248071505671
"26","YAL028W","chrI",248.460484035229,165.880817488121,1.49782529286741
"27","YAL029C","chrI",812.958490831953,522.884314945892,1.55475784527229
"28","YAL030W","chrI",998.512035370401,719.327849687691,1.38811813807004
"29","YAL031C","chrI",517.267533991006,331.907701583022,1.55846800638827
"30","YAL032C","chrI",510.710317728303,365.426668134405,1.39757265208806
"31","YAL033W","chrI",164.500333961838,120.361654194982,1.36671712483572
"32","YAL034C","chrI",2237.03700813191,1421.42216661629,1.5738019714841
"33","YAL034W-A","chrI",320.938316836146,200.96962843954,1.59694934666557
"34","YAL035W","chrI",2400.27780709469,1359.13304960892,1.7660359357646
"35","YAL036C","chrI",509.78932897242,388.700257666434,1.31152300241051
"36","YAL037W","chrI",104.644947748787,97.958931045534,1.06825326319808
"37","YAL038W","chrI",1830.39184006611,1162.8655848179,1.57403560993057
"38","YAL039C","chrI",1253.64026496176,775.76712800371,1.61600075552024
"39","YAL040C","chrI",1507.13757744081,1179.81584568787,1.27743459536441
"40","YAL041W","chrI",631.488077793236,401.945609386901,1.57107843212036
"41","YAL042W","chrI",1538.83406460175,1123.22609388329,1.37001274541405
"42","YAL043C","chrI",872.925594497747,491.945716647465,1.77443479017685
"43","YAL044C","chrI",3462.69189628701,2674.3095297886,1.29479847329442
"44","YAL044W-A","chrI",221.637585470379,194.620841900766,1.13881731938755
"45","YAL046C","chrI",715.566499046214,428.895343742834,1.66839418866545
"46","YAL047C","chrI",342.643576900489,237.907029700223,1.4402414982535
"47","YAL048C","chrI",462.658815141404,284.85368213931,1.62419812047624
"48","YAL049C","chrI",3494.62542454378,2785.69267627172,1.2544906530109
"49","YAL051W","chrI",900.045903111555,538.3346809452,1.67190770903199
"50","YAL053W","chrI",2150.35487082467,1491.37799916095,1.44185771282295
"51","YAL054C","chrI",48347.4604306004,35259.1043401062,1.3712050074853
"52","YAL055W","chrI",246.94275056794,147.277949235439,1.67671231063366
"53","YAL056W","chrI",2182.19308254087,1431.74219471832,1.52415224653639
"54","YAL058W","chrI",229.084909790151,169.507869655431,1.35147064414075
"55","YAL059W","chrI",84.6989038473499,54.5802001611701,1.5518247202693
"56","YAL060W","chrI",7367.11337510815,4656.80784901875,1.58200931066127
"57","YAL061W","chrI",4416.94310768503,2747.64315839681,1.60753884440446
"58","YAL062W","chrI",18435.8490180087,13280.6246447057,1.38817634796705
"59","YAL063C","chrI",101.359770853674,92.1845806201605,1.09953063920005
"60","YAL067C","chrI",169.832580976921,196.49205836694,0.864322875888279
"61","YAR002C-A","chrI",2441.83305815853,1712.9227843834,1.42553597886639
"62","YAR002W","chrI",794.553111622919,536.303350093736,1.48153673006899
"63","YAR003W","chrI",574.561692696252,374.797623251719,1.53299182559215
"64","YAR007C","chrI",2228.04552811069,1215.42799444926,1.83313658915703
"65","YAR008W","chrI",534.922728943205,341.432255921316,1.56670238287761
"66","YAR014C","chrI",1260.87081173844,873.363798855623,1.4436948421615
"67","YAR015W","chrI",2943.9090789508,1843.48867410566,1.59692279117418
"68","YAR018C","chrI",495.208444503777,323.097189019428,1.53269189994098
"69","YAR019C","chrI",496.08583677599,343.706066592705,1.4433432662213
"70","YAR020C","chrI",67.1271028765749,62.0070261632627,1.08257252492373
"71","YAR023C","chrI",377.214044852781,237.94872261364,1.58527451086706
"72","YAR027W","chrI",301.848725496624,332.662951243982,0.907371032355333
"73","YAR028W","chrI",347.284616260161,254.431375534968,1.36494414468325
"74","YAR029W","chrI",80.7291432830265,56.2196429994796,1.43595972823545
