"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YOL001W","chrXV",555.323926081062,0.772213884610799,0.514780377988749,0.363677196365263,0.716099073650532,1
"2","YOL002C","chrXV",384.460017672524,0.663190921167229,0.395731124462598,0.197585977785833,0.843369006621198,1
"3","YOL003C","chrXV",387.108105528392,1.14534475100328,0.416539465640436,1.3452380800022,0.17854836248463,1
"4","YOL004W","chrXV",1130.65159352685,0.684624019286299,0.367937981185555,0.270763075247885,0.786573261020855,1
"5","YOL005C","chrXV",664.530993628266,0.533999328110569,0.620203256023302,0,1,1
"6","YOL006C","chrXV",736.528636636989,0.000890431265860254,0.293494186676976,0,1,1
"7","YOL007C","chrXV",889.650430542629,-0.740760267527966,0.728409164846769,-0.213836227006743,0.830674773231094,1
"8","YOL008W","chrXV",211.69249200204,0.947415641051857,0.386987706834081,0.936504273008448,0.349013613559077,1
"9","YOL009C","chrXV",510.792009771951,0.851972799976628,0.443783610247414,0.601583280256311,0.547451561104399,1
"10","YOL010W","chrXV",389.603195368428,-0.00401088234112766,0.410793574139514,0,1,1
"11","YOL011W","chrXV",1244.44838381436,-0.205434663655706,0.405863370594952,0,1,1
"12","YOL012C","chrXV",990.581341073302,0.031367899173075,0.36413727582384,0,1,1
"13","YOL013C","chrXV",1006.96337309859,1.15841562990534,0.657411412217756,0.872232546086992,0.383081527754805,1
"14","YOL014W","chrXV",103.221154316155,-2.05521409061227,0.77520738486486,-1.89654293717618,0.0578882879463762,1
"15","YOL015W","chrXV",109.97146755001,-1.43172318881443,0.476733514096491,-1.77609327596603,0.0757175443369203,1
"16","YOL016C","chrXV",2907.02309455008,-0.786779727744406,0.462284728974819,-0.436483654114815,0.662485856271915,1
"17","YOL017W","chrXV",538.259892148896,0.409569892228611,0.396398383729996,0,1,1
"18","YOL018C","chrXV",607.548400049266,0.466563101375374,0.535186350516564,0,1,1
"19","YOL019W","chrXV",524.137387423044,-0.800127776687288,0.466000517120215,-0.461647077167922,0.644334428778866,1
"20","YOL020W","chrXV",976.225536781811,0.34799626519416,0.455421538494944,0,1,1
"21","YOL021C","chrXV",671.51061920479,0.211626613823446,0.379321180549884,0,1,1
"22","YOL022C","chrXV",621.551922147711,0.184195960483104,0.574741900495119,0,1,1
"23","YOL023W","chrXV",151.107841472747,0.972014071135476,0.433932689611299,0.89187581484619,0.372459499175207,1
"24","YOL024W","chrXV",35.4051562280719,0.595735498199636,0.567866765231803,0.0189049595026996,0.984916923137855,1
"25","YOL025W","chrXV",883.659648165357,1.07855757488526,0.485881698110706,1.01579783063327,0.309725669295927,1
"26","YOL026C","chrXV",808.334203063246,0.369817699731773,0.782401957003201,0,1,1
"27","YOL027C","chrXV",2349.7486505248,1.08030492760465,0.395474156524262,1.25243310955582,0.210412087977698,1
"28","YOL028C","chrXV",142.973374494993,-0.0276070039001828,0.457827604120274,0,1,1
"29","YOL029C","chrXV",212.943165775274,-0.0212403176808867,0.395430748661096,0,1,1
"30","YOL030W","chrXV",2562.27232100041,0.472701121373161,0.333007337038156,0,1,1
"31","YOL031C","chrXV",395.781760973551,0.802175098676365,0.326930319340622,0.664285585730867,0.506507544822511,1
"32","YOL032W","chrXV",1099.07913492873,0.847249399647384,0.557567359257615,0.470345681634881,0.638108065162907,1
"33","YOL033W","chrXV",203.450210823089,1.06531857312872,0.446158255403597,1.07656547270256,0.2816744362404,1
"34","YOL034W","chrXV",506.14887266305,0.1769900693194,0.3148291185991,0,1,1
"35","YOL035C","chrXV",29.8317583624632,0.871712763900776,0.568802668747323,0.504063675601602,0.614216631698483,1
"36","YOL036W","chrXV",1186.57272814565,0.544834874393695,0.384234480338286,0,1,1
"37","YOL038W","chrXV",2773.62261812166,0.475813827774583,0.457147021061712,0,1,1
"38","YOL039W","chrXV",1985.35758488581,0.197280615777111,0.410448759822533,0,1,1
"39","YOL040C","chrXV",4202.6269879621,0.732230416706649,0.336359508799501,0.437717420958689,0.661591139332601,1
"40","YOL041C","chrXV",307.320572547138,0.341237539419593,0.36425196769679,0,1,1
"41","YOL042W","chrXV",527.550272267363,1.25541804352532,0.449663367749019,1.49093319938732,0.135979033964776,1
"42","YOL043C","chrXV",507.809900921309,0.536588893315308,0.535646589518084,0,1,1
"43","YOL044W","chrXV",813.646369408255,0.331543048253535,0.306415861618278,0,1,1
"44","YOL045W","chrXV",346.356030773813,0.421166464371482,0.758122641163775,0,1,1
"45","YOL047C","chrXV",130.39432980878,-0.894765593356111,1.08089559686779,-0.286582343617411,0.774432135359395,1
"46","YOL048C","chrXV",1298.01166569271,0.835587559572831,0.757035178213445,0.331011776974753,0.740635589811858,1
"47","YOL049W","chrXV",1374.9912345138,0.88168002756129,0.303618850882368,0.977146269736176,0.328496743764286,1
"48","YOL051W","chrXV",1698.25385157367,0.560111034680896,0.417916982853167,0,1,1
"49","YOL052C","chrXV",473.223642272707,0.680691813611328,0.522840985393805,0.183022785674029,0.854780140203283,1
"50","YOL052C-A","chrXV",12535.1359606818,1.76460116760972,1.93250884563438,0.610398845146036,0.541597632975588,1
"51","YOL053W","chrXV",818.281109758088,0.993741360750569,0.360827268238108,1.13278955536377,0.257302638640448,1
"52","YOL054W","chrXV",711.477782947359,-0.0133047420698796,0.696192079082045,0,1,1
"53","YOL055C","chrXV",689.170917602097,0.283435421387288,0.447552337433713,0,1,1
"54","YOL056W","chrXV",75.8310474952717,0.240662262945449,0.497215886687987,0,1,1
"55","YOL057W","chrXV",713.575723555763,0.805478188791021,0.335532859646493,0.657098649066175,0.511117487504889,1
"56","YOL058W","chrXV",11659.0558578945,0.599694307266441,0.404967707799671,0.0362851333166295,0.971055004028847,1
"57","YOL059W","chrXV",1134.4672285332,0.640704908351248,0.585308662146092,0.0951718502627318,0.924178328710206,1
"58","YOL060C","chrXV",952.958733218439,0.98994353925219,0.438837546531971,0.922764112716341,0.356130146538832,1
"59","YOL061W","chrXV",923.389062914907,0.380167299520705,0.398772433245328,0,1,1
"60","YOL062C","chrXV",1074.27340440735,0.859003843911685,0.395332614791619,0.693096986334187,0.488248688798831,1
"61","YOL063C","chrXV",538.255639238458,0.887975325562746,0.415224084115218,0.729667033183641,0.465593736906751,1
"62","YOL064C","chrXV",908.911392586252,0.413346254453367,0.533278580056523,0,1,1
"63","YOL065C","chrXV",510.977310591216,1.11241515030637,0.602099371900394,0.875960306422015,0.381051612924861,1
"64","YOL066C","chrXV",533.046387257945,0.452619624204141,0.466831526850646,0,1,1
"65","YOL067C","chrXV",188.869991313658,-0.363975682071346,0.541806104958929,0,1,1
"66","YOL068C","chrXV",1008.31591634997,0.315747748115504,0.362331488416861,0,1,1
"67","YOL069W","chrXV",333.268504046597,0.134799155255559,0.499360004949584,0,1,1
"68","YOL070C","chrXV",672.388041420912,-0.514791373317444,0.348653001256602,0,1,1
"69","YOL071W","chrXV",728.451666624745,1.33550977843006,0.702595393508539,1.06819626966561,0.285431987115013,1
"70","YOL072W","chrXV",533.379391418897,0.452893980936925,0.55190238055978,0,1,1
"71","YOL073C","chrXV",752.132953038218,1.00149058518386,0.642723583851539,0.648008872940417,0.516979211423703,1
"72","YOL075C","chrXV",496.376340831566,1.0706704483248,0.344530992539847,1.40965677643248,0.158641053459849,1
