"","GENE","CHRM","MAAnc"
"1","YAL001C","chrI",NA
"2","YAL002W","chrI",NA
"3","YAL003W","chrI",NA
"4","YAL005C","chrI",NA
"5","YAL007C","chrI",NA
"6","YAL008W","chrI",NA
"7","YAL009W","chrI",NA
"8","YAL010C","chrI",NA
"9","YAL011W","chrI",NA
"10","YAL012W","chrI",NA
"11","YAL013W","chrI",NA
"12","YAL014C","chrI",NA
"13","YAL015C","chrI",NA
"14","YAL016W","chrI",NA
"15","YAL017W","chrI",NA
"16","YAL018C","chrI",NA
"17","YAL019W","chrI",NA
"18","YAL020C","chrI",NA
"19","YAL021C","chrI",NA
"20","YAL022C","chrI",NA
"21","YAL023C","chrI",NA
"22","YAL024C","chrI",NA
"23","YAL025C","chrI",NA
"24","YAL026C","chrI",NA
"25","YAL026C","chrI",NA
"26","YAL027W","chrI",NA
"27","YAL028W","chrI",NA
"28","YAL029C","chrI",NA
"29","YAL030W","chrI",NA
"30","YAL031C","chrI",NA
"31","YAL032C","chrI",NA
"32","YAL033W","chrI",NA
"33","YAL034C","chrI",NA
"34","YAL034W-A","chrI",NA
"35","YAL035W","chrI",NA
"36","YAL036C","chrI",NA
"37","YAL037C-A","chrI",NA
"38","YAL037W","chrI",NA
"39","YAL038W","chrI",NA
"40","YAL039C","chrI",NA
"41","YAL040C","chrI",NA
"42","YAL041W","chrI",NA
"43","YAL042W","chrI",NA
"44","YAL043C","chrI",NA
"45","YAL044C","chrI",NA
"46","YAL044W-A","chrI",NA
"47","YAL046C","chrI",NA
"48","YAL047C","chrI",NA
"49","YAL048C","chrI",NA
"50","YAL049C","chrI",NA
"51","YAL051W","chrI",NA
"52","YAL053W","chrI",NA
"53","YAL054C","chrI",NA
"54","YAL055W","chrI",NA
"55","YAL056W","chrI",NA
"56","YAL058W","chrI",NA
"57","YAL059W","chrI",NA
"58","YAL060W","chrI",NA
"59","YAL061W","chrI",NA
"60","YAL062W","chrI",NA
"61","YAL063C","chrI",NA
"62","YAL063C-A","chrI",NA
"63","YAL064C-A","chrI",NA
"64","YAL067C","chrI",NA
"65","YAR002C-A","chrI",NA
"66","YAR002W","chrI",NA
"67","YAR003W","chrI",NA
"68","YAR007C","chrI",NA
"69","YAR008W","chrI",NA
"70","YAR009C","chrI",NA
"71","YAR014C","chrI",NA
"72","YAR015W","chrI",NA
"73","YAR018C","chrI",NA
"74","YAR019C","chrI",NA
"75","YAR020C","chrI",NA
"76","YAR023C","chrI",NA
"77","YAR027W","chrI",NA
"78","YAR028W","chrI",NA
