"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YBR072W","chrII",1413.61915126723,-1.22203673046723,0.319607898105286,-3.82354984877335,0.000131543981767434,0.0215854761003491
"2","YBR189W","chrII",3304.30540557539,-0.848581452591741,0.277299626300942,-3.06016082283072,0.00221218168349,0.0876623860338918
"3","YBR191W","chrII",1986.69590948171,-0.908293339182784,0.26465595423246,-3.4319777229912,0.000599196775601988,0.041203590039925
"4","YDR150W","chrIV",4348.30197181166,0.811991247464967,0.268100485378561,3.0286824968572,0.00245622674558831,0.0899399970762454
"5","YDR309C","chrIV",1069.57903432708,0.907437033233662,0.288222599367366,3.14838959618517,0.0016417272561094,0.0703487534448419
"6","YDR497C","chrIV",6647.58772716367,0.799641013301763,0.246763905308286,3.24051044784187,0.00119315899706286,0.0628870475361969
"7","YDR500C","chrIV",2475.64563062261,-0.800689763764626,0.251456327220756,-3.1842100479806,0.00145149645072609,0.067871974035952
"8","YDR507C","chrIV",987.001146408123,0.823034525915192,0.272817431968078,3.01679595756731,0.00255461704522607,0.0918876100267468
"9","YEL011W","chrV",9482.76716918446,1.22291603712691,0.261157357500121,4.68267886010581,2.83149933814077e-06,0.00220668181752438
"10","YEL013W","chrV",1139.00170991697,0.964573848629761,0.265699285741377,3.63032157176608,0.000283068331635753,0.0271782203679622
"11","YEL020C","chrV",2927.25852167471,0.836146350606591,0.252626956756797,3.30980652793734,0.000933604787645592,0.0532382437442779
"12","YEL032W","chrV",1030.53928871111,1.09354539192541,0.273606427115559,3.99678254437915,6.420923329335e-05,0.0189975545038052
"13","YEL042W","chrV",1018.88112856244,0.901693346102698,0.280246165518059,3.21750466928188,0.00129310922199131,0.0643656280609336
"14","YEL052W","chrV",1774.31598292474,0.813292116672903,0.266522084148425,3.05149991330544,0.00227701114224509,0.0887275341761502
"15","YEL060C","chrV",15768.3946948546,1.15781184439873,0.297056762635027,3.8976114670086,9.71461112324437e-05,0.0207896147468997
"16","YEL063C","chrV",2011.82408132805,0.982657345798517,0.273421863600256,3.59392381011332,0.000325735123997331,0.0282062488853985
"17","YER001W","chrV",1745.2192150121,1.06811080740737,0.257959870536272,4.14060840233358,3.46385865120327e-05,0.0161970030530265
"18","YER003C","chrV",2779.79262642269,1.05323161003487,0.271041605628755,3.88586692287192,0.000101965355121962,0.0207896147468997
"19","YER015W","chrV",12614.053415286,1.13394714857924,0.341860446529321,3.3169884380935,0.00090993381966042,0.0532382437442779
"20","YER017C","chrV",1288.32310615564,0.961136481478203,0.321728261266461,2.9874170136461,0.00281345665635008,0.0980453935240559
"21","YER023W","chrV",1078.75374590707,0.842812094479142,0.263320418603896,3.20070923078303,0.00137089797322109,0.0667741554456441
"22","YER026C","chrV",2623.53849440765,1.23694637844996,0.248722231592362,4.97320392524151,6.58553214804544e-07,0.000769848708106512
"23","YER070W","chrV",3054.58618994644,1.19447486708637,0.316111070175189,3.77865560489354,0.000157677312818066,0.0215854761003491
"24","YER072W","chrV",1190.14844460648,0.95951787503841,0.264802261252348,3.62352598690243,0.000290613990247671,0.0271782203679622
"25","YER080W","chrV",2615.56925373688,0.903772001009678,0.248545684076679,3.63624097665222,0.000276645550336452,0.0271782203679622
"26","YER088C","chrV",3190.8551456629,0.920322384515778,0.30394009928074,3.02797290220566,0.00246200163082964,0.0899399970762454
"27","YER090W","chrV",2358.25177340313,0.931234589299557,0.277815113635742,3.35199398302192,0.000802317625013508,0.0506978001967995
"28","YER105C","chrV",1260.37565937143,0.919430782005405,0.264539158256227,3.47559426765418,0.000509722813153539,0.0372416230360304
"29","YER111C","chrV",875.136345144809,0.957942240830999,0.282216676599815,3.39435022895321,0.000687916558895939,0.0459528261342487
"30","YER123W","chrV",751.619049740804,0.807063115797029,0.271398683957077,2.97371786786066,0.00294215457170454,0.0996921360673219
"31","YER125W","chrV",2356.67678517584,0.970739204507154,0.288737273973277,3.36201554842205,0.000773757665711458,0.0502512617342608
"32","YER141W","chrV",2660.48203420407,1.0350835366723,0.260998128891383,3.9658657365435,7.31300216143059e-05,0.0189975545038052
"33","YER150W","chrV",3562.72286326655,0.973791250748452,0.277013028782549,3.51532653546366,0.000439213584740017,0.034229378704072
"34","YER155C","chrV",1643.03845165205,1.0129735298974,0.26142483174847,3.87481756466055,0.000106704609479383,0.0207896147468997
"35","YER158C","chrV",1698.60042131326,1.01527663953672,0.253618567532967,4.0031636855797,6.25010270016072e-05,0.0189975545038052
"36","YER166W","chrV",1292.16099464914,0.986330769215935,0.285779217182088,3.45137333267828,0.000557741488540871,0.0395151394002593
"37","YER178W","chrV",13177.8511404063,0.969375982389231,0.259250882400263,3.73914246082522,0.000184649068437545,0.0215854761003491
"38","YGR014W","chrVII",1562.82192260465,0.929060442472184,0.288767989391231,3.21732489958735,0.00129391981131903,0.0643656280609336
"39","YGR034W","chrVII",1418.4111167553,-0.858621457019172,0.287809666559912,-2.98329610426909,0.00285161965767143,0.0980453935240559
"40","YGR157W","chrVII",1954.36338602655,0.970879997580819,0.255789813199065,3.79561635171626,0.000147277102309747,0.0215854761003491
"41","YGR189C","chrVII",7698.1627656824,0.758585384899785,0.254127328945088,2.98506023751464,0.00283522484860495,0.0980453935240559
"42","YGR214W","chrVII",3219.65189339471,-0.811672179882704,0.254824602677283,-3.18521905402764,0.00144644474141765,0.067871974035952
"43","YHL015W","chrVIII",3868.07626404791,-0.966753219617195,0.273172165941154,-3.53898874098853,0.00040166298391404,0.0323823467721043
"44","YHL033C","chrVIII",641.601075004794,-0.881570574564357,0.286457180955693,-3.07749511331229,0.0020874826114717,0.0841471438900142
"45","YHR010W","chrVIII",2332.18765885316,-0.801575397506272,0.263978787040341,-3.03651443547158,0.00239330648535509,0.0899399970762454
"46","YHR021C","chrVIII",1628.80863271708,-1.05349885807031,0.281673051974728,-3.74014784405017,0.000183912048011958,0.0215854761003491
"47","YHR170W","chrVIII",654.430301768065,-0.945589414602385,0.29217161502794,-3.23641779682109,0.00121040082939643,0.0628870475361969
"48","YIL140W","chrIX",991.031401203952,0.898351947321373,0.294931545705583,3.04596765046679,0.00231932787549218,0.0888948946377167
"49","YIR019C","chrIX",2714.99576987016,2.36694779629104,0.279417148219555,8.4710183729711,2.43256862072403e-17,5.68734543525277e-14
"50","YJL136C","chrX",1600.12343236498,-0.910383827538397,0.272677795826921,-3.33867972189511,0.000841775576965506,0.0517913499722461
"51","YJL177W","chrX",1181.08359395332,-0.908258060731114,0.276388764235331,-3.28616129980515,0.00101562833507258,0.0565366439857072
"52","YJL190C","chrX",879.750118544178,-1.08900603720845,0.299993599638019,-3.63009757048977,0.000283314103797813,0.0271782203679622
"53","YJR123W","chrX",7731.05929740953,-0.81063397655985,0.258099780654107,-3.14077747181902,0.00168500008251118,0.0703487534448419
"54","YKL006W","chrXI",911.867057556192,-0.97494142864488,0.294126592402101,-3.31470004355144,0.000917415108566941,0.0532382437442779
"55","YLR044C","chrXII",1793.45169185047,-1.0595917633105,0.282871580488044,-3.74584029078625,0.00017979095113754,0.0215854761003491
"56","YLR167W","chrXII",7196.27121773701,-0.950552934579391,0.264434477440293,-3.59466338799946,0.00032481125474559,0.0282062488853985
"57","YLR287C-A","chrXII",2677.67155324432,-0.901660613406538,0.286812203874589,-3.14373168653868,0.00166808309826506,0.0703487534448419
"58","YLR325C","chrXII",1942.69266968835,-1.04325384064155,0.285966533404309,-3.64816759577444,0.000264117334178423,0.0271782203679622
"59","YLR388W","chrXII",737.41961081675,-1.2326532656035,0.309020613786381,-3.98890303950923,6.63795451491728e-05,0.0189975545038052
"60","YLR406C","chrXII",618.65663109303,-1.2516106691675,0.333542679031855,-3.75247531380525,0.000175097078804499,0.0215854761003491
"61","YML026C","chrXIII",2133.91120502922,-0.866296164214712,0.275271901165631,-3.14705627616333,0.00164923216131008,0.0703487534448419
"62","YMR096W","chrXIII",600.941822697009,-1.26186837082274,0.401679575003032,-3.14148004865125,0.00168096261092731,0.0703487534448419
"63","YMR120C","chrXIII",1467.39190077238,-1.30678723205292,0.36648694283155,-3.56571293360801,0.000362868399530819,0.0302995113608234
"64","YNL289W","chrXIV",1547.32254602277,1.48702729615585,0.356150392545361,4.17527911601684,2.97620913522947e-05,0.0161970030530265
"65","YOR293W","chrXV",2174.86737832537,-0.932481142848135,0.298438256196016,-3.12453622646715,0.00178085591706112,0.0730463356857702
"66","YOR312C","chrXV",3404.07883194401,-0.858736003859238,0.272555876689255,-3.15067873160664,0.00162891557488882,0.0703487534448419
"67","YPL131W","chrXVI",7891.61348980355,-0.893267035938279,0.256569391260953,-3.48158068095406,0.000498463590941094,0.0372416230360304
"68","YPL163C","chrXVI",2416.38228068908,1.08688205930044,0.333230742457207,3.26165002450222,0.00110765802844948,0.0602256853608112
"69","YPL256C","chrXVI",1266.98861282873,1.10198931399528,0.291298831042016,3.78302003496997,0.000154936937792165,0.0215854761003491
