tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length
15S_rRNA	-	-	15S_rRNA	15S_rRNA	TSS2208	MT:6545-8194	-
21S_rRNA	-	-	21S_rRNA	21S_rRNA	TSS4007	MT:58008-62447	-
HRA1	-	-	HRA1	HRA1	TSS6121	I:94686-99868	-
ICR1	-	-	ICR1	ICR1	TSS2366	IX:393883-397082	-
LSR1	-	-	LSR1	LSR1	TSS550	II:680687-681862	-
NME1	-	-	NME1	NME1	TSS3008	XIV:585586-585926	-
PWR1	-	-	PWR1	PWR1	TSS3888	IX:393883-397082	-
Q0010	-	-	Q0010	Q0010	TSS4877	MT:3951-4415	-
Q0017	-	-	Q0017	Q0017	TSS3119	MT:3951-4415	-
Q0032	-	-	Q0032	Q0032	TSS1175	MT:11666-11957	-
Q0045	-	-	Q0045	COX1	TSS6553	MT:13817-26701	-
Q0050	-	-	Q0050	AI1	TSS6553	MT:13817-26701	-
Q0055	-	-	Q0055	AI2	TSS6553	MT:13817-26701	-
Q0060	-	-	Q0060	AI3	TSS6553	MT:13817-26701	-
Q0065	-	-	Q0065	AI4	TSS6553	MT:13817-26701	-
Q0070	-	-	Q0070	AI5_ALPHA	TSS6553	MT:13817-26701	-
Q0075	-	-	Q0075	AI5_BETA	TSS4463	MT:13817-26701	-
Q0080	-	-	Q0080	ATP8	TSS804	MT:27665-27812	-
Q0085	-	-	Q0085	ATP6	TSS5396	MT:28486-29266	-
Q0092	-	-	Q0092	Q0092	TSS268	MT:30873-31014	-
Q0105	-	-	Q0105	COB	TSS5492	MT:36539-43647	-
Q0110	-	-	Q0110	BI2	TSS5492	MT:36539-43647	-
Q0115	-	-	Q0115	BI3	TSS5492	MT:36539-43647	-
Q0120	-	-	Q0120	BI4	TSS5492	MT:36539-43647	-
Q0130	-	-	Q0130	OLI1	TSS3210	MT:46722-46953	-
Q0140	-	-	Q0140	VAR1	TSS1768	MT:48900-50097	-
Q0142	-	-	Q0142	Q0142	TSS3142	MT:51051-51228	-
Q0143	-	-	Q0143	Q0143	TSS62	MT:51276-51429	-
Q0144	-	-	Q0144	Q0144	TSS2379	MT:54108-54438	-
Q0160	-	-	Q0160	SCEI	TSS1789	MT:58008-62447	-
Q0182	-	-	Q0182	Q0182	TSS6447	MT:65769-66179	-
Q0250	-	-	Q0250	COX2	TSS643	MT:73757-75984	-
Q0255	-	-	Q0255	Q0255	TSS6609	MT:73757-75984	-
Q0275	-	-	Q0275	COX3	TSS1213	MT:79212-80022	-
Q0297	-	-	Q0297	Q0297	TSS823	MT:85294-85777	-
RDN18-1	-	-	RDN18-1	RDN18-1	TSS5513	XII:451785-457732	-
RDN18-2	-	-	RDN18-2	RDN18-2	TSS4670	XII:460922-466869	-
