"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YPL001W","chrXVI",330.632528728226,0.875900442257947,0.315586834137599,0,0.652926769053302,1
"2","YPL002C","chrXVI",489.623026884153,0.63577818286133,0.318012517200695,0,0.873958902013126,1
"3","YPL004C","chrXVI",19109.1894144814,0.868020585439674,0.243145088134658,0,0.706366612568171,1
"4","YPL005W","chrXVI",526.238779648145,1.56135627310102,0.283186217290005,1.98228670333254,0.0237235806813243,0.13393312637811
"5","YPL006W","chrXVI",1956.32799488439,1.11266301570859,0.25292351458985,0.445443026091458,0.32799981221542,0.860517154400454
"6","YPL007C","chrXVI",344.949312646813,0.673384631050304,0.304984628124815,0,0.857898206381256,1
"7","YPL008W","chrXVI",574.388907039467,0.706234542127024,0.280348881810123,0,0.852647685850499,1
"8","YPL009C","chrXVI",927.301284924533,0.832605281390073,0.308905782225212,0,0.706054824339785,1
"9","YPL010W","chrXVI",1529.00463930798,0.23035809251246,0.303812582187603,0,0.994349944713766,1
"10","YPL011C","chrXVI",573.047894233595,0.782242382093957,0.284102395682447,0,0.778303384296716,1
"11","YPL012W","chrXVI",779.678627301784,0.837538870232048,0.284467994018831,0,0.716035808197758,1
"12","YPL013C","chrXVI",1481.8123065695,1.47900468910739,0.275211239920169,1.74049827778232,0.0408857811081014,0.198207156241448
"13","YPL015C","chrXVI",1272.04492891183,1.54276731654668,0.268770118091008,2.01944814550736,0.0217203308725753,0.127464046962745
"14","YPL016W","chrXVI",1577.66866679869,1.51311400714559,0.258600894714724,1.98419269860468,0.0236171810982168,0.13393312637811
"15","YPL017C","chrXVI",890.953976625543,1.4622160631152,0.284138152678839,1.62673002114448,0.0518972248865626,0.241124935466985
"16","YPL019C","chrXVI",1097.37091675992,1.28801344445896,0.269510034191604,1.06865573789437,0.142612411492038,0.493857178818826
"17","YPL020C","chrXVI",659.560093233162,0.968417611022667,0.275839436368145,0,0.545577514540856,1
"18","YPL022W","chrXVI",1000.1975848873,0.94899673906787,0.281152450675138,0,0.571976270220465,1
"19","YPL023C","chrXVI",1183.64145304583,1.10779662125464,0.263651328489427,0.408860527546937,0.341321008924509,0.874880287243282
