"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YIL001W","chrIX",504.396353360211,0.674656540151933,0.223344762684599,0.401426651219679,0.688106030810006,1
"2","YIL002C","chrIX",593.819933553495,0.733737207378856,0.21075141076776,0.705747149388045,0.48034539403206,1
"3","YIL002W-A","chrIX",340.192570013709,0.608985487182254,0.333950102106235,0.0718235659488562,0.942742318335511,1
"4","YIL003W","chrIX",489.836455757805,0.376221893970412,0.224011669671467,0,1,1
"5","YIL004C","chrIX",458.157576484361,0.710418562772052,0.25960647452824,0.483110303777916,0.629017418360518,1
"6","YIL005W","chrIX",1306.96457609179,0.624825785065627,0.199068536316227,0.200060671578769,0.841433131054491,1
"7","YIL006W","chrIX",213.035473386903,0.446933858533504,0.25151765770033,0,1,1
"8","YIL007C","chrIX",832.631658674013,0.45439787800813,0.237930252338409,0,1,1
"9","YIL008W","chrIX",317.121904541977,0.713454334807749,0.292021026799589,0.439880429897625,0.660023710609024,1
"10","YIL009C-A","chrIX",281.654291004951,0.266816489855856,0.249348252383833,0,1,1
"11","YIL009W","chrIX",877.153331655586,0.16957387117329,0.267300287837431,0,1,1
"12","YIL010W","chrIX",376.272993111786,0.910436421223915,0.226076376868204,1.43949768539344,0.15000956528679,1
"13","YIL011W","chrIX",156.363946285715,0.822179101987249,0.298310608469457,0.795074312657348,0.426570275903779,1
"14","YIL013C","chrIX",466.904842906088,0.748111206643396,0.225942794012065,0.721913736424302,0.47034751534216,1
"15","YIL014W","chrIX",750.954872030913,0.406392973600367,0.210971638261112,0,1,1
"16","YIL015W","chrIX",70.7471643255236,-0.18126500822393,0.36969741989349,0,1,1
"17","YIL016W","chrIX",204.510275080073,0.228304320994798,0.261220697976546,0,1,1
"18","YIL017C","chrIX",1298.82187300799,0.402064783387981,0.204228626379159,0,1,1
"19","YIL018W","chrIX",5037.95031190707,0.410761217062958,0.250876543423682,0,1,1
"20","YIL019W","chrIX",268.167379726567,0.00890895013919726,0.282646412932337,0,1,1
"21","YIL020C","chrIX",153.123799497806,-0.273353973701615,0.29124812858107,0,1,1
"22","YIL021W","chrIX",379.089689741068,0.242013641408181,0.22832609392192,0,1,1
"23","YIL022W","chrIX",1525.31265696426,0.459496476021886,0.249074971174334,0,1,1
"24","YIL023C","chrIX",706.272049383385,0.583838125624412,0.24708690538913,0,1,1
"25","YIL024C","chrIX",898.667015817974,1.17720604395805,0.307897612851064,1.92338627920611,0.054431556192691,1
"26","YIL026C","chrIX",1399.17015704725,0.451211175399868,0.246852133936993,0,1,1
"27","YIL027C","chrIX",422.511350503819,0.444760361658199,0.262857045936913,0,1,1
"28","YIL028W","chrIX",32.4226862782745,0.35009254093012,0.458902414093285,0,1,1
"29","YIL029C","chrIX",122.421049015074,-0.609837416797866,0.305555521042001,-0.0812861005200158,0.935214427587605,1
"30","YIL030C","chrIX",1022.75191529155,0.566868681367876,0.219610923734108,0,1,1
