"","genesGC_1$GENEID","genesGC_1$TXCHROM","GENEID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sample"
"YAR071W","YAR071W","chrI","YAR071W",21.6241258846798,-2.26740006679078,0.673575515451948,-3.3662150935956,0.00076207259769557,0.0598265090869088,"29"
"YBL113C","YBL113C","chrII","YBL113C",33.5843548128867,-2.53284328119796,0.570622073545269,-4.43874045296116,9.04868552846938e-06,0.00227023114192116,"29"
"YBR050C","YBR050C","chrII","YBR050C",1249.47838344417,2.09449793824234,0.442283876318797,4.73564163286981,2.18363145268602e-06,0.000813329928410453,"29"
"YBR294W","YBR294W","chrII","YBR294W",4339.26255282014,3.21072520793211,0.811514440856724,3.95646096518321,7.60683113014629e-05,0.0106467344225012,"29"
"YBR297W","YBR297W","chrII","YBR297W",795.483089311266,2.27877635012709,0.523581643911006,4.35228464677501,1.34726184957325e-05,0.00289505844367914,"29"
"YDL039C","YDL039C","chrIV","YDL039C",1627.19383224686,2.48331758659721,0.699220034249111,3.5515538242036,0.000382963655870261,0.0368899645749508,"29"
"YDL204W","YDL204W","chrIV","YDL204W",1453.15892080429,-1.49035915097714,0.442237079571723,-3.37004566062269,0.000751557291031586,0.0598265090869088,"29"
"YDL218W","YDL218W","chrIV","YDL218W",213.235436515943,-2.12639840528509,0.607496159564394,-3.50026641618578,0.000464793381212337,0.0418838809811826,"29"
"YDL222C","YDL222C","chrIV","YDL222C",91.4050363261055,-2.05503557996501,0.566334701466878,-3.6286591209089,0.000284897128271739,0.0279249167658633,"29"
"YDR070C","YDR070C","chrIV","YDR070C",1077.45568052812,-2.36496808511491,0.462791470822424,-5.11022400847651,3.21777056572e-07,0.00014981403458898,"29"
"YDR253C","YDR253C","chrIV","YDR253C",2434.68293363586,2.18869350864772,0.589358608555341,3.71368717937747,0.000204261258988896,0.0229975027544761,"29"
"YDR343C","YDR343C","chrIV","YDR343C",7907.71452034177,3.61144543309334,0.994978115168626,3.62967323405026,0.000283780230099408,0.0279249167658633,"29"
"YDR453C","YDR453C","chrIV","YDR453C",1302.16839392039,-1.52933684101998,0.443433711955801,-3.44885109044757,0.000562977070265277,0.0491461389308141,"29"
"YEL065W","YEL065W","chrV","YEL065W",787.372989295245,2.2648113996462,0.687061371597928,3.29637422982873,0.000979414563577688,0.0692656856545385,"29"
"YER065C","YER065C","chrV","YER065C",5820.28406954509,1.90564940888208,0.59954988614154,3.17846680139674,0.00148056172195673,0.0919099815619137,"29"
"YER188W","YER188W","chrV","YER188W",990.422118330858,-2.3784820668418,0.57845279172348,-4.11179978880419,3.92586678940093e-05,0.00626680507210942,"29"
"YFL014W","YFL014W","chrVI","YFL014W",3977.97196109294,-3.06597087718098,0.518790946511272,-5.90983882390161,3.42442624839582e-09,3.82645388995749e-06,"29"
"YFL052W","YFL052W","chrVI","YFL052W",420.044878104182,2.30418131484765,0.730928927862739,3.15240131702703,0.00161933546481507,0.0992142518535091,"29"
"YFL053W","YFL053W","chrVI","YFL053W",4017.56886655569,2.49572207124671,0.759371601146226,3.28656229371702,0.00101418339474022,0.0699536126717729,"29"
"YFL055W","YFL055W","chrVI","YFL055W",1529.08350769442,2.24757818582086,0.605526862552271,3.71177287882392,0.000205812625330912,0.0229975027544761,"29"
"YFR026C","YFR026C","chrVI","YFR026C",454.100763992318,-3.1548494696911,0.454027450450877,-6.94858750623589,3.68961618155348e-12,6.87129520211309e-09,"29"
"YGL157W","YGL157W","chrVII","YGL157W",901.84887348374,-1.77255469172309,0.439054303053612,-4.03721061243454,5.40905052700148e-05,0.00795272770904138,"29"
"YGL255W","YGL255W","chrVII","YGL255W",40906.4775126851,2.44051965958653,0.53212935003042,4.58632785326915,4.51110027852016e-06,0.00148255983859366,"29"
"YGL256W","YGL256W","chrVII","YGL256W",15799.5723222795,4.36999223217502,0.958478824592306,4.55929971539415,5.13244787960958e-06,0.00155823238138506,"29"
"YGR059W","YGR059W","chrVII","YGR059W",57.927664254709,-1.65453076340749,0.499792091311868,-3.31043806448524,0.000931500641360188,0.0684775537273601,"29"
"YGR142W","YGR142W","chrVII","YGR142W",4232.05524752189,1.77583718572464,0.479389003545427,3.70437613835745,0.000211911621141012,0.0230801133251456,"29"
"YGR256W","YGR256W","chrVII","YGR256W",711.278229850617,-2.67815321584854,0.508749960990476,-5.26418362889797,1.40813654026377e-07,7.86725885045371e-05,"29"
"YGR260W","YGR260W","chrVII","YGR260W",1198.25537878099,-1.72079601042234,0.531655352430136,-3.23667579486744,0.00120930715492088,0.0779154475686536,"29"
"YHL040C","YHL040C","chrVIII","YHL040C",3129.66690196737,1.87117884139297,0.45791034257776,4.08634325850637,4.38225298644381e-05,0.00680101317646154,"29"
