"","genes","chr","sampleMean","ancMean","sampleOverAnc"
"1","YAL001C","chrI",465.684292243919,562.843025627317,0.827378631413067
"2","YAL002W","chrI",379.551801329088,625.06751677566,0.607217286361261
"3","YAL003W","chrI",6889.71263292029,5369.95094649798,1.28301221027232
"4","YAL005C","chrI",5559.71377624146,9436.83381717411,0.589150331981403
"5","YAL007C","chrI",792.458729685422,734.912373289887,1.07830369781084
"6","YAL008W","chrI",1342.17781995427,1006.73135648639,1.33320355157966
"7","YAL009W","chrI",297.963061144544,285.241333414448,1.04459987470193
"8","YAL010C","chrI",275.174198832877,358.80738032678,0.766913430215021
"9","YAL011W","chrI",161.156658016171,217.065344094564,0.742433844925352
"10","YAL012W","chrI",3036.23143250237,5965.40180621085,0.508973499377898
"11","YAL013W","chrI",439.528231454789,453.612956511386,0.968949905741409
"12","YAL014C","chrI",476.96772254589,469.594010331981,1.01570231317196
"13","YAL015C","chrI",569.995126493377,758.380418961682,0.751595257791296
"14","YAL016C-B","chrI",36.853544303614,45.901669020622,0.802880267535739
"15","YAL016W","chrI",2124.41509466176,2176.85270100196,0.975911274880442
"16","YAL017W","chrI",1153.08347662822,1195.30279042379,0.964678979975772
"17","YAL019W","chrI",405.471995339439,546.17843519247,0.742380089020822
"18","YAL020C","chrI",148.140081433963,210.345051583999,0.704271768308296
"19","YAL021C","chrI",605.59387644436,746.625513268184,0.811107932534358
"20","YAL022C","chrI",457.901807243386,507.551476858303,0.902178060987539
"21","YAL023C","chrI",1388.68184319365,1346.83474893555,1.03107069689966
"22","YAL024C","chrI",129.025706786304,138.088541084194,0.934369396426863
"23","YAL025C","chrI",519.035882475989,476.450812388131,1.08937978271966
"24","YAL026C","chrI",497.67150040199,550.289140983592,0.904381830091081
"25","YAL027W","chrI",334.892534670169,203.530015243051,1.6454208695963
"26","YAL028W","chrI",206.236856274675,349.897504725467,0.589420768909142
"27","YAL029C","chrI",897.689553454553,1215.72510594266,0.738398466122401
"28","YAL030W","chrI",1109.15566994331,816.699831784464,1.3580946472339
"29","YAL031C","chrI",310.182533449233,381.762773537887,0.812500733308009
"30","YAL032C","chrI",533.695625633119,297.492751763841,1.79397858424727
"31","YAL033W","chrI",186.024846050906,151.993359151627,1.22390114337383
"32","YAL034C","chrI",2225.91952928105,1759.10939415974,1.26536731409151
"33","YAL034W-A","chrI",144.699200792957,100.325120919434,1.44230277987063
"34","YAL035W","chrI",1908.55938538921,2046.27468268099,0.932699505859425
"35","YAL036C","chrI",483.747529587184,401.720856010448,1.2041882375522
"36","YAL037W","chrI",271.18671873107,221.878190007141,1.22223242727166
"37","YAL038W","chrI",25774.4012931424,27405.552608566,0.940480991617963
"38","YAL039C","chrI",1162.1242414076,730.099527377309,1.59173400040707
"39","YAL040C","chrI",525.560880714337,495.815174672007,1.05999353703123
"40","YAL041W","chrI",501.314196310749,517.63191562415,0.968476210950545
"41","YAL042W","chrI",1610.0937426577,1838.52098301325,0.875754890770316
"42","YAL043C","chrI",393.440675029837,509.064177033983,0.772870480343332
"43","YAL044C","chrI",4577.02060299063,2838.05068525164,1.61273391866319
"44","YAL044W-A","chrI",202.174382294608,184.82393236704,1.09387555878376
"45","YAL046C","chrI",244.890650725123,219.827580164386,1.11401240254747
"46","YAL047C","chrI",243.010660999907,268.645860899578,0.904576233507452
"47","YAL048C","chrI",273.968012853378,312.954130720544,0.875425456831631
"48","YAL049C","chrI",999.032264844221,883.399959239055,1.13089462411202
"49","YAL051W","chrI",548.338162928914,766.557601126318,0.715325452546854
"50","YAL053W","chrI",3492.46661918671,2134.75224907493,1.63600559301443
"51","YAL054C","chrI",533.003778269482,426.034205048467,1.25108212428353
"52","YAL055W","chrI",299.602440900075,240.427433535997,1.24612419012998
"53","YAL056W","chrI",1123.80724508259,1213.6443114887,0.925977433787075
"54","YAL058W","chrI",229.25468414564,324.323407393327,0.706870607916402
"55","YAL059W","chrI",105.841953601875,80.0947567637428,1.32145920505232
"56","YAL060W","chrI",2382.54330429641,3865.62781347433,0.616340584055101
"57","YAL061W","chrI",1985.39725530605,3341.2990190259,0.594199215335376
"58","YAL062W","chrI",3118.9230594131,1567.29670889176,1.99000166447009
"59","YAL063C","chrI",553.819645428811,440.082186360669,1.25844595076368
"60","YAL067C","chrI",335.272399441151,294.769817706813,1.13740410076388
"61","YAR002C-A","chrI",1705.45829581171,1538.51055595392,1.1085125735483
"62","YAR002W","chrI",558.284708506582,539.564467616287,1.03469509579272
"63","YAR003W","chrI",383.074458954498,388.469389946065,0.986112339527407
"64","YAR007C","chrI",489.497462959748,616.770333574254,0.793646250984632
"65","YAR008W","chrI",97.98321279316,89.7965889120781,1.09116853969918
"66","YAR014C","chrI",560.422865365585,638.603214331193,0.877576017140023
"67","YAR015W","chrI",2290.4617779038,3366.9970559133,0.680268423128311
"68","YAR018C","chrI",260.722503282524,205.964159108134,1.2658634609609
"69","YAR019C","chrI",409.715953987754,435.41250369286,0.940983436425997
"70","YAR020C","chrI",91.3080066325858,63.6933306104337,1.43355679091507
"71","YAR023C","chrI",215.945291703926,207.104906365486,1.04268554276951
"72","YAR027W","chrI",1363.50459673729,1618.03931343777,0.842689411445952
"73","YAR028W","chrI",574.289819097537,925.954789402762,0.62021367098058
"74","YAR029W","chrI",42.5626629323532,66.3583591474649,0.641406199296885
