"genesNoAneu$GENEID" "genesNoAneu$TXCHROM" "GENEID" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "Sample"
"YAL002W7" "YAL002W" "chrI" "YAL002W" 621.668282304953 0.811158781432868 0.249213994590571 3.25486850273198 0.00114024526481789 0.0114836226500812 "9"
"YAL005C7" "YAL005C" "chrI" "YAL005C" 8554.86358272845 1.64868569351887 0.555993566467083 2.96529635045062 0.00303488601983536 0.0206123900955734 "9"
"YAL008W7" "YAL008W" "chrI" "YAL008W" 873.84374766859 -0.623260620229667 0.231148941292086 -2.69635939816872 0.00702823064689222 0.0352419801720114 "9"
"YAL010C7" "YAL010C" "chrI" "YAL010C" 286.782154435731 -0.657959324206044 0.189740729650498 -3.46767573529417 0.000528374867113482 0.0073468763059098 "9"
"YAL012W7" "YAL012W" "chrI" "YAL012W" 847.003843737191 2.52859547648089 0.610333039174799 4.14297656227111 3.47167924415481e-05 0.00202242334007528 "9"
"YAL014C7" "YAL014C" "chrI" "YAL014C" 404.464486683731 0.558020768857913 0.198215728419803 2.81521942434394 0.00488903927357045 0.0281771788201316 "9"
"YAL017W7" "YAL017W" "chrI" "YAL017W" 1363.84655349143 0.83914350950203 0.330957401024742 2.53550307956188 0.0112517893956614 0.0487288186920578 "9"
"YAL019W7" "YAL019W" "chrI" "YAL019W" 528.974895568924 0.812982597887021 0.169721904784277 4.79008645890672 1.70400307285492e-06 0.000557877473315433 "9"
"YAL023C7" "YAL023C" "chrI" "YAL023C" 1503.82258562525 0.650448966875249 0.272562508058864 2.38642127087697 0.017041641847383 0.0642114368149333 "9"
"YAL026C7" "YAL026C" "chrI" "YAL026C" 418.888665908676 0.588580779518441 0.196597414877488 2.99383783802662 0.00276527420217396 0.0196597239412096 "9"
"YAL028W7" "YAL028W" "chrI" "YAL028W" 205.742830589263 1.12043563298659 0.379449092997259 2.95279565471168 0.00316035427180762 0.02114732554401 "9"
"YAL029C7" "YAL029C" "chrI" "YAL029C" 577.93700209943 0.68230874960976 0.2282852812772 2.98884249476098 0.00281082220518082 0.0198595785293513 "9"
"YAL031C7" "YAL031C" "chrI" "YAL031C" 357.287225535549 0.374089721404132 0.166167471269653 2.25128130401087 0.0244009347377288 0.08214750946832 "9"
"YAL039C7" "YAL039C" "chrI" "YAL039C" 1392.64925190379 1.00264104692406 0.354476058238742 2.82851556154682 0.00469073476787686 0.0274604393997284 "9"
"YAL041W7" "YAL041W" "chrI" "YAL041W" 468.469240936869 0.540730829107679 0.119501037315801 4.52490489834584 6.14958427640604e-06 0.000804016457686043 "9"
"YAL044C7" "YAL044C" "chrI" "YAL044C" 2352.96779431644 -1.33413937978629 0.508013157527369 -2.62619060159758 0.00865485636677621 0.0406217666124678 "9"
"YAL044W-A7" "YAL044W-A" "chrI" "YAL044W-A" 174.153442569178 -0.969385848582608 0.267179934217146 -3.6282135161945 0.000287575388656476 0.00562096368222625 "9"
"YAL048C7" "YAL048C" "chrI" "YAL048C" 320.512451377327 0.419107568856986 0.192541555047812 2.17671228817546 0.0295378509332853 0.0941093352523224 "9"
"YAL049C7" "YAL049C" "chrI" "YAL049C" 2863.88416584154 -0.425720200948563 0.188276598946928 -2.26114240075352 0.0237833000190931 0.0808006682180968 "9"
"YAL051W7" "YAL051W" "chrI" "YAL051W" 631.088648236979 0.614659426964126 0.209513795348626 2.93374202849673 0.00336071051271108 0.0219121659741995 "9"
"YAL060W7" "YAL060W" "chrI" "YAL060W" 4218.33613859057 -0.830500939519423 0.288257876662962 -2.88110406256293 0.00397579504108423 0.0245064047034466 "9"
