"","GENE","CHRM","MAAnc"
"1","YAL001C","chrI",0.021534773552711
"2","YAL002W","chrI",0.0467714354762034
"3","YAL003W","chrI",0.0813061907064288
"4","YAL005C","chrI",0.0137253982168566
"5","YAL007C","chrI",0.120887964809855
"6","YAL008W","chrI",0.0567046159470551
"7","YAL009W","chrI",0.0476014355626633
"8","YAL010C","chrI",0.0298129007088112
"9","YAL011W","chrI",0.0860909481811365
"10","YAL012W","chrI",0.0534281110999193
"11","YAL013W","chrI",0.00562557815019416
"12","YAL014C","chrI",0.00764090871824585
"13","YAL015C","chrI",0.0464702946126856
"14","YAL016C-B","chrI",0.554907917502728
"15","YAL016W","chrI",0.012561635428352
"16","YAL017W","chrI",0.0584193863911434
"17","YAL019W","chrI",0.0109761639727591
"18","YAL020C","chrI",0.0303264992988009
"19","YAL021C","chrI",0.0253313196631009
"20","YAL022C","chrI",0.0617267407606339
"21","YAL023C","chrI",0.0848509019042241
"22","YAL024C","chrI",0.170110598553979
"23","YAL025C","chrI",0.0942129528059481
"24","YAL026C","chrI",0.0436114714041895
"25","YAL026C","chrI",0.0436114714041895
"26","YAL027W","chrI",0.0291991151765503
"27","YAL028W","chrI",0.084408917656438
"28","YAL029C","chrI",0.0120803622228276
"29","YAL030W","chrI",0.0347772191981167
"30","YAL031C","chrI",0.0321981288855317
"31","YAL032C","chrI",0.0458904549587437
"32","YAL033W","chrI",0.0590412494656706
"33","YAL034C","chrI",0.157434006440588
"34","YAL034W-A","chrI",0.107037720737251
"35","YAL035W","chrI",0.0549067910058369
"36","YAL036C","chrI",0.118418172302266
"37","YAL037C-A","chrI",0.201370018473462
"38","YAL037C-B","chrI",0.0612067383007245
"39","YAL037W","chrI",0.150872286135216
"40","YAL038W","chrI",0.012824493889622
"41","YAL039C","chrI",0.0424343848678877
"42","YAL040C","chrI",0.0693812529682202
"43","YAL041W","chrI",0.0551185804514123
"44","YAL042W","chrI",0.0329814372311945
"45","YAL043C","chrI",0.0557480424184321
"46","YAL044C","chrI",0.0782445549638081
"47","YAL044W-A","chrI",0.113543162274292
"48","YAL046C","chrI",0.123838241457627
"49","YAL047C","chrI",0.04956693785193
"50","YAL048C","chrI",0.0386224343830547
"51","YAL049C","chrI",0.0433914033573513
"52","YAL051W","chrI",0.0806660485260443
"53","YAL053W","chrI",0.0180039187745686
"54","YAL054C","chrI",0.158087384432327
"55","YAL055W","chrI",0.0729490437526491
"56","YAL056W","chrI",0.0463279029958878
"57","YAL058W","chrI",0.0785906313496779
