"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YBL098W","chrII",1874.11742468843,-1.06015307988372,0.329304448308393,-3.21937066240566,0.00128472301612712,0.055624491838879
"2","YBR014C","chrII",1242.9149138742,-0.959321658241641,0.30015441022608,-3.19609382890316,0.00139301803325858,0.058485651063023
"3","YBR067C","chrII",11226.9070082939,-3.31532471692157,0.860862580778576,-3.85116601760428,0.000117556769568163,0.0132978262549044
"4","YBR071W","chrII",1568.46819327729,-1.26326136382156,0.399590601363202,-3.16138908050377,0.0015701860719148,0.0634925107049895
"5","YBR149W","chrII",12973.7171275688,-0.847100246094282,0.254318385399328,-3.33086514671038,0.00086576532771977,0.044812246144414
"6","YBR173C","chrII",2162.18529088595,-1.00904671367661,0.273670437642615,-3.68708700277784,0.000226835819683431,0.0190473350406905
"7","YBR201C-A","chrII",669.35115919837,-1.89270646358609,0.649432421847643,-2.91440094444517,0.00356371883506378,0.0921638798730043
"8","YCL033C","chrIII",1193.1414261825,-1.1543253628444,0.377301605392543,-3.05942340649054,0.00221763485620638,0.0787828998275369
"9","YCR004C","chrIII",4603.6390304602,-1.03888547100284,0.352588193640942,-2.94645563787876,0.00321438523026206,0.0899703179096582
"10","YCR010C","chrIII",42422.6426982752,-3.35669929060561,0.910256198046604,-3.68764233389351,0.000226341491552066,0.0190473350406905
"11","YCR028C-A","chrIII",2129.96487097644,-1.13076865434294,0.32930996986198,-3.43375165597589,0.000595289327666318,0.0366565939325192
"12","YCR051W","chrIII",754.407875370242,-1.29204602446809,0.360284245496926,-3.58618518743728,0.000335550711286428,0.0265660291707055
"13","YCR076C","chrIII",888.891494762906,-1.02892340267998,0.305406887198242,-3.36902488388253,0.000754346182650899,0.0418292536162762
"14","YDL004W","chrIV",10582.2549737485,-0.669435269571431,0.233360704812381,-2.86867178477905,0.00412199292006405,0.0938156090300998
"15","YDL078C","chrIV",9361.21027473878,-0.980677392374878,0.255614036383944,-3.83655532477041,0.000124772097664206,0.0132978262549044
"16","YDL085W","chrIV",4017.99305299442,-2.28919906333957,0.795610186658202,-2.87728727174156,0.00401110254850974,0.0938156090300998
"17","YDL125C","chrIV",2683.51128327985,-1.10070776665998,0.318789208718768,-3.45277611837549,0.000554849295912316,0.0349428954312051
"18","YDL137W","chrIV",9699.16796730163,-1.0153366941947,0.360435628135247,-2.81697095108952,0.00484789101580329,0.0975012769414287
"19","YDL168W","chrIV",6733.41840441717,1.57855993434649,0.478997498064716,3.29554943548622,0.000982294190656457,0.0477532842510358
"20","YDL181W","chrIV",4564.03409092562,-0.922880653139608,0.273644172562904,-3.37255730497042,0.000744735872375962,0.0418292536162762
"21","YDR007W","chrIV",718.132501764557,-0.86322696463765,0.273226055234588,-3.15938743066249,0.00158101163429963,0.0634925107049895
"22","YDR032C","chrIV",4712.17977679884,-1.066291978136,0.257274464615509,-4.14456980691634,3.4045223613406e-05,0.007861609552729
"23","YDR070C","chrIV",8984.52565960978,-2.47150406248326,0.818016726646877,-3.0213368284218,0.00251661238585418,0.082290849067227
"24","YDR111C","chrIV",1453.02300126561,-2.22287437069886,0.523301268927329,-4.24779090495107,2.15888741942366e-05,0.00651812453324114
"25","YDR134C","chrIV",9759.64700126815,-1.52499218288345,0.491033468147392,-3.10567869973722,0.00189842872250021,0.0720622738362749
"26","YDR178W","chrIV",17353.9222609762,-0.642157211239668,0.228278273510173,-2.81304568045565,0.0049074679067368,0.0975012769414287
"27","YDR204W","chrIV",1548.1561031351,-1.03379545464736,0.362622966119458,-2.85088246260387,0.00435980823292424,0.0938156090300998
"28","YDR256C","chrIV",24400.585569508,-1.78556336629172,0.39903840310216,-4.47466547683278,7.6531036968258e-06,0.00350515724986387
"29","YDR328C","chrIV",2379.94763865359,-1.23106830969807,0.300159838535219,-4.10137583930511,4.10700859709834e-05,0.00812894344468536
"30","YDR329C","chrIV",2418.44712450906,-0.855499366206408,0.304819785861059,-2.80657426416656,0.00500713692740035,0.0975012769414287
"31","YDR379C-A","chrIV",867.783674967061,-1.01285559294143,0.346330497518299,-2.92453480187061,0.00344971503010684,0.0921638798730043
"32","YDR380W","chrIV",4694.9705402072,-1.30008704886214,0.325967693043918,-3.98839233643617,6.65225812783535e-05,0.0097017933011746
"33","YDR524C-B","chrIV",5214.96002328609,-0.827736132376812,0.255891136295246,-3.23471982797315,0.00121762147982094,0.0544198245255455
"34","YER015W","chrV",8859.97002456849,-1.62946240940674,0.548757020688506,-2.96936958977274,0.00298411445296525,0.0860478874762633
"35","YER030W","chrV",1458.76548677826,-1.65790718936209,0.509928808207812,-3.25125225850436,0.00114897862774715,0.0521937668440548
"36","YER121W","chrV",904.84502714757,-3.15153102965942,0.797002451828364,-3.95423003082318,7.67815126175224e-05,0.00980261488045836
"37","YER150W","chrV",2477.91443561418,-1.28509592793957,0.3266197179062,-3.93453260010662,8.33587544710027e-05,0.0100429177669195
"38","YER169W","chrV",1096.16464660424,0.881847520186741,0.292976156909515,3.0099634369192,0.00261279140505179,0.0836455363483659
"39","YFR047C","chrVI",1022.21063645839,-1.46846933831528,0.484114316059038,-3.03331112012849,0.00241886079482678,0.0807549790658434
"40","YGL080W","chrVII",2262.69578201111,-1.89365530652412,0.467774189046633,-4.04822529944108,5.16074573203225e-05,0.00856704597041842
"41","YGL117W","chrVII",4335.55260254476,-0.809783410258968,0.281190373862051,-2.87984044096843,0.00397876476258609,0.0938156090300998
"42","YGL167C","chrVII",2883.97636943542,1.13685220942374,0.396931378330278,2.8641026421393,0.004181924762426,0.0938156090300998
"43","YGL191W","chrVII",16496.278319574,-0.905556988625022,0.303153463408145,-2.98712400790171,0.00281615464982067,0.0839092960715385
"44","YGL200C","chrVII",3770.57333566771,-0.830269959942474,0.291289544400368,-2.85032530656608,0.0043674534698242,0.0938156090300998
"45","YGL205W","chrVII",13890.7404641111,-1.36620018472706,0.454477361506912,-3.00609073287422,0.00264630021764404,0.0836455363483659
"46","YGR008C","chrVII",5643.75782104799,-1.35446996987108,0.464709206601557,-2.91466136377283,0.00356074677339983,0.0921638798730043
"47","YGR031W","chrVII",889.761460509385,-1.01398009454373,0.287407033306727,-3.52802811704885,0.000418667682923685,0.0306330340996686
"48","YGR055W","chrVII",5084.20145001824,2.40868353841661,0.797466910946078,3.02041815823939,0.00252425917384132,0.082290849067227
"49","YGR161W-C","chrVII",855.779706338712,-1.39357610542942,0.312530255365209,-4.45901182847387,8.23383776419855e-06,0.00350515724986387
"50","YGR233C","chrVII",1076.77278140453,0.935520401551609,0.265235326271999,3.52713348821503,0.000420084913672829,0.0306330340996686
"51","YGR234W","chrVII",18929.1510148839,2.75420813409799,0.330080572252271,8.34404798593548,7.17898383174366e-17,1.98929641977617e-13
"52","YGR244C","chrVII",18294.355588893,-0.819957989793663,0.247222712027726,-3.31667743253987,0.000910947237985432,0.0458951781174115
"53","YGR270W","chrVII",1976.78419043005,0.876805852167807,0.302455426171941,2.8989589086405,0.00374403958766451,0.0921638798730043
"54","YHL036W","chrVIII",946.184790822172,2.45598532011988,0.762711164401183,3.22007259726966,0.00128158137358347,0.055624491838879
"55","YHR008C","chrVIII",23930.1723715965,-0.785342372962611,0.275368107172424,-2.85197287742136,0.00434488077111081,0.0938156090300998
"56","YHR057C","chrVIII",1895.31391389937,-0.947593870306367,0.322880907621213,-2.93480923752244,0.00333752803899224,0.0921638798730043
"57","YHR132W-A","chrVIII",1846.23521761777,-1.24438713723862,0.443092217928423,-2.80841569065795,0.00497859165269694,0.0975012769414287
"58","YHR137W","chrVIII",2920.18319451275,-1.45895368106025,0.369262246774929,-3.95099605714499,7.78266067737582e-05,0.00980261488045836
"59","YHR179W","chrVIII",1922.62438033341,1.10131597226507,0.290555280121458,3.79038361238764,0.0001504148011585,0.0154370153337112
"60","YIL124W","chrIX",3688.37086931388,-1.45358388564896,0.464130952837467,-3.13184000498667,0.00173714513372259,0.0668559606325736
"61","YIL136W","chrIX",38727.9585422053,-1.4624802961227,0.434115885010306,-3.36887072466371,0.000754768199499751,0.0418292536162762
"62","YIL160C","chrIX",8944.85332365656,-1.62555367046434,0.365835085956653,-4.44340560231818,8.85460149731038e-06,0.00350515724986387
"63","YIR022W","chrIX",919.888477317324,-1.06258507881481,0.319151849925896,-3.32940285027813,0.000870324206447056,0.044812246144414
"64","YJL016W","chrX",1237.64233462371,1.00778887618494,0.348267463038178,2.8937210137097,0.00380706257097327,0.0925383367032188
"65","YJL048C","chrX",5774.1150991009,-1.30638641813854,0.399732268563304,-3.26815351393542,0.00108251632305384,0.0507433882478565
"66","YJL101C","chrX",1199.49373274141,1.07239421297669,0.335190565130366,3.19935679740746,0.00137734593743485,0.058485651063023
"67","YJL109C","chrX",837.746644358846,0.838934776885068,0.293866491471073,2.85481605162067,0.00430617621002455,0.0938156090300998
