"","genes","chr","sampleMean","ancMean","sampleOverAnc"
"1","YAL001C","chrI",369.420901001097,356.580397177829,1.0360101226116
"2","YAL002W","chrI",302.697784663982,294.950309142679,1.0262670534024
"3","YAL003W","chrI",3910.28436802399,2949.52294582852,1.32573451362847
"4","YAL005C","chrI",11847.2108544419,8723.96491659624,1.35800762241765
"5","YAL007C","chrI",237.251796486822,217.464900553599,1.09098891767293
"6","YAL008W","chrI",1609.95617291601,2146.29170570143,0.750110606419114
"7","YAL009W","chrI",198.760576237162,219.060537351616,0.907331729576333
"8","YAL010C","chrI",103.625046568846,98.695508257989,1.04994693677418
"9","YAL011W","chrI",119.061690299135,138.219780162617,0.861394007131671
"10","YAL012W","chrI",714.691494772866,330.769171865017,2.16069560153727
"11","YAL013W","chrI",460.528514475608,388.315702692104,1.18596418141957
"12","YAL014C","chrI",307.341362870144,254.137156744227,1.2093523308733
"13","YAL015C","chrI",437.184414239614,288.055219820494,1.51771043938052
"14","YAL016W","chrI",1598.85570212607,1414.67152210239,1.1301957218662
"15","YAL017W","chrI",1142.17970905395,1095.23630827073,1.04286143586432
"16","YAL019W","chrI",234.037616052623,240.285486149944,0.9739981378092
"17","YAL020C","chrI",177.117461470981,126.31753084458,1.40216057333249
"18","YAL021C","chrI",371.538188207303,391.301014187816,0.949494570001222
"19","YAL022C","chrI",303.543256526082,235.34779977399,1.28976458168541
"20","YAL023C","chrI",387.592763661223,336.719594423703,1.15108467128142
"21","YAL024C","chrI",51.2301246175068,52.2742852592739,0.980025348283805
"22","YAL025C","chrI",298.082888074419,426.283438520227,0.699259837795164
"23","YAL026C","chrI",179.719048741474,162.993928475663,1.10261192194228
"24","YAL027W","chrI",262.887375740106,328.068360131057,0.801318894742205
"25","YAL028W","chrI",147.35593476289,126.358477098022,1.16617371582105
"26","YAL029C","chrI",459.154383243802,367.273869658829,1.25016893706684
"27","YAL030W","chrI",824.923393010646,904.390988291521,0.912131372039657
"28","YAL031C","chrI",232.680987917845,227.131841224998,1.02443139043349
