"","chr","GENEID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sample"
"YOL117W","chrXV","YOL117W",510.092526589407,1.25494707681901,0.324311161016785,3.86957720753269,0.000109024252469229,0.0265157382912492,"11"
"YOL123W","chrXV","YOL123W",1725.20106999539,-1.50688020598749,0.463435241125448,-3.25154427688332,0.00114779896324753,0.0986577355025223,"11"
"YOR022C","chrXV","YOR022C",420.031286990659,1.15166794090382,0.319437584970667,3.60529879728955,0.000311793980134752,0.0488856122375401,"11"
"YOR083W","chrXV","YOR083W",56.5536741451571,-2.30210362662791,0.697012555831274,-3.30281514639627,0.000957194640590258,0.0957113159984189,"11"
"YOR090C","chrXV","YOR090C",1296.19706538248,1.22902197048283,0.321320569554538,3.82490909992684,0.000130820345666072,0.0276976218659679,"11"
"YOR100C","chrXV","YOR100C",14142.6763917349,1.16946666759329,0.306202455133049,3.81925960418946,0.000133852835221252,0.0276976218659679,"11"
"YOR150W","chrXV","YOR150W",766.877835915921,1.33044329135108,0.333719347785163,3.98671308745207,6.69949591784194e-05,0.0182642661460421,"11"
"YOR165W","chrXV","YOR165W",1388.53641782123,0.919526279833226,0.281108031102803,3.27107794190679,0.00107138377837549,0.0981270886263342,"11"
"YOR187W","chrXV","YOR187W",4488.74445165866,1.29746668917187,0.384569559912473,3.3738153624722,0.000741340747794634,0.0812131521162475,"11"
"YOR227W","chrXV","YOR227W",2450.40991182325,1.0540620553818,0.319167175018146,3.30253903874003,0.000958137499655108,0.0957113159984189,"11"
"YOR228C","chrXV","YOR228C",1151.80376809263,1.51796803444353,0.400976267069671,3.78568049809237,0.000153288522167783,0.0286310015237668,"11"
"YOR266W","chrXV","YOR266W",429.972200597872,1.23307644832387,0.325783768152789,3.78495360685241,0.000153737255362986,0.0286310015237668,"11"
"YOR336W","chrXV","YOR336W",574.241191291328,1.21977676468684,0.349557871037912,3.48948447667639,0.000483953165571302,0.0643772937154015,"11"
"YOR354C","chrXV","YOR354C",1043.24871047801,1.13356156149411,0.330460532299632,3.43024794400046,0.000603029942318953,0.0701901726611665,"11"
"YOR377W","chrXV","YOR377W",907.844132896128,1.06851568348603,0.309746081665531,3.4496503643905,0.000561313031911366,0.0681751284628,"11"
