"","chr","GENEID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sample"
"YLL001W","chrXII","YLL001W",2395.57458492828,0.483541218264104,0.210752586078021,2.29435485116703,0.0217701242820104,0.150403658321301,"77"
"YLL007C","chrXII","YLL007C",485.742807576455,0.269510353933785,0.214690962071692,1.2553409390554,0.209355019552008,0.540192965958674,"77"
"YLL010C","chrXII","YLL010C",184.91121613524,0.411897854446441,0.374326561877409,1.10037036212604,0.2711707863717,0.613372948768699,"77"
"YLL012W","chrXII","YLL012W",470.439845936741,0.586342663585274,0.311368569847719,1.88311448349471,0.059684854827029,0.281501288520813,"77"
"YLL013C","chrXII","YLL013C",341.181665068979,0.473217138990608,0.327849052111803,1.44339944234224,0.14890798111356,0.452729485437911,"77"
"YLL016W","chrXII","YLL016W",1054.83435839059,0.282133568201313,0.204584120127494,1.37905898085096,0.167876569567183,0.479267447200742,"77"
"YLL017W","chrXII","YLL017W",129.690072501901,0.130919013130233,0.238090401523471,0.549871025007812,0.58240783907616,0.839596143204236,"77"
"YLL018C","chrXII","YLL018C",5241.70198419538,0.215114756002889,0.200575934397212,1.07248537392769,0.283502079881931,0.626196597653764,"77"
"YLL018C-A","chrXII","YLL018C-A",530.748719203192,0.223403677188822,0.216032871570827,1.0341189077588,0.301080578019624,0.643342637678863,"77"
"YLL019C","chrXII","YLL019C",2627.86301502153,0.317752652718988,0.243959634740881,1.30248044130942,0.192752199767769,0.51674977931983,"77"
"YLL021W","chrXII","YLL021W",1043.40280059443,0.289527911628728,0.184613102411532,1.56829557516087,0.116812168111358,0.403028746382765,"77"
"YLL023C","chrXII","YLL023C",2013.6621171138,0.0307195793820818,0.191142642702691,0.160715468551222,0.872317505671031,0.963020985827282,"77"
"YLL024C","chrXII","YLL024C",4320.01115787586,0.218681553797087,1.01431702063023,0.215594877488314,0.829303549077915,0.952660672781439,"77"
"YLL026W","chrXII","YLL026W",12258.3247917812,0.297351206330035,0.400278528755564,0.742860745627494,0.457565993607621,0.76549009711996,"77"
"YLL027W","chrXII","YLL027W",4537.07404477841,0.376767064202847,0.164524371743446,2.29003800598227,0.0220191135637011,0.15123184550112,"77"
"YLL028W","chrXII","YLL028W",1069.99652971733,0.327781833658738,0.269372659956818,1.21683408298111,0.223667349444127,0.560874991626721,"77"
"YLL029W","chrXII","YLL029W",3359.02666096597,0.194670901953417,0.218589260584734,0.890578528115544,0.373155322600894,0.705761268575219,"77"
"YLL033W","chrXII","YLL033W",224.084102614175,0.417705814666679,0.26779228230884,1.55981274391226,0.118804138998918,0.405472647884517,"77"
"YLL034C","chrXII","YLL034C",221.734001387824,0.318485567612313,0.290931885527082,1.09470836115234,0.273644424402892,0.615571027812276,"77"
"YLL038C","chrXII","YLL038C",190.536160553043,0.563822223660517,0.282369257121938,1.99675499169882,0.0458518050695561,0.239414985909916,"77"
"YLL040C","chrXII","YLL040C",2223.95186788233,0.153352731716548,0.261039197501657,0.587470131628698,0.55688800467907,0.824896602220075,"77"
"YLL041C","chrXII","YLL041C",43494.6377100151,0.145003380563805,0.16514441309808,0.8780398794217,0.379922077287037,0.71181242313973,"77"
