"","chr","GENEID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sample"
"YEL004W","chrV","YEL004W",193.605832666184,0.536168450710936,0.172698476261454,3.10465073182934,0.00191321558061796,0.0280572823938483,"4"
"YEL011W","chrV","YEL011W",6680.42482164105,1.14573074392879,0.303817622547047,3.77111351976093,0.000163960642882778,0.0054547363592202,"4"
"YEL013W","chrV","YEL013W",1011.1519605378,1.02842647566291,0.274300228933835,3.74927312186453,0.000178885086441862,0.00578593874035845,"4"
"YEL014C","chrV","YEL014C",27.6771801389263,1.05541282146386,0.308961772416499,3.41599808030975,0.000639372173237086,0.0136853852668614,"4"
"YEL015W","chrV","YEL015W",839.389107518805,0.954092820814744,0.150037571819628,6.3590260042447,2.16800628002784e-10,5.04408229316439e-07,"4"
"YEL017W","chrV","YEL017W",368.401697890036,1.08563838763338,0.269313980879772,4.03112524677294,5.61436972744573e-05,0.00274923387878062,"4"
"YEL018W","chrV","YEL018W",112.234034314885,0.653408764513139,0.209570113970738,3.11785278985138,0.0018296803234471,0.0273138431874589,"4"
"YEL020C","chrV","YEL020C",2925.71315463936,0.864244003236426,0.304434618659058,2.83884929724208,0.0045416746120088,0.0498898671530477,"4"
"YEL020W-A","chrV","YEL020W-A",438.128199809829,1.36510707312958,0.519526030322125,2.62760091594094,0.00861909938969336,0.073148015412913,"4"
"YEL022W","chrV","YEL022W",367.505342487255,0.730798116715869,0.207617170291194,3.51993101385057,0.000434610644512555,0.0105429298848004,"4"
"YEL024W","chrV","YEL024W",13888.5672886127,0.566216903607087,0.159873773405165,3.54164971243992,0.000400415395772422,0.00998197306644847,"4"
"YEL025C","chrV","YEL025C",978.736310225726,0.80013565862113,0.188544375326261,4.24375247066669,2.22863991125022e-05,0.00147444790492032,"4"
"YEL030W","chrV","YEL030W",255.857881706458,0.669471914001258,0.180764193704047,3.70356485033391,0.000214350249162821,0.00643271727126776,"4"
"YEL031W","chrV","YEL031W",1757.7339018408,1.09870835077765,0.286162371706129,3.83945780232056,0.000124475545035331,0.00450741640371893,"4"
"YEL032W","chrV","YEL032W",833.046042631708,0.831926879606714,0.287143461340666,2.89725169336076,0.00377702737547147,0.0451190888581084,"4"
