"","GENEID","TXCHROM.x","baseMean.x","log2FoldChange.x","lfcSE.x","stat.x","pvalue.x","padj.x","TXCHROM.y","baseMean.y","log2FoldChange.y","lfcSE.y","stat.y","pvalue.y","padj.y"
"1","YIL004C","chrIX",239.1817997666,-1.75414111664848,0.261486968156735,-2.88404857023869,0.00196299097957553,0.014955732932908,"chrIX",239.1817997666,-1.75414111664848,0.261486968156735,-6.70833093141778,1.96863079303666e-11,2.63054723359391e-10
"2","YIL005W","chrIX",653.186268178235,-1.91814349266322,0.181369586067633,-5.06227925293296,2.07136806329931e-07,3.43501870497135e-06,"chrIX",653.186268178235,-1.91814349266322,0.181369586067633,-10.575882838195,3.85529257203179e-26,2.36971983427554e-24
"3","YIL022W","chrIX",528.92047982795,-1.41141234325881,0.184666788214796,-2.22786320830072,0.0129448191359983,0.0728002094064152,"chrIX",528.92047982795,-1.41141234325881,0.184666788214796,-7.64302209890127,2.12181555850355e-14,4.25285640204407e-13
"4","YIL024C","chrIX",322.935188325118,-3.03987679947696,0.306036081824349,-6.66547809433713,1.31902578809566e-11,3.74980188330052e-10,"chrIX",322.935188325118,-3.03987679947696,0.306036081824349,-9.93306665461009,2.98918131567736e-23,1.48974333678623e-21
"5","YIL033C","chrIX",1971.0520680326,-1.57942060439501,0.165423961230632,-3.5026401259198,0.000230335701729937,0.00208349112019352,"chrIX",1971.0520680326,-1.57942060439501,0.165423961230632,-9.54771359992405,1.32590103823151e-21,5.51495078458399e-20
"6","YIL040W","chrIX",195.447049742361,-1.57753965974258,0.244979014674934,-2.35750666443381,0.00919906252978611,0.0554731346493162,"chrIX",195.447049742361,-1.57753965974258,0.244979014674934,-6.43948895719025,1.1987643649698e-10,1.44793983995916e-09
"7","YIL045W","chrIX",1022.09036112932,-2.02299988612278,0.253191663763237,-4.0404169352092,2.66781303620674e-05,0.000312291055414789,"chrIX",1022.09036112932,-2.02299988612278,0.253191663763237,-7.98999404662277,1.34945270202305e-15,3.11048847816313e-14
"8","YIL047C","chrIX",1298.35394802115,-1.42571405007207,0.17965885109193,-2.36956903311286,0.00890441508221904,0.0554731346493162,"chrIX",1298.35394802115,-1.42571405007207,0.17965885109193,-7.93567386970844,2.09355474749385e-15,4.68888455997408e-14
"9","YIL051C","chrIX",1501.39941854482,-1.62570698298598,0.227575848173723,-2.74944370418576,0.0029848258169654,0.0212135834848613,"chrIX",1501.39941854482,-1.62570698298598,0.227575848173723,-7.14358310001759,9.09289076761984e-13,1.48822105699624e-11
"10","YIL063C","chrIX",758.669855068906,-1.70497011351361,0.275770409976752,-2.55636604947224,0.00528858928932885,0.0362906644336704,"chrIX",758.669855068906,-1.70497011351361,0.275770409976752,-6.1825709062018,6.30659682934651e-10,6.77438711843591e-09
"11","YIL064W","chrIX",464.435500437265,-2.78132132583885,0.235267227377505,-7.57148093125856,1.84496620567896e-14,7.34296549860224e-13,"chrIX",464.435500437265,-2.78132132583885,0.235267227377505,-11.8219666922669,3.00564597848489e-32,3.0231333732688e-30
"12","YIL065C","chrIX",1265.62270019015,-2.73494630275693,0.222632675670212,-7.79286462570716,3.27533971772178e-15,1.62948150956659e-13,"chrIX",1265.62270019015,-2.73494630275693,0.222632675670212,-12.2845682670959,1.09628709206383e-34,1.4228374712994e-32
"13","YIL070C","chrIX",423.936189838235,-3.48379054207896,0.26682435140562,-9.30871012707219,6.46970673324518e-21,6.43735819957896e-19,"chrIX",423.936189838235,-3.48379054207896,0.26682435140562,-13.0564939958684,5.83539220549295e-39,9.49452637670206e-37
