"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YJL001W","chrX",1560.52802182214,-0.257295657104274,0.207690912097084,0,1,1
"2","YJL002C","chrX",1304.47676733747,-0.080325763381326,0.19330112018818,0,1,1
"3","YJL003W","chrX",323.94452572458,0.251531524509602,0.252491812263682,0,1,1
"4","YJL004C","chrX",566.660243664751,-0.126066918904197,0.242169011563855,0,1,1
"5","YJL005W","chrX",1621.14011382618,-0.321133937618771,0.237001026818241,0,1,1
"6","YJL006C","chrX",243.510372828819,0.0633988484638646,0.282756753496628,0,1,1
"7","YJL008C","chrX",1036.41194887569,-0.168200554989352,0.227157981943846,0,1,1
"8","YJL009W","chrX",66.5825361907909,0.118413206704296,0.346549394267611,0,1,1
"9","YJL010C","chrX",258.321885541408,-0.419846335083277,0.255119614314086,0,1,1
"10","YJL011C","chrX",45.3023944597144,-0.407391225264813,0.449127096235821,0,1,1
"11","YJL012C","chrX",960.664266569928,-0.313925709254302,0.213659738087075,0,1,1
"12","YJL013C","chrX",488.681649102844,-0.0202438471383427,0.210555588880904,0,1,1
"13","YJL014W","chrX",1459.89522084925,0.0792779037156581,0.197689802887809,0,1,1
"14","YJL016W","chrX",819.111344579349,0.695433815019683,0.262896628448517,0.420065543142975,0.674437573428413,1
"15","YJL019W","chrX",462.245203357598,-0.157137862320979,0.264077946465627,0,1,1
"16","YJL020C","chrX",1761.91131053708,0.0759958211667901,0.251294343843909,0,1,1
"17","YJL023C","chrX",666.314225442778,-0.266078003488249,0.236781603683711,0,1,1
"18","YJL024C","chrX",325.413911330681,-0.258453848609121,0.240610170777058,0,1,1
"19","YJL025W","chrX",125.912707728245,-0.124632932802231,0.304462030472298,0,1,1
"20","YJL026W","chrX",3349.23468024156,0.666833124938665,0.228549629112511,0.358054070166002,0.720302850080416,1
"21","YJL029C","chrX",582.864154117566,-0.325925995542978,0.220453286176952,0,1,1
"22","YJL030W","chrX",346.33411522061,-0.0792884237015235,0.247639931276143,0,1,1
"23","YJL031C","chrX",378.829862091167,-0.0758010811383582,0.230068265772465,0,1,1
"24","YJL033W","chrX",468.244000561206,-0.48113196675801,0.236775566388765,0,1,1
"25","YJL034W","chrX",2485.86852385481,-0.0392167540620408,0.279849635511906,0,1,1
"26","YJL035C","chrX",92.4837347738996,0.0385792914807284,0.303172855184019,0,1,1
"27","YJL036W","chrX",822.508788828043,0.163012839089767,0.209189239855234,0,1,1
"28","YJL038C","chrX",45.1560126885283,1.25242638162894,0.364853554083269,1.82929938371005,0.0673547709431507,1
"29","YJL039C","chrX",805.184811492243,0.207326882811824,0.221647711520734,0,1,1
"30","YJL041W","chrX",1204.31066263501,0.395555997250847,0.224559613713192,0,1,1
"31","YJL042W","chrX",2071.76353744481,0.630421858763811,0.259491165481175,0.175042023799095,0.861046613084911,1
"32","YJL044C","chrX",925.848905631739,0.0793617904252366,0.229708469538105,0,1,1
"33","YJL045W","chrX",1493.0377921014,1.49560334702282,0.32139496776867,2.83328439566061,0.00460723761179474,0.258005306260505
"34","YJL046W","chrX",455.006048666267,0.575794417757189,0.214880523769755,0,1,1
"35","YJL047C","chrX",710.086461428409,0.530469589061327,0.200852183260022,0,1,1
"36","YJL048C","chrX",7655.53782284903,0.502478717712631,0.210782533998402,0,1,1
"37","YJL049W","chrX",738.885448343481,0.476992336258299,0.255891163185584,0,1,1
"38","YJL050W","chrX",553.485037092796,0.370174612744424,0.218061412671233,0,1,1
"39","YJL051W","chrX",420.161021073341,0.520356654479572,0.224036235709927,0,1,1
"40","YJL052W","chrX",23136.3206978451,2.07056619921406,0.686858749196266,2.16284090572103,0.0305534181953452,1
"41","YJL053W","chrX",1485.86694890414,0.451794071187717,0.218386119113998,0,1,1
"42","YJL054W","chrX",947.198549402595,0.321878201067745,0.20416072260236,0,1,1
"43","YJL055W","chrX",2484.62871069998,0.743375156578011,0.230077633587536,0.68835529168356,0.491229070711683,1
"44","YJL056C","chrX",314.407936839249,0.592533059149099,0.227251065966574,0.0331486196425899,0.973556071165309,1
"45","YJL057C","chrX",1167.85954297447,0.748767237645313,0.228011184143774,0.718242125974175,0.47260800769313,1
"46","YJL058C","chrX",171.490047997523,0.587264603369912,0.248886536895809,0.00909893881025971,0.99274019737775,1
"47","YJL059W","chrX",450.774522935999,0.501397636824484,0.219560972513857,0,1,1
"48","YJL060W","chrX",405.62105218314,0.0472765701927366,0.253160831191237,0,1,1
"49","YJL061W","chrX",632.10988144156,0.361620708548419,0.207150943477386,0,1,1
"50","YJL062W","chrX",469.24959588339,0.494331599818812,0.236515609271801,0,1,1
"51","YJL062W-A","chrX",701.297998244497,0.823231996857228,0.227871974217286,1.04546422470568,0.295808466832893,1
"52","YJL063C","chrX",1124.39370657722,0.687018063332706,0.222512213981582,0.458482981707917,0.646605486371805,1
"53","YJL065C","chrX",99.553990885427,0.254873450202499,0.309147133551261,0,1,1
"54","YJL066C","chrX",1225.16790172458,0.947537555559734,0.228080845701182,1.58951337822866,0.111944536121458,1
"55","YJL068C","chrX",1831.27183013084,0.639037803749023,0.216358798691037,0.249760139527256,0.802772846988616,1
"56","YJL069C","chrX",238.148145700304,0.422936344515745,0.307573280073769,0,1,1
"57","YJL070C","chrX",578.596204153422,0.55947896428799,0.205316268118789,0,1,1
"58","YJL071W","chrX",1045.26965846105,0.78553486951762,0.204500387298443,0.980608751732894,0.326785716879046,1
"59","YJL072C","chrX",255.06325618588,0.541819118180502,0.232994557671435,0,1,1
"60","YJL073W","chrX",393.949452520837,0.619058103295518,0.223166850488955,0.152612734467046,0.878703681992463,1
"61","YJL074C","chrX",943.312952302204,0.634740901275749,0.251875540150964,0.197482062950362,0.843450316740404,1
"62","YJL076W","chrX",805.199968317943,0.379022350686652,0.241836204694468,0,1,1
"63","YJL077C","chrX",118.299590327005,0.761076168933927,0.276060321847364,0.637817734021485,0.523592334104499,1
"64","YJL077W-B","chrX",56.9962695059037,0.851829814028432,0.352509425077039,0.756943772411524,0.449083549489454,1
"65","YJL078C","chrX",1201.07769607011,0.170259657779554,0.241587084361776,0,1,1
"66","YJL079C","chrX",3750.37031404808,0.300975879904246,0.253083160128182,0,1,1
"67","YJL080C","chrX",1307.39528594204,0.380629851103387,0.242350998782925,0,1,1
"68","YJL081C","chrX",1625.61941827445,0.641188604922339,0.206740067444756,0.271783818283572,0.785788248181816,1
"69","YJL082W","chrX",1042.34571726288,0.533226923974779,0.249482452627656,0,1,1
"70","YJL083W","chrX",284.370610759471,0.311234158209324,0.253339014938384,0,1,1
"71","YJL084C","chrX",1264.10845815912,0.705093326277353,0.256641564059961,0.467941842223556,0.63982618012701,1
"72","YJL085W","chrX",271.074468114097,0.503423700901081,0.241298234431019,0,1,1
"73","YJL087C","chrX",407.169800964345,0.875630537723553,0.258967782250189,1.12226523005389,0.261749685117357,1
"74","YJL088W","chrX",1586.81057015305,0.453873012724727,0.205084709374356,0,1,1
"75","YJL089W","chrX",3712.91389989834,0.30382177278123,0.193479809628832,0,1,1
"76","YJL090C","chrX",358.207697503019,0.172193712930083,0.219836034242535,0,1,1
"77","YJL091C","chrX",444.851107590659,0.617869260187019,0.234399523763187,0.140227504131907,0.888480241445593,1
"78","YJL092W","chrX",622.869847546985,0.843101277918154,0.238738478182653,1.08110464589913,0.279650567038768,1
"79","YJL093C","chrX",594.913119999681,0.460652226505405,0.21246081047671,0,1,1
"80","YJL094C","chrX",1540.27414023297,0.590157090188609,0.195962000175538,0.0263167868463764,0.979004665581207,1
"81","YJL095W","chrX",413.528611915851,0.361930950074349,0.276220185860485,0,1,1
"82","YJL096W","chrX",549.085227541432,0.664946814899922,0.210483983629254,0.379823744882839,0.70407625507356,1
"83","YJL097W","chrX",747.19922212507,0.35195166622564,0.22414086418274,0,1,1
"84","YJL098W","chrX",517.160157360183,-0.228355553098102,0.267235415219334,0,1,1
"85","YJL099W","chrX",417.582495904747,0.516151556013778,0.217555103221629,0,1,1
"86","YJL100W","chrX",1034.50060699775,0.275243138964457,0.25772665643829,0,1,1
"87","YJL101C","chrX",882.973710598791,0.597472604919527,0.203935839291164,0.061159455654676,0.951232218956442,1
"88","YJL102W","chrX",1477.04533354407,0.724627067297622,0.257294983400843,0.542673104046088,0.587354895696505,1
"89","YJL103C","chrX",2159.26082040333,0.542244762698261,0.205375417776153,0,1,1
"90","YJL104W","chrX",658.906239238467,0.730329744740313,0.246286517739645,0.590084045501609,0.555134304580998,1
"91","YJL105W","chrX",165.989494422412,0.109345599862169,0.264606999537571,0,1,1
"92","YJL106W","chrX",292.092885070844,0.249244713848957,0.251795376749221,0,1,1
"93","YJL107C","chrX",93.7604301353484,0.299595742615845,0.328030066743112,0,1,1
"94","YJL109C","chrX",686.265286252042,0.301382191112469,0.210802090166352,0,1,1
"95","YJL110C","chrX",566.980233954051,0.282657994949361,0.219675875321246,0,1,1
"96","YJL111W","chrX",1427.40430632393,0.387015509862813,0.20151442705463,0,1,1
"97","YJL112W","chrX",1603.64570297634,0.742721585225255,0.197625837769822,0.798081804510582,0.424823019710494,1
"98","YJL113W","chrX",33.4419286944577,-0.349057630320116,0.416748600529876,0,1,1
"99","YJL115W","chrX",629.327643081326,0.173909418082201,0.204762213817368,0,1,1
"100","YJL117W","chrX",1202.43563588105,0.496936426482962,0.202798553467207,0,1,1
"101","YJL118W","chrX",51.4432903079769,0.794616909649586,0.396992788455732,0.528011882696858,0.597491088555064,1
"102","YJL121C","chrX",1157.91247595332,0.582675964101001,0.244570219068912,0,1,1
"103","YJL122W","chrX",273.681278354032,0.610492297267531,0.328040236535387,0.0777108855205345,0.93805803490111,1
"104","YJL123C","chrX",2378.17019245869,0.404160857318797,0.22495732016406,0,1,1
"105","YJL124C","chrX",1005.5734157369,0.559210093309824,0.200896436701257,0,1,1
"106","YJL125C","chrX",340.785689347596,0.329352709260965,0.218757343860021,0,1,1
"107","YJL126W","chrX",400.646110163015,0.420838607947054,0.228036640939559,0,1,1
"108","YJL127C","chrX",403.08551977194,0.506891456238269,0.21317429279907,0,1,1
"109","YJL127C-B","chrX",882.236872645535,0.629434228141211,0.212186742117008,0.209410954227803,0.834127442100803,1
"110","YJL127W-A","chrX",18.355036427654,0.841985691878011,0.52675245370518,0.487868048967542,0.625643307257826,1
"111","YJL128C","chrX",628.46743208691,0.330333230406194,0.228095691757417,0,1,1
"112","YJL129C","chrX",900.203184518232,0.462999409448725,0.211716593439256,0,1,1
"113","YJL130C","chrX",6101.26876630679,0.980247426459479,0.298509758380757,1.32406869578894,0.185480230971562,1
"114","YJL131C","chrX",415.862767562078,0.602001128235054,0.238549531461678,0.0712687555112019,0.943183861467586,1
"115","YJL132W","chrX",525.599214234545,0.758070540974487,0.211321542245307,0.818991472121582,0.412791279100699,1
"116","YJL133C-A","chrX",2319.32301842363,1.18357811453542,0.280975469154235,2.13035720284478,0.0331421342523354,1
"117","YJL133W","chrX",334.55638048902,0.506728225393738,0.266147842943723,0,1,1
"118","YJL134W","chrX",310.701899781638,0.30744798029694,0.227468901991232,0,1,1
"119","YJL136C","chrX",2681.25017604981,0.473271431620217,0.295046907723189,0,1,1
"120","YJL137C","chrX",3257.42126724381,0.607967125936024,0.244742214564246,0.0938421104708715,0.925234579943753,1
"121","YJL138C","chrX",2752.28209784758,0.580799973827991,0.209739918434531,0,1,1
"122","YJL139C","chrX",498.430686495996,0.761304858439737,0.216032051410171,0.816105097780119,0.41444002855573,1
