"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YNL001W","chrXIV",497.474565621618,0.299987868448525,0.262324689709333,0,1,1
"2","YNL002C","chrXIV",832.25881641613,0.444139464397348,0.24847612279159,0,1,1
"3","YNL003C","chrXIV",561.571886637087,0.30431067465248,0.217348302704961,0,1,1
"4","YNL004W","chrXIV",2710.64677961637,0.393991200852114,0.1940038204155,0,1,1
"5","YNL005C","chrXIV",1879.50809324758,0.711710177604611,0.220191159257022,0.575455336318504,0.564983388847571,1
"6","YNL006W","chrXIV",741.133206796182,0.248554909993902,0.242672383306364,0,1,1
"7","YNL007C","chrXIV",2392.94008393858,-0.568176363281888,0.300901730716063,0,1,1
"8","YNL008C","chrXIV",1466.27571450448,0.577800560305152,0.217902106528134,0,1,1
"9","YNL009W","chrXIV",3788.78130412208,0.417266905654562,0.321419819487282,0,1,1
"10","YNL010W","chrXIV",1394.25776809061,0.653775023890185,0.211740256909484,0.324808446414543,0.745326051556583,1
"11","YNL011C","chrXIV",349.029251188006,0.435083006575864,0.218349810324529,0,1,1
"12","YNL012W","chrXIV",254.830757824067,0.641232641141373,0.249472945177404,0.225405769356612,0.82166362382776,1
"13","YNL014W","chrXIV",2894.93116859035,0.842902919996017,0.225533745244654,1.14352253458235,0.252821704020754,1
"14","YNL015W","chrXIV",14779.6719573877,0.826164334909667,0.259770260532361,0.928375459205517,0.35321284385309,1
"15","YNL016W","chrXIV",2392.59260369083,0.33796605538943,0.202925630272149,0,1,1
"16","YNL020C","chrXIV",630.154613718882,0.884318085246322,0.208179041392541,1.43779163956246,0.150493182221878,1
"17","YNL021W","chrXIV",349.48885116195,-0.072381027182897,0.219509796201948,0,1,1
"18","YNL022C","chrXIV",419.037142438958,0.271878031273706,0.229741940244766,0,1,1
"19","YNL023C","chrXIV",467.301075559847,0.542127177479875,0.228563040730491,0,1,1
"20","YNL024C","chrXIV",39.9521172409366,0.107342760202818,0.379799025789011,0,1,1
"21","YNL024C-A","chrXIV",430.591979015935,0.801078382337389,0.265517045577928,0.813802299837551,0.415758217375176,1
"22","YNL025C","chrXIV",336.603625308501,0.177826650284088,0.2214816933218,0,1,1
"23","YNL026W","chrXIV",911.771283157058,0.404722507310314,0.219564280700967,0,1,1
"24","YNL027W","chrXIV",881.888426780326,0.532897617467825,0.206761973879431,0,1,1
"25","YNL029C","chrXIV",228.321563877117,-0.00518686364824443,0.245160251105246,0,1,1
"26","YNL030W","chrXIV",6728.2740533904,1.30910983464631,0.263658617286726,2.74639168671224,0.00602547784419523,0.315294297598548
"27","YNL031C","chrXIV",16291.4754627565,1.28893803652248,0.241756877971626,2.91176012210538,0.00359398521023423,0.273142875977802
"28","YNL032W","chrXIV",507.478819494803,0.511864527491494,0.244563128250656,0,1,1
"29","YNL035C","chrXIV",362.784484561143,0.312102671133251,0.221239457851177,0,1,1
"30","YNL037C","chrXIV",15899.0194104313,0.47996275438077,0.251522914013602,0,1,1
"31","YNL038W","chrXIV",273.813198545017,0.375770761101444,0.240977149114344,0,1,1
"32","YNL039W","chrXIV",944.971144426642,0.427352824471527,0.204552149104489,0,1,1
"33","YNL040W","chrXIV",505.918012321389,0.328283701380794,0.232055768132649,0,1,1
"34","YNL041C","chrXIV",614.802923418339,0.532872511905022,0.202243793767644,0,1,1
"35","YNL042W","chrXIV",218.955758032937,0.630936869594609,0.234715254383012,0.195713183258422,0.844834665214443,1
"36","YNL043C","chrXIV",59.2243401054718,0.645055385996859,0.329755579973238,0.182120909073725,0.855487840064383,1
"37","YNL044W","chrXIV",436.29406695631,0.89993325053317,0.249744818309241,1.26102015915786,0.207301584140178,1
"38","YNL045W","chrXIV",1449.61896669059,0.438291483661848,0.285226490783274,0,1,1
"39","YNL046W","chrXIV",263.746867768959,0.195031432489315,0.22955264829362,0,1,1
"40","YNL047C","chrXIV",295.307543157819,0.327623336630568,0.225117816840325,0,1,1
"41","YNL048W","chrXIV",898.346539395286,0.55044241024888,0.208684473687012,0,1,1
"42","YNL049C","chrXIV",284.859345864125,0.374293816041496,0.271141242002184,0,1,1
"43","YNL050C","chrXIV",439.447262993169,0.395786640759098,0.254410089180665,0,1,1
"44","YNL051W","chrXIV",689.004289042422,0.631593038311789,0.226253752965576,0.205932664988225,0.836843509295835,1
"45","YNL052W","chrXIV",31109.6295398002,0.729202263876626,0.210456422873813,0.685188229979028,0.493225150101918,1
"46","YNL053W","chrXIV",728.140411966074,0.60221018503109,0.233342932512845,0.0737549016194963,0.941205412531039,1
"47","YNL054W","chrXIV",775.147460557146,0.413961851346479,0.219990002646324,0,1,1
"48","YNL054W-B","chrXIV",35.8055937171045,-0.0862788703566603,0.411123494595135,0,1,1
"49","YNL055C","chrXIV",43870.228423849,0.811747240653631,0.236304307396039,0.959556104382004,0.337278670175155,1
"50","YNL056W","chrXIV",474.991357317826,0.240430414407205,0.219837823060947,0,1,1
"51","YNL058C","chrXIV",315.36808361635,-0.0659649394671256,0.267107699606611,0,1,1
"52","YNL059C","chrXIV",813.678941238539,0.480917723106701,0.203171280753155,0,1,1
"53","YNL061W","chrXIV",731.698844166537,0.556423774824779,0.219345483396154,0,1,1
"54","YNL062C","chrXIV",306.006900446238,0.196864573883704,0.224724299233963,0,1,1
"55","YNL063W","chrXIV",383.505354420906,0.702323427810094,0.214506188026051,0.546946588766223,0.584415427098524,1
"56","YNL064C","chrXIV",1149.66841840021,0.111789106990601,0.204346514656062,0,1,1
"57","YNL065W","chrXIV",57.968172670173,-0.252724306049365,0.429489283469183,0,1,1
"58","YNL066W","chrXIV",544.23178757614,-0.239853770656546,0.224852486806795,0,1,1
"59","YNL067W","chrXIV",1846.26057188603,0.314860680231479,0.236659065282957,0,1,1
"60","YNL068C","chrXIV",586.822878004548,0.234090649806935,0.209402966876791,0,1,1
"61","YNL069C","chrXIV",3966.76072929218,0.398453403185891,0.224288000095739,0,1,1
"62","YNL070W","chrXIV",866.558137106596,0.813649123636536,0.209846532226158,1.0896016303482,0.275888664606659,1
"63","YNL071W","chrXIV",10132.8392642534,0.696413062168113,0.209202190516089,0.532561642367434,0.594337060403913,1
"64","YNL072W","chrXIV",331.526083319117,0.589928434367589,0.288510495075201,0.0170823399901091,0.986370927504356,1
"65","YNL073W","chrXIV",503.167372218752,0.300412521805468,0.26372131360016,0,1,1
"66","YNL074C","chrXIV",766.664385481842,0.612460509623379,0.241478713615574,0.113718137769671,0.909461233932859,1
"67","YNL075W","chrXIV",317.352382627374,0.512919203035994,0.265911409079018,0,1,1
"68","YNL076W","chrXIV",735.302419747244,0.481317635008453,0.217110496561515,0,1,1
"69","YNL077W","chrXIV",2325.53709247423,0.0123498308635242,0.280629209800111,0,1,1
"70","YNL078W","chrXIV",226.959519975726,-0.00213811026064092,0.238113955576669,0,1,1
"71","YNL079C","chrXIV",5439.29628258473,0.428320421835679,0.212682994089513,0,1,1
"72","YNL080C","chrXIV",846.614605697454,0.0440196275471208,0.240446455098072,0,1,1
"73","YNL081C","chrXIV",596.021674823096,0.606980739466723,0.215610362201013,0.101946581983989,0.918799075469695,1
"74","YNL082W","chrXIV",759.429234254535,0.509724482613357,0.204004099694521,0,1,1
"75","YNL083W","chrXIV",494.543866238194,0.509305222043404,0.225162203181244,0,1,1
"76","YNL084C","chrXIV",1435.34311985941,0.504917394001652,0.229761043780875,0,1,1
"77","YNL085W","chrXIV",1538.10235672246,0.482757075551111,0.215295545447057,0,1,1
"78","YNL086W","chrXIV",192.84109783021,0.575500334768833,0.255139299845391,0,1,1
"79","YNL087W","chrXIV",1061.36089727652,0.526844787537089,0.202781779478424,0,1,1
"80","YNL088W","chrXIV",2107.52445492729,0.601809534223469,0.221169350910957,0.0760030002088147,0.939416711282846,1
"81","YNL090W","chrXIV",67.5346225944523,0.386289387101346,0.350004941222627,0,1,1
"82","YNL091W","chrXIV",2982.88003634972,0.427405128626097,0.208976905732849,0,1,1
"83","YNL092W","chrXIV",304.919129477941,1.02925829660336,0.250601407249816,1.77276856294944,0.0762670646455498,1
"84","YNL093W","chrXIV",889.00386819292,1.45414978469736,0.320188887458804,2.71449078572155,0.00663777468628522,0.315294297598548
"85","YNL094W","chrXIV",1055.77063010721,0.50030787239331,0.204726240509308,0,1,1
"86","YNL095C","chrXIV",184.159446170374,0.971140560404282,0.251775093287353,1.53367259391133,0.125110219289285,1
"87","YNL096C","chrXIV",1294.61880420499,0.596998228610264,0.23473856778951,0.051113154192125,0.959235354165218,1
"88","YNL097C","chrXIV",581.634255939926,0.233292877402902,0.223666741585155,0,1,1
"89","YNL098C","chrXIV",3544.6987437531,0.603682963725392,0.192174889302104,0.097218548132072,0.922552838537178,1
"90","YNL099C","chrXIV",531.846676306796,0.589018112188398,0.238049241843956,0.0168793320124559,0.986532881083925,1
"91","YNL100W","chrXIV",5017.39728342365,0.347722287500752,0.19718314818021,0,1,1
"92","YNL101W","chrXIV",2041.98514410386,0.319780753340435,0.202091751128043,0,1,1
"93","YNL102W","chrXIV",814.602143762373,0.501892523222665,0.292908344661537,0,1,1
"94","YNL103W","chrXIV",1161.20774464494,0.347423427170208,0.197844410928848,0,1,1
"95","YNL104C","chrXIV",33888.750418996,1.02197591208086,0.29072551328708,1.50305319660529,0.13282532668026,1
"96","YNL106C","chrXIV",143.70027605644,0.116843860335446,0.269771558610237,0,1,1
"97","YNL107W","chrXIV",310.393123256486,0.292161144468798,0.293250303669715,0,1,1
"98","YNL108C","chrXIV",49.7910912672312,0.292908063275596,0.354794113269574,0,1,1
"99","YNL110C","chrXIV",418.09259803885,0.247916946885099,0.338828080427348,0,1,1
"100","YNL111C","chrXIV",698.53142020361,0.974920726186831,0.340579633730816,1.14487387843929,0.252261406052228,1
"101","YNL112W","chrXIV",999.645529429241,0.483687989326806,0.229059934278839,0,1,1
"102","YNL113W","chrXIV",142.482177712865,0.471176293175016,0.298901989727471,0,1,1
"103","YNL115C","chrXIV",3741.00993822765,0.550156415550546,0.214812814227608,0,1,1
"104","YNL116W","chrXIV",1068.98380381783,0.528556668679791,0.215094729558516,0,1,1
"105","YNL117W","chrXIV",99208.1154545889,0.472192681026708,0.208966898911786,0,1,1
"106","YNL118C","chrXIV",1829.95848498798,0.259221024640282,0.214363986709199,0,1,1
"107","YNL119W","chrXIV",362.571687302763,0.371572118006689,0.223052848356428,0,1,1
"108","YNL121C","chrXIV",2793.08885426755,0.732508837148692,0.244881715913096,0.602367704745419,0.546929402334654,1
"109","YNL122C","chrXIV",354.315101671599,0.734702631031377,0.264036383630599,0.566977281588659,0.570729616748337,1
"110","YNL123W","chrXIV",412.529756128277,0.672423234776185,0.256789841292545,0.340446624898176,0.733520211731867,1
"111","YNL124W","chrXIV",281.348845609492,0.0938104527056661,0.286333621264213,0,1,1
"112","YNL125C","chrXIV",3934.18211864821,0.451669508403414,0.209644152198354,0,1,1
"113","YNL126W","chrXIV",434.720797251025,0.523408364574233,0.229047933697721,0,1,1
"114","YNL127W","chrXIV",513.433811175918,0.33683596154663,0.238582677864471,0,1,1
"115","YNL128W","chrXIV",59.0729760708369,0.504046307909568,0.34372700364622,0,1,1
"116","YNL129W","chrXIV",220.095311198253,0.808360328096919,0.257932179515441,0.865965342193944,0.386509168052922,1
"117","YNL130C","chrXIV",876.300928376934,0.205175280151183,0.205407427537838,0,1,1
"118","YNL131W","chrXIV",2241.28119585695,0.58661767651103,0.199887890827808,0.00809291900740466,0.993542855357719,1
"119","YNL132W","chrXIV",308.66832780384,0.185118764542923,0.234359050569719,0,1,1
"120","YNL133C","chrXIV",319.502664258665,0.22383463500572,0.297200399930424,0,1,1
"121","YNL134C","chrXIV",4208.25718566809,1.37892139016787,0.260438499371995,3.04840256752471,0.00230061503169157,0.273142875977802
"122","YNL135C","chrXIV",7386.30514061646,0.389303544515017,0.188428494506385,0,1,1
"123","YNL136W","chrXIV",967.157496588281,0.540667566715959,0.280111400555028,0,1,1
"124","YNL137C","chrXIV",1010.40561107592,0.74363749616878,0.234540984528354,0.676374308259128,0.498803024811931,1
"125","YNL138W","chrXIV",2503.82244848569,0.494378172075753,0.260334167639743,0,1,1
"126","YNL138W-A","chrXIV",237.438338580012,0.745963419108577,0.255121256129676,0.630929078785817,0.528086897563437,1
"127","YNL139C","chrXIV",755.012149938947,0.25238935169371,0.267590247147244,0,1,1
"128","YNL141W","chrXIV",417.638562542447,0.819340674463718,0.312027554646728,0.751025577625778,0.452637262730055,1
"129","YNL142W","chrXIV",1567.32732489322,0.699079507798159,0.357103768125452,0.319457586227659,0.749379548975295,1
"130","YNL144C","chrXIV",1104.67692607387,0.481281690002215,0.221270959312923,0,1,1
"131","YNL145W","chrXIV",27.7761010927582,0.137604648407694,0.475680127551468,0,1,1
"132","YNL146W","chrXIV",49.6049069968745,0.416777766860819,0.362538580611886,0,1,1
"133","YNL147W","chrXIV",531.233519064999,0.651367107647116,0.273469044565468,0.242685996700543,0.808248656221884,1
"134","YNL148C","chrXIV",125.924062178501,0.751196275652252,0.330894176863231,0.502264129359238,0.615481737980118,1
"135","YNL149C","chrXIV",35.1399659038597,0.978830023145472,0.402496968344051,0.978467054710408,0.327843377918616,1
"136","YNL150W","chrXIV",67.7348605104853,0.638542786688234,0.346491101226651,0.154528605492845,0.877192958174432,1
"137","YNL151C","chrXIV",388.26948714909,0.459195859240892,0.24423789683578,0,1,1
"138","YNL152W","chrXIV",233.475286547085,0.615046601053277,0.272930347696508,0.110088897430666,0.912338873203072,1
"139","YNL153C","chrXIV",363.896082831059,0.576795799223167,0.273426411592585,0,1,1
"140","YNL154C","chrXIV",2027.94248013642,0.446301473317136,0.219301216747827,0,1,1
"141","YNL155W","chrXIV",242.928608002313,0.336271907608259,0.259918481694267,0,1,1
"142","YNL156C","chrXIV",2665.26217573786,0.28420942431812,0.193624623067457,0,1,1
"143","YNL157W","chrXIV",1829.79441901653,0.735276812266289,0.24569109883497,0.611649396249514,0.5407697490282,1
"144","YNL158W","chrXIV",368.691366441767,0.247989925202824,0.231512080258278,0,1,1
"145","YNL159C","chrXIV",516.862219036792,0.48804344757114,0.227683994947097,0,1,1
"146","YNL160W","chrXIV",40833.3709969387,-0.0494024091983076,0.24496690492548,0,1,1
"147","YNL161W","chrXIV",1176.04123404164,0.652462861430768,0.200399237147152,0.336642306583386,0.736386559761452,1
"148","YNL162W","chrXIV",2093.27554786101,0.802431989933784,0.303920139984458,0.715424749228214,0.47434662408188,1
"149","YNL162W-A","chrXIV",32.2753387404031,0.1986111261174,0.432686354655088,0,1,1
"150","YNL163C","chrXIV",687.452684466785,0.255023455557596,0.212466095644316,0,1,1
"151","YNL164C","chrXIV",335.131501086259,0.63529108212288,0.279314125460604,0.180052054438519,0.85711170237776,1
"152","YNL165W","chrXIV",354.484665238253,0.500942272596577,0.221861366592891,0,1,1
"153","YNL166C","chrXIV",376.251648412259,0.823741639038573,0.256627193323333,0.930305303763246,0.352213032521782,1
"154","YNL167C","chrXIV",690.019990030358,0.663410870493215,0.219431347518135,0.357336685847653,0.720839769132842,1
"155","YNL168C","chrXIV",1357.79730303663,0.171169664519338,0.202734332404634,0,1,1
"156","YNL169C","chrXIV",544.001533673091,0.18845012897219,0.256626137560542,0,1,1
"157","YNL170W","chrXIV",37.3246844057884,0.508712367685077,0.413500929593757,0,1,1
"158","YNL172W","chrXIV",468.08452553114,0.215480762443806,0.221685295930412,0,1,1
"159","YNL173C","chrXIV",4134.73145951875,0.226702378235558,0.21663498235024,0,1,1
"160","YNL175C","chrXIV",141.705515932151,0.452463046482067,0.327849470882288,0,1,1
"161","YNL176C","chrXIV",2326.58609644153,0.435764359987968,0.204333478061224,0,1,1
"162","YNL177C","chrXIV",931.010472850073,0.615863627773103,0.2098734840856,0.147058252296966,0.883086041383926,1
"163","YNL178W","chrXIV",4779.02028624975,0.275247655032603,0.221078993456315,0,1,1
"164","YNL179C","chrXIV",83.4830690341397,1.19796074800402,0.311605902097156,1.9671024967072,0.0491713954917892,1
"165","YNL180C","chrXIV",2236.1223158202,0.782814826784095,0.225345585169067,0.87782872087635,0.380036675656982,1
"166","YNL181W","chrXIV",696.939961116754,0.61223205467111,0.236503895507569,0.115144211949095,0.908330816858806,1
"167","YNL182C","chrXIV",178.573552075729,0.193424381726074,0.283279870760101,0,1,1
"168","YNL183C","chrXIV",880.451528292119,0.451253929265987,0.22459586335123,0,1,1
"169","YNL185C","chrXIV",200.149609310733,0.956262574356222,0.267738371905059,1.38666180613017,0.165544912188295,1
"170","YNL186W","chrXIV",1307.7999722208,0.464629324435367,0.203270648304303,0,1,1
"171","YNL187W","chrXIV",166.868160062756,0.607586675124266,0.268954327635096,0.0839795935721486,0.933072656415861,1
"172","YNL188W","chrXIV",140.000104276168,0.244241341976661,0.317113288667487,0,1,1
"173","YNL189W","chrXIV",3766.18460649267,0.474415573135115,0.243508723185135,0,1,1
"174","YNL190W","chrXIV",1972.43039700764,0.625108122129058,0.264452861534505,0.151664542014511,0.879451524959481,1
"175","YNL191W","chrXIV",459.687767946424,-0.0163330691851336,0.209563805044966,0,1,1
"176","YNL192W","chrXIV",2053.94527366896,0.462890799778167,0.219724830317468,0,1,1
"177","YNL193W","chrXIV",477.620255746374,0.18987825893146,0.220354342503995,0,1,1
"178","YNL194C","chrXIV",2917.34122998564,0.475596694142429,0.221852048625078,0,1,1
"179","YNL195C","chrXIV",6157.70645557345,0.524973603755527,0.201676365467053,0,1,1
"180","YNL196C","chrXIV",173.272933526618,0.929204791377927,0.291544412765184,1.18062557986716,0.237751497210045,1
"181","YNL197C","chrXIV",795.038139378128,0.290807686037673,0.238029724423761,0,1,1
"182","YNL199C","chrXIV",899.277140845808,0.344473279422408,0.207863974704384,0,1,1
"183","YNL200C","chrXIV",5398.36851518355,0.724227815594888,0.221816992042614,0.627669748439024,0.530220306762677,1
"184","YNL201C","chrXIV",560.187658639235,0.576942959378327,0.218876317297317,0,1,1
"185","YNL202W","chrXIV",2401.50715075172,0.716309583737747,0.260830889730748,0.503428040571788,0.614663361185139,1
"186","YNL206C","chrXIV",748.198290965005,0.569043140313326,0.248112964847408,0,1,1
"187","YNL207W","chrXIV",503.942485396883,0.388188957431429,0.226081591322411,0,1,1
"188","YNL208W","chrXIV",10730.2284440666,1.23066934014744,0.218959995830987,2.9488004769868,0.00319009857838024,0.273142875977802
"189","YNL209W","chrXIV",8342.63747238551,0.517298381656989,0.228074003250657,0,1,1
"190","YNL210W","chrXIV",30.3166388214136,1.13306334360575,0.43320783278365,1.2651279642939,0.205825459925474,1
"191","YNL211C","chrXIV",116.945161954086,0.704763000925081,0.299900792146151,0.399342062646893,0.689641177879597,1
"192","YNL212W","chrXIV",1261.69267060926,0.351034036804845,0.203754498015911,0,1,1
"193","YNL213C","chrXIV",380.81694008492,0.655890721419057,0.262411522543037,0.270150947382389,0.787044128327115,1
"194","YNL214W","chrXIV",337.423666787713,0.135403497751823,0.239170527275935,0,1,1
"195","YNL215W","chrXIV",1398.43123811109,0.34327361823629,0.205027797953721,0,1,1
"196","YNL216W","chrXIV",827.061996809291,-0.00147107691013841,0.207957563629879,0,1,1
"197","YNL217W","chrXIV",732.051785698831,0.561485793057604,0.251077570582166,0,1,1
"198","YNL218W","chrXIV",263.405282539717,0.303766809579237,0.226642794958103,0,1,1
"199","YNL219C","chrXIV",1079.15417558897,0.629522427245272,0.205629076684857,0.216518149879681,0.828583879122868,1
"200","YNL220W","chrXIV",3677.24774754997,0.746513709372656,0.228788711628217,0.705951391671441,0.480218366480676,1
"201","YNL221C","chrXIV",740.048990475077,0.342317792541425,0.212230508124432,0,1,1
"202","YNL222W","chrXIV",205.757470721383,0.364584133005922,0.245790387695224,0,1,1
"203","YNL223W","chrXIV",668.181544282886,0.501109661398769,0.205305670757105,0,1,1
"204","YNL224C","chrXIV",408.62384228261,0.408481741597242,0.213249599832244,0,1,1
"205","YNL225C","chrXIV",457.872213983146,0.586321877196541,0.222684958087729,0.00593608660366168,0.995263715962871,1
"206","YNL227C","chrXIV",216.932821795694,0.679982536041567,0.306010577981864,0.310389714852262,0.756264614549252,1
"207","YNL229C","chrXIV",1539.83754093284,0.582895354593127,0.193229921370139,0,1,1
"208","YNL230C","chrXIV",187.650511235295,0.164283140519492,0.25855404972634,0,1,1
"209","YNL231C","chrXIV",1891.96556384181,1.2613428787162,0.239691584766925,2.82172141910561,0.00477666507086062,0.302522121154506
"210","YNL232W","chrXIV",743.384290277351,0.82238311214666,0.245916691568626,0.965298901154153,0.334395122028609,1
"211","YNL233W","chrXIV",840.835343666619,0.578875598923354,0.209184642004562,0,1,1
"212","YNL234W","chrXIV",97.0320803053377,0.0495554402671521,0.312398187682257,0,1,1
"213","YNL236W","chrXIV",260.85656252954,0.115420740722161,0.244642737433554,0,1,1
"214","YNL237W","chrXIV",1196.50653059876,0.884819713443776,0.220248033408919,1.3612821363409,0.173424546030256,1
"215","YNL238W","chrXIV",671.249337000318,0.532486458964227,0.22683583002332,0,1,1
"216","YNL239W","chrXIV",7940.69589411218,0.749596669925465,0.322843249614342,0.509834633749001,0.610167319589415,1
"217","YNL240C","chrXIV",646.219951638578,0.426203496426501,0.290574355441221,0,1,1
"218","YNL241C","chrXIV",3979.81285974797,0.597201782757648,0.262699489947449,0.046447683473191,0.962953431583077,1
"219","YNL242W","chrXIV",656.518620822999,0.337749695291089,0.2567372251081,0,1,1
"220","YNL243W","chrXIV",1365.15326581952,0.642372219387884,0.273946285414647,0.209428718119118,0.83411357598527,1
"221","YNL244C","chrXIV",1542.76376158088,0.726156607910123,0.280421307220904,0.503373332465518,0.614701817173009,1
"222","YNL245C","chrXIV",282.798346584826,0.312668188992932,0.24365582497161,0,1,1
"223","YNL246W","chrXIV",826.09353897915,0.0823690011275753,0.232218090873403,0,1,1
"224","YNL247W","chrXIV",1538.25372026892,0.371420988695309,0.204718088470531,0,1,1
"225","YNL248C","chrXIV",314.256499485926,0.243532383251708,0.281883319787008,0,1,1
"226","YNL249C","chrXIV",307.94641217092,0.713218046487258,0.22864294917532,0.560778484312423,0.574948555886843,1
"227","YNL250W","chrXIV",397.413968355634,0.899465262056088,0.225925887935291,1.39189565627006,0.163953997408302,1
"228","YNL251C","chrXIV",658.600764198809,-0.340330244935633,0.25308026462099,0,1,1
"229","YNL252C","chrXIV",764.539256675451,0.740752825515719,0.202306276790854,0.769886273359367,0.441367357089253,1
"230","YNL253W","chrXIV",538.020617866291,0.589058436158785,0.241236074272292,0.0168235044075699,0.986577418743789,1
"231","YNL254C","chrXIV",296.350163369896,-0.192518751322216,0.234086311230486,0,1,1
"232","YNL255C","chrXIV",3391.98253446308,0.252914414391295,0.260276346795805,0,1,1
"233","YNL256W","chrXIV",350.689709018531,0.13202374926815,0.225787783914836,0,1,1
"234","YNL257C","chrXIV",530.088243204614,0.420604864806485,0.229821720611465,0,1,1
"235","YNL258C","chrXIV",792.388398299792,0.652917063584761,0.206289699999824,0.329231481672708,0.741980729190843,1
"236","YNL259C","chrXIV",423.365496904945,0.698825587411347,0.264161620448766,0.430893735501686,0.666545638671277,1
"237","YNL260C","chrXIV",159.842677975985,0.882528359445768,0.273156013844836,1.08922500097244,0.27605467652417,1
"238","YNL261W","chrXIV",244.483943475722,0.499368963305439,0.254821568925225,0,1,1
"239","YNL262W","chrXIV",1366.64546287715,0.557293715136667,0.227415721499925,0,1,1
"240","YNL263C","chrXIV",1253.31086120618,0.492241482379951,0.200599900596967,0,1,1
"241","YNL264C","chrXIV",299.020971693923,0.0899524395037365,0.224897443246782,0,1,1
"242","YNL265C","chrXIV",491.695209597294,0.560316805728654,0.215371744145528,0,1,1
"243","YNL266W","chrXIV",26.2743624696353,0.172132653641171,0.464270142187857,0,1,1
"244","YNL267W","chrXIV",1425.09833672753,0.394970439811318,0.202025722991367,0,1,1
"245","YNL268W","chrXIV",1969.83530550432,0.574176910932164,0.220602737195647,0,1,1
"246","YNL270C","chrXIV",271.495589328478,0.900307249434117,0.259098580273552,1.2169393174645,0.223627304874982,1
"247","YNL271C","chrXIV",1073.39561139351,-0.0376583692562447,0.212197075328894,0,1,1
"248","YNL272C","chrXIV",626.263303887699,0.655297362144671,0.20394638575441,0.344685500969467,0.730330819456414,1
"249","YNL273W","chrXIV",273.755416484717,0.447084329666441,0.245641836995001,0,1,1
"250","YNL274C","chrXIV",2560.32155799824,0.634334804881556,0.241237039944721,0.204507586782116,0.837956863884732,1
"251","YNL275W","chrXIV",128.127253307142,-0.0299923494722582,0.290331410162872,0,1,1
"252","YNL276C","chrXIV",15.9959596801645,-0.232024957358636,0.567197900279414,0,1,1
"253","YNL277W","chrXIV",523.010543843343,-0.0727894623164191,0.228879505920134,0,1,1
"254","YNL278W","chrXIV",457.363231877819,0.449041498240002,0.287793126724297,0,1,1
"255","YNL279W","chrXIV",132.628640985516,0.478443269242838,0.27029864258893,0,1,1
"256","YNL280C","chrXIV",723.825676950329,0.522150268087267,0.228165570501751,0,1,1
"257","YNL281W","chrXIV",535.753652635804,0.151241105229208,0.225818064230971,0,1,1
"258","YNL282W","chrXIV",97.6417107585152,0.427375151981867,0.324534417367422,0,1,1
"259","YNL283C","chrXIV",1600.29695664628,0.766867019625729,0.26215992414582,0.693725481567389,0.487854382698238,1
"260","YNL284C","chrXIV",939.027628581604,0.698705639529936,0.203416471229044,0.558979510572208,0.576175703750656,1
"261","YNL285W","chrXIV",19.5940129620083,-0.210666377276296,0.511111273600963,0,1,1
"262","YNL286W","chrXIV",540.26091514635,0.830577511299356,0.268690762481578,0.913978244102058,0.360728277575164,1
"263","YNL287W","chrXIV",2251.91343013636,0.621493124761147,0.236560983511434,0.154265188702952,0.877400644101771,1
"264","YNL288W","chrXIV",637.621675418489,0.222060751695706,0.226039035958496,0,1,1
"265","YNL290W","chrXIV",872.96550434557,0.348208248649044,0.222216185614944,0,1,1
"266","YNL291C","chrXIV",364.757733294421,0.555747137365976,0.225551048918748,0,1,1
"267","YNL292W","chrXIV",304.648634738756,0.238283503626978,0.219656836890506,0,1,1
"268","YNL293W","chrXIV",719.183718571541,0.353181349501327,0.204140757102352,0,1,1
"269","YNL294C","chrXIV",1014.95231075931,0.539502418430918,0.205543644726478,0,1,1
"270","YNL295W","chrXIV",439.380474245135,0.550282212547939,0.223944884500975,0,1,1
"271","YNL297C","chrXIV",747.850203370452,0.125897333606252,0.230941451766309,0,1,1
"272","YNL298W","chrXIV",694.133482310154,0.215363609437348,0.230490465173933,0,1,1
"273","YNL299W","chrXIV",136.102338276833,0.420515811166745,0.322180846299462,0,1,1
"274","YNL300W","chrXIV",843.902652360311,0.807776634515969,0.350733270029722,0.635173944282761,0.52531497478418,1
"275","YNL301C","chrXIV",942.111686128303,0.813132752111669,0.232090174740119,0.982948771386461,0.325632652357898,1
"276","YNL302C","chrXIV",2660.63540954565,0.547254794595743,0.262196677689646,0,1,1
"277","YNL304W","chrXIV",226.554693944547,0.298405566155789,0.243516303175054,0,1,1
"278","YNL305C","chrXIV",3748.63137126303,0.743425657298987,0.21139029580291,0.74944621604908,0.453588304164038,1
"279","YNL306W","chrXIV",1366.54061829712,0.782023212560395,0.203736617686488,0.96704860813767,0.333519734750757,1
"280","YNL307C","chrXIV",1496.68053920409,0.50726726819711,0.275766502012289,0,1,1
"281","YNL308C","chrXIV",1062.77597802794,0.91810979446773,0.237200875479136,1.40433627740565,0.160218736421023,1
"282","YNL309W","chrXIV",297.921889356095,0.5879200396851,0.250811711552778,0.0116423577951029,0.990710952310965,1
"283","YNL310C","chrXIV",860.202742482203,0.60962818335295,0.207266571241126,0.118823711925539,0.905415022370885,1
"284","YNL311C","chrXIV",516.127592593704,0.682913944939553,0.209741946344201,0.466830534598307,0.640621127825402,1
