"","genes","chr","sampleMean","ancMean","sampleOverAnc"
"1","YAL001C","chrI",523.107871939057,617.330526666881,0.847370815701346
"2","YAL002W","chrI",413.682070984632,685.464172232032,0.603506481801355
"3","YAL003W","chrI",3863.20116242889,5895.6230910003,0.655265966429587
"4","YAL005C","chrI",7263.57788603495,10354.5679753009,0.701485364079021
"5","YAL007C","chrI",527.445660545709,806.790017790212,0.653758287677351
"6","YAL008W","chrI",1593.82176213083,1104.85729370933,1.44255893607754
"7","YAL009W","chrI",324.401257998085,312.991912617248,1.03645252455705
"8","YAL010C","chrI",299.374785099692,393.722784392187,0.760369470519351
"9","YAL011W","chrI",160.798062488509,237.995641030801,0.675634485539583
"10","YAL012W","chrI",2333.95526191133,6537.59642505491,0.357005099453157
"11","YAL013W","chrI",470.9359027661,497.653072009737,0.946313665590887
"12","YAL014C","chrI",444.30725992742,515.154399629753,0.862473969448283
"13","YAL015C","chrI",633.202610179142,832.318945230418,0.760769190474028
"14","YAL016C-B","chrI",37.5368941460055,50.304146252249,0.746198811481217
"15","YAL016W","chrI",2314.39871073964,2388.4044728446,0.969014560579508
"16","YAL017W","chrI",1093.12418463681,1310.60156181466,0.834062934522429
"17","YAL019W","chrI",432.764323120669,599.172855661095,0.722269573849738
"18","YAL020C","chrI",176.070692568832,230.764129132226,0.762989868620113
"19","YAL021C","chrI",546.881935295157,819.334795160498,0.667470658545668
"20","YAL022C","chrI",450.148430828326,557.031851546382,0.808119732433009
"21","YAL023C","chrI",699.708700352415,1477.79536844359,0.473481454397401
"22","YAL024C","chrI",117.861335427536,151.679983149266,0.777039481284423
"23","YAL025C","chrI",492.47980574935,523.046021132404,0.941561135831073
"24","YAL026C","chrI",395.755640734446,603.619110388645,0.655638023918156
"25","YAL027W","chrI",326.834607351879,223.31188032921,1.46357912919839
"26","YAL028W","chrI",155.125627494049,383.550333913138,0.404446597429323
"27","YAL029C","chrI",885.51345738623,1333.53532434994,0.664034496287447
"28","YAL030W","chrI",1008.27611371742,896.413399020252,1.12478920419913
"29","YAL031C","chrI",430.429090342264,418.759454293065,1.02786715841174
"30","YAL032C","chrI",496.468034304468,326.502731083145,1.52056318995397
"31","YAL033W","chrI",192.102323745356,166.738497055691,1.15211740022578
"32","YAL034C","chrI",2910.18156458246,1930.10504666931,1.50778402947779
"33","YAL034W-A","chrI",131.002801517874,110.128601816274,1.18954385470565
"34","YAL035W","chrI",1362.46433342419,2245.65307511614,0.606711850784752
"35","YAL036C","chrI",362.458001494739,441.097726719071,0.821718135322841
"36","YAL037W","chrI",346.469340939462,243.375627106562,1.42359917079026
"37","YAL038W","chrI",16140.9422023891,30061.6406473246,0.536928186713108
"38","YAL039C","chrI",1138.6757919282,801.410031714452,1.42084045228662
"39","YAL040C","chrI",672.331021731261,544.325089438903,1.23516449044138
"40","YAL041W","chrI",528.362759873483,567.879119394245,0.930414135383401
"41","YAL042W","chrI",1168.2149876359,2018.13581605593,0.578858458554568
"42","YAL043C","chrI",433.811184816218,558.773841471505,0.77636272963995
"43","YAL044C","chrI",3684.11201401585,3117.84472324866,1.18162138946328
"44","YAL044W-A","chrI",350.642949764726,202.954372715622,1.72769349619307
"45","YAL046C","chrI",396.810491698964,241.406596949253,1.64374336374237
"46","YAL047C","chrI",280.708139855599,294.58119495962,0.952905836009244
"47","YAL048C","chrI",400.156433833856,343.315405569991,1.16556503827579
"48","YAL049C","chrI",1141.63756702349,969.483455743032,1.17757302639942
"49","YAL051W","chrI",635.293807155616,840.460283166795,0.755887957919764
"50","YAL053W","chrI",2358.56538037556,2342.14958791372,1.00700885739602
"51","YAL054C","chrI",462.093388943022,467.677889841981,0.988059087204559
"52","YAL055W","chrI",281.196178661828,263.961840061393,1.06529102311314
"53","YAL056W","chrI",1309.05607499363,1331.20791386159,0.983359594968376
"54","YAL058W","chrI",272.258368238925,355.959213291727,0.764858326663947
"55","YAL059W","chrI",80.0413811384995,87.9481119089663,0.910097776986379
"56","YAL060W","chrI",3410.82058510836,4243.1476922683,0.803842060770928
"57","YAL061W","chrI",4139.5082808543,3664.07683935121,1.12975476834904
"58","YAL062W","chrI",4541.33089319729,1718.48353962171,2.64263857551814
"59","YAL063C","chrI",605.167810975658,482.853908082899,1.25331451365567
"60","YAL067C","chrI",678.013181795482,323.219349045238,2.0976874800295
"61","YAR002C-A","chrI",1626.64237862423,1688.01776502369,0.963640556591775
"62","YAR002W","chrI",580.56431792434,592.243073035558,0.980280469889908
"63","YAR003W","chrI",417.213954531543,426.337175867379,0.978600924685315
"64","YAR007C","chrI",477.552504796489,677.367314698354,0.705012619348415
"65","YAR008W","chrI",110.873473704573,98.6514330024881,1.12389116234912
"66","YAR014C","chrI",709.659670988039,700.886933797048,1.01251662253634
"67","YAR015W","chrI",1953.86753935147,3694.89128184271,0.528802443783147
"68","YAR018C","chrI",257.450831476021,226.048454879038,1.13891878453134
"69","YAR019C","chrI",550.46412437593,477.591426341633,1.15258376514944
"70","YAR020C","chrI",76.7329963488921,69.8634648349744,1.09832795338943
"71","YAR023C","chrI",223.626563870042,227.103892780239,0.984688378223608
"72","YAR027W","chrI",1601.40741066737,1774.95325432509,0.902225118754626
"73","YAR028W","chrI",860.631474827538,1015.08663550683,0.847840415510768
"74","YAR029W","chrI",58.6515514027942,72.7418850298951,0.806296831305511
"75","YAR030C","chrI",53.1777016072851,84.4519614034214,0.629679888111288
"76","YAR031W","chrI",116.248264252281,171.277914807137,0.678711346895944
"77","YAR033W","chrI",149.631583444533,195.751404346142,0.764395964076679
"78","YAR035W","chrI",107.713073446368,106.654691512079,1.00992344471007
"79","YAR042W","chrI",690.160479715433,892.619721460165,0.773185336513128
"80","YAR050W","chrI",236.04591234203,226.530642872315,1.04200433702507
"81","YAR071W","chrI",50.9085060548719,47.6708042723677,1.06791791814557
"82","YBL001C","chrII",2766.71221339598,2498.06515843215,1.10754205271909
"83","YBL002W","chrII",932.981352911971,786.40396664753,1.18638942894618
"84","YBL003C","chrII",1343.67614742367,1209.50977331632,1.11092624224068
"85","YBL004W","chrII",543.014178885567,838.234004139148,0.647807385770795
"86","YBL005W","chrII",649.596116038765,895.074705829056,0.725745138152554
"87","YBL006C","chrII",516.855812226507,414.157082155875,1.24797047906567
"88","YBL007C","chrII",1278.80483848282,1848.11060674421,0.691952545381291
