"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YEL001C","chrV",716.495065934222,0.415605839148886,0.2760598941917,0,1,1
"2","YEL002C","chrV",2054.76961004147,0.573118429538106,0.256489352527905,0,1,1
"3","YEL003W","chrV",224.618623387957,0.164497136411416,0.408744900124129,0,1,1
"4","YEL004W","chrV",205.45631666128,0.701915481835997,0.333725981846414,0.35033377140472,0.726088223288508,1
"5","YEL005C","chrV",843.509732778564,0.226723580100892,0.28191011454323,0,1,1
"6","YEL006W","chrV",693.513136007239,0.338898975835601,0.28017340246346,0,1,1
"7","YEL007W","chrV",1349.44416415564,0.162001635644112,0.262683969592326,0,1,1
"8","YEL009C","chrV",39259.3385171637,0.528900702052354,0.245880643674084,0,1,1
"9","YEL011W","chrV",9482.76716918446,1.22291603712691,0.261157357500121,2.44265006827011,0.014579866567836,1
"10","YEL012W","chrV",4449.18307378556,0.424692881579506,0.303589674174602,0,1,1
"11","YEL013W","chrV",1139.00170991697,0.964573848629761,0.265699285741377,1.42858437714893,0.153123727098572,1
"12","YEL015W","chrV",962.239328513181,0.759712685087922,0.26964620889773,0.647933029735962,0.517028266495451,1
"13","YEL016C","chrV",436.19544053168,0.491353670727989,0.296497062283716,0,1,1
"14","YEL017C-A","chrV",640.304498125753,0.410144311855343,0.329902687065948,0,1,1
"15","YEL017W","chrV",427.432361079969,0.889223733966369,0.306172953279659,0.993633600576373,0.320401279684313,1
"16","YEL018W","chrV",95.9308423646367,0.466798663404711,0.413906768172689,0,1,1
"17","YEL019C","chrV",163.231469617447,-0.109825595054352,0.37011043698975,0,1,1
"18","YEL020C","chrV",2927.25852167471,0.836146350606591,0.252626956756797,0.994139160091173,0.320155122733292,1
"19","YEL020W-A","chrV",209.995637754552,0.471326381502517,0.353581949471063,0,1,1
"20","YEL022W","chrV",403.67583724104,0.620618812012612,0.307036106062636,0.116008545279512,0.907645769371432,1
"21","YEL023C","chrV",266.632240105794,0.658124490318336,0.320210592806834,0.228363745488107,0.819363471730254,1
"22","YEL024W","chrV",15583.3977780338,0.545065720427157,0.244573044535206,0,1,1
"23","YEL025C","chrV",960.240386500392,0.50497495787926,0.280236299894805,0,1,1
"24","YEL026W","chrV",142.097927228281,-0.141798947634205,0.435509896741549,0,1,1
"25","YEL027W","chrV",3682.56628161457,0.508850797449668,0.285818455503448,0,1,1
"26","YEL028W","chrV",104.690511920274,0.377694360340902,0.424021009745765,0,1,1
"27","YEL029C","chrV",180.914998603515,0.423476957424004,0.346162757653587,0,1,1
"28","YEL030W","chrV",299.383626511233,0.683540454930695,0.315662703783286,0.312170090890264,0.75491126111408,1
"29","YEL031W","chrV",1563.40444479375,0.643624716298106,0.340564971344282,0.172139595175341,0.863327784900967,1
"30","YEL032W","chrV",1030.53928871111,1.09354539192541,0.273606427115559,1.85867487575731,0.0630732367605133,1
"31","YEL033W","chrV",298.71870909624,1.04127157161394,0.39679005878358,1.14990676180929,0.250182275583333,1
"32","YEL036C","chrV",641.53679200214,0.635267073011188,0.281284192939583,0.178705644586238,0.858168836797496,1
"33","YEL037C","chrV",1204.10252541865,0.586393124856842,0.31664871613438,0.0043995910479249,0.996489645553656,1
"34","YEL038W","chrV",277.009737830877,0.541212432416039,0.312705518592861,0,1,1
"35","YEL039C","chrV",1227.99353610078,-0.557008438292366,0.315626428883673,0,1,1
"36","YEL040W","chrV",725.403012970427,0.373002146923517,0.93300823277916,0,1,1
"37","YEL041W","chrV",380.235234933364,0.841532417762811,0.307690539039181,0.833735150141047,0.404430245999958,1
"38","YEL042W","chrV",1018.88112856244,0.901693346102698,0.280246165518059,1.13005416333623,0.258453402313708,1
"39","YEL043W","chrV",1144.92413723142,0.764733458014619,0.276059492880085,0.651067840991404,0.515002694820106,1
"40","YEL044W","chrV",1071.85870469472,0.178602035890054,0.280435700677737,0,1,1
"41","YEL046C","chrV",1614.64699272283,1.12029564880672,0.9200973796587,0.581781516436097,0.560713855677068,1
"42","YEL047C","chrV",1213.52881637117,0.648135505546797,0.27312461052728,0.231160075340377,0.817190445306285,1
"43","YEL048C","chrV",83.8569844115973,-0.0674048453822471,0.456303540050171,0,1,1
"44","YEL049W","chrV",120.694401395773,0.379494849889553,0.391362250017366,0,1,1
"45","YEL050C","chrV",569.057732326531,0.74861939050196,0.286270188477489,0.571555813660373,0.567622937797276,1
"46","YEL050W-A","chrV",34.5265637328937,-0.392914311791545,0.632074617184242,0,1,1
"47","YEL051W","chrV",1807.1267577775,0.580245592068775,0.284785173920448,0,1,1
"48","YEL052W","chrV",1774.31598292474,0.813292116672903,0.266522084148425,0.856559850949417,0.391688182407207,1
"49","YEL053C","chrV",480.469154640678,0.636494852177106,0.287649351087468,0.17901953187945,0.857922365212422,1
"50","YEL054C","chrV",646.645387638471,-0.221481895398432,0.291707798031543,0,1,1
"51","YEL055C","chrV",658.837468538925,0.506630041808244,0.277864720092966,0,1,1
"52","YEL056W","chrV",535.646302178781,0.584793185566204,0.288890197273148,0,1,1
"53","YEL057C","chrV",158.770806114634,0.288494677911652,0.369520514981178,0,1,1
"54","YEL058W","chrV",778.244954633578,0.611519223036375,0.351373938195446,0.0754729368164579,0.939838429400581,1
"55","YEL059C-A","chrV",222.216743490037,0.379768901268245,0.325626310968168,0,1,1
"56","YEL059W","chrV",20.08377896559,-0.179377456428616,0.814562230585571,0,1,1
"57","YEL060C","chrV",15768.3946948546,1.15781184439873,0.297056762635027,1.92829087383043,0.0538189563275857,1
"58","YEL061C","chrV",531.785894955463,0.508081476479938,0.281044336639299,0,1,1
"59","YEL062W","chrV",342.982446357584,0.667962126431604,0.303685755883293,0.273184121495268,0.784711685129443,1
"60","YEL063C","chrV",2011.82408132805,0.982657345798517,0.273421863600256,1.45437288943321,0.145842952037857,1
"61","YEL064C","chrV",525.191005144743,0.76166997938142,0.297743754637321,0.593362502587571,0.552938577906149,1
"62","YEL065W","chrV",1126.65799845517,0.438088398926543,0.30093186074139,0,1,1
"63","YEL066W","chrV",1025.81966349042,0.243074821393503,0.268337331254527,0,1,1
"64","YEL067C","chrV",110.771071903653,0.0613106847611817,0.407881908144039,0,1,1
"65","YEL068C","chrV",271.91605048685,0.366373626751991,0.331706519939892,0,1,1
"66","YEL069C","chrV",81.8684652867853,0.690467236509339,0.495029372102791,0.213052482242285,0.831286027355631,1
"67","YEL071W","chrV",4331.968933441,0.06712940276784,0.260076607482997,0,1,1
"68","YEL072W","chrV",189.867152573557,0.031465099324721,0.352986005878033,0,1,1
"69","YEL073C","chrV",176.682462163786,0.197205209963088,0.355428795297996,0,1,1
"70","YEL077C","chrV",337.271079815519,0.128420183497128,0.332966803563365,0,1,1
"71","YER001W","chrV",1745.2192150121,1.06811080740737,0.257959870536272,1.87281380783388,0.0610941005923132,1
"72","YER002W","chrV",787.169216830243,-0.172071798467625,0.369096719378719,0,1,1
"73","YER003C","chrV",2779.79262642269,1.05323161003487,0.271041605628755,1.72752669815648,0.0840731145985149,1
"74","YER004W","chrV",2005.8709005181,0.71110007052228,0.278217408757961,0.453242919216396,0.650373830381888,1
"75","YER005W","chrV",495.027632453977,0.365329278922231,0.300963387436221,0,1,1
"76","YER006W","chrV",651.08964593802,0.237459880667881,0.2813020181052,0,1,1
"77","YER007C-A","chrV",487.399007701234,0.169792540950874,0.313800132247486,0,1,1
"78","YER007W","chrV",263.88217443297,0.426183599524496,0.336419732393829,0,1,1
"79","YER008C","chrV",831.612271282407,0.817746840668854,0.281418666339782,0.827048339387117,0.408209663458128,1
"80","YER009W","chrV",1815.50455909625,0.321923290406644,0.265269683992269,0,1,1
"81","YER010C","chrV",1202.71600461181,0.366485204762021,0.269343410661366,0,1,1
"82","YER012W","chrV",1473.76947423427,0.458469769999858,0.274697802165189,0,1,1
"83","YER013W","chrV",379.252484201244,0.561379869277668,0.31092053150825,0,1,1
"84","YER014W","chrV",531.985160142216,0.590365325750202,0.279746471668997,0.0191792436851545,0.984698115697652,1
"85","YER015W","chrV",12614.053415286,1.13394714857924,0.341860446529321,1.60576385525827,0.108325805098841,1
