"","GENE","CHRM","GCAnc"
"1","YAL001C","chrI",0.0012264151979843
"2","YAL002W","chrI",0.00238007295409963
"3","YAL003W","chrI",0.000352154706381605
"4","YAL005C","chrI",0.000950898139346222
"5","YAL007C","chrI",0.00251516504582991
"6","YAL008W","chrI",0.00505899742983645
"7","YAL009W","chrI",0.0111839754314431
"8","YAL010C","chrI",0.00621886388596733
"9","YAL011W","chrI",0.00536991239525214
"10","YAL012W","chrI",0.0233757908025362
"11","YAL013W","chrI",0.00741091731898204
"12","YAL014C","chrI",0.00809815146808822
"13","YAL015C","chrI",0.00202335275830932
"14","YAL016C-B","chrI",0.28176268649676
"15","YAL016W","chrI",0.000810079087140864
"16","YAL017W","chrI",0.00167731744527945
"17","YAL019W","chrI",0.00308155871523891
"18","YAL020C","chrI",0.0271622907541296
"19","YAL021C","chrI",0.00205479415786025
"20","YAL022C","chrI",0.00492468922992526
"21","YAL023C","chrI",0.0031546181897015
"22","YAL024C","chrI",0.00210766907482863
"23","YAL025C","chrI",0.00451482528733085
"24","YAL026C","chrI",0.00336591683429591
"25","YAL026C","chrI",0.00336591683429591
"26","YAL027W","chrI",0.0149407157018454
"27","YAL028W","chrI",0.0199937345009541
"28","YAL029C","chrI",0.00387826198950676
"29","YAL030W","chrI",0.00200642248919528
"30","YAL031C","chrI",0.00276167302619252
"31","YAL032C","chrI",0.00150697612196491
"32","YAL033W","chrI",0.0310376071661867
"33","YAL034C","chrI",0.000752437975370522
"34","YAL034W-A","chrI",0.016047554458317
"35","YAL035W","chrI",0.00174152512836419
"36","YAL036C","chrI",0.00406341710499914
"37","YAL037W","chrI",0.0254045001180928
"38","YAL038W","chrI",0.00416491764230147
"39","YAL039C","chrI",0.00467459954198262
"40","YAL040C","chrI",0.000918555848992232
"41","YAL041W","chrI",0.00313532733796187
"42","YAL042W","chrI",0.00329921235240038
"43","YAL043C","chrI",0.00466382411103811
"44","YAL044C","chrI",0.00217604000476168
"45","YAL044W-A","chrI",0.00731348329399409
"46","YAL046C","chrI",0.00191726490909641
"47","YAL047C","chrI",0.00733858692656617
"48","YAL048C","chrI",0.00479239202397863
"49","YAL049C","chrI",0.000922868959062919
"50","YAL051W","chrI",0.00103811088289288
"51","YAL053W","chrI",0.00108181478625199
"52","YAL054C","chrI",7.03106840050303e-05
"53","YAL055W","chrI",0.0153788902244164
"54","YAL056W","chrI",0.0013973412497513
"55","YAL058W","chrI",0.0167122258191196
"56","YAL059W","chrI",0.100313868349414
"57","YAL060W","chrI",0.000485129248469644
"58","YAL061W","chrI",0.000589193470726264
"59","YAL062W","chrI",0.00033333209928327
"60","YAL063C","chrI",0.0413564276680105
"61","YAL065C","chrI",0.187638308096954
"62","YAL067C","chrI",0.0119776897186714
"63","YAR002C-A","chrI",0.00208135740681919
"64","YAR002W","chrI",0.00259517892694223
"65","YAR003W","chrI",0.00494431827363781
"66","YAR007C","chrI",0.00021590716481511
"67","YAR008W","chrI",0.0100433312893369
"68","YAR014C","chrI",0.00109159424869176
"69","YAR015W","chrI",0.00313286397326272
"70","YAR018C","chrI",0.00735512071947977
"71","YAR019C","chrI",0.00351674531203227
"72","YAR020C","chrI",0.0460239231911829
"73","YAR023C","chrI",0.00953138550375641
"74","YAR027W","chrI",0.00908819209636334
"75","YAR028W","chrI",0.0024278502525756
"76","YAR029W","chrI",0.0706497696718855
"77","YAR030C","chrI",0.00909270584246621
"78","YAR031W","chrI",0.137583135515026
"79","YAR033W","chrI",0.00804802750860172
"80","YAR035C-A","chrI",0.045075885794162
"81","YAR035W","chrI",0.00413677443223037
"82","YAR042W","chrI",0.00180304454720385
"83","YAR050W","chrI",0.0147049614981577
"84","YAR068W","chrI",0.205890912003971
"85","YAR071W","chrI",0.0514575585229436
"86","YBL001C","chrII",0.00177186282886912
"87","YBL002W","chrII",0.00182714348380524
"88","YBL003C","chrII",0.0028826104404963
"89","YBL004W","chrII",0.00143482476459922
"90","YBL005W","chrII",0.00140262580910523
"91","YBL006C","chrII",0.00711686005317893
"92","YBL007C","chrII",0.00180086843757635
"93","YBL008W","chrII",0.01576371753414
"94","YBL009W","chrII",0.00497342543779542
"95","YBL010C","chrII",0.00552305852291466
"96","YBL011W","chrII",0.00697990419444998
"97","YBL013W","chrII",0.132933569736464
"98","YBL014C","chrII",0.00672518722999629
"99","YBL015W","chrII",0.000106210706408821
"100","YBL016W","chrII",0.0273646066826563
"101","YBL017C","chrII",0.000964724641574883
"102","YBL018C","chrII",0.0356809841368625
"103","YBL019W","chrII",0.00495940600340929
"104","YBL020W","chrII",0.000633927292583224
"105","YBL021C","chrII",0.00783643767484552
"106","YBL022C","chrII",0.00372421139522238
"107","YBL023C","chrII",0.00166293939944067
"108","YBL024W","chrII",0.00403217109453322
"109","YBL025W","chrII",0.010500831591208
"110","YBL026W","chrII",0.0114864775851877
"111","YBL027W","chrII",0.000368520007247414
"112","YBL028C","chrII",0.026160173798827
"113","YBL029C-A","chrII",0.00281469213234368
"114","YBL029W","chrII",0.00355648951272117
"115","YBL030C","chrII",0.000530855736816503
"116","YBL031W","chrII",0.0116685456846683
"117","YBL032W","chrII",0.00418860654643269
"118","YBL033C","chrII",0.000869679509951403
"119","YBL034C","chrII",0.00158368823557818
"120","YBL035C","chrII",0.00248024426661642
"121","YBL036C","chrII",0.0043715708692692
"122","YBL037W","chrII",0.00129295909622303
"123","YBL038W","chrII",0.00149767739813713
"124","YBL039C","chrII",0.00850751648505551
"125","YBL039C","chrII",0.00850751648505551
"126","YBL039W-B","chrII",0.0179264245819627
"127","YBL040C","chrII",0.00167620491291708
"128","YBL041W","chrII",0.00105974185449619
"129","YBL042C","chrII",0.00561502582496038
"130","YBL043W","chrII",0.000760732263485991
"131","YBL045C","chrII",8.44883418824399e-05
"132","YBL046W","chrII",0.00407976066232652
"133","YBL047C","chrII",0.000719659874049661
"134","YBL048W","chrII",0.00689317215230227
"135","YBL049W","chrII",0.00292372189476103
"136","YBL050W","chrII",0.00163135010830305
"137","YBL051C","chrII",0.00578094362218758
"138","YBL052C","chrII",0.0176257493565126
"139","YBL054W","chrII",0.00857877202793566
"140","YBL055C","chrII",0.00290396806465248
"141","YBL056W","chrII",0.00058074435006904
"142","YBL057C","chrII",0.00357619705453879
"143","YBL058W","chrII",0.000499876730600012
"144","YBL059C-A","chrII",0.00587789330535893
"145","YBL059W","chrII",0.00115900281007562
"146","YBL060W","chrII",0.00318983379469581
"147","YBL061C","chrII",0.0060957339899054
"148","YBL063W","chrII",0.00715933830642404
"149","YBL064C","chrII",0.000188330989885383
"150","YBL066C","chrII",0.00129196463293963
"151","YBL067C","chrII",0.00105899121653848
"152","YBL068W","chrII",0.000548466240929801
"153","YBL069W","chrII",0.0339156000036478
"154","YBL069W","chrII",0.0339156000036478
"155","YBL071C","chrII",0.0235531803800954
"156","YBL071W-A","chrII",0.00539059065522137
"157","YBL072C","chrII",0.00326284205742654
"158","YBL074C","chrII",0.0140655897753202
"159","YBL075C","chrII",0.0041452536603199
"160","YBL076C","chrII",0.000766752103524644
"161","YBL077W","chrII",0.192208373475913
"162","YBL078C","chrII",0.00230469698414994
"163","YBL079W","chrII",0.00045860097863146
"164","YBL080C","chrII",0.00517919857441679
"165","YBL081W","chrII",0.0354800380721491
"166","YBL082C","chrII",0.0287031701385737
"167","YBL082C","chrII",0.0287031701385737
"168","YBL084C","chrII",0.00287501128950152
"169","YBL085W","chrII",0.00582221395706001
"170","YBL086C","chrII",0.00219413236873837
"171","YBL087C","chrII",0.00158268611536677
"172","YBL088C","chrII",0.000889511757590395
"173","YBL089W","chrII",0.00123844530377715
"174","YBL090W","chrII",0.00520139242898857
"175","YBL091C","chrII",0.00102710882044153
"176","YBL091C-A","chrII",0.0039799410453894
"177","YBL092W","chrII",0.000425646054856762
"178","YBL093C","chrII",0.00580070246579977
"179","YBL095W","chrII",0.0158210958226616
"180","YBL097W","chrII",0.0232816518072361
"181","YBL098W","chrII",0.000772484819031377
"182","YBL099W","chrII",9.54638058403409e-05
"183","YBL100C","chrII",0.00109891283153768
"184","YBL100W-B","chrII",0.0707734178968224
"185","YBL100W-B","chrII",0.0707734178968224
"186","YBL101C","chrII",0.00301803633632635
"187","YBL102W","chrII",0.00141711824709929
"188","YBL103C","chrII",0.00218778583748437
"189","YBL104C","chrII",0.0064213284422349
"190","YBL105C","chrII",0.00261234688098343
"191","YBL106C","chrII",0.00790434655644896
"192","YBL107C","chrII",0.00856071352350097
"193","YBL107W-A","chrII",0.0583591774477364
"194","YBL113C","chrII",0.159182970767129
"195","YBL113C","chrII",0.159182970767129
"196","YBR001C","chrII",0.000248785365490039
"197","YBR002C","chrII",0.0132403773520755
"198","YBR003W","chrII",0.00234204233792187
"199","YBR004C","chrII",0.00307083820315493
"200","YBR005W","chrII",0.00223309427678278
"201","YBR006W","chrII",0.000369735034363628
"202","YBR007C","chrII",0.0166748626361311
"203","YBR008C","chrII",0.00615050071292814
"204","YBR009C","chrII",0.00138716233981447
"205","YBR010W","chrII",0.00175090940968168
"206","YBR011C","chrII",0.00017178112931398
"207","YBR012C","chrII",0.0677062602795658
"208","YBR013C","chrII",0.0431711159519797
"209","YBR014C","chrII",0.00194856745586668
"210","YBR015C","chrII",0.00145386361356307
"211","YBR016W","chrII",0.00102739131321143
"212","YBR017C","chrII",0.00144744596103325
"213","YBR018C","chrII",0.0876218946692853
"214","YBR019C","chrII",0.0163433118651526
"215","YBR020W","chrII",0.0139155765398745
"216","YBR021W","chrII",0.00736289862742106
"217","YBR022W","chrII",0.017781482453909
"218","YBR023C","chrII",0.00216690449296621
"219","YBR024W","chrII",0.00217665455130957
"220","YBR025C","chrII",0.000635208393723613
"221","YBR026C","chrII",0.000419377078028842
"222","YBR027C","chrII",0.181474199962761
"223","YBR028C","chrII",0.00603057993190441
"224","YBR029C","chrII",0.0014230031754198
"225","YBR030W","chrII",0.00842952409802171
"226","YBR031W","chrII",0.000646457552944273
"227","YBR032W","chrII",0.244911901681275
"228","YBR033W","chrII",0.00300218243273697
"229","YBR034C","chrII",0.00358073239179997
"230","YBR035C","chrII",0.000850279700933615
"231","YBR036C","chrII",0.000851044819447539
"232","YBR037C","chrII",0.0054067345424057
"233","YBR038W","chrII",0.00190669298914706
"234","YBR039W","chrII",8.28681794123842e-05
"235","YBR041W","chrII",0.00400992464886277
"236","YBR042C","chrII",0.00359350347630307
"237","YBR043C","chrII",0.000924868728883853
"238","YBR044C","chrII",0.00269922683918092
"239","YBR045C","chrII",0.00201700239000852
"240","YBR046C","chrII",0.000182234392460069
"241","YBR047W","chrII",0.00146817956348946
"242","YBR048W","chrII",0.000422154139841396
"243","YBR049C","chrII",0.00195809379278494
"244","YBR050C","chrII",7.7104876402543e-05
"245","YBR052C","chrII",0.000609613332793906
"246","YBR053C","chrII",0.00126464907050549
"247","YBR054W","chrII",0.000641000249441215
"248","YBR055C","chrII",0.00247806672488439
"249","YBR056W","chrII",0.00127857555304327
"250","YBR056W-A","chrII",0.166643114334731
"251","YBR057C","chrII",0.00170771968079368
"252","YBR058C","chrII",0.00111458921487443
"253","YBR058C-A","chrII",0.00840714171033759
"254","YBR059C","chrII",0.00191037852393157
"255","YBR060C","chrII",0.00206133249089396
"256","YBR061C","chrII",0.00800995476324079
"257","YBR062C","chrII",0.0041542682123211
"258","YBR063C","chrII",0.0187939066796883
"259","YBR065C","chrII",0.0131261378660893
"260","YBR066C","chrII",0.0943798850577345
"261","YBR067C","chrII",0.000119786005388627
"262","YBR068C","chrII",0.0010198698270588
"263","YBR069C","chrII",0.00172193650549092
"264","YBR070C","chrII",0.00302355873112902
"265","YBR071W","chrII",0.00113495204257653
"266","YBR072W","chrII",0.00280635242158381
"267","YBR073W","chrII",0.0141008411071575
"268","YBR074W","chrII",0.000700968848306954
"269","YBR076C-A","chrII",0.00453492529928478
"270","YBR076W","chrII",0.0149696966528103
"271","YBR077C","chrII",0.00599486972578278
"272","YBR078W","chrII",8.40916946748334e-05
"273","YBR079C","chrII",0.00202842522972313
"274","YBR080C","chrII",0.00174643628763314
"275","YBR081C","chrII",0.00229789695607538
"276","YBR082C","chrII",0.000962198990284549
"277","YBR083W","chrII",0.000337821693679087
"278","YBR084C-A","chrII",0.000528279709523613
"279","YBR084W","chrII",0.0047457431496378
"280","YBR085C-A","chrII",0.000644777618650484
"281","YBR086C","chrII",0.000462726421508482
"282","YBR087W","chrII",0.0039561080274283
"283","YBR088C","chrII",0.0138679234284409
"284","YBR090C","chrII",0.150355915209003
"285","YBR090C","chrII",0.150355915209003
"286","YBR091C","chrII",0.0296781866757235
"287","YBR092C","chrII",0.00684546945599827
"288","YBR093C","chrII",0.00406369122101932
"289","YBR094W","chrII",0.00114044904971676
"290","YBR095C","chrII",0.00404409810652674
"291","YBR096W","chrII",0.00626223854146227
"292","YBR097W","chrII",0.00134030340614575
"293","YBR098W","chrII",0.00247386355439091
"294","YBR101C","chrII",0.0018741432783548
"295","YBR102C","chrII",0.00208396100657445
"296","YBR103W","chrII",0.0022866555125945
"297","YBR104W","chrII",0.0046989295195742
"298","YBR105C","chrII",0.00821156129783266
"299","YBR106W","chrII",0.00047029609741821
"300","YBR107C","chrII",0.00641467884193776
"301","YBR108W","chrII",0.00578777664399181
"302","YBR109C","chrII",0.000758919038327782
"303","YBR110W","chrII",0.00153783198510265
"304","YBR111C","chrII",0.00246834050931661
"305","YBR111W-A","chrII",0.0218140504961309
"306","YBR112C","chrII",0.00471231276069741
"307","YBR113W","chrII",0.17694179842035
"308","YBR114W","chrII",0.00927049904161575
"309","YBR115C","chrII",0.00102494358495792
"310","YBR117C","chrII",0.00393192905565099
"311","YBR117C","chrII",0.00393192905565099
"312","YBR118W","chrII",0.000546679293214456
"313","YBR119W","chrII",0.00589481520801335
"314","YBR120C","chrII",0.00631033781584466
"315","YBR121C","chrII",0.0001615122515415
"316","YBR121C","chrII",0.0001615122515415
"317","YBR122C","chrII",0.00542807528539494
"318","YBR123C","chrII",0.00395852755805163
"319","YBR125C","chrII",0.00271664242033248
"320","YBR126C","chrII",0.000370844312605729
"321","YBR127C","chrII",0.000547788940303329
"322","YBR128C","chrII",0.0168885331306831
"323","YBR129C","chrII",0.0060702920886446
"324","YBR130C","chrII",0.00488959515777257
"325","YBR131W","chrII",0.0474109625913743
"326","YBR132C","chrII",0.00361048032465555
"327","YBR133C","chrII",0.00382394554951154
"328","YBR135W","chrII",0.00602866777571674
"329","YBR136W","chrII",0.00343100245298857
"330","YBR137W","chrII",0.00477349665999162
"331","YBR138C","chrII",0.00924110268010149
"332","YBR139W","chrII",0.00016651800432466
"333","YBR140C","chrII",0.000789773669793236
"334","YBR141C","chrII",0.0130998254025982
"335","YBR142W","chrII",0.00648102860255347
"336","YBR143C","chrII",0.000969119633109102
"337","YBR145W","chrII",0.00238313585437575
"338","YBR146W","chrII",0.00118604980595409
"339","YBR147W","chrII",0.0020945628066752
"340","YBR148W","chrII",0.0129109104269223
"341","YBR149W","chrII",4.0758444542242e-05
"342","YBR150C","chrII",0.00504927370597943
"343","YBR151W","chrII",0.00168665972141073
"344","YBR152W","chrII",0.0293067506878225
"345","YBR153W","chrII",0.00398280739746746
"346","YBR154C","chrII",0.0066594910612703
"347","YBR155W","chrII",0.00907432893380488
"348","YBR156C","chrII",0.00180482702075302
"349","YBR157C","chrII",0.0268745063816606
"350","YBR158W","chrII",0.0119486258049755
"351","YBR159W","chrII",0.00179629834892362
"352","YBR160W","chrII",0.00192678360180456
"353","YBR161W","chrII",0.0180357441257655
"354","YBR162C","chrII",0.000676632273776384
"355","YBR162W-A","chrII",0.0103375662876942
"356","YBR163W","chrII",0.00214583243796188
"357","YBR164C","chrII",0.00810081500744588
"358","YBR165W","chrII",0.00710739058162145
"359","YBR166C","chrII",0.00294482324010539
"360","YBR167C","chrII",0.00319583426213571
"361","YBR168W","chrII",0.00194880610727722
"362","YBR169C","chrII",0.00230878976981022
"363","YBR170C","chrII",0.00303821361830615
"364","YBR171W","chrII",0.00573278499450819
"365","YBR172C","chrII",0.00176878680465528
"366","YBR173C","chrII",0.00119590689356425
"367","YBR175W","chrII",0.0771367718747793
"368","YBR176W","chrII",0.00218905975442835
"369","YBR177C","chrII",0.000314464458928499
"370","YBR179C","chrII",0.000756164950456381
"371","YBR180W","chrII",0.0841688186253374
"372","YBR181C","chrII",0.00115732645225975
"373","YBR182C","chrII",0.02904965030663
"374","YBR183W","chrII",0.00202413519023973
"375","YBR184W","chrII",0.0956694937160464
"376","YBR185C","chrII",0.00159523419031167
"377","YBR186W","chrII",0.0198062978489612
"378","YBR187W","chrII",0.00226999363680626
"379","YBR188C","chrII",0.0180960185862279
"380","YBR189W","chrII",0.000545671253517774
"381","YBR191W","chrII",0.000496781455440815
