"genesGC_1$GENEID" "genesGC_1$TXCHROM" "GENEID" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "Sample"
"YAL025C8" "YAL025C" "chrI" "YAL025C" 499.609729134696 -1.85549097746706 0.464877018354815 -3.99135879857772 6.56957991615726e-05 0.0182642661460421 "11"
"YAL037W8" "YAL037W" "chrI" "YAL037W" 86.1535164655857 -3.00188760007658 0.794968896342508 -3.77610698215699 0.000159298592734264 0.0287097173421398 "11"
"YAL044C8" "YAL044C" "chrI" "YAL044C" 2458.3595561186 -2.67985487484931 0.513681591081484 -5.21695719951197 1.81886266769354e-07 0.000338732857480126 "11"
"YAL053W8" "YAL053W" "chrI" "YAL053W" 1683.45049675591 -2.0087208362925 0.379523922271206 -5.29273839781062 1.20498233308429e-07 0.000336611814747096 "11"
"YAR027W8" "YAR027W" "chrI" "YAR027W" 242.112267091359 -8.2233449314456 2.41987848069158 -3.39824705953642 0.000678191442061562 0.0763680472546379 "11"
"YBR296C8" "YBR296C" "chrII" "YBR296C" 99.1088156180249 -3.95458526809105 1.14133115346515 -3.46488856988149 0.000530451218713316 0.066948272467506 "11"
"YCL054W8" "YCL054W" "chrIII" "YCL054W" 370.522059758304 -1.29862045466168 0.32538300147443 -3.99105192581406 6.57808744894493e-05 0.0182642661460421 "11"
"YDR019C8" "YDR019C" "chrIV" "YDR019C" 836.182605601412 -1.84551050575205 0.416730136675934 -4.42855062144736 9.48684540525803e-06 0.00441691710659805 "11"
"YDR399W8" "YDR399W" "chrIV" "YDR399W" 1374.48730896283 -1.34221069855122 0.401519270743026 -3.34283008650471 0.000829286608372911 0.0891004669419126 "11"
"YDR524C-B8" "YDR524C-B" "chrIV" "YDR524C-B" 4415.13832650883 -1.53894759667409 0.331163080189153 -4.64709893323579 3.36635739934362e-06 0.00208975986557031 "11"
"YDR536W8" "YDR536W" "chrIV" "YDR536W" 2270.42520788122 1.64929273926751 0.429642577581725 3.83875534066171 0.000123659572836252 0.0276976218659679 "11"
"YER091C8" "YER091C" "chrV" "YER091C" 2984.73701407656 1.1745188261034 0.307137070184228 3.82408683327902 0.000131257653203033 0.0276976218659679 "11"
"YFL054C8" "YFL054C" "chrVI" "YFL054C" 600.776573777024 -2.33625384421195 0.459909007216917 -5.07981754553908 3.77797534672282e-07 0.00052768870655351 "11"
"YGL125W8" "YGL125W" "chrVII" "YGL125W" 1044.46611025103 1.51906605016176 0.465046791406006 3.26648001498745 0.00108893493732463 0.0981270886263342 "11"
"YGR032W8" "YGR032W" "chrVII" "YGR032W" 5972.26614449356 -1.28502189921531 0.29504287212087 -4.35537347497376 1.32840230177756e-05 0.00570906435387016 "11"
"YGR070W8" "YGR070W" "chrVII" "YGR070W" 1564.30362098652 0.987023010376424 0.30013967325648 3.28854562833143 0.00100706459178257 0.0963643200963336 "11"
"YGR122W8" "YGR122W" "chrVII" "YGR122W" 590.764643413544 -1.28732590581452 0.356819902654798 -3.60777494819263 0.000308834190531355 0.0488856122375401 "11"
"YHR046C8" "YHR046C" "chrVIII" "YHR046C" 199.469964282937 -1.28616110772529 0.39067750983167 -3.29212989065958 0.000994316767823776 0.0963643200963336 "11"
"YHR216W8" "YHR216W" "chrVIII" "YHR216W" 69.2414924153145 -3.72076259267211 1.06515519170185 -3.49316477228756 0.000477331880289487 0.0643772937154015 "11"
"YIL166C8" "YIL166C" "chrIX" "YIL166C" 1657.44564317771 1.19578990604465 0.366656053643263 3.26133959650394 0.00110887150141943 0.0983375409274663 "11"
"YJR025C8" "YJR025C" "chrX" "YJR025C" 1007.72354301839 -1.49781353079473 0.418174356484527 -3.58179191901297 0.000341245548105256 0.0488856122375401 "11"
"YJR078W8" "YJR078W" "chrX" "YJR078W" 76.0124253664357 -2.18005076921715 0.592580637950277 -3.67890988939141 0.000234233003451447 0.0396563572813101 "11"
"YKL043W8" "YKL043W" "chrXI" "YKL043W" 295.960448308924 -1.81310634885199 0.452979363368483 -4.00262461267377 6.26436541893087e-05 0.0182642661460421 "11"
"YKL096W-A8" "YKL096W-A" "chrXI" "YKL096W-A" 16902.4755239943 -1.08707435028154 0.314140469083529 -3.46047216855875 0.000539228971010877 0.066948272467506 "11"
"YKL164C8" "YKL164C" "chrXI" "YKL164C" 2477.22160264591 -1.7156114172299 0.430959018411272 -3.98091545584658 6.86503649663296e-05 0.0182642661460421 "11"
"YLL012W8" "YLL012W" "chrXII" "YLL012W" 310.959277479808 -2.56600073510925 0.545168091003288 -4.70680653812105 2.51627497752189e-06 0.00175730353742685 "11"
