"","GENEID","TXCHROM"
"8","Q0055","chrM"
"9","Q0075","chrM"
"10","Q0085","chrM"
"13","Q0120","chrM"
"14","Q0130","chrM"
"16","Q0275","chrM"
"25","YAL001C","chrI"
"26","YAL002W","chrI"
"27","YAL003W","chrI"
"28","YAL005C","chrI"
"29","YAL007C","chrI"
"30","YAL008W","chrI"
"31","YAL009W","chrI"
"32","YAL010C","chrI"
"33","YAL011W","chrI"
"34","YAL012W","chrI"
"35","YAL013W","chrI"
"36","YAL014C","chrI"
"37","YAL015C","chrI"
"38","YAL016C-A","chrI"
"39","YAL016C-B","chrI"
"40","YAL016W","chrI"
"41","YAL017W","chrI"
"42","YAL018C","chrI"
"43","YAL019W","chrI"
"44","YAL020C","chrI"
"45","YAL021C","chrI"
"46","YAL022C","chrI"
"47","YAL023C","chrI"
"48","YAL024C","chrI"
"49","YAL025C","chrI"
"50","YAL026C","chrI"
"52","YAL027W","chrI"
"53","YAL028W","chrI"
"54","YAL029C","chrI"
"55","YAL030W","chrI"
"56","YAL031C","chrI"
"57","YAL031W-A","chrI"
"58","YAL032C","chrI"
"59","YAL033W","chrI"
"60","YAL034C","chrI"
"61","YAL034C-B","chrI"
"62","YAL034W-A","chrI"
"63","YAL035W","chrI"
"64","YAL036C","chrI"
"65","YAL037C-A","chrI"
"66","YAL037C-B","chrI"
"67","YAL037W","chrI"
"68","YAL038W","chrI"
"69","YAL039C","chrI"
"70","YAL040C","chrI"
"71","YAL041W","chrI"
"72","YAL042W","chrI"
"73","YAL043C","chrI"
"74","YAL044C","chrI"
"75","YAL044W-A","chrI"
"76","YAL045C","chrI"
"77","YAL046C","chrI"
"78","YAL047C","chrI"
"79","YAL048C","chrI"
"80","YAL049C","chrI"
"81","YAL051W","chrI"
"82","YAL053W","chrI"
"83","YAL054C","chrI"
"84","YAL055W","chrI"
"85","YAL056C-A","chrI"
"86","YAL056W","chrI"
"87","YAL058W","chrI"
"88","YAL059W","chrI"
"89","YAL060W","chrI"
"90","YAL061W","chrI"
"91","YAL062W","chrI"
"92","YAL063C","chrI"
"93","YAL063C-A","chrI"
"94","YAL064C-A","chrI"
"95","YAL064W","chrI"
"96","YAL064W-B","chrI"
"97","YAL065C","chrI"
"98","YAL066W","chrI"
"99","YAL067C","chrI"
"100","YAL067W-A","chrI"
"101","YAL068C","chrI"
"102","YAR002C-A","chrI"
"103","YAR002W","chrI"
"104","YAR003W","chrI"
"105","YAR007C","chrI"
"106","YAR008W","chrI"
"107","YAR014C","chrI"
"108","YAR015W","chrI"
"109","YAR018C","chrI"
"110","YAR019C","chrI"
"111","YAR019W-A","chrI"
"112","YAR020C","chrI"
"113","YAR023C","chrI"
"114","YAR027W","chrI"
"115","YAR028W","chrI"
"116","YAR029W","chrI"
"117","YAR030C","chrI"
"118","YAR031W","chrI"
"119","YAR033W","chrI"
"120","YAR035C-A","chrI"
"121","YAR035W","chrI"
"122","YAR042W","chrI"
"123","YAR050W","chrI"
"124","YAR053W","chrI"
"125","YAR064W","chrI"
"126","YAR066W","chrI"
"127","YAR068W","chrI"
"128","YAR070C","chrI"
"129","YAR071W","chrI"
"130","YAR073W","chrI"
"132","YBL001C","chrII"
"133","YBL002W","chrII"
"134","YBL003C","chrII"
"135","YBL004W","chrII"
"136","YBL005W","chrII"
"137","YBL006C","chrII"
"138","YBL007C","chrII"
"139","YBL008W","chrII"
"140","YBL008W-A","chrII"
"141","YBL009W","chrII"
"142","YBL010C","chrII"
"143","YBL011W","chrII"
"144","YBL012C","chrII"
"145","YBL013W","chrII"
"146","YBL014C","chrII"
"147","YBL015W","chrII"
"148","YBL016W","chrII"
"149","YBL017C","chrII"
"150","YBL018C","chrII"
"151","YBL019W","chrII"
"152","YBL020W","chrII"
"153","YBL021C","chrII"
"154","YBL022C","chrII"
"155","YBL023C","chrII"
"156","YBL024W","chrII"
"157","YBL025W","chrII"
"158","YBL026W","chrII"
"159","YBL027W","chrII"
"160","YBL028C","chrII"
