"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YBL030C","chrII",15954.6050433595,0.562629466081933,0.205540086069689,2.73732232403159,0.00619415698580254,0.046056554362177
"2","YBR118W","chrII",10912.0571336014,0.585133163622246,0.24901512687213,2.34978963315234,0.0187840238475147,0.0973882098635906
"3","YBR230C","chrII",7206.82111224248,-0.421809623002549,0.125594551513987,-3.35850256175782,0.000783659948712833,0.00911040381761811
"4","YBR286W","chrII",3269.29177559237,0.326125560895824,0.12489220080892,2.61125641780293,0.00902102262221052,0.0594806878975788
"5","YCR088W","chrIII",711.191422030224,0.507893026207369,0.209379042645053,2.4257109011066,0.015278435609904,0.0846049107046938
"6","YDR129C","chrIV",2814.83154737321,0.464381913113088,0.134531538696906,3.45184421148503,0.000556769092452477,0.00703106112827651
"7","YDR385W","chrIV",1418.80112107514,0.620705050294721,0.228866325073233,2.71208553768716,0.00668613367755252,0.0485402775645939
"8","YEL027W","chrV",3107.70064167571,-0.366576239590393,0.144400706893008,-2.53860419022743,0.0111295657998964,0.0685620913196292
"9","YER044C","chrV",797.302216185273,-0.442002708944176,0.185760497970868,-2.37942250248217,0.0173397886752295,0.0927695463746322
"10","YFL039C","chrVI",12898.3736862309,0.454855493696321,0.159055479649733,2.85972853433274,0.00424003790303964,0.0342421747147669
"11","YGL054C","chrVII",1377.8391025144,-0.40342832848763,0.149667538395485,-2.69549651723142,0.00702838125348782,0.0501341792908042
"12","YHR162W","chrVIII",3918.20708332496,-0.755610808024281,0.177153103671211,-4.26529816506442,1.9963541550167e-05,0.000499370392781996
"13","YJL164C","chrX",769.069225772696,-0.897232184191111,0.210656853548428,-4.25921193200034,2.05148894446379e-05,0.000504392748478831
"14","YLR029C","chrXII",2749.30730536165,0.546396946294446,0.182479436026421,2.99429326499745,0.00275081402935474,0.0244261688770311
"15","YLR304C","chrXII",9378.17885640902,0.513187138119786,0.193669657440627,2.64980660833313,0.00805378572361768,0.0546336795993354
"16","YML124C","chrXIII",372.030875634453,0.561098418601163,0.233129125128709,2.40681389891282,0.0160923679286112,0.0873630808450219
"17","YNL016W","chrXIV",720.924480100663,1.04190773703161,0.140833145505342,7.39817131324449,1.38072654516707e-13,3.75861821282094e-11
"18","YNL055C","chrXIV",46820.8494154749,0.540522838411932,0.135532506596734,3.98814167895688,6.65928913099676e-05,0.00134449589316329
"19","YNL076W","chrXIV",616.818423754229,0.473737042362295,0.150121763300745,3.1556853046899,0.00160121518435121,0.0159029127465546
"20","YNL121C","chrXIV",1528.06352545584,0.889102407077057,0.125108346366895,7.10665941079308,1.18885327743191e-12,2.63069453230134e-10
"21","YPR149W","chrXVI",9109.79905679218,-0.775613126950469,0.18456714525073,-4.20233582687112,2.64174829848445e-05,0.000627216806318283
