"","genes","chr","sampleMean","ancMean","sampleOverAnc"
"1","YAL001C","chrI",359.232339185899,326.723573347324,1.09949929693018
"2","YAL002W","chrI",230.873494242036,270.222006679923,0.854384500650626
"3","YAL003W","chrI",3278.97744004231,2703.50532343097,1.21286146974589
"4","YAL005C","chrI",12744.5781300379,8001.07764385494,1.59285769959077
"5","YAL007C","chrI",365.95711025526,199.239740066608,1.83676765555364
"6","YAL008W","chrI",1641.57027636413,1967.10954134147,0.834508827223045
"7","YAL009W","chrI",189.164438525242,200.815306694353,0.941982170777232
"8","YAL010C","chrI",124.911341884103,90.4684627606046,1.38071697111335
"9","YAL011W","chrI",118.679497520915,126.584841593753,0.937549046368373
"10","YAL012W","chrI",647.877708694962,303.08263130925,2.13762730611211
"11","YAL013W","chrI",332.943714511004,355.720731317287,0.935969386091341
"12","YAL014C","chrI",233.784308500484,232.931662249075,1.00366049957819
"13","YAL015C","chrI",330.39940410333,264.02203959608,1.2514084226029
"14","YAL016W","chrI",1320.25680367339,1296.3137463135,1.01847010990046
"15","YAL017W","chrI",847.350863603233,1003.02786492275,0.844792944679056
"16","YAL019W","chrI",191.230918920344,220.182276959796,0.868511860086094
"17","YAL020C","chrI",137.141931306005,115.812335503857,1.18417378174225
"18","YAL021C","chrI",299.918656390777,358.387766933982,0.83685517214103
"19","YAL022C","chrI",222.9130379805,215.785925501641,1.03302862530209
"20","YAL023C","chrI",447.578962715721,308.383202038665,1.45137270693364
"21","YAL024C","chrI",58.8672596286899,47.9233105286302,1.22836379580917
"22","YAL025C","chrI",291.812017548708,390.618770849788,0.747050677861368
"23","YAL026C","chrI",179.131332839665,149.300377109159,1.19980495902362
"24","YAL027W","chrI",250.228234184395,300.740132235562,0.83204137846291
"25","YAL028W","chrI",105.56285591496,115.736935337653,0.912093063523665
"26","YAL029C","chrI",379.297689731624,336.341202788163,1.12771699270671
"27","YAL030W","chrI",814.25509723862,828.88083970399,0.982354831038689
"28","YAL031C","chrI",201.147728081569,208.137043816466,0.966419645408915
"29","YAL032C","chrI",298.91904479225,283.782704729138,1.05333778208069
"30","YAL033W","chrI",128.544987413432,144.785900151133,0.887828077728919
"31","YAL034C","chrI",2018.38004551859,2108.13582251298,0.957424101409464
"32","YAL034W-A","chrI",90.1904821112619,39.9433482525714,2.25795998725409
"33","YAL035W","chrI",678.152434423879,782.419675192286,0.866737450406289
"34","YAL036C","chrI",146.66236821381,192.267899592208,0.762802155351331
"35","YAL037W","chrI",217.60030848136,150.906922345501,1.44195047582486
"36","YAL038W","chrI",6388.50168086299,5249.38307114859,1.21700047306038
"37","YAL039C","chrI",1239.81715652051,1533.60742464563,0.80843189501837
"38","YAL040C","chrI",147.174344118553,165.758533556228,0.887883965676062
"39","YAL041W","chrI",192.639528571503,184.231887446211,1.04563618840276
"40","YAL042W","chrI",651.224735306933,633.362195206973,1.02820272544705
"41","YAL043C","chrI",238.169893077154,216.141627035425,1.1019158888728
"42","YAL044C","chrI",2422.69252476243,2220.1721502838,1.09121832036887
"43","YAL044W-A","chrI",54.0591192116934,55.3202725940002,0.977202690385088
"44","YAL046C","chrI",399.57874621711,264.287718119045,1.51190811688466
"45","YAL047C","chrI",122.929836111491,125.960985292602,0.975935809218465
"46","YAL048C","chrI",181.046610192057,240.167978403278,0.753833260352685
"47","YAL049C","chrI",818.983385630701,905.915099759036,0.90403988833892
"48","YAL051W","chrI",330.303239064893,389.077918728411,0.848938536898713
"49","YAL053W","chrI",993.076115659531,1079.01523447334,0.920354119137387
"50","YAL054C","chrI",985.049044510939,611.388960035377,1.61116590076134
"51","YAL055W","chrI",391.917499827489,553.304060924045,0.708322109859391
"52","YAL056W","chrI",790.33246822561,920.387675257234,0.858695188421253
"53","YAL058W","chrI",124.978956050382,118.411663238858,1.05546153674301
"54","YAL059W","chrI",72.3447413874187,78.1156239363394,0.926123837228469
"55","YAL060W","chrI",2206.94078521918,3011.71931700035,0.732784351038819
"56","YAL061W","chrI",3830.18480169756,3458.00065639094,1.1076298654307
"57","YAL062W","chrI",5540.88482516526,5554.69378611433,0.997514001404794
"58","YAL063C","chrI",589.230750746823,653.291905794407,0.901940993789468
"59","YAL067C","chrI",251.135618919316,164.649437990695,1.52527468046086
"60","YAR002C-A","chrI",1181.62911682884,903.594297654045,1.30769873149559
"61","YAR002W","chrI",284.102325980311,286.104998520655,0.993000218274065
